0	Index      	 *	Score 	Summary	Detail	
1	31123 63275	 * 	267.71	DCR|DCR|1VULN|1DMG|1MLV|1AART	1LWND|2FEWX|3CGEN|4VULN|5MLV|6AART|7aRCR|8MBVNT|9DMG
21	34111 63225	   	247.64	DCR|DCR|1VULN|1MLV|1AART	1LWND|2TLV|3VULN|4MLV|5BEXP|6AART|7aRCR|8MBVNT|9AAC
22	36121 43314	 * 	246.90	DCR|3VULN|3DMG|1RPLT	18LWND|28aDMG|348VULN|5RPLT|6AAC|7TBNT|8BPWR|9RCR
23	35515 33232	 * 	246.41	DCR|DCR|1VULN|2ASPD|1ZMB	1LWND|2LHND|3FEWX|45ASPD|6aRCR|7VULN|8ZMB|9AAC
24	32163 22154	 * 	245.11	DCR|DCR|2DMG|1CDMG	1LWND|2MDPS|3DUR|4BELT|5CGEN|68DMG|7aRCR|9CDMG
25	36121 43311	   	244.90	DCR|3VULN|2DMG|1ASPD|1RPLT	18LWND|28DMG|348VULN|5RPLT|6AAC|7TBNT|8BPWR|9RCR|aASPD
26	36121 46311	   	244.90	DCR|3VULN|2DMG|1ASPD|1RPLT	18LWND|28DMG|348VULN|5RPLT|6AAC|7BBNT|8BPWR|9RCR|aASPD
27	11223 45241	 * 	244.65	DCR|5VULN|1CDMG|1RPLT	1AELOIC|2CDMG|3RPLT|4789aVULN|5ERES|6RCR
28	35611 23215	   	243.76	DCR|DCR|1VULN|1ASPD|1AART	1LWND|2LHND|3VULN|4ASPD|5AART|6CGEN|7aRCR|8MBVNT|9TLV
29	11222 42532	   	243.66	DCR|DCR|1VULN|1CDMG|1RPLT	1AELOIC|2CDMG|3RPLT|4VULN|5CGEN|6aRCR|7BEXP|8ERES|9FEWX
30	11223 42432	   	243.66	DCR|DCR|1VULN|1CDMG|1RPLT	1AELOIC|2CDMG|3RPLT|4VULN|5ERES|6aRCR|7BEXP|8CGEN|9FEWX
31	11232 45312	   	243.66	DCR|DCR|1VULN|1CDMG|1RPLT	1AELOIC|2CDMG|3RPLT|4RMIN|5DUST|6aRCR|7VULN|8CGEN|9FEWX
32	13637 31137	   	243.66	DCR|DCR|1VULN|1CDMG|1AART	1AELOIC|24RMIN|3MBVNT|5VULN|6CDMG|7AART|8BEXP|9aRCR
33	13636 34137	   	243.66	DCR|DCR|1VULN|1CDMG|1AART	1AELOIC|24RMIN|3MBVNT|5CDMG|6AART|7VULN|8BEXP|9aRCR
34	11222 43121	   	243.56	DCR|DCR|1VULN|1CDMG|1RPLT	1AELOIC|2CDMG|3RPLT|4VULN|5CGEN|6aRCR|7SPLJET|8ERES|9LWND
35	11222 43161	   	243.56	DCR|DCR|1VULN|1CDMG|1RPLT	1AELOIC|2CDMG|3RPLT|4VULN|5CGEN|6aRCR|7SPLJET|8ERES|9BEXP
36	11232 45212	   	243.56	DCR|DCR|1VULN|1CDMG|1RPLT	1AELOIC|2CDMG|3RPLT|4RMIN|5DUST|6aRCR|7VULN|8ERES|9FEWX
37	13623 23735	   	243.56	DCR|DCR|1VULN|1ASPD|1AART	1AELOIC|2RMIN|3MBVNT|4VULN|5ASPD|6AART|7CGEN|8MDPS|9aRCR
38	16331 34263	   	243.56	DCR|DCR|1VULN|1ASPD|1AART	1AELOIC|2TBNT|3AART|4ERES|5LIT|6aRCR|7VULN|8ASPD|9VENFST
39	11222 43151	   	243.46	DCR|DCR|1VULN|1CDMG|1RPLT	1AELOIC|2CDMG|3RPLT|4VULN|5CGEN|6aRCR|7SPLJET|8ERES|9DUST
40	12623 23735	   	243.46	DCR|DCR|1VULN|1ASPD|1AART	1AELOIC|2ERES|3MBVNT|4VULN|5ASPD|6AART|7CGEN|8MDPS|9aRCR
41	13623 24735	   	243.46	DCR|DCR|1VULN|1ASPD|1AART	1AELOIC|2RMIN|3MBVNT|4VULN|5ASPD|6AART|7ERES|8MDPS|9aRCR
42	11353 62252	 * 	242.83	ACR|DCR|2VULN|1CDMG|1RPLT	1AELOIC|2CDMG|3LWND|4aRCR|5DUST|6FEWX|78VULN|9RPLT
43	11623 62252	   	242.83	ACR|DCR|2VULN|1CDMG|1RPLT	1AELOIC|2CDMG|3aRCR|4LWND|5DUST|6FEWX|78VULN|9RPLT
44	11633 62252	   	242.83	ACR|DCR|2VULN|1CDMG|1RPLT	1AELOIC|2CDMG|3aRCR|4LHND|5DUST|6FEWX|78VULN|9RPLT
45	11611 62252	   	242.73	ACR|DCR|2VULN|1CDMG|1RPLT	15AELOIC|2CDMG|3aRCR|4MDPS|6FEWX|78VULN|9RPLT
46	11511 11136	   	242.42	DCR|DCR|1DMG|1ASPD|1CDMG|1AART	1AELOIC|2CDMG|3LHND|4ASPD|5ERES|6DMG|7AART|8BEXP|9aRCR
47	13623 51124	   	242.31	DCR|DCR|1VULN|1ASPD	1AELOIC|2RMIN|3MBVNT|4VULN|5ASPD|6aRCR|7TBNT|8LWND|9DUR
48	31212 33232	   	242.26	DCR|DCR|1VULN|1ASPD|1ZMB	1LWND|25FEWX|3DUR|4ASPD|6aRCR|7VULN|8ZMB|9AAC
49	55212 33632	   	242.26	DCR|DCR|1VULN|1ASPD|1ZMB	15FEWX|2LHND|3DUR|4ASPD|6aRCR|7VULN|8ZMB|9AAC
50	55213 33632	   	242.26	DCR|DCR|1VULN|1ASPD|1ZMB	1FEWX|25LHND|3DUR|4ASPD|6aRCR|7VULN|8ZMB|9AAC
51	12623 51184	   	242.21	DCR|DCR|1VULN|1ASPD	1AELOIC|2ERES|3MBVNT|4VULN|5ASPD|6aRCR|7TBNT|8LWND|9DUR
52	13623 53181	   	242.11	DCR|DCR|1VULN|1ASPD	1AELOIC|2RMIN|3MBVNT|4VULN|5ASPD|6aRCR|7VENICY|8ERES|9DUR
53	12422 24252	 * 	241.75	DCR|DCR|2MLV|1CDMG|1RPLT	1AELOIC|2ERES|34MLV|5FEWX|6aRCR|7CDMG|8MDPS|9RPLT
54	52513 61323	   	240.80	ACR|DCR|1VULN|1MLV|1ASPD|1AART	1FEWX|2MLV|3AART|4DUR|58RCR|69LIT|7ASPD|aVULN
55	35562 33232	   	240.37	DCR|DCR|1VULN|1DMG|1ZMB	1LWND|2LHND|34FEWX|5DMG|6aRCR|7VULN|8ZMB|9AAC
56	35522 33232	   	240.27	DCR|DCR|1VULN|1DMG|1ZMB	1LWND|2LHND|3FEWX|4AELOIC|5DMG|6aRCR|7VULN|8ZMB|9AAC
57	51535 33122	 * 	239.97	DCR|DCR|2ASPD|1DMG	12FEWX|3AAC|4MDPS|57ASPD|6aRCR|8DMG|9DUR
58	36423 35113	 * 	239.11	DCR|3MLV|2DMG|1VULN|1ASPD	1LWND|26DMG|3DUR|4VULN|567MLV|6BPWR|8ASPD|9BBNT|aRCR
59	36116 23331	   	238.67	DCR|2VULN|2DMG|1MLV|1CDMG|1AART	1LWND|2aDMG|39VULN|4MLV|5AART|6MDPS|7RCR|8CDMG
60	12442 21136	   	237.86	DCR|DCR|2MLV|1AART|1RPLT	1AELOIC|2ERES|35MLV|4RPLT|6RMIN|7AART|8BEXP|9aRCR
61	12442 31136	   	237.86	DCR|DCR|2MLV|1AART|1RPLT	1AELOIC|2ERES|35MLV|4RPLT|6CGEN|7AART|8BEXP|9aRCR
