0	Index      	 *	Score 	Summary	Detail	
1	33113 24416	 * 	301.61	DCR|DCR|3VULN|1DMG	1ERES|2RPLT|3BLASTR|4RCVC|57aVULN|69RCR|8DMG
13	33113 24111	   	280.04	DCR|DCR|2VULN|1ASPD	1ERES|2RPLT|3BLASTR|4RCVC|57VULN|69RCR|8ASPD|aDUR
14	33163 24111	   	279.94	DCR|DCR|2VULN|1ASPD	14ERES|2RPLT|3BLASTR|57VULN|69RCR|8ASPD|aDUR
15	33113 24412	   	278.15	DCR|DCR|2VULN|1DMG	1ERES|2RPLT|3BLASTR|4RCVC|57VULN|69RCR|8DMG|aTBNT
16	33113 24414	   	278.15	DCR|DCR|2VULN|1DMG	1ERES|2RPLT|3BLASTR|4RCVC|57VULN|69RCR|8DMG|aFEWX
17	33113 24415	   	278.15	DCR|DCR|2VULN|1DMG	1ERES|2RPLT|3BLASTR|4aRCVC|57VULN|69RCR|8DMG
18	33163 24412	   	278.05	DCR|DCR|2VULN|1DMG	14ERES|2RPLT|3BLASTR|57VULN|69RCR|8DMG|aTBNT
19	33113 24113	   	276.93	DCR|DCR|2VULN|2RPLT|1ASPD	1ERES|2aRPLT|3BLASTR|4RCVC|57VULN|69RCR|8ASPD
20	23422 22461	   	276.90	DCR|DCR|2VULN|1DMG	13VULN|2BBNT|3BPWR|4CGEN|5DUR|6BEXP|79RCR|8NUKE|aDMG
21	33163 24113	   	276.83	DCR|DCR|2VULN|2RPLT|1ASPD	14ERES|2aRPLT|3BLASTR|57VULN|69RCR|8ASPD
22	23422 22261	   	276.75	DCR|DCR|2VULN|1DMG|1ZMB	13VULN|2BBNT|3BPWR|4CGEN|5DUR|6BEXP|79RCR|8ZMB|aDMG
23	21561 13342	 * 	274.88	DCR|4VULN|2DMG|2MLV	159aVULN|2TLV|39MLV|4AAC|6BBNT|79DMG|8RCR|9BPWR
24	23442 33342	   	274.88	DCR|4VULN|2DMG|2MLV	139aVULN|2BBNT|39BPWR|4DMSP|5BEXP|69MLV|79DMG|8RCR
25	23153 33342	   	274.78	DCR|4VULN|2DMG|2MLV	159aVULN|2BBNT|3DUST|4DMSP|69MLV|79DMG|8RCR|9BPWR
26	23163 33342	   	274.68	DCR|4VULN|2DMG|2MLV	159aVULN|2BBNT|34DUST|69MLV|79DMG|8RCR|9BPWR
27	21462 22362	   	274.37	ACR|DCR|3VULN|1MLV|1ASPD	17aVULN|2TLV|39RCR|4TBNT|5MLV|6CGEN|8ASPD
28	21462 12362	   	274.27	ACR|DCR|3VULN|1MLV|1ASPD	17aVULN|2TLV|39RCR|4TBNT|5MLV|6ERES|8ASPD
29	23422 22264	   	274.22	DCR|DCR|2VULN|1MLV|1ZMB	13VULN|2BBNT|3BPWR|4CGEN|5DUR|6BEXP|79RCR|8ZMB|aMLV
30	23462 22262	   	274.22	DCR|DCR|2VULN|1MLV|1ZMB	13VULN|2BBNT|3BPWR|4MLV|5DUR|6BEXP|79RCR|8ZMB|aRCVC
31	23462 22263	   	274.22	DCR|DCR|2VULN|1MLV|1ZMB	13VULN|2BBNT|3BPWR|4MLV|5DUR|6BEXP|79RCR|8ZMB|aBELT
32	21225 13162	 * 	272.93	ACR|DCR|2VULN|2MLV|1DMG	1aVULN|2TLV|3CGEN|49RCR|5DMG|68MLV|7TBNT
33	21511 13342	   	272.92	DCR|4VULN|2DMG|1MLV|1ASPD	159aVULN|29TLV|3MLV|4ASPD|6BBNT|79DMG|8RCR|9BPWR
34	33113 24112	   	271.74	DCR|DCR|2VULN|1ASPD	1ERES|2RPLT|3BLASTR|4RCVC|57VULN|69RCR|8ASPD|aTBNT
35	33113 24114	   	271.74	DCR|DCR|2VULN|1ASPD	1ERES|2RPLT|3BLASTR|4RCVC|57VULN|69RCR|8ASPD|aFEWX
36	33113 24115	   	271.74	DCR|DCR|2VULN|1ASPD	1ERES|2RPLT|3BLASTR|4aRCVC|57VULN|69RCR|8ASPD
37	33163 24112	   	271.64	DCR|DCR|2VULN|1ASPD	14ERES|2RPLT|3BLASTR|57VULN|69RCR|8ASPD|aTBNT
38	33163 24114	   	271.64	DCR|DCR|2VULN|1ASPD	14ERES|2RPLT|3BLASTR|57VULN|69RCR|8ASPD|aFEWX
39	33163 24115	   	271.64	DCR|DCR|2VULN|1ASPD	14ERES|2RPLT|3BLASTR|57VULN|69RCR|8ASPD|aRCVC
