0	Index      	 *	Score 	Summary	Detail	
1	21342 43362	 * 	286.33	DCR|DCR|2DMG|1VULN|1MLV|1ASPD	14DMG|2SNITOX|3FEWX|5ASPD|6MDPS|7aRCR|8MLV|9VULN
22	21342 45132	   	268.79	DCR|DCR|2DMG|1VULN|1ASPD	14DMG|2SNITOX|3FEWX|5ASPD|6MDPS|7VULN|8aRCR|9RMIN
23	24212 43333	   	268.49	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1ZMB	1DMG|2MDPS|3ZMB|4VULN|5BEXP|6SNIFST|79RCR|8MLV|aCDMG
24	24263 61132	   	263.52	DCR|DCR|2VULN|1DMG|1ZMB	1DMG|2MDPS|3ZMB|4MSLREG|5LWND|67VULN|8aRCR|9RMIN
25	24216 63132	   	263.42	DCR|DCR|2VULN|1DMG|1ZMB	1DMG|2MDPS|3ZMB|45VULN|6MSLREG|7aRCR|8DUST|9RMIN
26	22232 63252	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1DMG|2LHND|3LWND|4VULN|5NUKE|6MSLREG|7aRCR|8MLV|9DUR
27	63232 63252	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1LWND|2LHND|3DMG|4VULN|5NUKE|6MSLREG|7aRCR|8MLV|9DUR
28	21542 43332	   	262.54	DCR|DCR|2DMG|1MLV|1ASPD	14DMG|2SNITOX|3DUR|5ASPD|6MDPS|7aRCR|8MLV|9LWND
29	32413 12516	   	262.43	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2ASPD|3MDPS|4LWND|5BELT|6VULN|7MLV|8aRCR|9TLV
30	25524 31133	   	262.20	ACR|DCR|2VULN|2DMG|1RPLT	12DMG|37VULN|4BEXP|59RCR|6AAC|8AIRARM|aRPLT
31	25524 31333	   	262.20	ACR|DCR|2VULN|2DMG|1RPLT	12DMG|37VULN|4BEXP|59RCR|6AAC|8BASARM|aRPLT
32	21213 41235	   	259.51	DCR|DCR|1VULN|1DMG|1CDMG	1DMG|2SNITOX|36AAC|4VULN|5DUST|7DUR|89RCR|aCDMG
33	26213 41235	   	259.51	DCR|DCR|1VULN|1DMG|1CDMG	1DMG|2SPLARM|36AAC|4VULN|5DUST|7DUR|89RCR|aCDMG
34	21342 11235	   	258.66	DCR|DCR|2DMG|1ASPD|1CDMG	14DMG|2SNITOX|3FEWX|5ASPD|6DUST|7DUR|89RCR|aCDMG
35	26342 11235	   	258.66	DCR|DCR|2DMG|1ASPD|1CDMG	14DMG|2SPLARM|3FEWX|5ASPD|6DUST|7DUR|89RCR|aCDMG
