0	Index      	 *	Score 	Summary	Detail	
1	33131 51552	 * 	289.52	DCR|DCR|3VULN|1MLV	15BEXP|2MDPS|3MLV|4TBNT|67aVULN|89RCR
41	53232 12323	 * 	264.61	DCR|2VULN|3MLV|1DMG|1ASPD|1CDMG|1RPLT	1CGEN|268MLV|3DMG|4CDMG|56VULN|6BPWR|7ASPD|9RCR|aRPLT
42	53232 12431	   	264.34	DCR|3VULN|2MLV|1DMG|1ASPD|1CDMG	1aCGEN|26MLV|3DMG|4CDMG|568VULN|6BPWR|7ASPD|9RCR
43	53232 12432	   	264.34	DCR|3VULN|2MLV|1DMG|1ASPD|1CDMG	1CGEN|26MLV|3DMG|4CDMG|568VULN|6BPWR|7ASPD|9RCR|aBBNT
44	53232 12436	   	264.34	DCR|3VULN|2MLV|1DMG|1ASPD|1CDMG	1CGEN|26MLV|3DMG|4CDMG|568VULN|6BPWR|7ASPD|9RCR|aRMIN
45	53232 12434	   	264.24	DCR|3VULN|2MLV|1DMG|1ASPD|1CDMG|1SELL	1CGEN|26MLV|3DMG|4CDMG|568VULN|6BPWR|7ASPD|9RCR|aSELL
46	53232 12435	   	264.24	DCR|3VULN|2MLV|1DMG|1ASPD|1CDMG	1CGEN|26MLV|3DMG|4CDMG|568VULN|6BPWR|7ASPD|9RCR|aMBVNT
47	31234 74721	   	263.00	ACR|DCR|2VULN|1DMG|1ASPD|1AART	1BEXP|26RCR|3ASPD|4MBVNT|5LIT|79VULN|8DMG|aAART
48	61234 74721	   	263.00	ACR|DCR|2VULN|1DMG|1ASPD|1AART	1FEWX|26RCR|3ASPD|4MBVNT|5LIT|79VULN|8DMG|aAART
49	31223 21243	   	260.58	ACR|DCR|2VULN|2ASPD|2DUR	1BEXP|2aRCR|39ASPD|45VULN|6MDPS|78DUR
50	61223 21243	   	260.58	ACR|DCR|2VULN|2ASPD|2DUR	1FEWX|2aRCR|39ASPD|45VULN|6MDPS|78DUR
