0	Index      	 *	Score 	Summary	Detail	
1	33444 11213	 * 	341.68	ACR|DCR|2TLV|2VULN|1DMG|1AEBURN	18RCR|2AME|3AEBURN|4aTLV|56VULN|7BELT|9DMG
53	32242 11232	   	315.00	ACR|DCR|2TLV|2VULN|1CDMG	18RCR|2aERES|36VULN|45TLV|7BELT|9CDMG
54	31345 36311	 * 	314.27	ACR|4VULN|2TLV|1AEPOI|2DUR	1RCR|2AEPOI|36DUR|4RPLT|5678VULN|6BPWR|9aTLV
55	33243 11236	   	313.59	ACR|DCR|3VULN|1TLV|1CDMG	18RCR|2AME|36aVULN|4TLV|5AEFRZ|7BELT|9CDMG
56	32243 11236	   	313.49	ACR|DCR|3VULN|1TLV|1CDMG	18RCR|2ERES|36aVULN|4TLV|5AEFRZ|7BELT|9CDMG
57	33241 33223	   	312.68	ACR|DCR|2VULN|1TLV|2CDMG	19RCR|2AME|3aVULN|4TLV|5FRZICY|6aZMB|7FEWX|8aCDMG|aBPWR
58	33242 41211	   	311.82	ACR|DCR|2TLV|1VULN|1DMG|1AEPOI	18RCR|2AME|3VULN|45TLV|6AEPOI|7BELT|9DMG|aCGEN
59	33242 41212	   	311.82	ACR|DCR|2TLV|1VULN|1DMG|1AEPOI	18RCR|2AME|3VULN|45TLV|6AEPOI|7BELT|9DMG|aAAC
60	33242 41216	   	311.82	ACR|DCR|2TLV|1VULN|1DMG|1AEPOI	18RCR|2AME|3VULN|45TLV|6AEPOI|7BELT|9DMG|aLIT
61	33261 41213	   	311.82	ACR|DCR|2TLV|1VULN|1DMG|1AEPOI|1AEBURN	18RCR|2AME|3VULN|4AEPOI|5AEBURN|6aTLV|7BELT|9DMG
62	32242 41211	   	311.72	ACR|DCR|2TLV|1VULN|1DMG|1AEPOI	18RCR|2ERES|3VULN|45TLV|6AEPOI|7BELT|9DMG|aCGEN
63	32242 41212	   	311.72	ACR|DCR|2TLV|1VULN|1DMG|1AEPOI	18RCR|2ERES|3VULN|45TLV|6AEPOI|7BELT|9DMG|aAAC
64	32242 41213	   	311.72	ACR|DCR|2TLV|1VULN|1DMG|1AEPOI	18RCR|2ERES|3VULN|45TLV|6AEPOI|7BELT|9DMG|aAME
65	32242 41216	   	311.72	ACR|DCR|2TLV|1VULN|1DMG|1AEPOI	18RCR|2ERES|3VULN|45TLV|6AEPOI|7BELT|9DMG|aLIT
66	33242 41234	   	311.72	ACR|DCR|2TLV|1VULN|1AEPOI|2CDMG	18RCR|2AME|3VULN|45TLV|6AEPOI|7BELT|9aCDMG
67	33243 41213	   	311.72	ACR|DCR|2TLV|1VULN|1DMG|1AEPOI	18RCR|2AME|3VULN|4aTLV|5AEFRZ|6AEPOI|7BELT|9DMG
