0	Index      	 *	Score 	Summary	Detail	
1	21151 63325	 * 	326.10	ACR|ACR|2TLV|2VULN|2RAT|1AART	1aTLV|2AART|35RCR|4LHND|6aVULN|7DUST|8ERES|9aRAT|aBPWR
58	21151 33453	   	302.56	ACR|ACR|2TLV|1VULN|1DMG|1AART|1MSE	16TLV|2AART|35RCR|4LHND|7DMG|8LSRREG|9VULN|aMSE
59	21161 65321	   	301.11	ACR|ACR|2TLV|1VULN|1AEBURN|1ASPD|1AART|1MSE	1aTLV|2AART|35RCR|4MSE|6VULN|7RCVC|8AEBURN|9ASPD
60	21161 33561	   	301.01	ACR|ACR|3TLV|1VULN|1DMG|1AART|1MSE	16aTLV|2AART|35RCR|4MSE|7DMG|8MDPS|9VULN
61	21111 22455	   	300.00	ACR|ACR|2VULN|1TLV|1ASPD|1AART	1TLV|2AART|35RCR|4FEWX|6BEXP|7BELT|8ASPD|9aVULN
62	41151 31342	   	300.00	ACR|ACR|2VULN|1TLV|1CDMG|1AART	1CGEN|2AART|35RCR|4LHND|6TLV|7CDMG|8aVULN|9LWND
63	21122 33563	 * 	299.90	ACR|DCR|2VULN|1TLV|1ASPD|1AART	1TLV|2AART|3aRCR|4ASPD|5RMIN|6MBVNT|79VULN|8BELT
64	21151 62327	   	299.90	ACR|ACR|2VULN|1TLV|1CDMG|1AART	1TLV|2AART|35RCR|4LHND|6aVULN|7FEWX|8CDMG|9MBVNT
65	21161 33166	 * 	299.85	ACR|ACR|3TLV|2DMG|2DUR|1AART|1MSE	16aTLV|2AART|35RCR|4MSE|7aDMG|8aDUR|9BELT|aBPWR
66	21151 32211	   	299.85	ACR|ACR|2TLV|1VULN|2AART	16TLV|28AART|35RCR|49LHND|7ZMB|aVULN
67	21151 62221	   	299.30	ACR|ACR|2TLV|1VULN|1AART	1aTLV|2AART|35RCR|4LHND|6VULN|7FEWX|8DUR|9ZMB
68	21151 31633	   	299.30	ACR|ACR|2TLV|1VULN|1AART	16TLV|2AART|35RCR|4LHND|7RAT|8LIT|9DUR|aVULN
69	21151 33321	   	298.62	ACR|ACR|2TLV|1DMG|1AEBURN|1ASPD|1AART	16TLV|2AART|35RCR|4LHND|7DMG|8ERES|9ASPD|aAEBURN
70	21161 31231	   	298.20	ACR|ACR|3TLV|1VULN|2AART|1MSE	169TLV|2aAART|35RCR|4MSE|7RAT|8VULN
71	21161 61232	   	297.25	ACR|ACR|2TLV|2VULN|1AART|1MSE	1aTLV|2AART|35RCR|4MSE|69VULN|7LIT|8TSLARM
72	21161 36112	   	297.15	ACR|ACR|2TLV|2VULN|1AART|2MSE	16TLV|2AART|35RCR|47MSE|8aVULN|9BEXP
73	21151 62311	   	297.15	ACR|ACR|1TLV|1VULN|1DMG|1CDMG|1AART	1TLV|2AART|35RCR|4LHND|6VULN|7FEWX|8CDMG|9DMG|aZMB
74	41151 31323	   	297.15	ACR|ACR|1TLV|1VULN|1AEFBLL|1CDMG|1AART	1CGEN|2AART|35RCR|4LHND|6TLV|7CDMG|8VULN|9FRZICY|aAEFBLL
75	21111 11662	   	296.52	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG|1AART	1TLV|2AART|35RCR|4FEWX|6MDPS|7AEFBLL|8DMG|9VULN|aLHND
76	21111 11663	   	296.52	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG|1AART	1TLV|2AART|35RCR|4FEWX|6MDPS|7AEFBLL|8DMG|9VULN|aBEXP
77	21151 11662	   	296.52	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG|1AART	1TLV|2AART|35RCR|4aLHND|6MDPS|7AEFBLL|8DMG|9VULN
78	21151 61213	   	296.52	ACR|ACR|1TLV|1VULN|1DMG|1AEBURN|1AART	1TLV|2AART|35RCR|4LHND|6VULN|7LIT|8VENFST|9AEBURN|aDMG
79	21151 64233	   	296.52	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG|1AART	1TLV|2AART|35RCR|4LHND|6VULN|7CGEN|8DMG|9BASICY|aAEFBLL
80	41111 11661	   	296.52	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG|1AART	1CGEN|2AART|35RCR|4FEWX|6MDPS|7AEFBLL|8DMG|9VULN|aTLV
81	21151 61312	   	296.46	ACR|ACR|2VULN|1TLV|2AART	1TLV|2aAART|35RCR|4LHND|69VULN|7LIT|8AETHUN
82	21151 61363	   	296.46	ACR|ACR|2VULN|1TLV|2AART	1TLV|29AART|35RCR|4LHND|6aVULN|7LIT|8AETHUN
83	21111 11664	   	296.42	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG|1AART	1TLV|2AART|35RCR|4FEWX|6MDPS|7AEFBLL|8DMG|9VULN|aDUST
84	41151 31312	   	296.35	ACR|ACR|2TLV|1VULN|1CDMG|1AART	1CGEN|2AART|35RCR|4aLHND|69TLV|7CDMG|8VULN
85	41151 31313	   	296.35	ACR|ACR|2TLV|1VULN|1CDMG|1AART	1CGEN|2AART|35RCR|4LHND|69TLV|7CDMG|8VULN|aBEXP
86	41151 31315	   	296.35	ACR|ACR|2TLV|1VULN|1CDMG|1AART	1CGEN|2AART|35RCR|4LHND|69TLV|7CDMG|8VULN|aDMSP
87	21111 35461	   	296.35	ACR|ACR|3TLV|1VULN|1AART	168TLV|2AART|35RCR|48FEWX|78ERES|8BPWR|9VULN|aAME
88	21111 35462	   	296.35	ACR|ACR|3TLV|1VULN|1AART	168TLV|2AART|35RCR|48FEWX|78ERES|8BPWR|9VULN|aLWND
89	21111 35463	   	296.35	ACR|ACR|3TLV|1VULN|1AART	168TLV|2AART|35RCR|48FEWX|78ERES|8BPWR|9VULN|aRPLT
90	21151 62321	   	296.25	ACR|ACR|2TLV|1VULN|1CDMG|1AART	1aTLV|2AART|35RCR|4LHND|6VULN|7FEWX|8CDMG|9MBVNT
91	41151 31311	   	296.25	ACR|ACR|2TLV|1VULN|1CDMG|1AART	1CGEN|2AART|35RCR|4LHND|69TLV|7CDMG|8VULN|aDUST
92	41151 31314	   	296.25	ACR|ACR|2TLV|1VULN|1CDMG|1AART	1CGEN|2AART|35RCR|4LHND|69TLV|7CDMG|8VULN|aERES
93	41151 31316	   	296.25	ACR|ACR|2TLV|1VULN|1CDMG|1AART	1CGEN|2AART|35RCR|4LHND|69TLV|7CDMG|8VULN|aLSRREG
