0	Index      	 *	Score 	Summary	Detail	
1	26534 33311	 * 	295.68	DCR|DCR|1VULN|1TLV|1MLV|1CDMG|2SELL	1VENFST|24SELL|3TLV|5MLV|69RCR|7CDMG|8DUR|aVULN
20	11246 32331	   	268.71	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2MDPS|3VULN|4DUST|5LWND|6RAT|7aRCR|8ASPD|9TLV
21	11343 22331	   	268.71	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2MDPS|3LWND|4DUST|5RAT|6VULN|7aRCR|8ASPD|9TLV
22	11345 32331	   	268.71	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2MDPS|3LWND|4DUST|5VULN|6RAT|7aRCR|8ASPD|9TLV
23	11351 42331	   	268.71	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2MDPS|3LWND|4RAT|5VULN|6DUST|7aRCR|8ASPD|9TLV
24	11521 42331	   	268.71	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2MDPS|3RAT|4LWND|5VULN|6DUST|7aRCR|8ASPD|9TLV
25	11133 22331	   	268.61	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2MDPS|3BEXP|4LEGI|5RAT|6VULN|7aRCR|8ASPD|9TLV
26	11135 32331	   	268.61	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2MDPS|3BEXP|4LEGI|5VULN|6RAT|7aRCR|8ASPD|9TLV
27	11143 22331	   	268.61	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2MDPS|3BEXP|4DUST|5RAT|6VULN|7aRCR|8ASPD|9TLV
28	11145 32331	   	268.61	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2MDPS|3BEXP|4DUST|5VULN|6RAT|7aRCR|8ASPD|9TLV
29	11151 42331	   	268.61	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2MDPS|3BEXP|4RAT|5VULN|6DUST|7aRCR|8ASPD|9TLV
30	55243 22331	   	268.61	DCR|DCR|1VULN|1TLV|1ASPD	1AETHUN|2BEXP|3LWND|4MDPS|5RAT|6VULN|7aRCR|8ASPD|9TLV
31	61136 32331	   	268.61	DCR|DCR|1VULN|1TLV|1ASPD	1VULN|2MDPS|3BEXP|4LEGI|5LWND|6RAT|7aRCR|8ASPD|9TLV
32	61146 32331	   	268.61	DCR|DCR|1VULN|1TLV|1ASPD	1VULN|2MDPS|3BEXP|4DUST|5LWND|6RAT|7aRCR|8ASPD|9TLV
33	61133 42331	   	268.51	DCR|DCR|1VULN|1TLV|1ASPD	1VULN|2MDPS|3BEXP|4LEGI|5RAT|6DUST|7aRCR|8ASPD|9TLV
34	62421 33216	 * 	268.07	ACR|3VULN|2MLV|1TLV|2ASPD|1CDMG	14aVULN|2RPLT|3aASPD|5RCR|6CDMG|7TLV|8TBNT|9aMLV|aBPWR
35	31342 34521	 * 	267.10	DCR|DCR|1VULN|1DMG|1AAC	1AART|2AAC|3DMG|4DUR|5CGEN|6BLAICY|79RCR|8VULN|aLHND
36	31342 34523	   	267.10	DCR|DCR|1VULN|1DMG|1AAC	1AART|2AAC|3DMG|4DUR|5aCGEN|6BLAICY|79RCR|8VULN
37	31342 34522	   	267.00	DCR|DCR|1VULN|1DMG|1AAC	1AART|2AAC|3DMG|4DUR|5CGEN|6BLAICY|79RCR|8VULN|aLEGI
