0	Index      	 *	Score 	Summary	Detail	
1	15161 51233	 * 	271.15	ACR|DCR|4VULN|2DUR	12DUR|37RCR|468aVULN|56CGEN|6BPWR|9DUST
24	15161 41113	   	248.61	ACR|DCR|2VULN|3DUR|1ASPD	126DUR|38RCR|47VULN|579CGEN|7BPWR|aASPD
25	15161 41123	   	248.51	ACR|DCR|2VULN|3DUR|1ASPD	126DUR|38RCR|47VULN|57CGEN|7BPWR|9AELOIC|aASPD
26	15161 51321	   	247.48	ACR|DCR|2VULN|1MLV|2DUR	12DUR|37RCR|46VULN|569CGEN|6BPWR|8MLV|aAAC
27	15161 51322	   	247.48	ACR|DCR|2VULN|1MLV|2DUR	12DUR|37RCR|46VULN|569CGEN|6BPWR|8MLV|aLWND
28	15161 51323	   	247.48	ACR|DCR|2VULN|1MLV|2DUR	12DUR|37RCR|46VULN|569CGEN|6BPWR|8MLV|aDMSP
29	15161 51311	   	247.28	ACR|DCR|2VULN|1MLV|2DUR|1ZMB	12DUR|37RCR|46VULN|56CGEN|6BPWR|8MLV|9ZMB|aBBNT
30	15161 51312	   	247.28	ACR|DCR|2VULN|1MLV|2DUR|1ZMB	12DUR|37RCR|46VULN|56CGEN|6BPWR|8MLV|9ZMB|aTSLARM
31	15112 32156	 * 	246.25	ACR|DCR|1VULN|3DUR|1DMG|1MLV	125DUR|38RCR|47LWND|6MLV|9VULN|aDMG
32	22353 15323	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1TLV|2LHND|3TBNT|4DLOT|5MLV|6LWND|79RCR|8AART|aVULN
33	42353 15323	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LHND|2TLV|3TBNT|4DLOT|5MLV|6LWND|79RCR|8AART|aVULN
34	23124 23431	   	243.70	DCR|DCR|2VULN	15TLV|2RCVC|3ERES|46VULN|7aRCR|8AAC|9FLTFST
35	23264 13351	   	243.70	DCR|DCR|1VULN|2ASPD	1TLV|2RCVC|35ASPD|47CGEN|6VULN|8MSLTOX|9aRCR
36	23121 24151	   	243.70	DCR|DCR|1VULN|2ASPD	16TLV|28RCVC|3ERES|4VULN|56ASPD|6BPWR|7BLAICY|9aRCR
37	23125 23431	   	243.60	DCR|DCR|2VULN	1TLV|2RCVC|35ERES|46VULN|7aRCR|8AAC|9FLTFST
38	23615 23431	   	243.60	DCR|DCR|2VULN	1TLV|2RCVC|36VULN|4AELOIC|5ERES|7aRCR|8AAC|9FLTFST
39	23115 12351	   	243.60	DCR|DCR|1VULN|2ASPD	1TLV|27RCVC|3ERES|4FRZFST|56ASPD|8VULN|9aRCR
40	23115 16151	   	243.60	DCR|DCR|1VULN|2ASPD	1TLV|28RCVC|3ERES|4FRZFST|56ASPD|7VULN|9aRCR
41	23165 12351	   	243.60	DCR|DCR|1VULN|2ASPD	1TLV|27RCVC|3ERES|4VENFST|56ASPD|8VULN|9aRCR
42	23215 42351	   	243.60	DCR|DCR|1VULN|2ASPD	1TLV|27RCVC|35ASPD|4CANARM|6ERES|8VULN|9aRCR
43	23224 14151	   	243.60	DCR|DCR|1VULN|2ASPD	1TLV|28RCVC|35ASPD|4ERES|6VULN|7BLAICY|9aRCR
44	23224 15351	   	243.60	DCR|DCR|1VULN|2ASPD	17TLV|2RCVC|35ASPD|4ERES|6VULN|8MSLTOX|9aRCR
45	15161 51112	   	243.50	ACR|DCR|2VULN|2DUR|1CDMG	12DUR|37RCR|46VULN|56CGEN|6BPWR|8LEGI|9CDMG|aTBNT
46	15161 51113	   	243.50	ACR|DCR|2VULN|2DUR|1CDMG	12DUR|37RCR|46VULN|56CGEN|6BPWR|8LEGI|9CDMG|aLWND
47	23126 14151	   	243.45	DCR|DCR|2VULN|1ZMB	1TLV|28RCVC|3ERES|45VULN|6ZMB|7BLAICY|9aRCR
48	23126 15351	   	243.45	DCR|DCR|2VULN|1ZMB	17TLV|2RCVC|3ERES|45VULN|6ZMB|8MSLTOX|9aRCR
49	13332 63178	   	243.33	DCR|DCR|1VULN|1MLV	1DUR|2LWND|3BEXP|4MLV|5VULN|6TLV|7MBVNT|8ERES|9aRCR
50	46215 14232	   	242.09	ACR|DCR|2VULN|1MLV|1AART	1LHND|2MBVNT|3LWND|4AAC|5aRCR|67VULN|8AART|9MLV
51	15112 32153	 * 	241.79	ACR|DCR|2MLV|1VULN|3DUR	125DUR|38RCR|47LWND|6aMLV|9VULN
