0	Index      	 *	Score 	Summary	Detail	
1	52151 31261	 * 	279.46	DCR|DCR|2VULN|1MLV|1ASPD|1ZMB	1ZMB|25VULN|3FEWX|4TBNT|6MLV|7aRCR|8SPLJET|9ASPD
16	12153 12553	   	258.19	DCR|DCR|2VULN|1AART	1aVULN|2BBNT|3LIT|4FEWX|5AAC|6ERES|78RCR|9AART
17	12133 12521	 * 	258.10	DCR|DCR|2DMG|1VULN	1VULN|2BBNT|3LIT|4BEXP|5AAC|6ERES|78RCR|9aDMG
18	12153 12521	   	258.10	DCR|DCR|2DMG|1VULN	1VULN|2BBNT|3LIT|4FEWX|5AAC|6ERES|78RCR|9aDMG
19	12163 12553	   	258.09	DCR|DCR|2VULN|1AART	1aVULN|2BBNT|3LIT|4DUST|5AAC|6ERES|78RCR|9AART
20	12163 12521	   	258.00	DCR|DCR|2DMG|1VULN	1VULN|2BBNT|3LIT|4DUST|5AAC|6ERES|78RCR|9aDMG
21	35643 14418	   	257.70	DCR|DCR|1VULN|1DMG|1MLV|1SELL	1CGEN|2BBNT|3MBVNT|4SELL|5MLV|69RCR|7MULHEA|8VULN|aDMG
22	13114 45231	   	256.83	DCR|DCR|2VULN	1aVULN|2LWND|3DUST|4DUR|5LIT|6BBNT|7TBNT|89RCR
23	11331 31261	   	255.71	DCR|DCR|1VULN|1ASPD|1CDMG|1SELL	1VULN|2AME|3DUR|4SELL|5BBNT|6CDMG|7aRCR|8SPLJET|9ASPD
24	42233 23533	 * 	255.29	DCR|4VULN|3ASPD|3ZMB	1RMIN|289aVULN|39aZMB|4BEXP|5LIT|69aASPD|7RCR|9aBPWR
25	26622 16313	   	254.80	DCR|4VULN|3ASPD|1CDMG|2SELL	15SELL|2AAC|3679VULN|467ASPD|67BPWR|8RCR|aCDMG
26	43212 11623	   	252.07	DCR|DCR|1VULN|1ASPD|1RPLT	1RMIN|2ASPD|3MDPS|4DUR|5LHND|6VULN|7aRCR|8BEXP|9RPLT
27	43216 11623	   	252.07	DCR|DCR|1VULN|1ASPD|1RPLT	1RMIN|2ASPD|3MDPS|4DUR|5LWND|6VULN|7aRCR|8BEXP|9RPLT
28	55121 31261	   	251.39	DCR|DCR|1VULN|1MLV|1ASPD|1ZMB	1ZMB|2BBNT|34BEXP|5VULN|6MLV|7aRCR|8SPLJET|9ASPD
29	14233 32353	   	251.29	DCR|DCR|1VULN|1MLV|1CDMG|1SELL	1VULN|2LHND|3MLV|4SELL|5AME|6CDMG|7ERES|8aRCR|9RCVC
30	13231 31211	   	251.29	DCR|DCR|1VULN|1MLV|1CDMG|1SELL	1VULN|2LWND|3MLV|4SELL|5BBNT|6CDMG|7aRCR|8SPLJET|9NUKE
31	14231 31211	   	251.29	DCR|DCR|1VULN|1MLV|1CDMG|1SELL	1VULN|2LHND|3MLV|4SELL|5BBNT|6CDMG|7aRCR|8SPLJET|9NUKE
32	25351 31211	   	251.29	DCR|DCR|1VULN|1MLV|1CDMG|1SELL	1SELL|2VULN|3LWND|4MLV|5BBNT|6CDMG|7aRCR|8SPLJET|9NUKE
33	25631 31211	   	251.29	DCR|DCR|1VULN|1MLV|1CDMG|1SELL	1SELL|2VULN|3TBNT|4BEXP|5CDMG|6MLV|7aRCR|8SPLJET|9NUKE
34	25661 31211	   	251.29	DCR|DCR|1VULN|1MLV|1CDMG|1SELL	1SELL|2VULN|3TBNT|4LHND|5CDMG|6MLV|7aRCR|8SPLJET|9NUKE
35	16231 31211	   	251.19	DCR|DCR|1VULN|1MLV|1CDMG|1SELL	1VULN|2LEGI|3MLV|4SELL|5BBNT|6CDMG|7aRCR|8SPLJET|9NUKE
36	16233 32353	   	251.19	DCR|DCR|1VULN|1MLV|1CDMG|1SELL	1VULN|2LEGI|3MLV|4SELL|5AME|6CDMG|7ERES|8aRCR|9RCVC
37	25641 31211	   	251.19	DCR|DCR|1VULN|1MLV|1CDMG|1SELL	1SELL|2VULN|3TBNT|4DUST|5CDMG|6MLV|7aRCR|8SPLJET|9NUKE
38	24636 31323	 * 	250.65	ACR|DCR|1VULN|1DMG|2CDMG|1AART|1RPLT|1SELL	1SELL|2aRCR|3VULN|4RPLT|56CDMG|7AME|8AART|9DMG
39	12324 32164	   	250.27	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2BBNT|3LWND|4DMG|5FEWX|6TBNT|7RPLT|8AAC|9aRCR
40	12133 12523	   	250.17	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2BBNT|3LIT|4BEXP|5AAC|6ERES|78RCR|9DMG|aRPLT
41	12153 12523	   	250.17	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2BBNT|3LIT|4FEWX|5AAC|6ERES|78RCR|9DMG|aRPLT
42	12322 62164	   	250.17	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2BBNT|3LWND|4DMG|5TBNT|6DUST|7RPLT|8AAC|9aRCR
43	12123 61266	   	250.07	DCR|DCR|1VULN|1DMG|1AART	1VULN|2BBNT|3LIT|4CANSTR|5AART|6CGEN|7ERES|89RCR|aDMG
44	12163 12523	   	250.07	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2BBNT|3LIT|4DUST|5AAC|6ERES|78RCR|9DMG|aRPLT
45	12325 53335	   	250.03	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1VULN|2BBNT|3LWND|4DMG|5LIT|6LHND|7aRCR|8AART|9ZMB
46	13622 23662	   	249.97	DCR|DCR|1VULN|1DMG|1AART	1VULN|25LWND|345ERES|5BPWR|6MDPS|7aRCR|8AART|9DMG
47	23215 32152	   	249.93	DCR|DCR|1VULN|1DMG|1RPLT|1SELL	1SELL|2RPLT|3DMG|4CGEN|5LIT|6MDPS|79RCR|8LWND|aVULN
48	23215 32252	   	249.93	DCR|DCR|1VULN|1DMG|1RPLT|1SELL	1SELL|2RPLT|3DMG|4CGEN|5LIT|6MDPS|79RCR|8LHND|aVULN
