0	Index      	 *	Score 	Summary	Detail	
1	11234 12335	 * 	284.64	DCR|DCR|2VULN|1MLV|1CDMG|1AART	1SNITOX|24VULN|3MLV|5AART|6CDMG|7LIT|8aRCR|9RMIN
27	52253 12212	   	261.23	DCR|DCR|2VULN|1MLV	1MLV|2FEWX|34VULN|5MDPS|6LHND|7ERES|8aRCR|9LIT
28	41262 25212	   	261.13	DCR|DCR|2VULN|1MLV	13VULN|2ERES|4MLV|5LHND|6DUST|7MDPS|8aRCR|9LIT
29	51252 25212	   	261.13	DCR|DCR|2VULN|1MLV	1MLV|2LWND|34VULN|5AME|6DUST|7MDPS|8aRCR|9LIT
30	52252 25212	   	261.13	DCR|DCR|2VULN|1MLV	1MLV|2FEWX|34VULN|5AME|6DUST|7MDPS|8aRCR|9LIT
31	45131 52331	   	259.75	DCR|DCR|1VULN|2DUR|1ASPD|1CDMG	1VULN|2ASPD|3CDMG|4TBNT|59DUR|6VENICY|7LWND|8aRCR
32	54131 35212	   	259.04	DCR|DCR|2MLV|1VULN	12MLV|2BPWR|3LWND|4CGEN|5DUR|6VULN|7MDPS|8aRCR|9LIT
33	54331 25212	   	258.94	DCR|DCR|2MLV|1VULN	12MLV|2BPWR|3VULN|4CGEN|5DUR|6DUST|7MDPS|8aRCR|9LIT
34	54342 12212	   	258.94	DCR|DCR|2MLV|1VULN	12MLV|2BPWR|3VULN|4MDPS|5DUR|6LHND|7ERES|8aRCR|9LIT
35	22632 21212	   	258.65	DCR|DCR|2VULN|2DUR	17DUR|2FEWX|3MDPS|45VULN|6BEXP|8aRCR|9LIT
36	22632 61212	   	258.65	DCR|DCR|2VULN|2DUR	17DUR|2FEWX|3MDPS|45VULN|6LWND|8aRCR|9LIT
37	42622 41212	   	258.65	DCR|DCR|2VULN|2DUR	15VULN|2FEWX|3MDPS|4BEXP|67DUR|8aRCR|9LIT
38	42635 21212	   	258.65	DCR|DCR|2VULN|2DUR	14VULN|2FEWX|3MDPS|57DUR|6BEXP|8aRCR|9LIT
39	41261 33112	   	258.60	DCR|4VULN|2MLV|2DUR|1CDMG	1367VULN|2ERES|47MLV|57DUR|7BPWR|8CGEN|9CDMG|aRCR
40	32153 13146	 * 	258.58	ACR|DCR|2DMG|2ASPD|2CDMG|1AART	1AART|2BELT|3aDMG|4DUR|57RCR|6aASPD|8aCDMG|9AAC|aBPWR
41	11361 12335	   	258.44	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1SNITOX|2VULN|3AART|4RCVC|5MLV|6CDMG|7LIT|8aRCR|9RMIN
42	44331 12335	   	258.44	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1VULN|2AART|3AELOIC|4MLV|5FLTARM|6CDMG|7LIT|8aRCR|9RMIN
43	32233 53224	   	258.37	ACR|DCR|2VULN|1DMG|1ASPD|1AART	1AART|2BELT|3LHND|47RCR|5BEXP|6ASPD|8DMG|9aVULN
44	32153 13543	   	258.00	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1AART	1AART|2BELT|3DMG|4DUR|57RCR|6ASPD|8MLV|9CGEN|aVULN
45	32153 13426	   	257.90	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1AART	1AART|2BELT|3DMG|4DUR|57RCR|6ASPD|8DUST|9VULN|aMLV
46	32153 13563	   	257.90	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1AART	1AART|2BELT|3DMG|4DUR|57RCR|6ASPD|8MLV|9AME|aVULN
47	11521 36331	   	257.20	DCR|DCR|2VULN|1CDMG|1ZMB	1SNITOX|29VULN|3BEXP|4BBNT|5LWND|6CDMG|7ZMB|8aRCR
48	11524 36331	   	257.20	DCR|DCR|2VULN|1CDMG|1ZMB	1SNITOX|29VULN|3BEXP|4BBNT|5FEWX|6CDMG|7ZMB|8aRCR
49	42224 36331	   	257.20	DCR|DCR|2VULN|1CDMG|1ZMB	19VULN|2FEWX|3BEXP|4TBNT|5BLASTR|6CDMG|7ZMB|8aRCR
50	11621 51351	   	256.90	DCR|DCR|2VULN|1ASPD|1SELL	1SNITOX|29VULN|357ERES|4SELL|6ASPD|8aRCR
51	51251 53123	   	256.29	DCR|4VULN|2MLV|2ASPD	17MLV|2LWND|3457VULN|67ASPD|7BPWR|8CGEN|9RCR|aLHND
52	51251 53121	   	256.19	DCR|4VULN|2MLV|2ASPD	17MLV|2LWND|3457VULN|67ASPD|7BPWR|8CGEN|9RCR|aDUST
53	32151 25122	   	254.71	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1AART|2BELT|3DMG|4DUR|5MGNSTR|68RCR|7CDMG|9CGEN|aMLV
