0	Index      	 *	Score 	Summary	Detail	
1	46334 23322	 * 	290.50	DCR|DCR|1VULN|2MLV|2RPLT|1CDMG	1CDMG|23RPLT|4TBNT|57MLV|68RCR|9DUR|aVULN
16	31322 35133	   	276.11	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1FEWX|2TLV|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aBEXP
17	31322 35135	   	276.11	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1FEWX|2aTLV|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR
18	35322 35133	   	276.11	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1FEWX|2CGEN|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aBEXP
19	35322 35135	   	276.11	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1FEWX|2CGEN|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aTLV
20	31322 35132	   	276.01	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1FEWX|2TLV|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aMDPS
21	31322 35134	   	276.01	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1MSE	1FEWX|2TLV|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aMSE
22	35322 35132	   	276.01	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1FEWX|2CGEN|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aMDPS
23	35322 35134	   	276.01	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1MSE	1FEWX|2CGEN|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aMSE
24	35322 35136	   	276.01	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1FEWX|2CGEN|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aDUST
25	63322 35336	   	276.01	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1TLV|2DUST|3RPLT|4VULN|5DMG|6MLV|79RCR|8BEXP|aDUR
26	34322 35133	   	276.01	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1FEWX|2AME|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aBEXP
27	34322 35135	   	276.01	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1FEWX|2AME|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aTLV
28	63322 35133	   	276.01	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1TLV|2DUST|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aFEWX
29	63322 35135	   	276.01	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1aTLV|2DUST|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR
30	26342 35133	   	275.91	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1ERES|2VULN|3RPLT|4DUST|5DMG|6MLV|79RCR|8DUR|aFEWX
31	34322 35132	   	275.91	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1FEWX|2AME|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aMDPS
32	34322 35134	   	275.91	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1MSE	1FEWX|2AME|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aMSE
33	34322 35136	   	275.91	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1FEWX|2AME|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aDUST
34	63322 35132	   	275.91	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1TLV|2DUST|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aMDPS
35	63322 35134	   	275.91	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1MSE	1TLV|2DUST|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aMSE
36	26342 35132	   	275.81	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1ERES|2VULN|3RPLT|4DUST|5DMG|6MLV|79RCR|8DUR|aMDPS
37	46334 21322	   	274.89	DCR|DCR|1VULN|1MLV|2RPLT|1CDMG	1CDMG|23RPLT|4TBNT|5MLV|68RCR|7RCVC|9DUR|aVULN
38	51513 24633	 * 	274.49	DCR|DCR|2VULN|2ASPD|1SELL	1DMSP|27VULN|3SELL|4MBVNT|57ASPD|6TBNT|7BPWR|89RCR|aRMIN
39	51513 24634	 * 	274.49	DCR|DCR|2VULN|2ASPD|1SELL	1DMSP|27VULN|3SELL|4MBVNT|57ASPD|6TBNT|7BPWR|89RCR|aFEWX
40	51513 44633	 * 	274.49	DCR|DCR|2VULN|2ASPD|1SELL	1DMSP|27VULN|3SELL|4MBVNT|57ASPD|6BBNT|7BPWR|89RCR|aRMIN
41	51513 44634	 * 	274.49	DCR|DCR|2VULN|2ASPD|1SELL	1DMSP|27VULN|3SELL|4MBVNT|57ASPD|6BBNT|7BPWR|89RCR|aFEWX
42	51513 24632	 * 	274.39	DCR|DCR|2VULN|2ASPD|1SELL|1MSE	1DMSP|27VULN|3SELL|4MBVNT|57ASPD|6TBNT|7BPWR|89RCR|aMSE
43	51513 44632	 * 	274.39	DCR|DCR|2VULN|2ASPD|1SELL|1MSE	1DMSP|27VULN|3SELL|4MBVNT|57ASPD|6BBNT|7BPWR|89RCR|aMSE
44	12623 11112	   	274.27	DCR|DCR|2VULN|1MLV	1LIT|2SPLJET|35VULN|4TLV|6MLV|7TSLFST|8aRCR|9DUR
45	16623 11112	   	274.27	DCR|DCR|2VULN|1MLV	1LIT|2BASARM|35VULN|4TLV|6MLV|7TSLFST|8aRCR|9DUR
46	12663 11112	   	274.17	DCR|DCR|2VULN|1MLV	1LIT|2SPLJET|35VULN|4ERES|6MLV|7TSLFST|8aRCR|9DUR
47	16663 11112	   	274.17	DCR|DCR|2VULN|1MLV	1LIT|2BASARM|35VULN|4ERES|6MLV|7TSLFST|8aRCR|9DUR
48	26312 25331	   	270.85	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1RPLT	1ERES|2VULN|3RPLT|4ASPD|5MLV|6DUST|79RCR|8BEXP|aAART
49	26312 25133	   	269.50	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1ERES|2VULN|3RPLT|4ASPD|5MLV|6DUST|79RCR|8DUR|aFEWX
50	26312 25135	   	269.50	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1ERES|2VULN|3RPLT|4ASPD|5MLV|6DUST|79RCR|8DUR|aTLV
51	26312 25132	   	269.40	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1ERES|2VULN|3RPLT|4ASPD|5MLV|6DUST|79RCR|8DUR|aMDPS
52	26312 25134	   	269.40	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT|1MSE	1ERES|2VULN|3RPLT|4ASPD|5MLV|6DUST|79RCR|8DUR|aMSE
53	26312 25136	   	269.40	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1ERES|2VULN|3RPLT|4ASPD|5MLV|6aDUST|79RCR|8DUR
54	51223 27414	   	268.59	DCR|DCR|2VULN|1DMG	1DMSP|27VULN|3LWND|4DMG|5MBVNT|69FEWX|8aRCR
55	51223 31434	   	268.49	DCR|DCR|2VULN|1DMG	1DMSP|26VULN|39LWND|4DMG|5MBVNT|7DUST|8aRCR
56	51223 77434	   	268.49	DCR|DCR|2VULN|1DMG	1DMSP|27VULN|39LWND|4DMG|5MBVNT|6DUST|8aRCR
57	35322 35633	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1aFEWX|2CGEN|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUST
58	63322 35333	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1TLV|2DUST|3RPLT|4VULN|5DMG|6MLV|79RCR|8BEXP|aFEWX
59	63322 35335	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1aTLV|2DUST|3RPLT|4VULN|5DMG|6MLV|79RCR|8BEXP
60	26342 35333	   	267.61	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1ERES|2VULN|3RPLT|4DUST|5DMG|6MLV|79RCR|8BEXP|aFEWX
61	35322 35632	   	267.61	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1FEWX|2CGEN|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUST|aMDPS
62	63322 35332	   	267.61	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1TLV|2DUST|3RPLT|4VULN|5DMG|6MLV|79RCR|8BEXP|aMDPS
63	63322 35334	   	267.61	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1MSE	1TLV|2DUST|3RPLT|4VULN|5DMG|6MLV|79RCR|8BEXP|aMSE
64	26342 35332	   	267.51	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1ERES|2VULN|3RPLT|4DUST|5DMG|6MLV|79RCR|8BEXP|aMDPS
65	12623 11122	   	265.96	DCR|DCR|2VULN|1MLV	1LIT|2SPLJET|35VULN|4TLV|6MLV|7TSLFST|8aRCR|9LHND
66	16623 11122	   	265.96	DCR|DCR|2VULN|1MLV	1LIT|2BASARM|35VULN|4TLV|6MLV|7TSLFST|8aRCR|9LHND
67	12663 11122	   	265.86	DCR|DCR|2VULN|1MLV	1LIT|2SPLJET|35VULN|4ERES|6MLV|7TSLFST|8aRCR|9LHND
68	16663 11122	   	265.86	DCR|DCR|2VULN|1MLV	1LIT|2BASARM|35VULN|4ERES|6MLV|7TSLFST|8aRCR|9LHND
69	51151 33431	   	263.38	DCR|DCR|2VULN|2DUR	1DMSP|26VULN|34DUR|5RCVC|7FRZFST|89RCR|aBEXP
70	51151 33432	   	263.28	DCR|DCR|2VULN|2DUR	1DMSP|26VULN|34DUR|5RCVC|7FRZFST|89RCR|aBLASTR
71	51151 33433	   	263.28	DCR|DCR|2VULN|2DUR	1DMSP|26VULN|34DUR|5RCVC|7FRZFST|89RCR|aSNITOX
72	63313 35131	   	261.73	DCR|DCR|1VULN|1ASPD|1AART|1RPLT	1TLV|2DUST|3RPLT|4ASPD|5CGEN|6VULN|79RCR|8DUR|aAART
73	66313 25131	   	261.73	DCR|DCR|1VULN|1ASPD|1AART|1RPLT	1TLV|2VULN|3RPLT|4ASPD|5CGEN|6DUST|79RCR|8DUR|aAART
74	26313 25131	   	261.63	DCR|DCR|1VULN|1ASPD|1AART|1RPLT	1ERES|2VULN|3RPLT|4ASPD|5CGEN|6DUST|79RCR|8DUR|aAART
75	26316 25131	   	261.63	DCR|DCR|1VULN|1ASPD|1AART|1RPLT	1ERES|2VULN|3RPLT|4ASPD|5TLV|6DUST|79RCR|8DUR|aAART
76	63311 35131	   	261.63	DCR|DCR|1VULN|1ASPD|1AART|1RPLT	1TLV|2DUST|3RPLT|4ASPD|5ERES|6VULN|79RCR|8DUR|aAART
77	66311 25131	   	261.63	DCR|DCR|1VULN|1ASPD|1AART|1RPLT	1TLV|2VULN|3RPLT|4ASPD|5ERES|6DUST|79RCR|8DUR|aAART
78	46334 23311	 * 	261.31	DCR|DCR|3MLV|2RPLT|1CDMG	1CDMG|23RPLT|4TBNT|57aMLV|68RCR|9RMIN
79	26312 25333	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1ERES|2VULN|3RPLT|4ASPD|5MLV|6DUST|79RCR|8BEXP|aFEWX
80	26312 25335	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1ERES|2VULN|3RPLT|4ASPD|5MLV|6DUST|79RCR|8BEXP|aTLV
81	26312 25332	   	261.09	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1ERES|2VULN|3RPLT|4ASPD|5MLV|6DUST|79RCR|8BEXP|aMDPS
82	26312 25334	   	261.09	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT|1MSE	1ERES|2VULN|3RPLT|4ASPD|5MLV|6DUST|79RCR|8BEXP|aMSE
83	26312 25336	   	261.09	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1ERES|2VULN|3RPLT|4ASPD|5MLV|6aDUST|79RCR|8BEXP
