0	Index      	 *	Score 	Summary	Detail	
1	52132 22163	 * 	290.68	DCR|DCR|2VULN|2DUR|1ASPD|1CDMG	159ERES|2CDMG|39DUR|4FEWX|6aRCR|7ASPD|89VULN|9BPWR
24	31136 41511	 * 	273.88	DCR|DCR|1VULN|1DMG|2CDMG|1ASPD|1SELL	1FLTARM|25CDMG|3DUST|4VULN|6ASPD|7aRCR|8SELL|9DMG
25	21136 41511	 * 	273.78	DCR|DCR|1VULN|1DMG|2CDMG|1ASPD|1SELL	1BLAICY|25CDMG|3DUST|4VULN|6ASPD|7aRCR|8SELL|9DMG
26	34412 12421	 * 	272.91	DCR|DCR|2DMG|1VULN|2DUR|1ZMB	16FLTARM|2ZMB|3AAC|4VULN|56DUR|6BPWR|7aRCR|89DMG
27	24412 12421	 * 	272.71	DCR|DCR|2DMG|1VULN|2DUR|1ZMB	16BLAICY|2ZMB|3AAC|4VULN|56DUR|6BPWR|7aRCR|89DMG
28	31511 21551	 * 	272.23	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1FLTARM|2CDMG|3AART|4AAC|5LHND|6DMG|7DUR|8aRCR|9VULN
29	21511 21551	   	272.13	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1BLAICY|2CDMG|3AART|4AAC|5LHND|6DMG|7DUR|8aRCR|9VULN
30	31132 41511	   	267.47	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1SELL	1FLTARM|2CDMG|3DUST|4VULN|5ASPD|6AELOIC|7aRCR|8SELL|9DMG
31	31135 41511	   	267.47	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1SELL	1FLTARM|2CDMG|3DUST|4VULN|5DMG|6AELOIC|7aRCR|8SELL|9ASPD
32	21135 41511	   	267.37	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1SELL	1BLAICY|2CDMG|3DUST|4VULN|5DMG|6AELOIC|7aRCR|8SELL|9ASPD
33	21132 41511	   	267.37	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1SELL	1BLAICY|2CDMG|3DUST|4VULN|5ASPD|6AELOIC|7aRCR|8SELL|9DMG
34	34226 15111	 * 	266.33	DCR|DCR|1VULN|2ASPD|1DMG|2ZMB	1FLTARM|26ZMB|38LHND|4VULN|56ASPD|6BPWR|7aRCR|9DMG
35	11244 11131	 * 	266.30	ACR|DCR|3VULN|1CDMG|1RPLT	1CGEN|278VULN|3AME|4aRCR|5CDMG|6AIRARM|9RPLT
36	11644 11131	   	266.30	ACR|DCR|3VULN|1CDMG|1RPLT	1CGEN|278VULN|3ERES|4aRCR|5CDMG|6AIRARM|9RPLT
37	24226 15111	 * 	266.23	DCR|DCR|1VULN|2ASPD|1DMG|2ZMB	1BLAICY|26ZMB|38LHND|4VULN|56ASPD|6BPWR|7aRCR|9DMG
38	51244 11131	   	266.20	ACR|DCR|3VULN|1CDMG|1RPLT	1ERES|278VULN|3AME|4aRCR|5CDMG|6AIRARM|9RPLT
39	11532 66332	 * 	263.25	DCR|DCR|1VULN|2MLV|1RPLT	1CGEN|2VULN|3RPLT|4TLV|5LWND|6aMLV|79RCR|8ERES
40	32323 14113	   	262.50	DCR|DCR|1VULN|1MLV|2DUR|1AART	1FLTARM|2MDPS|3LHND|4VULN|57DUR|69RCR|8AART|aMLV
41	32523 14113	   	262.50	DCR|DCR|1VULN|1MLV|2DUR|1AART	1FLTARM|2MDPS|3LWND|4VULN|57DUR|69RCR|8AART|aMLV
42	22323 14113	   	262.40	DCR|DCR|1VULN|1MLV|2DUR|1AART	1BLAICY|2MDPS|3LHND|4VULN|57DUR|69RCR|8AART|aMLV
43	22523 14113	   	262.40	DCR|DCR|1VULN|1MLV|2DUR|1AART	1BLAICY|2MDPS|3LWND|4VULN|57DUR|69RCR|8AART|aMLV
