0	Index      	 *	Score 	Summary	Detail	
1	35463 13324	 * 	272.07	DCR|DCR|2VULN|1DMG	1SPLARM|2DUR|3BEXP|4DMG|5LIT|6MBVNT|78RCR|9aVULN
15	35423 13324	   	252.00	DCR|DCR|2VULN	1SPLARM|2DUR|3BEXP|4AAC|5LIT|6MBVNT|78RCR|9aVULN
16	45423 13324	   	252.00	DCR|DCR|2VULN	1LSRREG|2DUR|3BEXP|4AAC|5LIT|6MBVNT|78RCR|9aVULN
17	12332 14663	   	251.11	DCR|DCR|1VULN|1DMG|1ASPD	1AELOIC|2NUKE|3DMG|4RCVC|5ERES|6LWND|78RCR|9ASPD|aVULN
18	35463 13342	   	248.89	DCR|DCR|2DMG|1MLV	1SPLARM|2DUR|3BEXP|4aDMG|5LIT|6MBVNT|78RCR|9MLV
19	31112 41323	   	246.87	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1SPLARM|2MDPS|3DUST|4AART|5DMG|6ZMB|7TBNT|8VULN|9aRCR
20	41112 41323	   	246.87	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1LSRREG|2MDPS|3DUST|4AART|5DMG|6ZMB|7TBNT|8VULN|9aRCR
21	64132 61323	   	246.83	DCR|DCR|1VULN|1DMG|1AART|2ZMB	1TBNT|2MULHEA|3BBNT|47ZMB|5VULN|6DMG|8AART|9aRCR
22	62514 13323	   	246.41	DCR|DCR|1DMG|1MLV|1ASPD|1AART	1TBNT|2BBNT|3MLV|4DMG|5ASPD|6FLTARM|7AME|8AART|9aRCR
23	35463 13322	   	245.86	DCR|DCR|1VULN|1DMG	1SPLARM|2DUR|3aBEXP|4DMG|5LIT|6MBVNT|78RCR|9VULN
24	21322 54613	   	245.86	DCR|DCR|1VULN|1DMG	1DMSP|2VULN|3AAC|45ERES|6DMG|78RCR|9FRZICY|aDUR
25	35423 13326	   	245.86	DCR|DCR|1VULN|1DMG	1SPLARM|2DUR|3BEXP|4AAC|5LIT|6MBVNT|78RCR|9VULN|aDMG
26	35423 13333	   	245.86	DCR|DCR|1VULN|1DMG	1SPLARM|2DUR|3BEXP|4AAC|5LIT|6MBVNT|78RCR|9DMG|aVULN
27	45423 13333	   	245.86	DCR|DCR|1VULN|1DMG	1LSRREG|2DUR|3BEXP|4AAC|5LIT|6MBVNT|78RCR|9DMG|aVULN
28	35463 13313	   	245.76	DCR|DCR|1VULN|1DMG	1SPLARM|2DUR|3BEXP|4DMG|5LIT|6MBVNT|78RCR|9ERES|aVULN
29	35463 13321	   	245.76	DCR|DCR|1VULN|1DMG	1SPLARM|2DUR|3BEXP|4DMG|5LIT|6MBVNT|78RCR|9VULN|aSNIFST
30	12332 54613	   	245.76	DCR|DCR|1VULN|1DMG	1AELOIC|2NUKE|3DMG|4RCVC|5ERES|6VULN|78RCR|9FRZICY|aDUR
31	21322 54633	   	245.76	DCR|DCR|1VULN|1DMG	1DMSP|2VULN|3AAC|45ERES|6DMG|78RCR|9LSRHEA|aDUR
32	35613 13326	   	245.76	DCR|DCR|1VULN|1DMG	1SPLARM|2DUR|3AAC|4DUST|5LIT|6MBVNT|78RCR|9VULN|aDMG
33	35613 13333	   	245.76	DCR|DCR|1VULN|1DMG	1SPLARM|2DUR|3AAC|4DUST|5LIT|6MBVNT|78RCR|9DMG|aVULN
34	45613 13333	   	245.76	DCR|DCR|1VULN|1DMG	1LSRREG|2DUR|3AAC|4DUST|5LIT|6MBVNT|78RCR|9DMG|aVULN
35	12332 54633	   	245.66	DCR|DCR|1VULN|1DMG	1AELOIC|2NUKE|3DMG|4RCVC|5ERES|6VULN|78RCR|9LSRHEA|aDUR
36	63523 16233	 * 	244.95	DCR|4VULN|2MLV|2DUR	1TBNT|2369VULN|46MLV|5BBNT|69BPWR|79DUR|89VENICY|aRCR
37	62551 13321	 * 	244.11	ACR|DCR|1VULN|1DMG|1MLV|1RPLT|1ZMB	1TBNT|2BBNT|3MLV|4DUR|5aRCR|6VULN|7DMG|8ZMB|9RPLT
38	21311 25166	   	243.90	DCR|DCR|2VULN	1DMSP|24VULN|3AAC|5LHND|6RCVC|7TBNT|8FRZARM|9aRCR
39	21311 31166	   	243.90	DCR|DCR|2VULN	1DMSP|24VULN|3AAC|57LHND|6BBNT|8FRZARM|9aRCR
40	21312 11166	   	243.90	DCR|DCR|2VULN	1DMSP|24VULN|3AAC|5TBNT|67LHND|8FRZARM|9aRCR
41	21311 15166	   	243.80	DCR|DCR|2VULN	1DMSP|24VULN|3AAC|5LHND|6AELOIC|7TBNT|8FRZARM|9aRCR
42	31335 61226	 * 	243.50	DCR|DCR|1VULN|2ASPD	1SPLARM|2MDPS|37ASPD|4ERES|5AAC|6LIT|8VULN|9aRCR
43	33221 55226	   	243.33	DCR|DCR|1VULN|1MLV	1SPLARM|2MLV|3ERES|45AAC|6aRCR|7DUR|8VULN|9DMSP
44	11333 41136	 * 	242.22	DCR|DCR|2CDMG|1MLV|1AART|1RPLT	13AELOIC|23CDMG|3BPWR|4NUKE|5RPLT|6FEWX|7MLV|8AART|9aRCR
