0	Index      	 *	Score 	Summary	Detail	
1	12153 23635	 * 	308.48	ACR|DCR|3VULN|2MLV|1DMG	1aLHND|2RAT|38aVULN|49RCR|5DMG|6AEBURN|7aMLV|aBPWR
24	63441 32123	   	283.59	DCR|DCR|2VULN|1TLV	1RAT|2TLV|3BBNT|4aVULN|5LIT|6LWND|7FEWX|89RCR
25	63531 32116	   	283.59	DCR|DCR|2VULN|1TLV	1RAT|2TLV|39VULN|4LIT|5LWND|6aRCR|7ZMB|8FEWX
26	63632 42123	   	283.59	DCR|DCR|2VULN|1TLV	1RAT|2TLV|3LWND|4LIT|5TBNT|6aVULN|7FEWX|89RCR
27	63432 21123	   	283.49	DCR|DCR|2VULN|1TLV	1RAT|2TLV|3BBNT|4LIT|5aVULN|6FEWX|7DUST|89RCR
28	63432 31123	   	283.49	DCR|DCR|2VULN|1TLV	1RAT|2TLV|3BBNT|4LIT|5aVULN|6LWND|7DUST|89RCR
29	63441 21123	   	283.49	DCR|DCR|2VULN|1TLV	1RAT|2TLV|3BBNT|4aVULN|5LIT|6FEWX|7DUST|89RCR
30	63441 31123	   	283.49	DCR|DCR|2VULN|1TLV	1RAT|2TLV|3BBNT|4aVULN|5LIT|6LWND|7DUST|89RCR
31	63632 41123	   	283.49	DCR|DCR|2VULN|1TLV	1RAT|2TLV|3LWND|4LIT|5TBNT|6aVULN|7DUST|89RCR
32	63532 33423	   	283.39	DCR|DCR|2VULN|1TLV	1RAT|2TLV|3aVULN|4LIT|5DUST|69RCR|7LEGI|8TBNT
33	62333 26123	 * 	281.62	DCR|DCR|1VULN|1TLV|1MLV	1RAT|2BBNT|3MLV|4LIT|5MDPS|6RMIN|7TLV|89RCR|aVULN
34	62333 56122	   	281.62	DCR|DCR|1VULN|1TLV|1MLV	1RAT|2BBNT|3MLV|4LIT|5MDPS|6AME|7TLV|89RCR|aVULN
35	11223 12311	 * 	280.92	DCR|4VULN|2TLV|1MLV	1LHND|269aVULN|38TLV|4AART|5MLV|7RCR
36	41514 22311	   	280.82	DCR|4VULN|2TLV|1MLV	129aVULN|38TLV|4AART|5MLV|6AETHUN|7RCR
37	63432 12125	   	280.72	DCR|DCR|1VULN|1TLV|1AAC	1RAT|2TLV|3BBNT|4LIT|5VULN|6DUR|7FEWX|89RCR|aAAC
38	63531 31225	   	280.72	DCR|DCR|1VULN|1TLV|1AAC	1RAT|2TLV|3VULN|4LIT|5LWND|69RCR|7TBNT|8DUR|aAAC
39	63532 31225	   	280.62	DCR|DCR|1VULN|1TLV|1AAC	1RAT|2TLV|3VULN|4LIT|5DUST|69RCR|7TBNT|8DUR|aAAC
40	63432 11125	   	280.62	DCR|DCR|1VULN|1TLV|1AAC	1RAT|2TLV|3BBNT|4LIT|5VULN|6DUR|7DUST|89RCR|aAAC
41	41432 12412	   	279.02	DCR|4VULN|1TLV|1MLV|1CDMG	125aVULN|3RAT|4TLV|6CDMG|7LWND|8MLV|9RCR
