0	Index      	 *	Score 	Summary	Detail	
1	45131 32325	 * 	303.53	DCR|DCR|2TLV|2AAC|1MLV	1aTLV|23AAC|4MLV|5DUR|6NUKE|7RAT|89RCR
16	12233 22668	   	289.17	DCR|3VULN|2MLV|2DMG|1ASPD	1MDPS|28MLV|3RAT|48aVULN|5MBVNT|6RCR|78DMG|8BPWR|9ASPD
17	12233 22672	 * 	288.58	DCR|3VULN|2MLV|3DMG	1MDPS|28MLV|3RAT|48aVULN|5MBVNT|6RCR|789DMG|8BPWR
18	33132 14616	 * 	287.99	DCR|DCR|2MLV|1TLV|1DMG	1BEXP|2CGEN|3LIT|4DMG|57MLV|6LHND|8aRCR|9TLV
19	21314 16162	   	287.13	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1SELL	1SELL|2AAC|3ZMB|4ERES|5AART|6VULN|79RCR|8MLV|aDMG
20	11433 21827	 * 	286.97	DCR|DCR|2VULN|1TLV	1MDPS|2RAT|3TLV|4aVULN|5MBVNT|69RCR|7CGEN|8DUR
21	13233 21827	   	286.97	DCR|DCR|2VULN|1TLV	1MDPS|2TLV|3RAT|4aVULN|5MBVNT|69RCR|7CGEN|8DUR
22	42253 12325	   	285.04	DCR|DCR|2TLV|1MLV|1CDMG|1SELL	1aTLV|2DUR|3ZMB|4MLV|5CDMG|6RAT|7SELL|89RCR
23	12233 22652	   	283.93	DCR|2VULN|2MLV|2DMG|1AAC|1ASPD	1MDPS|28MLV|3RAT|48VULN|5MBVNT|6RCR|78DMG|8BPWR|9AAC|aASPD
24	11333 21827	 * 	283.47	DCR|DCR|2VULN|1MLV	1MDPS|2RAT|3MLV|4aVULN|5MBVNT|69RCR|7CGEN|8DUR
25	12233 21827	   	283.47	DCR|DCR|2VULN|1MLV	1MDPS|2MLV|3RAT|4aVULN|5MBVNT|69RCR|7CGEN|8DUR
26	42256 32323	   	283.17	DCR|DCR|2MLV|1TLV	1TLV|2DUR|3aZMB|45MLV|6NUKE|7RAT|89RCR
27	42256 32321	   	283.07	DCR|DCR|2MLV|1TLV	1TLV|2DUR|3ZMB|45MLV|6NUKE|7RAT|89RCR|aFRZFST
28	42256 32322	   	283.07	DCR|DCR|2MLV|1TLV	1TLV|2DUR|3ZMB|45MLV|6NUKE|7RAT|89RCR|aDUST
29	56213 31241	   	282.98	DCR|DCR|2VULN|1DMG|1ASPD	1BELT|2ASPD|3BBNT|4DLOT|5DMG|6aVULN|7RAT|89RCR
30	12233 22614	 * 	282.88	DCR|2VULN|2MLV|2DMG|1TLV	1MDPS|28MLV|3RAT|48VULN|5MBVNT|6RCR|78DMG|8BPWR|9FEWX|aTLV
31	12233 22644	   	282.88	DCR|2VULN|2MLV|2DMG|1TLV	1MDPS|28MLV|3RAT|48VULN|5MBVNT|6RCR|78DMG|8BPWR|9LHND|aTLV
32	12233 22624	   	282.78	DCR|2VULN|2MLV|2DMG|1TLV	1MDPS|28MLV|3RAT|48VULN|5MBVNT|6RCR|78DMG|8BPWR|9DUST|aTLV
33	12233 22662	   	282.69	DCR|2VULN|2MLV|3DMG|1ASPD	1MDPS|28MLV|3RAT|48VULN|5MBVNT|6RCR|78aDMG|8BPWR|9ASPD
34	13233 22658	 * 	281.68	DCR|3VULN|2TLV|2DMG|1AAC	1MDPS|28TLV|3RAT|48aVULN|5MBVNT|6RCR|78DMG|8BPWR|9AAC
35	12233 22664	 * 	281.62	DCR|2VULN|2MLV|2DMG|2ASPD	1MDPS|28MLV|3RAT|48VULN|5MBVNT|6RCR|78DMG|8BPWR|9aASPD
36	11333 23621	   	281.05	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2RAT|3MLV|4VULN|5MBVNT|69RCR|7LHND|8TLV|aBBNT
37	11333 23623	   	281.05	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2RAT|3MLV|4VULN|5MBVNT|69RCR|7LHND|8TLV|aAME
38	11333 23626	   	281.05	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2RAT|3MLV|4VULN|5MBVNT|69RCR|7LHND|8TLV|aLWND
39	12233 23621	   	281.05	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2MLV|3RAT|4VULN|5MBVNT|69RCR|7LHND|8TLV|aBBNT
40	12233 23623	   	281.05	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2MLV|3RAT|4VULN|5MBVNT|69RCR|7LHND|8TLV|aAME
41	12233 23626	   	281.05	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2MLV|3RAT|4VULN|5MBVNT|69RCR|7LHND|8TLV|aLWND
42	13233 22668	   	281.04	DCR|3VULN|2TLV|2DMG|1ASPD	1MDPS|28TLV|3RAT|48aVULN|5MBVNT|6RCR|78DMG|8BPWR|9ASPD
43	63642 22234	 * 	281.01	DCR|3MLV|2TLV|1VULN|1ASPD|2DUR	1TBNT|28DUR|3MBVNT|4ASPD|589MLV|6RCR|78TLV|8BPWR|aVULN
44	11333 23624	   	280.95	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2RAT|3MLV|4VULN|5MBVNT|69RCR|7LHND|8TLV|aDUST
45	11333 23627	   	280.95	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2RAT|3MLV|4VULN|5MBVNT|69RCR|7LHND|8TLV|aBEXP
46	11333 26621	   	280.95	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2RAT|3MLV|4VULN|5MBVNT|69RCR|7DUST|8TLV|aBBNT
47	11333 26623	   	280.95	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2RAT|3MLV|4VULN|5MBVNT|69RCR|7DUST|8TLV|aAME
48	11333 26626	   	280.95	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2RAT|3MLV|4VULN|5MBVNT|69RCR|7DUST|8TLV|aLWND
49	12233 23624	   	280.95	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2MLV|3RAT|4VULN|5MBVNT|69RCR|7LHND|8TLV|aDUST
50	12233 23627	   	280.95	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2MLV|3RAT|4VULN|5MBVNT|69RCR|7LHND|8TLV|aBEXP
51	12233 26621	   	280.95	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2MLV|3RAT|4VULN|5MBVNT|69RCR|7DUST|8TLV|aBBNT
52	12233 26623	   	280.95	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2MLV|3RAT|4VULN|5MBVNT|69RCR|7DUST|8TLV|aAME
53	12233 26626	   	280.95	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2MLV|3RAT|4VULN|5MBVNT|69RCR|7DUST|8TLV|aLWND
54	11333 26624	   	280.85	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2RAT|3MLV|4VULN|5MBVNT|69RCR|7aDUST|8TLV
55	11333 26627	   	280.85	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2RAT|3MLV|4VULN|5MBVNT|69RCR|7DUST|8TLV|aBEXP
56	11333 26628	   	280.85	DCR|DCR|1VULN|1TLV|1MLV|1MSE	1MDPS|2RAT|3MLV|4VULN|5MBVNT|69RCR|7DUST|8TLV|aMSE
57	12233 26624	   	280.85	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2MLV|3RAT|4VULN|5MBVNT|69RCR|7aDUST|8TLV
58	12233 26627	   	280.85	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2MLV|3RAT|4VULN|5MBVNT|69RCR|7DUST|8TLV|aBEXP
59	12233 26628	   	280.85	DCR|DCR|1VULN|1TLV|1MLV|1MSE	1MDPS|2MLV|3RAT|4VULN|5MBVNT|69RCR|7DUST|8TLV|aMSE
60	42216 32325	 * 	280.55	DCR|DCR|3TLV|1MLV	14aTLV|2DUR|3ZMB|5MLV|6NUKE|7RAT|89RCR
61	13233 22672	 * 	280.45	DCR|3VULN|3DMG|2TLV	1MDPS|28TLV|3RAT|48aVULN|5MBVNT|6RCR|789DMG|8BPWR
62	33132 23616	 * 	279.67	DCR|DCR|2DMG|1TLV|1MLV	1BEXP|2CGEN|3LIT|46DMG|5MLV|7DUST|8aRCR|9TLV
63	22564 12132	 * 	279.19	DCR|3VULN|2MLV|2ASPD|1DMG|1SELL	1SELL|249VULN|3RCVC|5CGEN|6RCR|79ASPD|89MLV|9BPWR|aDMG
64	42251 32325	   	278.09	DCR|DCR|2TLV|1MLV|2DUR	1aTLV|25DUR|3ZMB|4MLV|6NUKE|7RAT|89RCR
65	13233 22652	   	275.80	DCR|2VULN|2TLV|2DMG|1AAC|1ASPD	1MDPS|28TLV|3RAT|48VULN|5MBVNT|6RCR|78DMG|8BPWR|9AAC|aASPD
66	14222 71464	   	275.73	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1MDPS|2LIT|3DMG|4MBVNT|5MLV|6aRCR|7CDMG|8VULN|9LWND
67	45353 32332	 * 	275.71	DCR|2MLV|2TLV|2DMG|2CDMG|1AAC	1aTLV|2AAC|3LEGI|4aMLV|56DMG|7RAT|8RCR|9aCDMG|aBPWR
68	21314 16163	   	275.38	DCR|DCR|1VULN|1MLV|1AAC|1SELL	1SELL|2AAC|3ZMB|4ERES|5AART|6VULN|79RCR|8MLV|aDUR
69	12142 41124	   	275.14	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	1MDPS|23MLV|3BPWR|4aVULN|5TBNT|6DMG|7AAC|8RCR|9TLV
70	12233 22671	   	274.74	DCR|2VULN|2MLV|3DMG	1MDPS|28MLV|3RAT|48VULN|5MBVNT|6RCR|789DMG|8BPWR|aDUR
71	13233 22662	   	274.56	DCR|2VULN|3DMG|2TLV|1ASPD	1MDPS|28TLV|3RAT|48VULN|5MBVNT|6RCR|78aDMG|8BPWR|9ASPD
72	22561 12112	   	274.35	DCR|2VULN|2MLV|1TLV|1DMG|1ASPD|1SELL	1SELL|24VULN|3RCVC|58MLV|6RCR|7ASPD|9TLV|aDMG
73	12233 22648	 * 	274.33	DCR|3MLV|2VULN|2DMG	1MDPS|28aMLV|3RAT|48VULN|5MBVNT|6RCR|78DMG|8BPWR|9LHND
74	21314 16161	   	274.01	DCR|DCR|1VULN|1MLV|1AAC|1SELL	1SELL|2AAC|3ZMB|4ERES|5AART|6VULN|79RCR|8MLV|aRAT
