0	Index      	 *	Score 	Summary	Detail	
1	32231 22423	 * 	284.20	ACR|DCR|2VULN|1TLV|2ASPD|1CDMG	1aLHND|2RMIN|37RCR|4MDPS|5aASPD|6TLV|8CDMG|9aVULN|aBPWR
43	41313 51234	   	261.11	DCR|3VULN|2MLV|2ASPD	18MLV|28ASPD|3BEXP|4AEPOI|578VULN|6DMSP|8BPWR|9AEWIND|aRCR
44	41333 51234	   	261.11	DCR|3VULN|2MLV|2ASPD	18MLV|24ASPD|38BEXP|578VULN|6DMSP|8BPWR|9AEWIND|aRCR
45	41431 24322	   	261.11	DCR|3VULN|2MLV|2ASPD	1aMLV|24ASPD|39aVULN|5BBNT|6LEGI|7RCR|8aAEBURN|aBPWR
46	15332 33134	 * 	260.96	DCR|3VULN|3ASPD|3RAT|1AAC|1SELL	1SELL|278RAT|3DMSP|478ASPD|5AAC|678VULN|78BPWR|9RMIN|aRCR
47	15332 33143	 * 	260.96	DCR|3VULN|3ASPD|3RAT|1AAC|1SELL	1SELL|278RAT|3DMSP|478ASPD|5AAC|678VULN|78BPWR|9RPLT|aRCR
48	41431 24312	 * 	260.08	DCR|3MLV|2VULN|2ASPD	19aMLV|24ASPD|3aVULN|5BBNT|6LEGI|7RCR|8aAEBURN|aBPWR
49	41333 16351	 * 	260.02	DCR|2TLV|1VULN|2ASPD|1MLV|1DMG	1MLV|24ASPD|3BEXP|5VULN|6DUR|7RCR|89TLV|aDMG
50	36133 13113	 * 	259.78	DCR|2VULN|2DMG|1TLV|1AAC	1LHND|26VULN|3BEXP|4DUR|56DMG|6BPWR|7RCR|8AART|9TLV|aAAC
51	36253 13113	   	259.78	DCR|2VULN|2DMG|1TLV|1AAC	1LHND|26VULN|3DUR|4DUST|56DMG|6BPWR|7RCR|8AART|9TLV|aAAC
52	23432 36522	 * 	259.60	DCR|2VULN|2MLV|1TLV|1CDMG	1TBNT|28MLV|3RAT|4TLV|5CDMG|67VULN|9AME|aRCR
53	43631 23136	 * 	259.52	DCR|2MLV|2TLV|3ASPD|1AAC	19MLV|2CGEN|3AART|479ASPD|5LEGI|69TLV|8RCR|9BPWR|aAAC
54	41533 33216	   	259.48	DCR|2VULN|2MLV|3ASPD	1aMLV|247ASPD|3FEWX|5aVULN|6AART|8RCR|9aCGEN|aBPWR
55	41333 33216	   	259.38	DCR|2VULN|2MLV|3ASPD	1aMLV|247ASPD|3BEXP|5aVULN|6AART|8RCR|9aCGEN|aBPWR
56	41513 33133	   	259.38	DCR|2VULN|2MLV|3ASPD	19MLV|279ASPD|3FEWX|4AEPOI|59VULN|6AART|8RCR|9BPWR|aTBNT
57	41513 33134	   	259.38	DCR|2VULN|2MLV|3ASPD	19MLV|279ASPD|3FEWX|4AEPOI|59VULN|6AART|8RCR|9BPWR|aLHND
58	41313 33133	   	259.28	DCR|2VULN|2MLV|3ASPD	19MLV|279ASPD|3BEXP|4AEPOI|59VULN|6AART|8RCR|9BPWR|aTBNT
59	41313 33134	   	259.28	DCR|2VULN|2MLV|3ASPD	19MLV|279ASPD|3BEXP|4AEPOI|59VULN|6AART|8RCR|9BPWR|aLHND
60	41513 33135	   	259.28	DCR|2VULN|2MLV|3ASPD	19MLV|279ASPD|3FEWX|4AEPOI|59VULN|6AART|8RCR|9BPWR|aBASARM
61	41313 33135	   	259.18	DCR|2VULN|2MLV|3ASPD	19MLV|279ASPD|3BEXP|4AEPOI|59VULN|6AART|8RCR|9BPWR|aBASARM
62	41313 33452	   	259.18	DCR|2VULN|2MLV|3ASPD	18MLV|278ASPD|3BEXP|4AEPOI|58VULN|6AART|8BPWR|9MBVNT|aRCR
63	41421 23135	   	259.18	DCR|2VULN|2MLV|3ASPD	19MLV|279ASPD|3aVULN|4AART|5DUST|69AEFRZ|8RCR|9BPWR
64	12331 35341	   	259.04	DCR|DCR|1VULN|1MLV|1AAC|1SELL	1SELL|2TBNT|3VULN|468ERES|5MLV|79RCR|aAAC
65	12351 15213	 * 	258.83	DCR|2VULN|2MLV|1TLV|1DMG|1SELL	1SELL|2TBNT|39VULN|4TLV|56MLV|7RCR|8FEWX|aDMG
66	12351 15413	 * 	258.73	DCR|2VULN|2MLV|1TLV|1DMG|1SELL	1SELL|2TBNT|39VULN|4TLV|56MLV|7RCR|8DUST|aDMG
67	12351 15613	 * 	258.73	DCR|2VULN|2MLV|1TLV|1DMG|1SELL	1SELL|2TBNT|39VULN|4TLV|56MLV|7RCR|8BEXP|aDMG
68	32231 22425	   	258.23	ACR|DCR|1VULN|1TLV|1AAC|1ASPD|1CDMG	1LHND|2RMIN|37RCR|4MDPS|5ASPD|6TLV|8CDMG|9VULN|aAAC
69	34231 22425	   	258.23	ACR|DCR|1VULN|1TLV|1AAC|1ASPD|1CDMG	1LHND|2CGEN|37RCR|4MDPS|5ASPD|6TLV|8CDMG|9VULN|aAAC
70	35231 22425	   	258.13	ACR|DCR|1VULN|1TLV|1AAC|1ASPD|1CDMG	1LHND|2ERES|37RCR|4MDPS|5ASPD|6TLV|8CDMG|9VULN|aAAC
71	12353 36142	 * 	258.10	DCR|3VULN|2TLV|2AAC|1SELL	1SELL|2TBNT|367VULN|47TLV|5RCVC|7BPWR|8aAAC|9RCR
72	41431 34223	 * 	257.91	DCR|2VULN|2MLV|2ASPD|1DMG	1aMLV|24ASPD|3aVULN|5BBNT|6DUST|7RCR|8DMG|9aZMB|aBPWR
73	36133 13252	   	257.38	DCR|2VULN|2DMG|1TLV|1ASPD|2DUR	1LHND|26VULN|3BEXP|48DUR|56DMG|6BPWR|7RCR|9TLV|aASPD
74	36253 13252	   	257.38	DCR|2VULN|2DMG|1TLV|1ASPD|2DUR	1LHND|26VULN|38DUR|4DUST|56DMG|6BPWR|7RCR|9TLV|aASPD
75	23433 62422	 * 	256.40	DCR|2MLV|2TLV|2ASPD|1DMG	1TBNT|29MLV|3RAT|49TLV|5BEXP|6DUR|7RCR|89ASPD|9BPWR|aDMG
76	43631 23131	   	256.27	DCR|2MLV|2TLV|3ASPD|1CDMG	19MLV|2CGEN|3AART|479ASPD|5LEGI|69TLV|8RCR|9BPWR|aCDMG
77	13422 32524	   	255.84	ACR|DCR|3VULN|1AAC|1SELL	1SELL|2DUST|3DUR|48RCR|5LWND|69aVULN|7AAC
78	32231 22314	   	255.77	ACR|DCR|2VULN|1TLV|1ASPD	1LHND|2RMIN|37RCR|4MDPS|5ASPD|6TLV|8aVULN|9LIT
79	34231 22314	   	255.77	ACR|DCR|2VULN|1TLV|1ASPD	1LHND|2CGEN|37RCR|4MDPS|5ASPD|6TLV|8aVULN|9LIT
80	34231 22332	   	255.67	ACR|DCR|2VULN|1TLV|1ASPD	1LHND|2CGEN|37RCR|4MDPS|5ASPD|6TLV|8aVULN|9AEFRZ
81	35231 22314	   	255.67	ACR|DCR|2VULN|1TLV|1ASPD	1LHND|2ERES|37RCR|4MDPS|5ASPD|6TLV|8aVULN|9LIT
82	41633 11421	 * 	255.52	DCR|2MLV|1VULN|1TLV|2ASPD|1CDMG	14MLV|24ASPD|3DMSP|4BPWR|5LWND|6TLV|7LHND|8CDMG|9VULN|aRCR
83	32231 22422	   	255.51	ACR|DCR|2TLV|1VULN|1ASPD|1CDMG	1LHND|2RMIN|37RCR|4MDPS|5ASPD|6aTLV|8CDMG|9VULN
84	41633 12421	   	255.42	DCR|2MLV|1VULN|1TLV|2ASPD|1CDMG	14MLV|24ASPD|3DMSP|4BPWR|5LWND|6TLV|7AETHUN|8CDMG|9VULN|aRCR
85	35231 22422	   	255.41	ACR|DCR|2TLV|1VULN|1ASPD|1CDMG	1LHND|2ERES|37RCR|4MDPS|5ASPD|6aTLV|8CDMG|9VULN
86	41633 36321	   	254.64	DCR|2VULN|2MLV|2ASPD|1AAC	14MLV|24ASPD|3DMSP|4BPWR|5LWND|6AEFBLL|7RCR|89VULN|aAAC
87	33252 32345	   	254.63	ACR|DCR|1VULN|1TLV|1MLV|1AAC	14LHND|2AAC|37RCR|5DMSP|6BBNT|8VULN|9MLV|aTLV
88	33212 32345	   	254.53	ACR|DCR|1VULN|1TLV|1MLV|1AAC	1LHND|2AAC|37RCR|4AEPOI|5DMSP|6BBNT|8VULN|9MLV|aTLV
89	23114 15235	 * 	254.47	DCR|3MLV|1VULN|1DMG|1AAC|1ASPD	1TBNT|246MLV|3RPLT|5VULN|7AAC|8DMG|9ASPD|aRCR
