0	Index      	 *	Score 	Summary	Detail	
1	34131 13165	 * 	299.45	DCR|2LIT|3VULN|2DMG|1MLV	16DMG|2ERES|3aLIT|456VULN|6BPWR|7MLV|8MBVNT|9RCR
18	33261 21226	 * 	283.90	DCR|2MLV|3VULN|3DMG|2CDMG	12aDMG|37CDMG|4AART|59aVULN|6RCR|8aMLV|aBPWR
19	34131 13164	   	283.52	DCR|3VULN|1LIT|2DMG|1MLV	16DMG|2ERES|3LIT|456VULN|6BPWR|7MLV|8MBVNT|9RCR|aZMB
20	52152 32612	 * 	282.90	DCR|3LIT|3VULN|1MLV	128VULN|346LIT|56FEWX|6BPWR|7RCR|9BEXP|aMLV
21	52152 32632	   	282.90	DCR|3LIT|3VULN|1MLV	128VULN|346LIT|56FEWX|6BPWR|7RCR|9LHND|aMLV
22	31236 15311	 * 	281.97	DCR|3LIT|2VULN|3DMG	138DMG|2aBEXP|4DUST|5aVULN|69aLIT|7RCR|aBPWR
23	33436 15311	   	281.97	DCR|3LIT|2VULN|3DMG	128DMG|3aLWND|4DUST|5aVULN|69aLIT|7RCR|aBPWR
24	13131 13165	   	281.97	DCR|2LIT|3VULN|1MLV|1DMG	16CGEN|2DMG|3aLIT|456VULN|6BPWR|7MLV|8MBVNT|9RCR
25	33342 15311	   	281.87	DCR|3LIT|2VULN|3DMG	128DMG|3aVULN|4LWND|5aDUST|69aLIT|7RCR|aBPWR
26	33334 15311	   	281.77	DCR|3LIT|2VULN|3DMG|2DUR	128DMG|3aVULN|4DUST|5aDUR|69aLIT|7RCR|aBPWR
27	34131 13117	   	281.72	DCR|3VULN|1LIT|2DMG|1MLV	16DMG|2ERES|3LIT|456VULN|6BPWR|7MLV|8MBVNT|9ZMB|aRCR
28	33261 26216	   	280.53	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	12DMG|3CDMG|4AART|57VULN|6RCR|8MLV|9LIT|aZMB
29	32156 31326	   	280.42	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DMG|2ZMB|34LIT|5CDMG|6aVULN|7MLV|8CGEN|9RCR
30	52152 32222	 * 	280.13	DCR|3LIT|2MLV|2VULN	12VULN|346LIT|56FEWX|6BPWR|7RCR|8RMIN|9aMLV
31	52152 52222	   	279.98	DCR|3LIT|2MLV|2VULN	12VULN|346LIT|5FEWX|7RCR|8RMIN|9aMLV
32	33261 21214	 * 	279.91	DCR|1LIT|2VULN|2DMG|1MLV|2CDMG	12DMG|37CDMG|4AART|5aVULN|6RCR|8MLV|9LIT
33	32115 34226	   	279.36	DCR|2LIT|2DMG|1FLTARM|1VULN|1CDMG	15DMG|2ZMB|3aLIT|45LWND|5BPWR|6FLTARM|7CDMG|8RCR|9VULN
34	32115 34263	   	279.36	DCR|2LIT|2DMG|1FLTARM|1VULN|1CDMG	15DMG|2ZMB|39LIT|45LWND|5BPWR|6FLTARM|7CDMG|8RCR|aVULN
35	32152 34226	 * 	278.97	DCR|3LIT|1FLTARM|1VULN|1DMG|1CDMG	1DMG|2ZMB|34aLIT|5FEWX|6FLTARM|7CDMG|8RCR|9VULN
36	32115 34224	 * 	278.74	DCR|1LIT|2VULN|2DMG|1FLTARM|1CDMG	15DMG|2ZMB|3LIT|45LWND|5BPWR|6FLTARM|7CDMG|8RCR|9aVULN
37	32152 34222	   	277.92	DCR|2LIT|1FLTARM|1VULN|1DMG|1AART|1CDMG	1DMG|2ZMB|34LIT|5FEWX|6FLTARM|7CDMG|8RCR|9VULN|aAART
38	13131 53165	 * 	277.02	DCR|3LIT|2VULN|1MLV|1DMG	1CGEN|2DMG|36aLIT|45VULN|7MLV|8MBVNT|9RCR
39	34131 13161	   	276.58	DCR|3VULN|1LIT|2DMG|1MLV	16DMG|2ERES|3LIT|456VULN|6BPWR|7MLV|8MBVNT|9RCR|aDMSP
40	34131 13162	   	276.58	DCR|3VULN|1LIT|2DMG|1MLV	16DMG|2ERES|3LIT|456VULN|6BPWR|7MLV|8MBVNT|9RCR|aBEXP
41	34131 13166	   	276.58	DCR|3VULN|1LIT|2DMG|1MLV	16DMG|2ERES|3LIT|456VULN|6BPWR|7MLV|8MBVNT|9RCR|aRMIN
42	34131 13167	   	276.58	DCR|3VULN|1LIT|2DMG|1MLV	16DMG|2ERES|3LIT|456VULN|6BPWR|7MLV|8MBVNT|9RCR|aBELT
43	34131 13163	   	276.48	DCR|3VULN|1LIT|2DMG|1MLV	16DMG|2aERES|3LIT|456VULN|6BPWR|7MLV|8MBVNT|9RCR
44	34131 13168	   	276.48	DCR|3VULN|1LIT|2DMG|1MLV	16DMG|2ERES|3LIT|456VULN|6BPWR|7MLV|8MBVNT|9RCR|aLEGI
45	32152 34221	   	275.32	DCR|2LIT|1FLTARM|1VULN|1DMG|1ASPD|1CDMG	1DMG|2ZMB|34LIT|5FEWX|6FLTARM|7CDMG|8RCR|9VULN|aASPD
46	52626 23312	 * 	274.99	DCR|5VULN|1LIT|1MLV	1248aVULN|3BELT|5LSRICY|6LIT|7MLV|9RCR
47	34131 13524	   	274.88	DCR|3VULN|1LIT|2DMG|1MLV	16DMG|2ERES|3LIT|456VULN|6BPWR|7MLV|8RPLT|9FEWX|aRCR
48	34253 13121	   	274.54	DCR|3VULN|1LIT|2DMG|1MLV|1SELL	17DMG|27ERES|3CANTOX|4MLV|578VULN|6SELL|7BPWR|9LIT|aRCR
49	52152 32226	   	274.41	DCR|3LIT|2VULN|1MLV|1CDMG	12VULN|346LIT|56FEWX|6BPWR|7RCR|8RMIN|9MLV|aCDMG
50	52152 32232	   	274.41	DCR|3LIT|2VULN|1MLV|1ASPD	12VULN|346LIT|56FEWX|6BPWR|7RCR|8RMIN|9ASPD|aMLV
51	52626 23313	   	274.35	DCR|4VULN|1LIT|1MLV|1AART	1248VULN|3BELT|5LSRICY|6LIT|7MLV|9RCR|aAART
52	52152 52232	   	274.31	DCR|3LIT|2VULN|1MLV|1ASPD	12VULN|346LIT|5FEWX|7RCR|8RMIN|9ASPD|aMLV
53	11254 11231	   	274.21	DCR|2LIT|2FLTARM|2VULN	1CGEN|2aBEXP|34VULN|5DUR|6aLIT|7LHND|8aFLTARM|9RCR|aBPWR
54	42522 13231	   	274.21	DCR|2LIT|2FLTARM|2VULN	1LHND|2aVULN|3CGEN|4RCVC|5FEWX|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
55	42532 13231	   	274.21	DCR|2LIT|2FLTARM|2VULN	1LHND|2aVULN|3CGEN|4DMSP|5FEWX|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
56	53311 13231	   	274.21	DCR|2LIT|2FLTARM|2VULN	13VULN|2aLHND|4FEWX|5CGEN|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
57	53411 13231	   	274.21	DCR|2LIT|2FLTARM|2VULN	14VULN|2aLHND|3FEWX|5CGEN|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
58	53552 13231	   	274.21	DCR|2LIT|2FLTARM|2VULN	14VULN|2aLHND|3CGEN|5FEWX|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
59	52132 33231	   	274.11	DCR|2LIT|2FLTARM|2VULN	12VULN|3aLIT|4ERES|5LHND|6aBEXP|7DUR|8aFLTARM|9RCR|aBPWR
60	52141 33231	   	274.11	DCR|2LIT|2FLTARM|2VULN	12VULN|3aLIT|4LHND|5ERES|6aBEXP|7DUR|8aFLTARM|9RCR|aBPWR
61	53152 13231	   	274.11	DCR|2LIT|2FLTARM|2VULN	14VULN|2aLHND|3ERES|5FEWX|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
62	53211 13231	   	274.11	DCR|2LIT|2FLTARM|2VULN	14VULN|2aLHND|3DUST|5CGEN|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
63	53312 13231	   	274.11	DCR|2LIT|2FLTARM|2VULN	13VULN|2aLHND|4FEWX|5ERES|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
64	53342 13231	   	274.11	DCR|2LIT|2FLTARM|2VULN	13VULN|2aLHND|4ERES|5FEWX|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
65	53412 13231	   	274.11	DCR|2LIT|2FLTARM|2VULN	14VULN|2aLHND|3FEWX|5ERES|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
66	42122 13231	   	274.11	DCR|2LIT|2FLTARM|2VULN	1LHND|2aVULN|3ERES|4RCVC|5FEWX|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
67	42132 13231	   	274.11	DCR|2LIT|2FLTARM|2VULN	1LHND|2aVULN|3ERES|4DMSP|5FEWX|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
68	42521 14231	   	274.11	DCR|2LIT|2FLTARM|2VULN	1LHND|2aVULN|3CGEN|4RCVC|5DUR|6aLIT|7DUST|8aFLTARM|9RCR|aBPWR
69	42531 14231	   	274.11	DCR|2LIT|2FLTARM|2VULN	1LHND|2aVULN|3CGEN|4DMSP|5DUR|6aLIT|7DUST|8aFLTARM|9RCR|aBPWR
70	52341 11231	   	274.11	DCR|2LIT|2FLTARM|2VULN	12VULN|3aLWND|4ERES|5DUR|6aLIT|7LHND|8aFLTARM|9RCR|aBPWR
71	41352 13231	   	274.01	DCR|2LIT|2FLTARM|2VULN	1LHND|2aERES|34VULN|5FEWX|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
72	42121 14231	   	274.01	DCR|2LIT|2FLTARM|2VULN	1LHND|2aVULN|3ERES|4RCVC|5DUR|6aLIT|7DUST|8aFLTARM|9RCR|aBPWR
73	42131 14231	   	274.01	DCR|2LIT|2FLTARM|2VULN	1LHND|2aVULN|3ERES|4DMSP|5DUR|6aLIT|7DUST|8aFLTARM|9RCR|aBPWR
74	51424 11231	   	274.01	DCR|2LIT|2FLTARM|2VULN	13VULN|2aERES|4BEXP|5DUR|6aLIT|7LHND|8aFLTARM|9RCR|aBPWR
75	51441 11231	   	274.01	DCR|2LIT|2FLTARM|2VULN	13VULN|2aERES|4LWND|5DUR|6aLIT|7LHND|8aFLTARM|9RCR|aBPWR
76	51513 11231	   	274.01	DCR|2LIT|2FLTARM|2VULN	15VULN|2aERES|3DUR|4LWND|6aLIT|7LHND|8aFLTARM|9RCR|aBPWR
77	51553 11231	   	274.01	DCR|2LIT|2FLTARM|2VULN	14VULN|2aERES|3DUR|5BEXP|6aLIT|7LHND|8aFLTARM|9RCR|aBPWR
78	53151 14231	   	274.01	DCR|2LIT|2FLTARM|2VULN	14VULN|2aLHND|3ERES|5DUR|6aLIT|7DUST|8aFLTARM|9RCR|aBPWR
79	53212 13231	   	274.01	DCR|2LIT|2FLTARM|2VULN	14VULN|2aLHND|3DUST|5ERES|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
80	53341 14231	   	274.01	DCR|2LIT|2FLTARM|2VULN	13VULN|2aLHND|4ERES|5DUR|6aLIT|7DUST|8aFLTARM|9RCR|aBPWR
81	51552 11231	   	273.91	DCR|2LIT|2FLTARM|2VULN	14VULN|2aERES|3DUR|5DUST|6aLIT|7LHND|8aFLTARM|9RCR|aBPWR
82	41351 14231	   	273.91	DCR|2LIT|2FLTARM|2VULN	1LHND|2aERES|34VULN|5DUR|6aLIT|7DUST|8aFLTARM|9RCR|aBPWR
83	33261 26211	   	273.59	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	12DMG|3CDMG|4AART|57VULN|6RCR|8MLV|9LIT|aFEWX
84	33261 26213	   	273.59	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	12DMG|3CDMG|4AART|57VULN|6RCR|8MLV|9LIT|aRMIN
85	52122 34313	 * 	273.59	ACR|3LIT|2MLV|3VULN	127VULN|37aLIT|47DUST|5RCR|6RPLT|7BPWR|89MLV
86	33261 26212	   	273.49	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	12DMG|3CDMG|4AART|57VULN|6RCR|8MLV|9LIT|aDUST
87	21251 24162	   	273.48	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1CDMG|2AART|3LHND|46VULN|5aLIT|7DMG|8MLV|9RCR
88	21251 24163	   	272.75	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1CDMG|2AART|3LHND|46aVULN|5LIT|7DMG|8MLV|9RCR
89	52122 34361	 * 	271.92	ACR|2LIT|4VULN|1MLV|1CDMG	127aVULN|37LIT|47DUST|5RCR|6RPLT|7BPWR|8MLV|9CDMG
90	34131 25313	 * 	271.25	DCR|3VULN|1LIT|1FLTARM|1DMG	1DMG|2ERES|3LIT|458VULN|6RMIN|7RCR|9ZMB|aFLTARM
91	52152 32362	 * 	270.97	DCR|3LIT|3VULN|1DMG	129VULN|346LIT|569FEWX|69BPWR|7RCR|8AART|aDMG
