0	Index      	 *	Score 	Summary	Detail	
1	24442 23131	 * 	297.95	DCR|2LIT|3VULN|2DMG|1MLV	18CRUSTR|238VULN|47LIT|5MLV|68DMG|8BPWR|9CGEN|aRCR
13	16231 11612	 * 	281.28	DCR|2LIT|2MLV|2VULN|1DMG	19LIT|2LSRHEA|3LWND|46VULN|57MLV|8RCR|aDMG
14	16231 11642	   	281.28	DCR|2LIT|2MLV|2VULN|1DMG	1aLIT|2LSRHEA|3LWND|46VULN|57MLV|8RCR|9DMG
15	16111 13526	   	281.26	DCR|3LIT|2VULN|1MLV|2ASPD	179LIT|27LSRHEA|39DUST|4MBVNT|5MLV|67VULN|79BPWR|89ASPD|aRCR
16	16231 63121	   	280.00	DCR|3LIT|3MLV|2VULN	168LIT|28aLSRHEA|37LWND|4aVULN|58aMLV|8aBPWR|9RCR
17	16231 63611	   	277.28	DCR|3LIT|2MLV|2VULN	169LIT|2aLSRHEA|37LWND|4aVULN|5aMLV|8RCR|aBPWR
18	16111 13116	 * 	277.20	DCR|3LIT|3VULN|1MLV	179LIT|27LSRHEA|3DUST|4MBVNT|5MLV|678VULN|7BPWR|aRCR
19	16431 33631	   	275.52	DCR|2LIT|2VULN|2DMG|1MLV	14LIT|25LSRHEA|35DMG|5BPWR|68VULN|7MLV|9CGEN|aRCR
20	12263 62225	 * 	275.46	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG|2ZMB	19LIT|2RMIN|3SNITOX|49ASPD|5VULN|6RCR|7DMG|89ZMB|9BPWR|aMLV
21	22243 23421	   	275.03	DCR|3LIT|2MLV|2VULN	17CRUSTR|2RMIN|35MLV|457LIT|57BPWR|67VULN|8CGEN|9RCR|aLWND
22	22243 23426	   	275.03	DCR|3LIT|2MLV|2VULN	17CRUSTR|2RMIN|35MLV|457LIT|57BPWR|67VULN|8CGEN|9RCR|aBEXP
23	22243 23521	   	275.03	DCR|3LIT|2MLV|2VULN	17CRUSTR|2RMIN|35MLV|457LIT|57BPWR|67VULN|8TLV|9RCR|aLWND
24	22243 23526	   	275.03	DCR|3LIT|2MLV|2VULN	17CRUSTR|2RMIN|35MLV|457LIT|57BPWR|67VULN|8TLV|9RCR|aBEXP
25	22243 23131	   	274.88	DCR|3LIT|2MLV|2VULN	17CRUSTR|2RMIN|35MLV|457LIT|57BPWR|67VULN|8DUST|9RCR|aFEWX
26	22243 23132	   	274.88	DCR|3LIT|2MLV|2VULN	17CRUSTR|2RMIN|35MLV|457LIT|57BPWR|67VULN|8DUST|9RCR|aBEXP
27	16323 53422	 * 	274.87	DCR|3LIT|3VULN|2ASPD|1SELL	19aLIT|2LSRHEA|39ASPD|4RPLT|569VULN|7SELL|8RCR|9BPWR
28	51323 53422	 * 	274.87	DCR|3LIT|3VULN|2ASPD|1SELL	19ASPD|2BLAICY|3RPLT|459VULN|69aLIT|7SELL|8RCR|9BPWR
29	22243 23422	   	274.66	DCR|3LIT|2MLV|2VULN|1SELL	17CRUSTR|2RMIN|35MLV|457LIT|57BPWR|67VULN|8CGEN|9RCR|aSELL
30	22243 23522	   	274.66	DCR|3LIT|2MLV|2VULN|1SELL	17CRUSTR|2RMIN|35MLV|457LIT|57BPWR|67VULN|8TLV|9RCR|aSELL
31	22243 23134	   	274.51	DCR|3LIT|2MLV|2VULN|1SELL	17CRUSTR|2RMIN|35MLV|457LIT|57BPWR|67VULN|8DUST|9RCR|aSELL
32	12432 23334	 * 	272.57	DCR|3LIT|3VULN|3ZMB	17aLIT|2RMIN|37DUST|4AART|57aZMB|6RCR|7aBPWR|89aVULN
33	22245 62122	   	272.17	DCR|2LIT|2VULN|1MLV|1DMG	1CRUSTR|2RMIN|3MLV|4aLIT|58VULN|6RCR|7DMG|9ZMB
34	16233 62125	   	272.07	DCR|2LIT|2VULN|1MLV|1DMG	15LIT|2LSRHEA|3LWND|48VULN|6RCR|7DMG|9ZMB|aMLV
35	14123 31134	   	272.03	DCR|3LIT|2MLV|2VULN	157LIT|27VULN|36BELT|47MLV|7BPWR|8CGEN|9CANSTR|aRCR
36	14123 31164	   	272.03	DCR|3LIT|2MLV|2VULN	157LIT|27VULN|36BELT|47MLV|7BPWR|8CGEN|9CANARM|aRCR
37	16133 61225	   	271.97	DCR|2LIT|2VULN|1MLV|1DMG	15LIT|2LSRHEA|3DUST|47VULN|6RCR|8DMG|9ZMB|aMLV
38	16133 62125	   	271.97	DCR|2LIT|2VULN|1MLV|1DMG	15LIT|2LSRHEA|3DUST|48VULN|6RCR|7DMG|9ZMB|aMLV
39	54114 23213	   	271.20	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|36VULN|4MLV|5ZMB|7DMG|8FEWX|9RCR|aLIT
40	22243 16362	 * 	270.19	DCR|2LIT|2MLV|1FLTARM|1VULN|2ASPD	1CRUSTR|2RMIN|35MLV|45LIT|5BPWR|67ASPD|8FLTARM|9RCR|aVULN
41	24111 62422	 * 	269.67	DCR|2LIT|2VULN|2ASPD|1DMG|2ZMB	1CRUSTR|29VULN|3TLV|4aLIT|59ZMB|6RCR|7DMG|89ASPD|9BPWR
42	32424 22263	   	268.87	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	1BEXP|2CDMG|35VULN|4FEWX|69LIT|7ASPD|8RCR|aMLV
43	16233 61262	   	268.82	DCR|2LIT|3VULN|1DMG|1ASPD	15LIT|2LSRHEA|3LWND|478VULN|6RCR|9ASPD|aDMG
44	32414 22263	   	268.77	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	1BEXP|2CDMG|35VULN|4DUST|69LIT|7ASPD|8RCR|aMLV
