0	Index      	 *	Score 	Summary	Detail	
1	31261 32616	 * 	279.68	DCR|3LIT|2MLV|2VULN|3DUR	125DUR|3MBVNT|48aLIT|6aMLV|7RCR|9aVULN|aBPWR
24	11332 33233	   	257.20	DCR|3VULN|1LIT|1MLV|1DMG	1MLV|2CGEN|3ERES|457VULN|6LIT|8DMG|9LWND|aRCR
25	14432 33233	   	257.20	DCR|3VULN|1LIT|1MLV|1DMG	1MLV|2ERES|3CGEN|457VULN|6LIT|8DMG|9LWND|aRCR
26	64353 24221	   	257.05	ACR|2LIT|3VULN|1MLV|1AART	1FEWX|2MBVNT|37LIT|4RCR|568VULN|9MLV|aAART
27	64353 24421	   	257.05	ACR|2LIT|3VULN|1MLV|1AART	1FEWX|2MBVNT|37LIT|4RCR|569VULN|8MLV|aAART
28	12523 42533	   	256.96	DCR|3LIT|2VULN|1MLV	1MLV|2DLOT|3aVULN|457LIT|6BEXP|8AART|9RCR
29	12623 55133	   	256.96	DCR|3LIT|2VULN|1MLV	1MLV|2DLOT|3LHND|457LIT|6AART|8aVULN|9RCR
30	52165 22313	   	256.91	DCR|2LIT|2VULN|1MLV|1ASPD	1RMIN|2BLAICY|3aVULN|4ASPD|56LIT|7RCR|8MLV|9LHND
31	12523 22534	   	256.86	DCR|3LIT|2VULN|1MLV|1DUR	1MLV|2DLOT|3aVULN|457LIT|6DUR|8AART|9RCR
32	13265 22431	   	256.67	DCR|2LIT|2VULN|1MLV|1ASPD|1SELL	1MLV|2LWND|3CANTOX|4ASPD|56LIT|7RCR|8SELL|9aVULN
33	53121 61214	 * 	256.61	DCR|2LIT|1FLTARM|1VULN|1MLV	1RMIN|29LIT|3BEXP|4SPLREG|5RCVC|6RCR|7FLTARM|8VULN|aMLV
34	53123 61214	   	256.61	DCR|2LIT|1FLTARM|1VULN|1MLV	1RMIN|29LIT|3BEXP|4SPLREG|5DMSP|6RCR|7FLTARM|8VULN|aMLV
35	66332 11423	   	256.59	DCR|2LIT|2MLV|2VULN	1FEWX|2DUST|37LIT|4LHND|58MLV|6RCR|9aVULN
36	11332 36135	 * 	256.14	DCR|1LIT|2VULN|2DMG|1MLV	1MLV|2CGEN|3ERES|45VULN|6LIT|7BLAICY|8RCR|9aDMG
37	64364 41233	 * 	256.05	DCR|1LIT|2VULN|2DMG|1FLTARM	1FEWX|2MBVNT|3LIT|4BLASTR|56DMG|7FLTARM|8aVULN|9RCR
38	11622 62353	   	255.91	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1MLV|2CGEN|3DMG|4CDMG|5LIT|6RCR|7BASHEA|8FEWX|9aVULN
39	11622 62523	   	255.91	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1MLV|2CGEN|3DMG|4CDMG|5LIT|6RCR|7BASHEA|8aVULN|9LWND
40	12536 11633	   	255.91	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1MLV|2DLOT|39VULN|4BEXP|5FEWX|6RCR|7CDMG|8DMG|aLIT
41	11212 87448	   	255.81	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1MLV|2CGEN|3MBVNT|4ERES|57VULN|6RCR|8CDMG|9DMG|aLIT
42	11242 87448	   	255.81	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1MLV|2CGEN|3MBVNT|47VULN|5ERES|6RCR|8CDMG|9DMG|aLIT
43	11622 62631	   	255.81	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1MLV|2CGEN|3DMG|4CDMG|5LIT|6RCR|7BASHEA|8ERES|9aVULN
44	12356 11633	   	255.81	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1MLV|2DLOT|3FEWX|4DUST|59VULN|6RCR|7CDMG|8DMG|aLIT
45	12534 11633	   	255.81	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1MLV|2DLOT|39VULN|4BEXP|5DUST|6RCR|7CDMG|8DMG|aLIT
46	22231 87448	   	255.81	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1CGEN|2ERES|3MBVNT|47VULN|5MLV|6RCR|8CDMG|9DMG|aLIT
47	12156 11633	   	255.71	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1MLV|2DLOT|3DUR|4DUST|59VULN|6RCR|7CDMG|8DMG|aLIT
48	11621 26231	 * 	254.53	DCR|2MLV|1LIT|2DMG|1VULN|1CDMG	15MLV|2CGEN|39DMG|4CDMG|6LSRHEA|7LIT|8RCR|aVULN
49	31261 68422	 * 	254.47	DCR|3LIT|2VULN|3DUR|2ASPD	125DUR|3MBVNT|48aLIT|6aVULN|7RCR|9aASPD|aBPWR
50	64353 24222	   	254.45	ACR|2LIT|3VULN|1MLV|1ASPD	1FEWX|2MBVNT|37LIT|4RCR|568VULN|9MLV|aASPD
51	64353 24422	   	254.45	ACR|2LIT|3VULN|1MLV|1ASPD	1FEWX|2MBVNT|37LIT|4RCR|569VULN|8MLV|aASPD
52	15265 32221	   	254.01	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1MLV|2LHND|3CANTOX|4ASPD|5LIT|68VULN|7RCR|9LSRHEA|aDMG
53	31261 22416	   	253.74	DCR|2LIT|2MLV|2VULN|3DUR	125DUR|3MBVNT|4aLIT|6RCVC|7RCR|8aMLV|9aVULN|aBPWR
54	33261 12416	   	253.74	DCR|2LIT|2MLV|2VULN|3DUR	156DUR|2RCVC|3MBVNT|4aLIT|7RCR|8aMLV|9aVULN|aBPWR
55	34261 12416	   	253.74	DCR|2LIT|2MLV|2VULN|3DUR	156DUR|2MBVNT|3RCVC|4aLIT|7RCR|8aMLV|9aVULN|aBPWR
56	34361 22416	   	253.74	DCR|2LIT|2MLV|2VULN|3DUR	135DUR|2MBVNT|4aLIT|6RCVC|7RCR|8aMLV|9aVULN|aBPWR
57	64353 21421	   	253.35	ACR|4VULN|1LIT|1MLV|1AART	1FEWX|2MBVNT|3LIT|4RCR|5679VULN|8MLV|aAART
58	64353 21221	   	253.35	ACR|4VULN|1LIT|1MLV|1AART	1FEWX|2MBVNT|3LIT|4RCR|5678VULN|9MLV|aAART
59	12323 42133	   	252.62	DCR|3LIT|1VULN|1MLV|1DMG	1MLV|2DLOT|3FEWX|457LIT|6BEXP|8RCR|9DMG|aVULN
60	12523 42131	   	252.62	DCR|3LIT|1VULN|1MLV|1DMG	1MLV|2DLOT|3VULN|457LIT|6BEXP|8RCR|9DMG|aLHND
61	12523 42132	   	252.62	DCR|3LIT|1VULN|1MLV|1DMG	1MLV|2DLOT|3VULN|457LIT|6BEXP|8RCR|9DMG|aLWND
62	12523 42134	   	252.62	DCR|3LIT|1VULN|1MLV|1DMG	1MLV|2DLOT|3VULN|457LIT|6BEXP|8RCR|9DMG|aRPLT
63	12523 42135	   	252.62	DCR|3LIT|1VULN|1MLV|1DMG	1MLV|2DLOT|3VULN|457LIT|6BEXP|8RCR|9DMG|aRMIN
64	12623 42133	   	252.62	DCR|3LIT|1VULN|1MLV|1DMG	1MLV|2DLOT|3LHND|457LIT|6BEXP|8RCR|9DMG|aVULN
65	11622 63411	   	252.57	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1DUR	1MLV|2CGEN|3DMG|4CDMG|58LIT|6RCR|7DUR|9FEWX|aVULN
66	11622 63431	   	252.57	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1DUR	1MLV|2CGEN|3DMG|4CDMG|58LIT|6RCR|7DUR|9BEXP|aVULN
67	11622 63631	   	252.57	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1DUR	1MLV|2CGEN|3DMG|4CDMG|59LIT|6RCR|7DUR|8LWND|aVULN
68	25265 33322	 * 	252.55	DCR|3LIT|3VULN	1CGEN|289LHND|3CANTOX|4ZMB|589LIT|6TLV|789VULN|89BPWR|aRCR
69	12123 42133	   	252.52	DCR|3LIT|1VULN|1MLV|1DMG|1DUR	1MLV|2DLOT|3DUR|457LIT|6BEXP|8RCR|9DMG|aVULN
70	12523 22131	   	252.52	DCR|3LIT|1VULN|1MLV|1DMG|1DUR	1MLV|2DLOT|3VULN|457LIT|6DUR|8RCR|9DMG|aLHND
71	12523 22132	   	252.52	DCR|3LIT|1VULN|1MLV|1DMG|1DUR	1MLV|2DLOT|3VULN|457LIT|6DUR|8RCR|9DMG|aLWND
72	12523 22134	   	252.52	DCR|3LIT|1VULN|1MLV|1DMG|1DUR	1MLV|2DLOT|3VULN|457LIT|6DUR|8RCR|9DMG|aRPLT
73	12523 22135	   	252.52	DCR|3LIT|1VULN|1MLV|1DMG|1DUR	1MLV|2DLOT|3VULN|457LIT|6DUR|8RCR|9DMG|aRMIN
74	12323 22133	   	252.52	DCR|3LIT|1VULN|1MLV|1DMG|1DUR	1MLV|2DLOT|3FEWX|457LIT|6DUR|8RCR|9DMG|aVULN
75	12623 22133	   	252.52	DCR|3LIT|1VULN|1MLV|1DMG|1DUR	1MLV|2DLOT|3LHND|457LIT|6DUR|8RCR|9DMG|aVULN
76	11622 63531	   	252.47	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1DUR	1MLV|2CGEN|3DMG|4CDMG|59LIT|6RCR|7DUR|8DUST|aVULN
77	11212 85633	   	252.22	DCR|2MLV|1LIT|2VULN|1DMG	17MLV|2CGEN|3MBVNT|4ERES|59VULN|6RCR|8DMG|aLIT
78	11242 85633	   	252.22	DCR|2MLV|1LIT|2VULN|1DMG	17MLV|2CGEN|3MBVNT|49VULN|5ERES|6RCR|8DMG|aLIT
79	22231 85633	   	252.22	DCR|2MLV|1LIT|2VULN|1DMG	1CGEN|2ERES|3MBVNT|49VULN|57MLV|6RCR|8DMG|aLIT
80	11335 16263	   	251.71	DCR|2LIT|2VULN|1MLV|1ASPD	1MLV|29CGEN|3ERES|48VULN|59LHND|6ASPD|79LIT|9BPWR|aRCR
81	11312 16363	   	251.61	DCR|2LIT|2VULN|1MLV|1ASPD	1MLV|29CGEN|38ERES|4LHND|59VULN|6ASPD|79LIT|9BPWR|aRCR
82	11332 22323	   	251.51	DCR|2LIT|2VULN|1MLV|1ASPD	1MLV|2CGEN|3ERES|45VULN|6LWND|78LIT|9ASPD|aRCR
83	14432 22323	   	251.51	DCR|2LIT|2VULN|1MLV|1ASPD	1MLV|2ERES|3CGEN|45VULN|6LWND|78LIT|9ASPD|aRCR
84	11238 77443	   	251.34	DCR|2LIT|2MLV|2VULN|1DUR	17MLV|27CGEN|3MBVNT|4DUR|5BEXP|67VULN|7BPWR|8RCR|9aLIT
85	12523 53212	   	251.27	DCR|2LIT|2VULN|1MLV|1CDMG|1SELL	1MLV|2DLOT|37VULN|45LIT|6AART|8SELL|9CDMG|aRCR
86	31261 46642	   	250.87	DCR|3LIT|2VULN|3DUR|2ASPD	125DUR|3MBVNT|48aLIT|6aASPD|7aVULN|9RCR|aBPWR
87	11332 33633	   	250.78	DCR|3VULN|1LIT|1MLV|1ASPD	1MLV|2CGEN|3ERES|457VULN|6LIT|8ASPD|9LWND|aRCR
88	14432 33633	   	250.78	DCR|3VULN|1LIT|1MLV|1ASPD	1MLV|2ERES|3CGEN|457VULN|6LIT|8ASPD|9LWND|aRCR
89	11332 26123	   	250.78	DCR|3VULN|1LIT|1MLV|1ASPD	1MLV|2CGEN|3ERES|457VULN|6LWND|8LIT|9ASPD|aRCR
90	14432 26123	   	250.78	DCR|3VULN|1LIT|1MLV|1ASPD	1MLV|2ERES|3CGEN|457VULN|6LWND|8LIT|9ASPD|aRCR
91	52165 22331	   	250.77	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1RMIN|2BLAICY|3VULN|4ASPD|56LIT|7RCR|8MLV|9DMG|aBEXP
92	52165 22332	   	250.77	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1RMIN|2BLAICY|3VULN|4ASPD|56LIT|7RCR|8MLV|9DMG|aRPLT
93	64353 21422	   	250.75	ACR|4VULN|1LIT|1MLV|1ASPD	1FEWX|2MBVNT|3LIT|4RCR|5679VULN|8MLV|aASPD
94	64353 21222	   	250.75	ACR|4VULN|1LIT|1MLV|1ASPD	1FEWX|2MBVNT|3LIT|4RCR|5678VULN|9MLV|aASPD
95	53121 61212	 * 	250.72	DCR|2LIT|2VULN|1FLTARM	1RMIN|29LIT|3BEXP|4SPLREG|5RCVC|6RCR|7FLTARM|8aVULN
96	53123 61212	   	250.72	DCR|2LIT|2VULN|1FLTARM	1RMIN|29LIT|3BEXP|4SPLREG|5DMSP|6RCR|7FLTARM|8aVULN
97	14262 83332	   	250.72	DCR|3LIT|1VULN|1MLV|1DMG	1MLV|2ERES|3MBVNT|458LIT|6CGEN|7VULN|9RCR|aDMG
98	11332 33323	   	250.68	DCR|3VULN|1LIT|1MLV|1ASPD|1DUR	1MLV|2CGEN|3ERES|457VULN|6LIT|8DUR|9ASPD|aRCR
99	14432 33323	   	250.68	DCR|3VULN|1LIT|1MLV|1ASPD|1DUR	1MLV|2ERES|3CGEN|457VULN|6LIT|8DUR|9ASPD|aRCR
100	53121 61523	   	250.68	DCR|2LIT|2VULN|1FLTARM|1SELL	1RMIN|2aLIT|3aBEXP|4SPLREG|5RCVC|6RCR|7FLTARM|8SELL|9aVULN|aBPWR
101	53123 61523	   	250.68	DCR|2LIT|2VULN|1FLTARM|1SELL	1RMIN|2aLIT|3aBEXP|4SPLREG|5DMSP|6RCR|7FLTARM|8SELL|9aVULN|aBPWR
102	21211 13632	 * 	250.67	DCR|3LIT|3DMG|1VULN	12378CGEN|478DMG|5DMSP|678LIT|78BPWR|9VULN|aRCR
103	21525 13632	   	250.67	DCR|3LIT|3DMG|1VULN	12478CGEN|3RCVC|578DMG|678LIT|78BPWR|9VULN|aRCR
104	23225 13632	   	250.67	DCR|3LIT|3DMG|1VULN	13478CGEN|2RCVC|578DMG|678LIT|78BPWR|9VULN|aRCR
105	13265 22432	   	250.53	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1SELL	1MLV|2LWND|3CANTOX|4ASPD|56LIT|7RCR|8SELL|9VULN|aDMG
106	16245 31213	   	250.35	ACR|2LIT|2MLV|3VULN	17MLV|2FEWX|37CANTOX|4RCR|5RPLT|679VULN|7BPWR|8aLIT
107	11622 63351	   	250.29	DCR|1LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD|1DUR	1MLV|2CGEN|3DMG|4CDMG|5LIT|6RCR|7DUR|8ASPD|9ZMB|aVULN
108	12523 11344	   	249.77	DCR|2LIT|1VULN|1MLV|1DMG|1AART	1MLV|2DLOT|3VULN|45LIT|6BELT|7LWND|8DMG|9RCR|aAART
109	12523 13343	   	249.77	DCR|2LIT|1VULN|1MLV|1DMG|1AART	1MLV|2DLOT|3VULN|45LIT|6BELT|7BEXP|8DMG|9RCR|aAART
110	11622 61326	 * 	249.77	DCR|1LIT|1VULN|1MLV|2CDMG|1DMG|1ASPD	1MLV|2CGEN|3DMG|4aCDMG|5LIT|6RCR|7RPLT|8ASPD|9VULN
