0	Index      	 *	Score 	Summary	Detail	
1	32223 73234	 * 	321.11	DCR|2LIT|2FLTARM|2VULN|3DMG|1SELL	1aFLTARM|2MBVNT|3SELL|469DMG|5aVULN|7RCR|8aLIT|aBPWR
13	32481 61613	   	299.38	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	1FLTARM|2MBVNT|3BELT|46LIT|56VULN|6BPWR|7MLV|8RCR|9DMG|aFEWX
14	32481 61614	   	299.38	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	1FLTARM|2MBVNT|3BELT|46LIT|56VULN|6BPWR|7MLV|8RCR|9DMG|aLHND
15	32481 61644	   	299.38	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	1FLTARM|2MBVNT|3BELT|46LIT|56VULN|6BPWR|7MLV|8RCR|9FEWX|aDMG
16	32481 51612	   	299.28	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	1FLTARM|2MBVNT|3BELT|4aLIT|56VULN|7MLV|8RCR|9DMG
17	32481 13628	 * 	298.34	DCR|2LIT|2FLTARM|2VULN|1MLV	19FLTARM|2MBVNT|3BELT|49LIT|59VULN|6RPLT|7DMSP|8RCR|9BPWR|aMLV
18	32481 14628	   	298.34	DCR|2LIT|2FLTARM|2VULN|1MLV	19FLTARM|2MBVNT|3BELT|49LIT|59VULN|6RPLT|7RCVC|8RCR|9BPWR|aMLV
19	32481 61381	   	298.10	DCR|2LIT|2VULN|1FLTARM|1MLV|1CDMG	1FLTARM|2MBVNT|3BELT|46LIT|56VULN|6BPWR|7MLV|8ZMB|9RCR|aCDMG
20	32481 61426	   	297.58	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	1FLTARM|2MBVNT|3BELT|46LIT|56VULN|6BPWR|7MLV|8AART|9RCR|aDMG
21	32481 61622	   	296.61	DCR|3LIT|2VULN|1FLTARM|1MLV	1FLTARM|2MBVNT|3BELT|46aLIT|56VULN|6BPWR|7MLV|8RCR|9CGEN
22	32823 11648	 * 	295.61	ACR|3LIT|3VULN|2FLTARM	19FLTARM|2MBVNT|3RCR|456LIT|79TLV|89aVULN|9BPWR
23	32276 73234	 * 	294.90	DCR|2LIT|2FLTARM|3DMG|1MLV|1SELL	19FLTARM|2MBVNT|3SELL|4FEWX|569DMG|7RCR|89LIT|9BPWR|aMLV
24	32481 63182	   	294.81	DCR|3LIT|2VULN|1FLTARM|1MLV	1FLTARM|2MBVNT|3BELT|46aLIT|56VULN|6BPWR|7TLV|8MLV|9RCR
25	32481 17623	   	294.47	DCR|3LIT|2FLTARM|2VULN	19FLTARM|2MBVNT|3BELT|479LIT|59VULN|6RPLT|8RCR|9BPWR|aCGEN
26	32488 62224	   	294.37	DCR|3LIT|2FLTARM|2VULN	16FLTARM|2MBVNT|3BELT|456LIT|6BPWR|7LWND|8RCR|9aVULN
27	32481 17624	   	294.37	DCR|3LIT|2FLTARM|2VULN	19FLTARM|2MBVNT|3BELT|479LIT|59VULN|6RPLT|8RCR|9BPWR|aSPLARM
28	32823 62824	   	293.44	ACR|3LIT|2FLTARM|2VULN|1DMG	16FLTARM|2MBVNT|3RCR|456LIT|6BPWR|7DMG|8AART|9aVULN
29	32481 61621	   	292.97	DCR|2LIT|2VULN|1FLTARM|1MLV|1CDMG	1FLTARM|2MBVNT|3BELT|46LIT|56VULN|6BPWR|7MLV|8RCR|9CGEN|aCDMG
30	32481 61631	   	292.97	DCR|2LIT|2VULN|1FLTARM|1MLV|1CDMG	1FLTARM|2MBVNT|3BELT|46LIT|56VULN|6BPWR|7MLV|8RCR|9CDMG|aCGEN
31	32481 61632	   	292.97	DCR|2LIT|2VULN|1FLTARM|1MLV|1CDMG	1FLTARM|2MBVNT|3BELT|46LIT|56VULN|6BPWR|7MLV|8RCR|9CDMG|aFEWX
32	32481 61634	   	292.97	DCR|2LIT|2VULN|1FLTARM|1MLV|1CDMG	1FLTARM|2MBVNT|3BELT|46LIT|56VULN|6BPWR|7MLV|8RCR|9CDMG|aBEXP
33	32823 67432	   	292.91	ACR|3LIT|2FLTARM|1VULN|1MLV|1CDMG	16FLTARM|2MBVNT|3RCR|456LIT|6BPWR|7LHND|8MLV|9CDMG|aVULN
34	32823 68432	   	292.91	ACR|3LIT|2FLTARM|1VULN|1MLV|1CDMG	16FLTARM|2MBVNT|3RCR|456LIT|6BPWR|7BEXP|8MLV|9CDMG|aVULN
35	32481 31633	   	292.87	DCR|2LIT|2VULN|1FLTARM|1MLV|1CDMG	1FLTARM|2MBVNT|3BELT|46LIT|5aVULN|7MLV|8RCR|9CDMG
36	35238 14442	 * 	292.80	DCR|3FLTARM|3VULN|1LIT|1MLV|3ZMB	178FLTARM|2MLV|378VULN|4MBVNT|578ZMB|6RCVC|78BPWR|9RCR|aLIT
37	32823 12477	   	291.76	ACR|3LIT|2FLTARM|2DMG|1MLV	18FLTARM|2MBVNT|3RCR|456LIT|78DMG|8BPWR|9MLV|aZMB
38	32823 12411	   	291.76	ACR|3LIT|2FLTARM|2DMG|1MLV	18FLTARM|2MBVNT|3RCR|456LIT|78DMG|8BPWR|9ZMB|aMLV
39	32823 62426	 * 	291.29	ACR|3LIT|3FLTARM|2DMG|1VULN	168FLTARM|2MBVNT|3RCR|456LIT|68BPWR|78DMG|9LWND|aVULN
40	32823 62431	   	291.29	ACR|3LIT|3FLTARM|2DMG|1VULN	168FLTARM|2MBVNT|3RCR|456LIT|68BPWR|78DMG|9VULN|aDMSP
41	32823 62432	   	291.29	ACR|3LIT|3FLTARM|2DMG|1VULN	168FLTARM|2MBVNT|3RCR|456LIT|68BPWR|78DMG|9VULN|aRPLT
42	32823 62433	   	291.29	ACR|3LIT|3FLTARM|2DMG|1VULN	168FLTARM|2MBVNT|3RCR|456LIT|68BPWR|78DMG|9VULN|aBEXP
43	32823 62434	   	291.29	ACR|3LIT|3FLTARM|2DMG|1VULN	168FLTARM|2MBVNT|3RCR|456LIT|68BPWR|78DMG|9VULN|aTLV
44	32823 62435	   	291.29	ACR|3LIT|3FLTARM|2DMG|1VULN	168FLTARM|2MBVNT|3RCR|456LIT|68BPWR|78DMG|9VULN|aBELT
45	32823 62437	   	291.29	ACR|3LIT|3FLTARM|2DMG|1VULN	168FLTARM|2MBVNT|3RCR|456LIT|68BPWR|78DMG|9VULN|aLHND
46	32823 12473	   	291.19	ACR|3LIT|2FLTARM|2DMG|1MLV|1AART	18FLTARM|2MBVNT|3RCR|456LIT|78DMG|8BPWR|9MLV|aAART
47	32823 62438	   	291.19	ACR|3LIT|3FLTARM|2DMG|1VULN	168FLTARM|2MBVNT|3RCR|456LIT|68BPWR|78DMG|9VULN|aDUST
48	32481 63181	   	291.17	DCR|2LIT|2VULN|1FLTARM|1MLV|1CDMG	1FLTARM|2MBVNT|3BELT|46LIT|56VULN|6BPWR|7TLV|8MLV|9RCR|aCDMG
