0	Index      	 *	Score 	Summary	Detail	
1	53411 22231	 * 	338.32	DCR|2LIT|2MLV|3VULN|2DMG|2DUR	17DMG|278VULN|34DUR|5aLIT|67MLV|7BPWR|9RCR
23	53462 32233	   	318.82	DCR|2LIT|4VULN|2DMG|1MLV	17DMG|2678VULN|3DUR|4MLV|57LIT|7BPWR|9RCR|aLHND
24	53322 32232	   	318.72	DCR|2LIT|4VULN|2DMG|1MLV	17DMG|2678VULN|3DUST|4MLV|57LIT|7BPWR|9RCR|aERES
25	53322 32236	   	318.72	DCR|2LIT|4VULN|2DMG|1MLV	17DMG|2678VULN|3DUST|4MLV|57LIT|7BPWR|9RCR|aVENICY
26	53462 32232	   	318.72	DCR|2LIT|4VULN|2DMG|1MLV	17DMG|2678VULN|3DUR|4MLV|57LIT|7BPWR|9RCR|aERES
27	53122 12231	   	317.05	DCR|3LIT|3VULN|2DMG|1MLV	17DMG|278VULN|36LHND|4MLV|57aLIT|7BPWR|9RCR
28	53123 12231	   	317.05	DCR|3LIT|3VULN|2DMG|1MLV	17DMG|278VULN|35LHND|4MLV|67aLIT|7BPWR|9RCR
29	53124 12231	   	317.05	DCR|3LIT|3VULN|2DMG|1MLV	17DMG|278VULN|3LHND|4MLV|5RCVC|67aLIT|7BPWR|9RCR
30	53222 62231	   	317.05	DCR|3LIT|3VULN|2DMG|1MLV	17DMG|278VULN|36BEXP|4MLV|57aLIT|7BPWR|9RCR
31	53224 12231	   	317.05	DCR|3LIT|3VULN|2DMG|1MLV	17DMG|278VULN|3BEXP|4MLV|5RCVC|67aLIT|7BPWR|9RCR
32	53324 12231	   	316.95	DCR|3LIT|3VULN|2DMG|1MLV	17DMG|278VULN|3DUST|4MLV|5RCVC|67aLIT|7BPWR|9RCR
33	53122 12234	   	316.00	DCR|2LIT|3VULN|2DMG|1MLV|1AART	17DMG|278VULN|36LHND|4MLV|57LIT|7BPWR|9RCR|aAART
34	53222 62234	   	316.00	DCR|2LIT|3VULN|2DMG|1MLV|1AART	17DMG|278VULN|36BEXP|4MLV|57LIT|7BPWR|9RCR|aAART
35	53123 12234	   	316.00	DCR|2LIT|3VULN|2DMG|1MLV|1AART	17DMG|278VULN|35LHND|4MLV|67LIT|7BPWR|9RCR|aAART
36	53124 12234	   	316.00	DCR|2LIT|3VULN|2DMG|1MLV|1AART	17DMG|278VULN|3LHND|4MLV|5RCVC|67LIT|7BPWR|9RCR|aAART
37	53224 12234	   	316.00	DCR|2LIT|3VULN|2DMG|1MLV|1AART	17DMG|278VULN|3BEXP|4MLV|5RCVC|67LIT|7BPWR|9RCR|aAART
38	53324 12234	   	315.90	DCR|2LIT|3VULN|2DMG|1MLV|1AART	17DMG|278VULN|3DUST|4MLV|5RCVC|67LIT|7BPWR|9RCR|aAART
39	53122 12235	   	315.41	DCR|2LIT|3VULN|3DMG|1MLV	17aDMG|278VULN|36LHND|4MLV|57LIT|7BPWR|9RCR
40	53222 62235	   	315.41	DCR|2LIT|3VULN|3DMG|1MLV	17aDMG|278VULN|36BEXP|4MLV|57LIT|7BPWR|9RCR
41	53123 12235	   	315.41	DCR|2LIT|3VULN|3DMG|1MLV	17aDMG|278VULN|35LHND|4MLV|67LIT|7BPWR|9RCR
42	53124 12235	   	315.41	DCR|2LIT|3VULN|3DMG|1MLV	17aDMG|278VULN|3LHND|4MLV|5RCVC|67LIT|7BPWR|9RCR
43	53224 12235	   	315.41	DCR|2LIT|3VULN|3DMG|1MLV	17aDMG|278VULN|3BEXP|4MLV|5RCVC|67LIT|7BPWR|9RCR
44	53324 12235	   	315.31	DCR|2LIT|3VULN|3DMG|1MLV	17aDMG|278VULN|3DUST|4MLV|5RCVC|67LIT|7BPWR|9RCR
