0	Index      	 *	Score 	Summary	Detail	
1	11351 35513	 * 	311.37	DCR|3LIT|5VULN|3CDMG	1RCVC|29aCDMG|3679aVULN|4RPLT|59aLIT|8RCR|9aBPWR
53	55232 44183	   	284.79	DCR|2LIT|3VULN|2FLTARM	14BELT|2MBVNT|378VULN|58LIT|68FLTARM|8BPWR|9RCVC|aRCR
54	51352 15112	 * 	283.36	DCR|3LIT|2VULN|1MLV|2ASPD	1BELT|2RMIN|3aVULN|4RPLT|5MLV|67aLIT|8aASPD|9RCR|aBPWR
55	22422 22315	   	283.26	DCR|3LIT|3VULN|2DMG	159VULN|29DMG|36LHND|45BEXP|59BPWR|789LIT|aRCR
56	22422 62315	   	283.26	DCR|3LIT|3VULN|2DMG	159VULN|29DMG|3LHND|45BEXP|59BPWR|6RCVC|789LIT|aRCR
57	22432 22315	   	283.26	DCR|3LIT|3VULN|2DMG	159VULN|29DMG|36LHND|45FEWX|59BPWR|789LIT|aRCR
58	22432 62315	   	283.26	DCR|3LIT|3VULN|2DMG	159VULN|29DMG|3LHND|45FEWX|59BPWR|6RCVC|789LIT|aRCR
59	22122 62315	   	283.16	DCR|3LIT|3VULN|2DMG	159VULN|29DMG|3DUR|45BEXP|59BPWR|6RCVC|789LIT|aRCR
60	22215 62315	   	283.16	DCR|3LIT|3VULN|2DMG	139VULN|29DMG|4FEWX|5BEXP|6RCVC|789LIT|9BPWR|aRCR
61	22225 12315	   	283.16	DCR|3LIT|3VULN|2DMG	139VULN|29DMG|45BEXP|6LWND|789LIT|9BPWR|aRCR
62	22245 22315	   	283.16	DCR|3LIT|3VULN|2DMG	139VULN|29DMG|46LHND|5BEXP|789LIT|9BPWR|aRCR
63	22245 32315	   	283.16	DCR|3LIT|3VULN|2DMG	139VULN|29DMG|4LHND|56BEXP|789LIT|9BPWR|aRCR
64	22321 52315	   	283.16	DCR|3LIT|3VULN|2DMG	169VULN|29DMG|35LWND|4BEXP|789LIT|9BPWR|aRCR
65	22326 52315	   	283.16	DCR|3LIT|3VULN|2DMG	169VULN|29DMG|3LWND|4BEXP|5RCVC|789LIT|9BPWR|aRCR
66	22331 52315	   	283.16	DCR|3LIT|3VULN|2DMG	169VULN|29DMG|35LWND|4FEWX|789LIT|9BPWR|aRCR
67	22333 52315	   	283.16	DCR|3LIT|3VULN|2DMG	169VULN|29DMG|3LWND|45FEWX|789LIT|9BPWR|aRCR
68	22336 52315	   	283.16	DCR|3LIT|3VULN|2DMG	169VULN|29DMG|3LWND|4FEWX|5RCVC|789LIT|9BPWR|aRCR
69	22126 52315	   	283.06	DCR|3LIT|3VULN|2DMG	169VULN|29DMG|3DUR|4BEXP|5RCVC|789LIT|9BPWR|aRCR
70	22225 42315	   	283.06	DCR|3LIT|3VULN|2DMG	139VULN|29DMG|45BEXP|6DUST|789LIT|9BPWR|aRCR
71	22226 62315	   	283.06	DCR|3LIT|3VULN|2DMG	139VULN|29DMG|4BEXP|5DUR|6RCVC|789LIT|9BPWR|aRCR
72	22311 52315	   	283.06	DCR|3LIT|3VULN|2DMG	169VULN|29DMG|35LWND|4DUR|789LIT|9BPWR|aRCR
73	22412 22315	   	283.06	DCR|3LIT|3VULN|2DMG|2DUR	159VULN|29DMG|36LHND|45DUR|59BPWR|789LIT|aRCR
74	22115 52315	   	282.96	DCR|3LIT|3VULN|2DMG|2DUR	169VULN|29DMG|34DUR|5BEXP|789LIT|9BPWR|aRCR
75	22233 63351	   	281.42	DCR|3LIT|2VULN|2DMG|1CDMG|1SELL	13VULN|29DMG|4SELL|5CDMG|6RCR|78aLIT
