0	Index      	 *	Score 	Summary	Detail	
1	32332 51124	 * 	308.39	DCR|3VULN|1LIT|2DMG|1MLV|2ASPD	17FEWX|279VULN|3MLV|48ASPD|57DMG|6RCR|7BPWR|aLIT
42	32423 13626	   	279.12	DCR|2LIT|2VULN|2DMG|1MLV	1FEWX|25VULN|3DUR|46DMG|79LIT|8RCR|aMLV
43	32151 13512	   	278.83	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	1FEWX|25VULN|35DMG|4RMIN|5BPWR|6CDMG|7RCR|8MLV|9ZMB|aLIT
44	62151 13512	   	278.73	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	1DUST|25VULN|35DMG|4RMIN|5BPWR|6CDMG|7RCR|8MLV|9ZMB|aLIT
45	32151 33632	   	278.58	DCR|3VULN|1LIT|2DMG|1MLV	1aFEWX|259VULN|35DMG|4RMIN|5BPWR|6MLV|7LIT|8RCR
46	32151 33634	   	278.58	DCR|3VULN|1LIT|2DMG|1MLV	1FEWX|259VULN|35DMG|4RMIN|5BPWR|6MLV|7LIT|8RCR|aCGEN
47	22141 36132	   	278.48	DCR|3VULN|1LIT|2DMG|1MLV	1LWND|259VULN|35DMG|4NUKE|5BPWR|6MLV|7LIT|8RCR|aFEWX
48	22141 36134	   	278.48	DCR|3VULN|1LIT|2DMG|1MLV	1LWND|259VULN|35DMG|4NUKE|5BPWR|6MLV|7LIT|8RCR|aCGEN
49	32141 33132	   	278.48	DCR|3VULN|1LIT|2DMG|1MLV	1aFEWX|259VULN|35DMG|4NUKE|5BPWR|6MLV|7LIT|8RCR
50	32141 33134	   	278.48	DCR|3VULN|1LIT|2DMG|1MLV	1FEWX|259VULN|35DMG|4NUKE|5BPWR|6MLV|7LIT|8RCR|aCGEN
51	32151 33631	   	278.48	DCR|3VULN|1LIT|2DMG|1MLV	1FEWX|259VULN|35DMG|4RMIN|5BPWR|6MLV|7LIT|8RCR|aDUST
52	32151 33635	   	278.48	DCR|3VULN|1LIT|2DMG|1MLV	1FEWX|259VULN|35DMG|4RMIN|5BPWR|6MLV|7LIT|8RCR|aSNITOX
