0	Index      	 *	Score 	Summary	Detail	
1	12361 11414	 * 	306.88	DCR|DCR|3VULN|1TLV	138VULN|2FLTARM|4MDPS|5CGEN|6TLV|7aRCR|9RPLT
25	34325 33214	   	288.67	DCR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1DUR|2ERES|3ASPD|4AEPOI|5AEWIND|6TLV|7aRCR|8BEXP|9VULN
26	12215 12414	 * 	288.19	DCR|DCR|2TLV|1VULN	1VULN|2FLTARM|3DUR|4FEWX|56TLV|7aRCR|8ERES|9RPLT
27	11322 42452	 * 	287.48	DCR|2TLV|2VULN|3ASPD|1AEBURN	19VULN|2MLV|359ASPD|4AEBURN|6LWND|79TLV|8RCVC|9BPWR|aRCR
28	16532 36111	   	287.17	DCR|2TLV|2VULN|3ASPD|1AEBURN	17VULN|258ASPD|3MDPS|45TLV|5BPWR|6AEBURN|9NUKE|aRCR
29	12124 12241	   	285.86	DCR|4VULN|1TLV|1AEPOI	148aVULN|2FLTARM|3LHND|5TLV|6DUR|7RCR|9AEPOI
30	12124 12253	   	285.86	DCR|4VULN|1TLV|1DMG	148aVULN|2FLTARM|3LHND|5TLV|6DUR|7RCR|9DMG
31	12215 62241	   	285.86	DCR|4VULN|1TLV|1AEPOI	168aVULN|2FLTARM|3DUR|4FEWX|5TLV|7RCR|9AEPOI
32	12215 62253	   	285.86	DCR|4VULN|1TLV|1DMG	168aVULN|2FLTARM|3DUR|4FEWX|5TLV|7RCR|9DMG
33	12224 42241	   	285.86	DCR|4VULN|1TLV|1AEPOI	148aVULN|2FLTARM|3DUR|5TLV|6BEXP|7RCR|9AEPOI
34	12224 42253	   	285.86	DCR|4VULN|1TLV|1DMG	148aVULN|2FLTARM|3DUR|5TLV|6BEXP|7RCR|9DMG
35	12224 62241	   	285.86	DCR|4VULN|1TLV|1AEPOI	148aVULN|2FLTARM|3DUR|5TLV|6FEWX|7RCR|9AEPOI
36	12224 62253	   	285.86	DCR|4VULN|1TLV|1DMG	148aVULN|2FLTARM|3DUR|5TLV|6FEWX|7RCR|9DMG
37	12354 12241	   	285.86	DCR|4VULN|1TLV|1AEPOI	138aVULN|2FLTARM|4LHND|5TLV|6DUR|7RCR|9AEPOI
38	12354 12253	   	285.86	DCR|4VULN|1TLV|1DMG	138aVULN|2FLTARM|4LHND|5TLV|6DUR|7RCR|9DMG
39	33543 36333	   	285.06	DCR|4VULN|2TLV	1DUR|2LIT|3789VULN|4aTLV|5LWND|6RCR
40	32121 11414	   	285.01	DCR|DCR|2VULN|1TLV	1DUR|2TSLFST|3LHND|48VULN|5CGEN|6TLV|7aRCR|9RPLT
41	11612 11414	   	284.91	DCR|DCR|2VULN|1TLV	18VULN|2MLV|3DUR|4AETHUN|5FRZFST|6TLV|7aRCR|9RPLT
42	11623 11414	   	284.91	DCR|DCR|2VULN|1TLV	18VULN|2MLV|3DUR|4CANTOX|5LHND|6TLV|7aRCR|9RPLT
43	31252 11414	   	284.91	DCR|DCR|2VULN|1TLV	1DUR|2MLV|3BEXP|48VULN|5CANSTR|6TLV|7aRCR|9RPLT
44	26221 11414	   	284.81	DCR|DCR|2VULN|1TLV	1MULFIG|2LEGI|3DUR|48VULN|5CGEN|6TLV|7aRCR|9RPLT
45	51221 11414	   	284.81	DCR|DCR|2VULN|1TLV	1LEGI|2AIRARM|3DUR|48VULN|5CGEN|6TLV|7aRCR|9RPLT
46	32125 12241	   	284.08	DCR|3VULN|2TLV|1AEPOI	1DUR|2TSLFST|3LHND|48aVULN|56TLV|7RCR|9AEPOI
47	32125 12253	   	284.08	DCR|3VULN|2TLV|1DMG	1DUR|2TSLFST|3LHND|48aVULN|56TLV|7RCR|9DMG
48	26225 12241	   	283.88	DCR|3VULN|2TLV|1AEPOI	1MULFIG|2LEGI|3DUR|48aVULN|56TLV|7RCR|9AEPOI
49	26225 12253	   	283.88	DCR|3VULN|2TLV|1DMG	1MULFIG|2LEGI|3DUR|48aVULN|56TLV|7RCR|9DMG
50	51225 12241	   	283.88	DCR|3VULN|2TLV|1AEPOI	1LEGI|2AIRARM|3DUR|48aVULN|56TLV|7RCR|9AEPOI
51	51225 12253	   	283.88	DCR|3VULN|2TLV|1DMG	1LEGI|2AIRARM|3DUR|48aVULN|56TLV|7RCR|9DMG
52	36622 11531	   	283.39	DCR|2TLV|1VULN|1DMG|2AEPOI|2DUR|1ASPD|1AART	19DUR|2ASPD|3AART|49AEPOI|5LHND|6RCR|7DMG|89TLV|9BPWR|aVULN
53	12224 14531	 * 	283.34	DCR|4VULN|1TLV|3DUR	1479VULN|2FLTARM|36aDUR|5TLV|8RCR
54	12224 14511	   	282.35	DCR|3VULN|1TLV|3DUR|1AEPOI	147VULN|2FLTARM|36aDUR|5TLV|8RCR|9AEPOI
55	12111 11414	   	282.29	DCR|DCR|2VULN|1TLV	18VULN|2FLTARM|3LHND|4FEWX|5CGEN|6TLV|7aRCR|9RPLT
56	12523 11414	   	282.29	DCR|DCR|2VULN|1TLV	18VULN|2FLTARM|3FEWX|4CGEN|5LHND|6TLV|7aRCR|9RPLT
57	12613 11414	   	282.29	DCR|DCR|2VULN|1TLV	18VULN|2FLTARM|3AME|4FEWX|5LHND|6TLV|7aRCR|9RPLT
58	12623 11414	   	282.19	DCR|DCR|2VULN|1TLV	18VULN|2FLTARM|3AME|4DUST|5LHND|6TLV|7aRCR|9RPLT
59	12211 11314	   	282.15	DCR|DCR|1TLV|1VULN|1AEPOI	1VULN|2FLTARM|3DUR|4FEWX|5CGEN|6TLV|7aRCR|8AEPOI|9RPLT
60	12526 11314	   	282.15	DCR|DCR|1TLV|1VULN|1AEPOI	1VULN|2FLTARM|3FEWX|4CGEN|5DUR|6TLV|7aRCR|8AEPOI|9RPLT
61	12551 11314	   	282.15	DCR|DCR|1TLV|1VULN|1AEPOI	1VULN|2FLTARM|3FEWX|4DUR|5CGEN|6TLV|7aRCR|8AEPOI|9RPLT
62	12365 12343	 * 	281.55	DCR|3TLV|3VULN|2FLTARM	13aVULN|2aFLTARM|4MDPS|56aTLV|7RCR|8LEGI|9BELT|aBPWR
63	12115 12241	   	281.36	DCR|3VULN|2TLV|1AEPOI	18aVULN|2FLTARM|3LHND|4FEWX|56TLV|7RCR|9AEPOI
64	12115 12253	   	281.36	DCR|3VULN|2TLV|1DMG	18aVULN|2FLTARM|3LHND|4FEWX|56TLV|7RCR|9DMG
65	11535 34212	   	281.36	DCR|3VULN|2TLV|2AEBURN	16aVULN|2MLV|3MDPS|4aTLV|5RAT|7CGEN|8aAEBURN|9RCR|aBPWR
66	12365 12134	   	281.26	DCR|3VULN|2TLV|1DMG	139VULN|2FLTARM|4MDPS|56TLV|7RCR|8LWND|aDMG
67	12365 12214	   	281.26	DCR|3VULN|2TLV|1DMG	138VULN|2FLTARM|4MDPS|56TLV|7RCR|9BEXP|aDMG
68	12365 12224	   	281.26	DCR|3VULN|2TLV|1DMG	138VULN|2FLTARM|4MDPS|56TLV|7RCR|9LWND|aDMG
69	12365 12251	   	281.26	DCR|3VULN|2TLV|1DMG	138VULN|2FLTARM|4MDPS|56TLV|7RCR|9DMG|aLWND
70	32125 12414	   	281.25	DCR|DCR|2TLV|1VULN	1DUR|2TSLFST|3LHND|4VULN|56TLV|7aRCR|8ERES|9RPLT
71	32314 24341	 * 	281.19	DCR|1TLV|1VULN|2DMG|1AEFBLL|2CDMG|2DUR|1AART	17DUR|2TSLFST|37CDMG|4AEFBLL|5TLV|67DMG|7BPWR|8AART|9RCR|aVULN
72	12365 12242	   	281.16	DCR|3VULN|2TLV|1AEPOI	138VULN|2FLTARM|4MDPS|56TLV|7RCR|9AEPOI|aDUST
73	12365 12243	   	281.16	DCR|3VULN|2TLV|1AEPOI	138VULN|2FLTARM|4MDPS|56TLV|7RCR|9AEPOI|aLEGI
74	12365 12252	   	281.16	DCR|3VULN|2TLV|1DMG	138VULN|2FLTARM|4MDPS|56TLV|7RCR|9DMG|aERES
75	12365 12334	   	281.16	DCR|3VULN|2TLV|1DMG	139VULN|2FLTARM|4MDPS|56TLV|7RCR|8LEGI|aDMG
76	36121 33346	 * 	280.31	DCR|2TLV|1VULN|3DUR|2ASPD|1AEPOI	158DUR|28ASPD|3CGEN|4AEPOI|68TLV|7RCR|8BPWR|9RAT|aVULN
77	63321 22411	   	280.07	DCR|4VULN|1TLV|2CDMG|1AART	15CDMG|2AART|359aVULN|4NUKE|5BPWR|6BASICY|7RCR|8TLV
78	12155 12261	   	280.00	DCR|3VULN|2TLV|2DUR	18aVULN|2FLTARM|3LHND|49DUR|56TLV|7RCR
79	31622 32553	 * 	279.70	ACR|DCR|1TLV|2DMG|1ASPD|1AART	1DUR|2MLV|3AART|49RCR|5AME|6aDMG|7ASPD|8TLV
80	63321 22412	   	279.08	DCR|3VULN|1TLV|1AEFBLL|2CDMG|1AART	15CDMG|2AART|359VULN|4NUKE|5BPWR|6BASICY|7RCR|8TLV|aAEFBLL
81	63321 22416	   	279.08	DCR|3VULN|1TLV|1AEPOI|2CDMG|1AART	15CDMG|2AART|359VULN|4NUKE|5BPWR|6BASICY|7RCR|8TLV|aAEPOI
82	32125 62241	   	278.92	DCR|4VULN|1TLV|1AEPOI	1DUR|2TSLFST|3LHND|468aVULN|5TLV|7RCR|9AEPOI
83	32125 62253	   	278.92	DCR|4VULN|1TLV|1DMG	1DUR|2TSLFST|3LHND|468aVULN|5TLV|7RCR|9DMG
84	26324 12241	   	278.72	DCR|4VULN|1TLV|1AEPOI	1MULFIG|2LEGI|348aVULN|5TLV|6DUR|7RCR|9AEPOI
85	26324 12253	   	278.72	DCR|4VULN|1TLV|1DMG	1MULFIG|2LEGI|348aVULN|5TLV|6DUR|7RCR|9DMG
86	51324 12241	   	278.72	DCR|4VULN|1TLV|1AEPOI	1LEGI|2AIRARM|348aVULN|5TLV|6DUR|7RCR|9AEPOI
87	51324 12253	   	278.72	DCR|4VULN|1TLV|1DMG	1LEGI|2AIRARM|348aVULN|5TLV|6DUR|7RCR|9DMG
88	12115 12414	   	278.53	DCR|DCR|2TLV|1VULN	1VULN|2FLTARM|3LHND|4FEWX|56TLV|7aRCR|8ERES|9RPLT
89	12124 12256	   	278.46	DCR|3VULN|1TLV|1DMG|1CDMG	148VULN|2FLTARM|3LHND|5TLV|6DUR|7RCR|9DMG|aCDMG
90	36161 33114	   	277.84	DCR|DCR|1TLV|1VULN|2DUR|1ASPD	15DUR|2ASPD|34CGEN|6TLV|7aRCR|8FEWX|9VULN
91	36161 33214	   	277.84	DCR|DCR|1TLV|1VULN|2DUR|1ASPD	15DUR|2ASPD|34CGEN|6TLV|7aRCR|8BEXP|9VULN
92	12316 22434	   	277.53	DCR|3TLV|2VULN|2FLTARM|1AART	13VULN|26FLTARM|4AART|568TLV|6BPWR|7ERES|9DUR|aRCR
93	12215 12262	   	277.33	DCR|2TLV|2VULN|1AEFBLL|1AART	18VULN|2FLTARM|3DUR|4FEWX|56TLV|7RCR|9AART|aAEFBLL
94	11666 23323	 * 	276.92	ACR|2TLV|2VULN|3DUR|2CDMG	18VULN|2MLV|368DUR|48CDMG|5RCR|7MDPS|8BPWR|9aTLV
