0	Index      	 *	Score 	Summary	Detail	
1	54333 23253	 * 	303.13	DCR|2TLV|2VULN|3DMG|1AEBURN	1BELT|259DMG|3AEBURN|4NUKE|6DMSP|79TLV|89VULN|9BPWR|aRCR
38	61115 33622	   	288.47	ACR|2VULN|1TLV|2DMG|1AEPOI|1ASPD|2FLTHEA	1BEXP|2AEPOI|3aDMG|4RCR|5aFLTHEA|6TLV|7aVULN|8MSLREG|9ASPD|aBPWR
39	51333 53253	   	287.26	DCR|2VULN|1TLV|3DMG|1AEBURN|1AEPOI|2ZMB	1BELT|29ZMB|3AEBURN|459DMG|6AEPOI|7TLV|89VULN|9BPWR|aRCR
40	21613 63312	   	287.17	ACR|2TLV|2VULN|2DMG|1AEPOI	1DUST|2AEPOI|3aTLV|4RCR|5aDMG|6MULARM|7aVULN|8MULFIG|9ERES|aBPWR
41	21613 63612	   	287.17	ACR|2TLV|2VULN|2DMG|1AEPOI	1DUST|2AEPOI|3aTLV|4RCR|5aDMG|6MULARM|7aVULN|8MSLREG|9ERES|aBPWR
42	11115 33163	   	286.39	ACR|2TLV|2VULN|1DMG|1AEPOI	1LWND|2AEPOI|3DMG|4RCR|5FLTHEA|69TLV|7aVULN|8DUR
43	41115 33163	   	286.39	ACR|2TLV|2VULN|1DMG|1AEPOI	1LHND|2AEPOI|3DMG|4RCR|5FLTHEA|69TLV|7aVULN|8DUR
44	61115 33163	   	286.39	ACR|2TLV|2VULN|1DMG|1AEPOI	1BEXP|2AEPOI|3DMG|4RCR|5FLTHEA|69TLV|7aVULN|8DUR
45	61612 23311	   	286.14	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1BEXP|2AEPOI|3TLV|4aRCR|5LWND|6VULN|7CDMG|8LIT|9RAT
46	21612 23311	   	286.04	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1DUST|2AEPOI|3TLV|4aRCR|5LWND|6VULN|7CDMG|8LIT|9RAT
47	11113 33362	   	285.42	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LWND|2AEPOI|3DMG|49RCR|5AIRHEA|6TLV|7VULN|8MULFIG|aBEXP
48	11113 33363	   	285.42	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LWND|2AEPOI|3DMG|49RCR|5AIRHEA|6TLV|7VULN|8MULFIG|aRPLT
49	11113 33662	   	285.42	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LWND|2AEPOI|3DMG|49RCR|5AIRHEA|6TLV|7VULN|8MSLREG|aBEXP
50	11113 33663	   	285.42	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LWND|2AEPOI|3DMG|49RCR|5AIRHEA|6TLV|7VULN|8MSLREG|aRPLT
51	11113 33361	   	285.32	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LWND|2AEPOI|3DMG|49RCR|5AIRHEA|6TLV|7VULN|8MULFIG|aMDPS
52	11113 33364	   	285.32	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1MSE	1LWND|2AEPOI|3DMG|49RCR|5AIRHEA|6TLV|7VULN|8MULFIG|aMSE
53	11113 33366	   	285.32	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LWND|2AEPOI|3DMG|49RCR|5AIRHEA|6TLV|7VULN|8MULFIG|aERES
54	11113 33661	   	285.32	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LWND|2AEPOI|3DMG|49RCR|5AIRHEA|6TLV|7VULN|8MSLREG|aMDPS
55	11113 33664	   	285.32	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1MSE	1LWND|2AEPOI|3DMG|49RCR|5AIRHEA|6TLV|7VULN|8MSLREG|aMSE
56	11113 33666	   	285.32	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LWND|2AEPOI|3DMG|49RCR|5AIRHEA|6TLV|7VULN|8MSLREG|aERES
57	21613 63362	   	285.32	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1DUST|2AEPOI|3TLV|49RCR|5DMG|6MULARM|7VULN|8MULFIG|aBEXP
58	21613 63363	   	285.32	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1DUST|2AEPOI|3TLV|49RCR|5DMG|6MULARM|7VULN|8MULFIG|aRPLT
59	21613 63361	   	285.22	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1DUST|2AEPOI|3TLV|49RCR|5DMG|6MULARM|7VULN|8MULFIG|aMDPS
60	11115 33142	   	284.58	ACR|2VULN|1TLV|2DMG|1AEPOI|2FLTHEA	1LWND|2AEPOI|3aDMG|4RCR|5aFLTHEA|6TLV|7aVULN|8DUR|9LHND|aBPWR
61	41115 33152	   	284.48	ACR|2VULN|1TLV|2DMG|1AEPOI|2FLTHEA	1LHND|2AEPOI|3aDMG|4RCR|5aFLTHEA|6TLV|7aVULN|8DUR|9DUST|aBPWR
62	33542 41133	 * 	283.96	ACR|ACR|1TLV|1VULN|1AEBURN|2DUR	1ERES|2AIRARM|3VULN|45RCR|6MDPS|7AEBURN|89DUR|aTLV
63	25346 32212	   	283.24	DCR|2TLV|2VULN|2AEFBLL|1DMG|1CDMG	178DUST|27VULN|34AEFBLL|57TLV|6RCR|7BPWR|9DMG|aCDMG
64	21614 33631	   	282.05	ACR|DCR|1TLV|1VULN|1AEPOI	1DUST|2AEPOI|3TLV|48RCR|5LIT|6FLTARM|7VULN|9CGEN|aNUKE
65	33341 43123	   	281.85	ACR|DCR|1TLV|1VULN|1DMG	1ERES|2AIRARM|3DUR|47RCR|5ZMB|6DMG|8VULN|9DUST|aTLV
66	11113 33554	 * 	281.83	ACR|3VULN|1TLV|1DMG|1AEPOI|1ASPD	1LWND|2AEPOI|3DMG|4RCR|5AIRHEA|6TLV|79aVULN|8ASPD
67	25262 63311	   	281.81	DCR|DCR|1TLV|1VULN|1AEFBLL|1SELL	1DUST|2VULN|3TLV|4SELL|5AEFBLL|6LIT|7DUR|8aRCR|9RAT
68	15251 33233	 * 	281.65	DCR|3TLV|3VULN|1CDMG	1LWND|28aVULN|359TLV|4FEWX|6RCR|7CDMG
69	22326 42611	   	281.26	DCR|3VULN|2TLV|1DMG	1DUST|2LHND|349VULN|56TLV|7RCR|8DMG|aFLTHEA
70	25523 31433	   	281.16	DCR|3VULN|2TLV|1DMG	1DUST|28aVULN|3DMG|4ZMB|59TLV|6MDPS|7RCR
71	33542 13263	   	279.60	ACR|ACR|1TLV|1VULN|1CDMG|1AART	1ERES|2AIRARM|3VULN|45RCR|6CGEN|7DUR|8AART|9TLV|aCDMG
72	11113 33163	   	279.35	ACR|2TLV|2VULN|1DMG|1AEPOI	1LWND|2AEPOI|3DMG|4RCR|5AIRHEA|69TLV|7aVULN|8DUR
73	21613 63163	   	279.25	ACR|2TLV|2VULN|1DMG|1AEPOI	1DUST|2AEPOI|39TLV|4RCR|5DMG|6MULARM|7aVULN|8DUR
74	53533 22261	   	277.94	DCR|3VULN|1TLV|1AEFBLL|1DMG	1BELT|2LWND|3AEFBLL|4DUR|57aVULN|6TLV|8DMG|9RCR
75	15231 33311	   	276.98	DCR|DCR|2TLV|1VULN|1CDMG|1MSE	1LWND|2VULN|35TLV|4MSE|6aRCR|7CDMG|8LIT|9RAT
76	21611 25523	 * 	276.92	ACR|3TLV|2VULN|1AEPOI|2RAT	19DUST|2AEPOI|39aTLV|4RCR|5FEWX|67VULN|89RAT|9BPWR
77	21612 25523	   	276.92	ACR|3TLV|2VULN|1AEPOI|2RAT	19DUST|2AEPOI|39aTLV|4RCR|5LWND|67VULN|89RAT|9BPWR
78	21243 42611	   	276.63	DCR|2TLV|2VULN|1DMG|1AEPOI	1DUST|2AEPOI|3BEXP|49VULN|56TLV|7RCR|8DMG|aFLTHEA
79	21243 42633	   	276.63	DCR|2TLV|2VULN|1DMG|1AEPOI	1DUST|2AEPOI|3BEXP|4aVULN|56TLV|7RCR|8DMG|9ZMB
80	25523 31343	   	276.53	DCR|2TLV|2VULN|1DMG|1AEBURN	1DUST|2aVULN|3DMG|4ZMB|58TLV|6MDPS|7RCR|9AEBURN
81	22326 35611	 * 	276.10	DCR|4VULN|1TLV|1DMG	1DUST|2LHND|3479VULN|5TLV|6RCR|8DMG|aFLTHEA
82	43336 21622	 * 	275.83	DCR|2TLV|2VULN|2ASPD|1AEFBLL	1LHND|2aVULN|3AEFBLL|4LSRREG|5aTLV|6BASICY|7RCR|8RMIN|9aASPD|aBPWR
83	43336 43322	   	275.83	DCR|2TLV|2VULN|2ASPD|1AEFBLL	1LHND|2aVULN|3AEFBLL|4LSRREG|5aTLV|6RCR|7AAC|8MULFIG|9aASPD|aBPWR
84	25336 43322	   	275.73	DCR|2TLV|2VULN|2ASPD|1AEFBLL	1DUST|2aVULN|3AEFBLL|4LSRREG|5aTLV|6RCR|7AAC|8MULFIG|9aASPD|aBPWR
85	21132 33365	   	275.37	DCR|DCR|1TLV|1DMG|1AEPOI|1AART	1DUST|2AEPOI|3DMG|4TSLARM|5FLTHEA|6TLV|79RCR|8DUR|aAART
86	21115 12365	   	275.27	ACR|DCR|1TLV|1DMG|1AEPOI|1AART	1DUST|2AEPOI|3DMG|49RCR|5FLTHEA|6DUR|7TLV|8CANSTR|aAART
87	11115 33552	   	275.18	ACR|2VULN|1TLV|1DMG|1AEPOI|1ASPD|1AART	1LWND|2AEPOI|3DMG|4RCR|5FLTHEA|6TLV|79VULN|8ASPD|aAART
88	21243 35611	   	275.12	DCR|3VULN|1TLV|1DMG|1AEPOI	1DUST|2AEPOI|3BEXP|479VULN|5TLV|6RCR|8DMG|aFLTHEA
89	21611 25611	   	275.12	ACR|3VULN|1TLV|1DMG|1AEPOI	1DUST|2AEPOI|3TLV|4RCR|5FEWX|679VULN|8DMG|aFLTHEA
90	21612 25611	   	275.12	ACR|3VULN|1TLV|1DMG|1AEPOI	1DUST|2AEPOI|3TLV|4RCR|5LWND|679VULN|8DMG|aFLTHEA
91	21243 35633	   	275.12	DCR|3VULN|1TLV|1DMG|1AEPOI	1DUST|2AEPOI|3BEXP|47aVULN|5TLV|6RCR|8DMG|9ZMB
92	33542 53123	 * 	275.05	ACR|ACR|2VULN|1TLV	1ERES|2AIRARM|38VULN|45RCR|6AETHUN|7RCVC|9BELT|aTLV
93	21614 13631	   	275.01	ACR|DCR|1TLV|1VULN|1AEPOI	1DUST|2AEPOI|3TLV|48RCR|5LIT|6MULFIG|7VULN|9CGEN|aNUKE
94	62326 32363	   	274.94	DCR|3VULN|2TLV|1ASPD	1BEXP|2LHND|34aVULN|59TLV|6RCR|7FLTHEA|8ASPD
95	11111 25523	   	274.92	ACR|2VULN|1TLV|2DMG|1AEPOI|2RAT	19LWND|2AEPOI|39DMG|4RCR|5FEWX|67VULN|89RAT|9BPWR|aTLV
96	41111 25523	   	274.92	ACR|2VULN|1TLV|2DMG|1AEPOI|2RAT	19LHND|2AEPOI|39DMG|4RCR|5FEWX|67VULN|89RAT|9BPWR|aTLV
97	61111 25523	   	274.92	ACR|2VULN|1TLV|2DMG|1AEPOI|2RAT	19BEXP|2AEPOI|39DMG|4RCR|5FEWX|67VULN|89RAT|9BPWR|aTLV
98	61112 25523	   	274.92	ACR|2VULN|1TLV|2DMG|1AEPOI|2RAT	19BEXP|2AEPOI|39DMG|4RCR|5LWND|67VULN|89RAT|9BPWR|aTLV
99	33542 33163	   	274.91	ACR|ACR|1TLV|1VULN|1DMG	1ERES|2AIRARM|3VULN|45RCR|6DMG|7DUR|8LEGI|9AME|aTLV
100	33542 33323	   	274.91	ACR|ACR|1TLV|1VULN|1DMG	1ERES|2AIRARM|3VULN|45RCR|6DMG|7DUR|8RMIN|9DUST|aTLV
101	33542 33523	   	274.91	ACR|ACR|1TLV|1VULN|1DMG	1ERES|2AIRARM|3VULN|45RCR|6DMG|7DUR|8AME|9DUST|aTLV
102	11116 25523	   	274.82	ACR|2VULN|1TLV|2DMG|1AEPOI|2RAT	19LWND|2AEPOI|39DMG|4RCR|5DUST|67VULN|89RAT|9BPWR|aTLV
103	11113 33322	   	274.72	ACR|2VULN|1TLV|2DMG|1AEPOI|1ASPD	1LWND|2AEPOI|3aDMG|4RCR|5aAIRHEA|6TLV|7aVULN|8MULFIG|9ASPD|aBPWR
104	11113 33622	   	274.72	ACR|2VULN|1TLV|2DMG|1AEPOI|1ASPD	1LWND|2AEPOI|3aDMG|4RCR|5aAIRHEA|6TLV|7aVULN|8MSLREG|9ASPD|aBPWR
105	21111 25523	   	274.72	ACR|2VULN|1TLV|2DMG|1AEPOI|2RAT	19DUST|2AEPOI|39DMG|4RCR|5FEWX|67VULN|89RAT|9BPWR|aTLV
106	21112 25523	   	274.72	ACR|2VULN|1TLV|2DMG|1AEPOI|2RAT	19DUST|2AEPOI|39DMG|4RCR|5LWND|67VULN|89RAT|9BPWR|aTLV
107	11115 33312	   	274.72	ACR|2VULN|1TLV|2DMG|1AEPOI|2FLTHEA	1LWND|2AEPOI|3aDMG|4RCR|5aFLTHEA|6TLV|7aVULN|8MULFIG|9ERES|aBPWR
108	11115 33612	   	274.72	ACR|2VULN|1TLV|2DMG|1AEPOI|2FLTHEA	1LWND|2AEPOI|3aDMG|4RCR|5aFLTHEA|6TLV|7aVULN|8MSLREG|9ERES|aBPWR
109	41115 33312	   	274.72	ACR|2VULN|1TLV|2DMG|1AEPOI|2FLTHEA	1LHND|2AEPOI|3aDMG|4RCR|5aFLTHEA|6TLV|7aVULN|8MULFIG|9ERES|aBPWR
110	41115 33612	   	274.72	ACR|2VULN|1TLV|2DMG|1AEPOI|2FLTHEA	1LHND|2AEPOI|3aDMG|4RCR|5aFLTHEA|6TLV|7aVULN|8MSLREG|9ERES|aBPWR
111	61115 33312	   	274.72	ACR|2VULN|1TLV|2DMG|1AEPOI|2FLTHEA	1BEXP|2AEPOI|3aDMG|4RCR|5aFLTHEA|6TLV|7aVULN|8MULFIG|9ERES|aBPWR
112	61115 33612	   	274.72	ACR|2VULN|1TLV|2DMG|1AEPOI|2FLTHEA	1BEXP|2AEPOI|3aDMG|4RCR|5aFLTHEA|6TLV|7aVULN|8MSLREG|9ERES|aBPWR
113	43336 21312	   	274.42	DCR|3VULN|2TLV|1AEFBLL	1LHND|28aVULN|3AEFBLL|4LSRREG|5aTLV|6BASICY|7RCR|9aFEWX|aBPWR
114	43336 21342	   	274.42	DCR|3VULN|2TLV|1AEFBLL	1LHND|28aVULN|3AEFBLL|4LSRREG|5aTLV|6BASICY|7RCR|9aMLV|aBPWR
115	43336 21352	   	274.42	DCR|3VULN|2TLV|1AEFBLL	1LHND|28aVULN|3AEFBLL|4LSRREG|5aTLV|6BASICY|7RCR|9aCGEN|aBPWR
116	25336 21312	   	274.32	DCR|3VULN|2TLV|1AEFBLL	1DUST|28aVULN|3AEFBLL|4LSRREG|5aTLV|6BASICY|7RCR|9aFEWX|aBPWR
117	25336 21332	   	274.32	DCR|3VULN|2TLV|1AEFBLL	1DUST|28aVULN|3AEFBLL|4LSRREG|5aTLV|6BASICY|7RCR|9aLHND|aBPWR
118	25336 21342	   	274.32	DCR|3VULN|2TLV|1AEFBLL	1DUST|28aVULN|3AEFBLL|4LSRREG|5aTLV|6BASICY|7RCR|9aMLV|aBPWR
119	25336 21352	   	274.32	DCR|3VULN|2TLV|1AEFBLL	1DUST|28aVULN|3AEFBLL|4LSRREG|5aTLV|6BASICY|7RCR|9aCGEN|aBPWR
120	25346 32133	   	274.32	DCR|3VULN|2TLV|2AEFBLL	17DUST|27aVULN|34AEFBLL|57TLV|6RCR|7BPWR|8LHND|9BEXP
121	22326 42612	   	274.32	DCR|3VULN|2TLV|1DMG	1DUST|2LHND|349VULN|56TLV|7RCR|8DMG|aCGEN
122	22326 42613	   	274.32	DCR|3VULN|2TLV|1DMG	1DUST|2LHND|349VULN|56TLV|7RCR|8DMG|aAAC
123	25243 32613	   	274.32	DCR|3VULN|2TLV|1DMG	17DUST|279VULN|3aTLV|4ERES|57MLV|6RCR|7BPWR|8DMG
124	42115 33322	 * 	274.25	ACR|2VULN|1TLV|2DMG|2ASPD	12LHND|3aDMG|4RCR|5FLTHEA|6TLV|7aVULN|8MULFIG|9aASPD|aBPWR
125	42115 33622	   	274.25	ACR|2VULN|1TLV|2DMG|2ASPD	12LHND|3aDMG|4RCR|5FLTHEA|6TLV|7aVULN|8MSLREG|9aASPD|aBPWR
126	64115 33322	   	274.25	ACR|2VULN|1TLV|2DMG|2ASPD	12BEXP|3aDMG|4RCR|5FLTHEA|6TLV|7aVULN|8MULFIG|9aASPD|aBPWR
127	43346 32331	   	273.91	DCR|3TLV|2VULN|2AEFBLL|2ZMB	178aLHND|27VULN|34AEFBLL|57aTLV|6RCR|7aBPWR|9aZMB
128	11115 33553	   	273.83	ACR|2VULN|1TLV|1DMG|1AEPOI|1ASPD	1LWND|2AEPOI|3DMG|4RCR|5FLTHEA|6TLV|79VULN|8ASPD|aDUR
129	25623 32353	   	273.76	DCR|3VULN|1TLV|1DMG|2DUR	1DUST|249VULN|38DUR|5TLV|6RCR|7FLTHEA|aDMG
130	11115 12365	   	273.41	ACR|DCR|1TLV|1DMG|1AEPOI|2DUR	1LWND|2AEPOI|3DMG|49RCR|5FLTHEA|6aDUR|7TLV|8CANSTR
