0	Index      	 *	Score 	Summary	Detail	
1	24153 11613	 * 	309.12	ACR|4VULN|3TLV|2AEBURN	1AAC|289aVULN|3RCR|4CANSTR|58AEBURN|678TLV|8BPWR
29	56212 12316	   	287.60	DCR|3VULN|2TLV|3CDMG	1BELT|248VULN|346CDMG|48BPWR|58BEXP|78TLV|9RCR|aRAT
30	32112 64312	 * 	287.57	DCR|DCR|2VULN|1TLV|1CDMG|1MSE	1MSE|2CDMG|35VULN|4ZMB|6RAT|7aRCR|8BEXP|9TLV
31	32112 66412	 * 	287.57	DCR|DCR|2VULN|1TLV|1CDMG|1MSE	1MSE|2CDMG|35VULN|4ZMB|6RAT|7LHND|8aRCR|9TLV
32	32113 33412	 * 	287.57	DCR|DCR|2VULN|1TLV|1CDMG|1MSE	1MSE|2CDMG|38VULN|4ZMB|5RAT|6BEXP|7aRCR|9TLV
33	32112 64612	 * 	287.47	DCR|DCR|2VULN|1TLV|1CDMG|1MSE	1MSE|2CDMG|35VULN|4ZMB|6RAT|7aRCR|8DUST|9TLV
34	31132 65123	   	287.05	ACR|ACR|2VULN|1TLV|1AEFBLL|1MSE	1MSE|2CGEN|35RCR|4AEFBLL|6TLV|7RAT|8aVULN|9LWND
35	31132 65163	   	287.05	ACR|ACR|2VULN|1TLV|1AEFBLL|1MSE	1MSE|2CGEN|35RCR|4AEFBLL|6TLV|7RAT|8aVULN|9BEXP
36	31132 65143	   	286.95	ACR|ACR|2VULN|1TLV|1AEFBLL|1MSE	1MSE|2CGEN|35RCR|4AEFBLL|6TLV|7RAT|8aVULN|9DUST
37	33132 65123	   	286.95	ACR|ACR|2VULN|1TLV|1AEFBLL|1MSE	1MSE|2ERES|35RCR|4AEFBLL|6TLV|7RAT|8aVULN|9LWND
38	33132 65163	   	286.95	ACR|ACR|2VULN|1TLV|1AEFBLL|1MSE	1MSE|2ERES|35RCR|4AEFBLL|6TLV|7RAT|8aVULN|9BEXP
39	33132 65143	   	286.85	ACR|ACR|2VULN|1TLV|1AEFBLL|1MSE	1MSE|2ERES|35RCR|4AEFBLL|6TLV|7RAT|8aVULN|9DUST
40	31162 66311	 * 	286.25	ACR|ACR|2TLV|2VULN|1MSE	1MSE|24CGEN|35RCR|69TLV|7BEXP|8aVULN
41	31162 64311	 * 	286.15	ACR|ACR|2TLV|2VULN|1MSE	1MSE|24CGEN|35RCR|69TLV|7DUST|8aVULN
42	13311 31454	 * 	286.14	DCR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1AEPOI|2RAT|3DMSP|4LHND|5RPLT|6TLV|7VULN|89RCR|aASPD
43	13321 31454	   	286.14	DCR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1AEPOI|2RAT|3DMSP|4FEWX|5RPLT|6TLV|7VULN|89RCR|aASPD
44	61132 65121	   	286.14	ACR|ACR|1TLV|1VULN|1AEFBLL|1ASPD	1FEWX|2CGEN|35RCR|4AEFBLL|6TLV|7RAT|8VULN|9LWND|aASPD
45	63132 65121	   	286.04	ACR|ACR|1TLV|1VULN|1AEFBLL|1ASPD	1FEWX|2ERES|35RCR|4AEFBLL|6TLV|7RAT|8VULN|9LWND|aASPD
46	61132 62234	   	285.62	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG	18FEWX|2CGEN|35RCR|4AEFBLL|6TLV|7RCVC|9DMG|aVULN
47	63132 62234	   	285.52	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG	18FEWX|2ERES|35RCR|4AEFBLL|6TLV|7RCVC|9DMG|aVULN
48	63132 63234	   	285.42	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG	18FEWX|27ERES|35RCR|4AEFBLL|6TLV|9DMG|aVULN
49	21152 33542	   	284.81	ACR|DCR|2VULN|1TLV	1AAC|2DUR|37RCR|4BASICY|5LSRICY|6RMIN|89VULN|aTLV
50	21152 13542	   	284.71	ACR|DCR|2VULN|1TLV	1AAC|2DUR|37RCR|4BASICY|5LSRICY|6ERES|89VULN|aTLV
51	24151 23242	   	284.71	ACR|DCR|2VULN|1TLV	1AAC|29VULN|37RCR|4CANSTR|5ERES|6AIRHEL|8DUR|aTLV
52	31132 66314	 * 	283.40	ACR|ACR|2TLV|1VULN|1AEFBLL|1MSE	1MSE|2CGEN|35RCR|4AEFBLL|69TLV|7BEXP|8VULN|aZMB
53	31132 66316	 * 	283.40	ACR|ACR|2TLV|1VULN|1AEFBLL|1MSE	1MSE|2CGEN|35RCR|4AEFBLL|69TLV|7BEXP|8VULN|aRAT
54	31132 64314	 * 	283.30	ACR|ACR|2TLV|1VULN|1AEFBLL|1MSE	1MSE|2CGEN|35RCR|4AEFBLL|69TLV|7DUST|8VULN|aZMB
55	31132 64316	 * 	283.30	ACR|ACR|2TLV|1VULN|1AEFBLL|1MSE	1MSE|2CGEN|35RCR|4AEFBLL|69TLV|7DUST|8VULN|aRAT
56	24232 64312	 * 	282.04	DCR|DCR|2VULN|1TLV|1SELL	1AAC|25VULN|3SELL|4LHND|6RAT|7aRCR|8BEXP|9TLV
57	21212 61412	   	281.91	DCR|DCR|1TLV|1VULN|1AEFBLL|1SELL	1AAC|2DUR|3SELL|4AEFBLL|5BEXP|6RAT|7VULN|8aRCR|9TLV
58	21235 61412	   	281.91	DCR|DCR|1TLV|1VULN|1AEFBLL|1SELL	1AAC|2DUR|3SELL|4LHND|5AEFBLL|6RAT|7VULN|8aRCR|9TLV
59	24125 21611	   	281.75	ACR|3TLV|3VULN|2FRZICY	14AAC|289VULN|3RCR|578TLV|68FRZICY|8BPWR|aLHND
60	24125 21631	   	281.65	ACR|3TLV|3VULN|2FRZICY	14AAC|28aVULN|3RCR|578TLV|68FRZICY|8BPWR|9MDPS
61	13126 14134	   	281.46	DCR|3VULN|2TLV|2AEPOI	19AEPOI|2RAT|39TLV|4MLV|56LWND|789VULN|9BPWR|aRCR
62	13133 14124	   	281.36	DCR|3VULN|2TLV|1AEPOI	1AEPOI|2RAT|34TLV|5FEWX|6AAC|789VULN|aRCR
63	13131 34514	   	281.26	DCR|3VULN|2TLV|1AEPOI	1AEPOI|2RAT|34TLV|5CGEN|678VULN|9DUST|aRCR
64	13131 34534	   	281.26	DCR|3VULN|2TLV|1AEPOI	1AEPOI|2RAT|34TLV|5CGEN|678VULN|9LEGI|aRCR
65	13653 32124	 * 	281.26	DCR|3VULN|1TLV|2ASPD|1AEPOI	1AEPOI|2RAT|34ASPD|5TLV|689VULN|7BEXP|aRCR
66	13653 33124	   	281.26	DCR|3VULN|1TLV|2ASPD|1AEPOI	1AEPOI|2RAT|34ASPD|5TLV|689VULN|7FEWX|aRCR
67	14111 34431	   	280.89	DCR|2TLV|2VULN|1DMG|2AEPOI|1AART	1aAEPOI|29LHND|3aTLV|4LWND|5DMG|6AART|7RCR|8aVULN|aBPWR
68	56212 12312	   	280.66	DCR|3VULN|2TLV|3CDMG	1BELT|248VULN|346CDMG|48BPWR|58BEXP|78TLV|9RCR|aRCVC
69	56212 12314	   	280.66	DCR|3VULN|2TLV|3CDMG	1BELT|248VULN|346CDMG|48BPWR|58BEXP|78TLV|9RCR|aLHND
70	56212 12315	   	280.66	DCR|3VULN|2TLV|3CDMG	1BELT|248VULN|346CDMG|48BPWR|58BEXP|78TLV|9RCR|aCGEN
71	56212 12313	   	280.56	DCR|3VULN|2TLV|3CDMG|1MSE	1BELT|248VULN|346CDMG|48BPWR|58BEXP|78TLV|9RCR|aMSE
72	25153 13412	   	280.54	ACR|DCR|2VULN|1TLV|1CDMG|1MSE	1AAC|2DUST|3aRCR|4CDMG|5RAT|6MSE|78VULN|9TLV
73	31132 66351	   	280.11	ACR|ACR|2VULN|1TLV|1AEFBLL|1MSE	1MSE|2CGEN|35RCR|4AEFBLL|6TLV|79BEXP|8aVULN
74	56213 33332	   	280.02	DCR|4VULN|1TLV|2CDMG|1AART|1SELL	1BELT|2456VULN|34CDMG|4BPWR|7SELL|8TLV|9AART|aRCR
75	31132 64361	   	280.01	ACR|ACR|2VULN|1TLV|1AEFBLL|1MSE	1MSE|29CGEN|35RCR|4AEFBLL|6TLV|7DUST|8aVULN
76	61132 42313	   	279.20	ACR|ACR|1TLV|1VULN|1AEFBLL|1ASPD	1FEWX|2CGEN|35RCR|4AEFBLL|6VULN|7MLV|8BEXP|9TLV|aASPD
