0	Index      	 *	Score 	Summary	Detail	
1	12223 55132	 * 	324.56	ACR|3TLV|3VULN|3ASPD|2DUR	19aTLV|2aDUR|389ASPD|4RCR|5ERES|6CGEN|79aVULN|9aBPWR
23	13224 62252	   	305.31	ACR|DCR|2TLV|1VULN|1AEBURN|1ASPD	15TLV|2LHND|3ASPD|47RCR|6CGEN|8ERES|9AEBURN|aVULN
24	13623 52213	   	305.31	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	19TLV|2LHND|3DMG|47RCR|5ERES|6CGEN|8VULN|aCDMG
25	13224 52212	   	305.21	ACR|DCR|2TLV|1VULN|1DMG|1ASPD	15TLV|2LHND|3ASPD|47RCR|68ERES|9DMG|aVULN
26	12623 52231	   	304.97	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2DUR|3DMG|47RCR|5ERES|6CGEN|89VULN|aBEXP
27	12623 52232	   	304.97	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2DUR|3DMG|47RCR|5ERES|6CGEN|89VULN|aLIT
28	12623 52234	   	304.97	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2DUR|3DMG|47RCR|5ERES|6CGEN|89VULN|aFEWX
29	12623 52235	   	304.87	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2DUR|3DMG|47RCR|5ERES|6CGEN|89VULN|aMBVNT
30	12623 52236	   	304.87	ACR|DCR|2VULN|1TLV|1DMG|1MSE	1TLV|2DUR|3DMG|47RCR|5ERES|6CGEN|89VULN|aMSE
31	13623 52252	   	302.66	ACR|DCR|2TLV|1VULN|1DMG|1AART	1aTLV|2LHND|3DMG|47RCR|5ERES|6CGEN|8VULN|9AART
32	13223 52233	   	302.55	ACR|DCR|2VULN|1TLV|1ASPD|1CDMG	1TLV|2LHND|3ASPD|47RCR|5ERES|6CGEN|89VULN|aCDMG
33	12624 62123	 * 	302.04	ACR|DCR|3TLV|2DMG	159TLV|2DUR|39DMG|47RCR|69CGEN|8RCVC|9BPWR|aRAT
34	12224 62132	   	301.94	ACR|DCR|2TLV|1VULN|1ASPD	15TLV|2DUR|3ASPD|47RCR|6CGEN|8RCVC|9ZMB|aVULN
35	13224 52633	   	301.84	ACR|DCR|2TLV|1VULN|1ASPD	15TLV|2LHND|3ASPD|47RCR|6ERES|8DUR|9VULN|aRAT
36	12224 52132	   	301.84	ACR|DCR|2TLV|1VULN|1ASPD	15TLV|2DUR|3ASPD|47RCR|6ERES|8RCVC|9ZMB|aVULN
37	12624 52123	   	301.84	ACR|DCR|3TLV|2DMG	159TLV|2DUR|39DMG|47RCR|69ERES|8RCVC|9BPWR|aRAT
38	12224 52232	   	301.74	ACR|DCR|2TLV|1VULN|1ASPD	15TLV|2DUR|3ASPD|47RCR|68ERES|9ZMB|aVULN
39	12224 52422	   	301.60	ACR|DCR|2TLV|1VULN|1ASPD|1SELL	15TLV|2DUR|3ASPD|47RCR|6ERES|8SELL|9ZMB|aVULN
40	12623 52211	   	301.32	ACR|DCR|2TLV|1VULN|1DMG	19TLV|2DUR|3DMG|47RCR|5ERES|6CGEN|8VULN|aBEXP
41	12623 52212	   	301.32	ACR|DCR|2TLV|1VULN|1DMG	19TLV|2DUR|3DMG|47RCR|5ERES|6CGEN|8VULN|aLIT
42	12623 52214	   	301.32	ACR|DCR|2TLV|1VULN|1DMG	19TLV|2DUR|3DMG|47RCR|5ERES|6CGEN|8VULN|aFEWX
43	12624 52321	   	301.32	ACR|DCR|2TLV|1VULN|1DMG	15TLV|2DUR|3DMG|47RCR|6ERES|8BEXP|9LIT|aVULN
44	12624 62232	   	301.32	ACR|DCR|2TLV|1VULN|1DMG	15TLV|2DUR|3DMG|47RCR|6CGEN|8ERES|9BEXP|aVULN
45	12624 62321	   	301.32	ACR|DCR|2TLV|1VULN|1DMG	15TLV|2DUR|3DMG|47RCR|6CGEN|8DUST|9LIT|aVULN
46	12623 52215	   	301.22	ACR|DCR|2TLV|1VULN|1DMG	19TLV|2DUR|3DMG|47RCR|5ERES|6CGEN|8VULN|aMBVNT
47	12623 52216	   	301.22	ACR|DCR|2TLV|1VULN|1DMG|1MSE	19TLV|2DUR|3DMG|47RCR|5ERES|6CGEN|8VULN|aMSE
48	12621 21615	   	299.64	ACR|DCR|1TLV|1VULN|2DMG	1TLV|2DUR|3aDMG|48RCR|5MDPS|6RAT|7LHND|9VULN
49	13621 22615	   	299.64	ACR|DCR|1TLV|1VULN|2DMG	1TLV|2LHND|3aDMG|48RCR|5MDPS|6RAT|7DUR|9VULN
50	11343 53236	 * 	298.94	DCR|3VULN|2TLV|2DMG	12TLV|3AME|4RAT|579VULN|68DMG|aRCR
51	13223 52213	   	298.89	ACR|DCR|2TLV|1VULN|1ASPD|1CDMG	19TLV|2LHND|3ASPD|47RCR|5ERES|6CGEN|8VULN|aCDMG
52	13624 52333	   	298.60	ACR|DCR|2TLV|1VULN|1DMG	15TLV|2LHND|3DMG|47RCR|6ERES|8BEXP|9VULN|aRAT
53	12223 52231	   	298.56	ACR|DCR|2VULN|1TLV|1ASPD	1TLV|2DUR|3ASPD|47RCR|5ERES|6CGEN|89VULN|aBEXP
54	12223 52232	   	298.56	ACR|DCR|2VULN|1TLV|1ASPD	1TLV|2DUR|3ASPD|47RCR|5ERES|6CGEN|89VULN|aLIT
55	12223 52234	   	298.56	ACR|DCR|2VULN|1TLV|1ASPD	1TLV|2DUR|3ASPD|47RCR|5ERES|6CGEN|89VULN|aFEWX
56	12223 52235	   	298.46	ACR|DCR|2VULN|1TLV|1ASPD	1TLV|2DUR|3ASPD|47RCR|5ERES|6CGEN|89VULN|aMBVNT
57	12223 52236	   	298.46	ACR|DCR|2VULN|1TLV|1ASPD|1MSE	1TLV|2DUR|3ASPD|47RCR|5ERES|6CGEN|89VULN|aMSE
58	12223 42612	   	297.71	ACR|DCR|1TLV|1VULN|1DMG|2DUR|1ASPD	1TLV|28DUR|3ASPD|47RCR|5ERES|6AEWIND|9DMG|aVULN
59	11421 42235	   	297.14	ACR|DCR|2TLV|1VULN|2DUR	12TLV|37ERES|49RCR|5RAT|68DUR|aVULN
60	13623 52243	   	296.69	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1TLV|2LHND|39DMG|47RCR|5ERES|6CGEN|8VULN|aCDMG
61	12623 52262	   	295.70	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1TLV|2DUR|3DMG|47RCR|5ERES|6CGEN|8VULN|9RAT|aCDMG
62	12221 21615	   	295.70	ACR|DCR|1TLV|1VULN|1DMG|1ASPD	1TLV|2DUR|3ASPD|48RCR|5MDPS|6RAT|7LHND|9VULN|aDMG
63	12223 52243	   	295.70	ACR|DCR|1TLV|1VULN|1DMG|1ASPD	1TLV|2DUR|3ASPD|47RCR|5ERES|6CGEN|8VULN|9DMG|aRAT
64	13221 22615	   	295.70	ACR|DCR|1TLV|1VULN|1DMG|1ASPD	1TLV|2LHND|3ASPD|48RCR|5MDPS|6RAT|7DUR|9VULN|aDMG
65	33125 12662	 * 	295.42	DCR|4VULN|2TLV|1AEBURN|1SELL	169aVULN|2SELL|39LIT|4AEBURN|5BEXP|7RCR|89TLV|9BPWR
66	33621 13662	 * 	295.42	ACR|4VULN|2TLV|1AEPOI|1SELL	139aVULN|2SELL|49LIT|5RCR|6BEXP|7AEPOI|89TLV|9BPWR
67	13623 52231	   	295.31	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2LHND|3DMG|47RCR|5ERES|6CGEN|89VULN|aBEXP
68	13623 52232	   	295.31	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2LHND|3DMG|47RCR|5ERES|6CGEN|89VULN|aLIT
69	13623 52234	   	295.31	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2LHND|3DMG|47RCR|5ERES|6CGEN|89VULN|aFEWX
70	13623 52235	   	295.21	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2LHND|3DMG|47RCR|5ERES|6CGEN|89VULN|aMBVNT
71	13623 52236	   	295.21	ACR|DCR|2VULN|1TLV|1DMG|1MSE	1TLV|2LHND|3DMG|47RCR|5ERES|6CGEN|89VULN|aMSE
72	12624 62122	   	295.11	ACR|DCR|3TLV|2DMG	159TLV|2DUR|39DMG|47RCR|69CGEN|8aRCVC|9BPWR
73	12612 33111	   	295.08	DCR|3VULN|2TLV|1DMG|1AART	19TLV|2DUR|3DMG|458VULN|6AART|7RCR|aAME
74	12612 33112	   	295.08	DCR|3VULN|2TLV|1DMG|1AART	19TLV|2DUR|3DMG|458VULN|6AART|7RCR|aDMSP
75	12612 33113	   	295.08	DCR|3VULN|2TLV|1DMG|1AART	19TLV|2DUR|3DMG|458VULN|6AART|7RCR|aLIT
76	12612 33114	   	295.08	DCR|3VULN|2TLV|1DMG|1AART	19TLV|2DUR|3DMG|458VULN|6AART|7RCR|aLWND
77	12612 33116	   	295.08	DCR|3VULN|2TLV|1DMG|1AART	19TLV|2DUR|3DMG|458VULN|6AART|7RCR|aCGEN
78	12623 52225	   	295.08	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1TLV|2DUR|3DMG|47RCR|5ERES|6CGEN|8VULN|9MSLREG|aAEBURN
79	12624 62121	   	295.01	ACR|DCR|3TLV|2DMG	159TLV|2DUR|39DMG|47RCR|69CGEN|8RCVC|9BPWR|aCANTOX
80	12612 33115	   	294.98	DCR|3VULN|2TLV|1DMG|1AART	19TLV|2DUR|3DMG|458VULN|6AART|7RCR|aDUST
81	13224 52632	   	294.91	ACR|DCR|2TLV|1VULN|1ASPD	15TLV|2LHND|3ASPD|47RCR|6ERES|8DUR|9VULN|aRCVC
82	12223 52211	   	294.91	ACR|DCR|2TLV|1VULN|1ASPD	19TLV|2DUR|3ASPD|47RCR|5ERES|6CGEN|8VULN|aBEXP
83	12223 52212	   	294.91	ACR|DCR|2TLV|1VULN|1ASPD	19TLV|2DUR|3ASPD|47RCR|5ERES|6CGEN|8VULN|aLIT
84	12223 52214	   	294.91	ACR|DCR|2TLV|1VULN|1ASPD	19TLV|2DUR|3ASPD|47RCR|5ERES|6CGEN|8VULN|aFEWX
85	12224 52321	   	294.91	ACR|DCR|2TLV|1VULN|1ASPD	15TLV|2DUR|3ASPD|47RCR|6ERES|8BEXP|9LIT|aVULN
86	12224 52352	   	294.91	ACR|DCR|2TLV|1VULN|1ASPD	15TLV|2DUR|3ASPD|47RCR|6ERES|8BEXP|9AME|aVULN
87	12224 62232	   	294.91	ACR|DCR|2TLV|1VULN|1ASPD	15TLV|2DUR|3ASPD|47RCR|6CGEN|8ERES|9BEXP|aVULN
88	12224 62321	   	294.91	ACR|DCR|2TLV|1VULN|1ASPD	15TLV|2DUR|3ASPD|47RCR|6CGEN|8DUST|9LIT|aVULN
89	12624 52122	   	294.91	ACR|DCR|3TLV|2DMG	159TLV|2DUR|39DMG|47RCR|69ERES|8aRCVC|9BPWR
90	13224 52631	   	294.81	ACR|DCR|2TLV|1VULN|1ASPD	15TLV|2LHND|3ASPD|47RCR|6ERES|8DUR|9VULN|aBASHEA
91	12223 52215	   	294.81	ACR|DCR|2TLV|1VULN|1ASPD	19TLV|2DUR|3ASPD|47RCR|5ERES|6CGEN|8VULN|aMBVNT
92	12223 52216	   	294.81	ACR|DCR|2TLV|1VULN|1ASPD|1MSE	19TLV|2DUR|3ASPD|47RCR|5ERES|6CGEN|8VULN|aMSE
93	12624 52121	   	294.81	ACR|DCR|3TLV|2DMG	159TLV|2DUR|39DMG|47RCR|69ERES|8RCVC|9BPWR|aCANTOX
94	12624 52221	   	294.81	ACR|DCR|3TLV|2DMG	159TLV|2DUR|39DMG|47RCR|689ERES|9BPWR|aCGEN
95	12624 52222	   	294.81	ACR|DCR|3TLV|2DMG	159TLV|2DUR|39DMG|47RCR|689ERES|9BPWR|aLHND
96	12624 52223	   	294.81	ACR|DCR|3TLV|2DMG	159TLV|2DUR|39DMG|47RCR|689ERES|9BPWR|aAME
97	12224 52412	   	294.66	ACR|DCR|2TLV|1VULN|1ASPD|1SELL	15TLV|2DUR|3ASPD|47RCR|6ERES|8SELL|9CGEN|aVULN
