0	Index      	 *	Score 	Summary	Detail	
1	35321 36162	 * 	243.03	ACR|2VULN|3DMG|1ASPD|2CDMG|1AART|1BEXP	1BEXP|24VULN|347DMG|4BPWR|5RCR|68CDMG|9ASPD|aAART
14	35321 52126	 * 	232.19	ACR|2VULN|1BASARM|2DMG|2BEXP|1AAC	17BEXP|24VULN|34DMG|4BPWR|5RCR|6MDPS|8FEWX|9AAC|aBASARM
15	35321 52226	   	232.19	ACR|2VULN|1BASARM|2DMG|2BEXP|1AAC	17BEXP|24VULN|34DMG|4BPWR|5RCR|6MDPS|8LHND|9AAC|aBASARM
16	16321 52126	   	232.19	ACR|2VULN|1BASARM|2DMG|2BEXP|1AAC	1LHND|24VULN|34DMG|4BPWR|5RCR|6MDPS|78BEXP|9AAC|aBASARM
17	35321 21136	 * 	231.98	ACR|3VULN|1BASARM|2DMG|2BEXP	16BEXP|247VULN|34DMG|4BPWR|5RCR|8FEWX|9RMIN|aBASARM
18	35321 33144	   	231.56	ACR|3VULN|2DMG|2BEXP|1ASPD|1CDMG|1AAC	18BEXP|248VULN|34DMG|48BPWR|5RCR|6CDMG|78DUST|9ASPD|aAAC
19	35311 34141	   	231.00	ACR|3DMG|2VULN|2BEXP|1ASPD|1CDMG	18BEXP|28VULN|34aDMG|5RCR|6CDMG|78LHND|8BPWR|9ASPD
20	35311 33141	   	230.80	ACR|3DMG|2VULN|2BEXP|1ASPD|1CDMG	18BEXP|28VULN|34aDMG|5RCR|6CDMG|78DUST|8BPWR|9ASPD
21	35321 34113	   	230.35	ACR|3VULN|2DMG|2BEXP|1AART|1CDMG|1AAC	18BEXP|248VULN|34DMG|48BPWR|5RCR|6CDMG|78LHND|9AART|aAAC
22	35321 36311	 * 	228.62	ACR|2VULN|3DMG|3BEXP|2CDMG	19aBEXP|24VULN|347DMG|49BPWR|5RCR|69CDMG|89CGEN
23	35311 35315	   	228.61	ACR|3DMG|1BASARM|1VULN|1BEXP|1CDMG	1BEXP|2VULN|348DMG|5RCR|6CDMG|7SNITOX|9RMIN|aBASARM
24	35311 34116	   	228.59	ACR|3DMG|2VULN|2BEXP|1AART|1CDMG	18BEXP|28VULN|34aDMG|5RCR|6CDMG|78LHND|8BPWR|9AART
25	35321 36611	   	228.42	ACR|2VULN|3DMG|3BEXP|2CDMG	19aBEXP|24VULN|347DMG|49BPWR|5RCR|69CDMG|89AME
26	35321 36532	   	227.49	ACR|2VULN|3DMG|2BEXP|1AART|1CDMG	19BEXP|24VULN|347DMG|4BPWR|5RCR|6CDMG|8ZMB|aAART
27	16321 23264	   	227.37	ACR|2VULN|3DMG|1ASPD|1AART|1BEXP|1AAC	1LHND|24VULN|349DMG|4BPWR|5RCR|6BEXP|7ASPD|8AAC|aAART
28	35321 31681	   	226.97	ACR|3VULN|3DMG|1ASPD|1BEXP|1CDMG	1BEXP|249VULN|34aDMG|4BPWR|5RCR|6CDMG|7ASPD|8MBVNT
29	35321 12552	 * 	226.35	ACR|4VULN|3DMG|2BEXP|1CDMG	18BEXP|2479VULN|348DMG|48BPWR|5RCR|68MLV|aCDMG
30	31521 43631	   	225.49	ACR|2VULN|2ASPD|2DMG|2BEXP|1AAC	1aBEXP|2TLV|3aDMG|4ZMB|5RCR|68VULN|7aASPD|9AAC|aBPWR
31	35321 63621	   	225.46	ACR|3VULN|3DMG|2BEXP|1ASPD	1aBEXP|248VULN|34aDMG|4aBPWR|5RCR|6LHND|7ASPD|9aCGEN
32	35311 53121	   	225.39	ACR|2VULN|2ASPD|2DMG|2BEXP|1AAC	1aBEXP|2aVULN|34DMG|5RCR|6MDPS|7ERES|8aASPD|9AAC|aBPWR
33	35321 31534	   	225.37	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP|1CDMG|1AAC	1BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8LWND|9AAC|aAART
34	35311 36162	   	225.30	ACR|3DMG|1VULN|1ASPD|2CDMG|1AART|1BEXP	1BEXP|2VULN|347DMG|5RCR|68CDMG|9ASPD|aAART
35	35321 34326	   	224.79	ACR|2VULN|1BASARM|2DMG|1BEXP|1CDMG	1BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7LHND|8RPLT|9DUR|aBASARM
36	35321 23532	   	224.71	ACR|2VULN|3DMG|3BEXP|1AART	168BEXP|24VULN|348DMG|48BPWR|5RCR|78TLV|9RCVC|aAART
37	35321 33326	   	224.69	ACR|2VULN|1BASARM|2DMG|1BEXP|1CDMG	1BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7DUST|8RPLT|9DUR|aBASARM
38	35321 23562	 * 	224.42	ACR|2VULN|3DMG|3BEXP|1BASICY	168BEXP|24VULN|348DMG|48BPWR|5RCR|789TLV|aBASICY
39	35321 31331	   	224.38	ACR|2VULN|3DMG|2CDMG|1ASPD|1BEXP	1BEXP|24VULN|34aDMG|4BPWR|5RCR|68CDMG|7ASPD|9LWND
40	35321 31351	   	224.38	ACR|2VULN|3DMG|2CDMG|1ASPD|1BEXP	1BEXP|24VULN|34aDMG|4BPWR|5RCR|68CDMG|7ASPD|9LHND
41	35321 36126	   	224.38	ACR|2VULN|3DMG|2CDMG|1ASPD|1BEXP	1BEXP|24VULN|347DMG|4BPWR|5RCR|68CDMG|9CGEN|aASPD
42	35311 36116	   	224.28	ACR|3DMG|2VULN|1ASPD|2CDMG|1BEXP	1BEXP|29VULN|347DMG|5RCR|68CDMG|aASPD
43	35321 23541	   	224.11	ACR|2VULN|3DMG|3BEXP|1AART	168BEXP|24VULN|348DMG|48BPWR|5RCR|78TLV|9AART|aMLV
44	35321 23542	   	224.11	ACR|2VULN|3DMG|3BEXP|1AART	168BEXP|24VULN|348DMG|48BPWR|5RCR|78TLV|9AART|aDMSP
45	35311 23543	   	224.01	ACR|3DMG|2VULN|3BEXP|1AART	168BEXP|2aVULN|348DMG|5RCR|78TLV|8BPWR|9AART
46	35321 13451	   	224.00	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	1BEXP|24VULN|34DMG|4BPWR|5RCR|6MLV|7AART|8aASPD|9DMSP
47	35311 13411	   	223.90	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	1BEXP|29VULN|34DMG|5RCR|6MLV|7AART|8aASPD
48	35311 21136	   	223.88	ACR|2VULN|1BASARM|2DMG|2BEXP	16BEXP|27VULN|34DMG|5RCR|8FEWX|9RMIN|aBASARM
49	35321 51326	   	223.88	ACR|2VULN|1BASARM|2DMG|2BEXP	19BEXP|24VULN|34DMG|4BPWR|5RCR|6MDPS|7ZMB|8LWND|aBASARM
50	35321 13511	   	223.72	ACR|3VULN|2DMG|1ASPD|1AART|1BEXP|1AAC	1BEXP|249VULN|34DMG|4BPWR|5RCR|6MLV|7AART|8AAC|aASPD
51	35311 36316	   	223.69	ACR|3DMG|1VULN|2BEXP|2CDMG|1ASPD	19BEXP|2VULN|347DMG|5RCR|69CDMG|89CGEN|9BPWR|aASPD
52	35311 36161	   	223.49	ACR|3DMG|1VULN|2BEXP|1ASPD|2CDMG	1aBEXP|2VULN|347DMG|5RCR|68CDMG|9ASPD
53	35321 34143	   	223.46	ACR|3VULN|2DMG|2BEXP|1ASPD|1CDMG	18BEXP|248VULN|34DMG|48BPWR|5RCR|6CDMG|78LHND|9ASPD|aZMB
54	35321 34142	   	223.36	ACR|3VULN|2DMG|2BEXP|1ASPD|1CDMG	18BEXP|248VULN|34DMG|48BPWR|5RCR|6CDMG|78LHND|9ASPD|aTLV
55	35321 34111	   	223.35	ACR|3VULN|2DMG|2BEXP|1AART|1CDMG	18BEXP|248VULN|34DMG|48BPWR|5RCR|6CDMG|78LHND|9AART|aRCVC
56	35321 33143	   	223.26	ACR|3VULN|2DMG|2BEXP|1ASPD|1CDMG	18BEXP|248VULN|34DMG|48BPWR|5RCR|6CDMG|78DUST|9ASPD|aZMB
57	35321 33145	   	223.26	ACR|3VULN|2DMG|2BEXP|1ASPD|1CDMG	18BEXP|248VULN|34DMG|48BPWR|5RCR|6CDMG|78DUST|9ASPD|aDUR
58	35321 33146	   	223.26	ACR|3VULN|2DMG|2BEXP|1ASPD|1CDMG	18BEXP|248VULN|34DMG|48BPWR|5RCR|6CDMG|78DUST|9ASPD|aCGEN
59	35321 33142	   	223.16	ACR|3VULN|2DMG|2BEXP|1ASPD|1CDMG	18BEXP|248VULN|34DMG|48BPWR|5RCR|6CDMG|78DUST|9ASPD|aTLV
60	35321 13351	 * 	222.77	ACR|2VULN|2DMG|2AART|1ASPD|1BEXP	1BEXP|24VULN|34DMG|4BPWR|5RCR|6MLV|79AART|8ERES|aASPD
61	35511 22126	 * 	222.50	ACR|2VULN|1BASARM|2BEXP|1ASPD|1AAC	14BEXP|27VULN|3RCR|5LHND|6MDPS|8ASPD|9AAC|aBASARM
62	35311 34114	   	222.20	ACR|2VULN|3BEXP|2DMG|1AART|1CDMG	18aBEXP|28VULN|34DMG|5RCR|6CDMG|78LHND|8BPWR|9AART
63	35321 34115	   	222.04	ACR|3VULN|2DMG|2BEXP|1AART|1CDMG	18BEXP|248VULN|34DMG|48BPWR|5RCR|6CDMG|78LHND|9AART|aDUR
64	35321 34112	   	221.94	ACR|3VULN|2DMG|2BEXP|1AART|1CDMG	18BEXP|248VULN|34DMG|48BPWR|5RCR|6CDMG|78LHND|9AART|aAEFBLL
65	35321 13161	   	221.87	ACR|2VULN|2DMG|2AART|1ASPD|1BEXP	1BEXP|24VULN|34DMG|4BPWR|5RCR|6MLV|7aAART|8DUR|9ASPD
66	35321 13421	   	221.77	ACR|2VULN|2DMG|2AART|1ASPD|1BEXP	1BEXP|24VULN|34DMG|4BPWR|5RCR|6MLV|7aAART|8ASPD|9DUST
67	35311 33144	   	221.46	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG|1AAC	18BEXP|28VULN|34DMG|5RCR|6CDMG|78DUST|8BPWR|9ASPD|aAAC
68	35331 35363	   	221.00	ACR|2VULN|3BEXP|2DMG|1AART|1CDMG	149BEXP|29VULN|38DMG|5RCR|6CDMG|79SNITOX|9BPWR|aAART
69	35321 34134	   	220.94	ACR|3VULN|2DMG|2BEXP|1AART|1CDMG	18BEXP|248VULN|34DMG|48BPWR|5RCR|6CDMG|78LHND|9DUST|aAART
70	35311 36114	   	220.87	ACR|3DMG|2VULN|2CDMG|1AART|1BEXP	1BEXP|29VULN|347DMG|5RCR|68CDMG|aAART
71	35321 36152	   	220.87	ACR|2VULN|3DMG|2CDMG|1AART|1BEXP	1BEXP|24VULN|347DMG|4BPWR|5RCR|68CDMG|9NUKE|aAART
72	35321 33124	   	220.84	ACR|3VULN|2DMG|2BEXP|1AART|1CDMG	18BEXP|248VULN|34DMG|48BPWR|5RCR|6CDMG|78DUST|9DUR|aAART
73	35321 12532	   	220.65	ACR|3VULN|3DMG|2BEXP|1CDMG	18BEXP|247VULN|348DMG|48BPWR|5RCR|68MLV|9RCVC|aCDMG
74	16311 52126	   	220.45	ACR|1BASARM|2DMG|1VULN|2BEXP|1AAC	1LHND|2VULN|34DMG|5RCR|6MDPS|78BEXP|9AAC|aBASARM
75	35311 52126	   	220.45	ACR|1BASARM|2DMG|1VULN|2BEXP|1AAC	17BEXP|2VULN|34DMG|5RCR|6MDPS|8FEWX|9AAC|aBASARM
76	35311 52226	   	220.45	ACR|1BASARM|2DMG|1VULN|2BEXP|1AAC	17BEXP|2VULN|34DMG|5RCR|6MDPS|8LHND|9AAC|aBASARM
77	35321 36531	   	220.11	ACR|2VULN|3DMG|3BEXP|1CDMG	19aBEXP|24VULN|347DMG|4BPWR|5RCR|6CDMG|8ZMB
78	35321 12561	 * 	220.07	ACR|4VULN|3DMG|3BEXP	18aBEXP|247aVULN|348DMG|48aBPWR|5RCR|68aMLV|9LEGI
79	35321 12551	   	219.97	ACR|4VULN|3DMG|3BEXP	18aBEXP|2479VULN|348DMG|48BPWR|5RCR|68MLV
80	16321 23364	   	219.87	ACR|2VULN|2DMG|2AART|1ASPD|1BEXP	1LHND|24VULN|34DMG|4BPWR|5RCR|6BEXP|7ASPD|8LWND|9aAART
81	35321 13442	 * 	219.25	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	1aBEXP|24VULN|34DMG|4BPWR|5RCR|6MLV|7AART|8ASPD|9LHND
82	35321 13462	   	219.25	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	1aBEXP|24VULN|34DMG|4BPWR|5RCR|6MLV|7AART|8ASPD|9LWND
83	35311 34113	   	219.24	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG|1AAC	18BEXP|28VULN|34DMG|5RCR|6CDMG|78LHND|8BPWR|9AART|aAAC
84	35331 13411	 * 	219.15	ACR|2VULN|2ASPD|2BEXP|1DMG|1AART	14BEXP|29VULN|3DMG|5RCR|6MLV|7AART|8aASPD
85	35321 36335	   	219.05	ACR|3VULN|3DMG|2BEXP|1CDMG	1aBEXP|24aVULN|347DMG|4aBPWR|5RCR|6CDMG|8CGEN|9aMLV
86	35321 12525	   	219.05	ACR|3VULN|3DMG|2BEXP|1CDMG	18BEXP|247VULN|348DMG|48BPWR|5RCR|68MLV|9DUR|aCDMG
87	35321 34161	   	219.05	ACR|3VULN|3DMG|2BEXP|1CDMG	18BEXP|248VULN|34aDMG|48BPWR|5RCR|6CDMG|78LHND|9ZMB
88	16321 23164	   	218.97	ACR|2VULN|3DMG|1ASPD|1AART|1BEXP	1LHND|24VULN|349DMG|4BPWR|5RCR|6BEXP|7ASPD|8NUKE|aAART
89	35311 12552	   	218.95	ACR|3VULN|3DMG|2BEXP|1CDMG	18BEXP|279VULN|348DMG|5RCR|68MLV|8BPWR|aCDMG
90	35321 34121	   	218.95	ACR|3VULN|3DMG|2BEXP|1CDMG	18BEXP|248VULN|34aDMG|48BPWR|5RCR|6CDMG|78LHND|9ERES
91	35321 33161	   	218.85	ACR|3VULN|3DMG|2BEXP|1CDMG	18BEXP|248VULN|34aDMG|48BPWR|5RCR|6CDMG|78DUST|9ZMB
92	16321 23262	   	218.73	ACR|3VULN|3DMG|1ASPD|1BEXP|1AAC	1LHND|24aVULN|349DMG|4BPWR|5RCR|6BEXP|7ASPD|8AAC
93	35321 63262	   	218.73	ACR|3VULN|3DMG|1ASPD|1BEXP|1AAC	1BEXP|24aVULN|349DMG|4BPWR|5RCR|6LHND|7ASPD|8AAC
94	31531 35521	 * 	218.28	ACR|2VULN|2DMG|1ASPD|1BASICY|1BEXP|1CDMG	1BEXP|2TLV|3aDMG|4ASPD|5RCR|6CDMG|7BASICY|89VULN
95	52621 21215	 * 	218.27	ACR|2ASPD|2DMG|1AART|2CDMG|2AAC	1AART|29AAC|3aCDMG|4DUST|5RCR|6aASPD|7RCVC|8aDMG|aBPWR
96	35321 31131	   	217.97	ACR|2VULN|3DMG|1ASPD|1CDMG|1BEXP	1BEXP|24VULN|34aDMG|4BPWR|5RCR|6CDMG|7ASPD|8RCVC|9LWND
97	35321 31151	   	217.97	ACR|2VULN|3DMG|1ASPD|1CDMG|1BEXP	1BEXP|24VULN|34aDMG|4BPWR|5RCR|6CDMG|7ASPD|8RCVC|9LHND
98	35321 31644	   	217.96	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP|1CDMG	1BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8MBVNT|9AART|aDUR
99	35321 31646	   	217.96	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP|1CDMG	1BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8MBVNT|9AART|aFEWX
100	35321 31638	   	217.90	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG	1BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7aASPD|8MBVNT|9LHND
101	35321 31641	   	217.86	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP|1CDMG	1BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8MBVNT|9AART|aAIRHEL
102	35321 31643	   	217.86	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP|1CDMG	1BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8MBVNT|9AART|aMDPS
103	35321 31647	   	217.86	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP|1CDMG	1BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8MBVNT|9AART|aDUST
104	35321 31648	   	217.86	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP|1CDMG	1BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8MBVNT|9AART|aERES
105	35321 31618	   	217.80	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG	1BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7aASPD|8MBVNT|9DUST
106	35321 33131	   	217.77	ACR|4VULN|3BEXP|2DMG|1CDMG	189BEXP|248aVULN|34DMG|48BPWR|5RCR|6CDMG|78DUST
107	35321 36312	   	217.35	ACR|2VULN|3DMG|2BEXP|2CDMG	19BEXP|24VULN|347DMG|49BPWR|5RCR|69CDMG|89CGEN|aDUR
108	16321 52226	   	217.35	ACR|2VULN|1BASARM|2DMG|1BEXP|1AAC	18LHND|24VULN|34DMG|4BPWR|5RCR|6MDPS|7BEXP|9AAC|aBASARM
109	35321 36313	   	217.25	ACR|2VULN|3DMG|2BEXP|2CDMG	19BEXP|24VULN|347DMG|49BPWR|5RCR|69CDMG|89CGEN|aTLV
110	35321 36315	   	217.25	ACR|2VULN|3DMG|2BEXP|2CDMG	19BEXP|24VULN|347DMG|49BPWR|5RCR|69CDMG|89CGEN|aDUST
111	16321 23366	   	217.25	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	1LHND|24VULN|34DMG|4BPWR|5RCR|6aBEXP|7ASPD|8LWND|9AART
112	35525 33331	   	217.22	ACR|2DMG|1VULN|2BEXP|1ASPD|1AART	16BEXP|2VULN|3RCR|4DUST|5RCVC|7AART|89DMG|aASPD
113	35321 35341	   	217.15	ACR|2VULN|3DMG|2BEXP|2CDMG	19BEXP|24VULN|348DMG|49BPWR|5RCR|69CDMG|79SNITOX|aLWND
114	35321 35342	   	217.15	ACR|2VULN|3DMG|2BEXP|2CDMG	19BEXP|24VULN|348DMG|49BPWR|5RCR|69CDMG|79SNITOX|aRMIN
115	35321 35343	   	217.15	ACR|2VULN|3DMG|2BEXP|2CDMG	19BEXP|24VULN|348DMG|49BPWR|5RCR|69CDMG|79SNITOX|aFEWX
116	35321 36121	   	217.15	ACR|2VULN|3DMG|2BEXP|2CDMG	1aBEXP|24VULN|347DMG|4BPWR|5RCR|68CDMG|9CGEN
117	35321 36612	   	217.15	ACR|2VULN|3DMG|2BEXP|2CDMG	19BEXP|24VULN|347DMG|49BPWR|5RCR|69CDMG|89AME|aDUR
118	35321 36314	   	217.11	ACR|2VULN|3DMG|2BEXP|2CDMG|1SELL	19BEXP|24VULN|347DMG|49BPWR|5RCR|69CDMG|89CGEN|aSELL
119	35331 53121	 * 	217.07	ACR|2VULN|3BEXP|2ASPD|1DMG|1AAC	14aBEXP|2aVULN|3DMG|5RCR|6MDPS|7ERES|8aASPD|9AAC|aBPWR
120	35321 31245	   	217.06	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP|1CDMG	1BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8RPLT|9LHND|aAART
121	35321 31414	   	217.06	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP|1CDMG	1BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8LHND|9RMIN|aAART
122	35321 31514	   	217.06	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP|1CDMG	1BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8LWND|9RMIN|aAART
123	35321 36151	   	217.05	ACR|2VULN|3DMG|2BEXP|2CDMG	1aBEXP|24VULN|347DMG|4BPWR|5RCR|68CDMG|9NUKE
124	35321 36613	   	217.05	ACR|2VULN|3DMG|2BEXP|2CDMG	19BEXP|24VULN|347DMG|49BPWR|5RCR|69CDMG|89AME|aTLV
125	35321 41136	   	217.05	ACR|3VULN|1BASARM|2DMG|1BEXP	1BEXP|247VULN|34DMG|4BPWR|5RCR|6AEFBLL|8FEWX|9RMIN|aBASARM
126	35321 31612	   	216.86	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP|1CDMG	1BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8MBVNT|9DUST|aAART
127	35321 31533	   	216.72	ACR|3VULN|2DMG|1ASPD|1BEXP|1CDMG|1AAC	1BEXP|24aVULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8LWND|9AAC
128	34531 12151	 * 	216.53	ACR|3BEXP|2ASPD|2DMG|1VULN	12aBEXP|3FEWX|4aASPD|5RCR|6MLV|7VULN|8aDMG|9RCVC|aBPWR
129	35331 36241	   	216.17	ACR|3DMG|1VULN|2BEXP|1ASPD|1CDMG	14BEXP|2VULN|37aDMG|5RCR|6CDMG|8LHND|9ASPD
130	35321 31424	   	216.07	ACR|2VULN|3DMG|1ASPD|1CDMG|1BEXP	1BEXP|24VULN|34aDMG|4BPWR|5RCR|6CDMG|7ASPD|8LHND|9LWND
131	35321 31521	   	216.07	ACR|2VULN|3DMG|1ASPD|1CDMG|1BEXP	1BEXP|24VULN|34aDMG|4BPWR|5RCR|6CDMG|7ASPD|89LWND
132	35321 31635	   	215.97	ACR|2VULN|3DMG|1ASPD|1BEXP|1CDMG	1BEXP|24VULN|34aDMG|4BPWR|5RCR|6CDMG|7ASPD|8MBVNT|9LHND
133	35311 31681	   	215.87	ACR|3DMG|2VULN|1ASPD|1CDMG|1BEXP	1BEXP|29VULN|34aDMG|5RCR|6CDMG|7ASPD|8MBVNT
134	35321 31615	   	215.87	ACR|2VULN|3DMG|1ASPD|1BEXP|1CDMG	1BEXP|24VULN|34aDMG|4BPWR|5RCR|6CDMG|7ASPD|8MBVNT|9DUST
135	35321 13414	   	215.42	ACR|3VULN|2DMG|1ASPD|1AART|1BEXP	1BEXP|249VULN|34DMG|4BPWR|5RCR|6MLV|7AART|8ASPD|aCGEN
136	35311 63621	   	215.35	ACR|3DMG|2VULN|2BEXP|1ASPD	1aBEXP|28VULN|34aDMG|5RCR|6LHND|7ASPD|9aCGEN|aBPWR
137	35321 51141	   	215.35	ACR|2VULN|3DMG|2BEXP|1ASPD	1aBEXP|24VULN|34aDMG|4aBPWR|5RCR|6MDPS|7ZMB|8ASPD|9aCGEN
138	36311 43621	   	215.35	ACR|3DMG|2VULN|2BEXP|1ASPD	1aBEXP|2LHND|34aDMG|5RCR|68VULN|7ASPD|9aCGEN|aBPWR
139	35321 13311	   	215.32	ACR|3VULN|2DMG|1ASPD|1AART|1BEXP	1BEXP|249VULN|34DMG|4BPWR|5RCR|6MLV|7AART|8ERES|aASPD
140	35321 13362	   	215.32	ACR|3VULN|2DMG|1ASPD|1AART|1BEXP	1BEXP|24aVULN|34DMG|4BPWR|5RCR|6MLV|7AART|8ERES|9ASPD
141	35321 13413	   	215.32	ACR|3VULN|2DMG|1ASPD|1AART|1BEXP	1BEXP|249VULN|34DMG|4BPWR|5RCR|6MLV|7AART|8ASPD|aERES
142	35321 13415	   	215.32	ACR|3VULN|2DMG|1ASPD|1AART|1BEXP	1BEXP|249VULN|34DMG|4BPWR|5RCR|6MLV|7AART|8ASPD|aTLV
143	35321 13416	   	215.32	ACR|3VULN|2DMG|1ASPD|1AART|1BEXP	1BEXP|249VULN|34DMG|4BPWR|5RCR|6MLV|7AART|8ASPD|aMSLREG
144	35321 13432	   	215.32	ACR|3VULN|2DMG|1ASPD|1AART|1BEXP	1BEXP|24aVULN|34DMG|4BPWR|5RCR|6MLV|7AART|8ASPD|9AME
145	35321 12531	   	215.27	ACR|3VULN|3DMG|3BEXP	18aBEXP|247VULN|348DMG|48BPWR|5RCR|68MLV|9RCVC
146	35321 51151	   	215.15	ACR|2VULN|3DMG|2BEXP|1ASPD	1aBEXP|24VULN|34aDMG|4aBPWR|5RCR|6MDPS|7ZMB|8ASPD|9aERES
147	35321 63411	   	215.15	ACR|2VULN|3DMG|2BEXP|1ASPD	1aBEXP|24VULN|34aDMG|4aBPWR|5RCR|6LHND|7ASPD|89aTLV
148	35321 31334	   	215.03	ACR|2VULN|2DMG|1ASPD|2CDMG|1BEXP|1AAC	1BEXP|24VULN|34DMG|4BPWR|5RCR|68CDMG|7ASPD|9LWND|aAAC
149	35321 31354	   	215.03	ACR|2VULN|2DMG|1ASPD|2CDMG|1BEXP|1AAC	1BEXP|24VULN|34DMG|4BPWR|5RCR|68CDMG|7ASPD|9LHND|aAAC
150	35321 31312	   	214.93	ACR|2VULN|2DMG|1ASPD|2CDMG|1BEXP|1AAC	1BEXP|24VULN|34DMG|4BPWR|5RCR|68CDMG|7ASPD|9TLV|aAAC
151	35321 31362	   	214.93	ACR|2VULN|2DMG|1ASPD|2CDMG|1BEXP|1AAC	1BEXP|24VULN|34DMG|4BPWR|5RCR|68CDMG|7ASPD|9ERES|aAAC
152	35311 36311	   	213.89	ACR|3DMG|3BEXP|1VULN|2CDMG	19aBEXP|2VULN|347DMG|5RCR|69CDMG|89CGEN|9BPWR
153	35321 12521	   	213.86	ACR|3VULN|3DMG|3BEXP	18aBEXP|247VULN|348DMG|48aBPWR|5RCR|68aMLV|9aDUR
