0	Index      	 *	Score 	Summary	Detail	
1	55113 42316	 * 	255.26	ACR|1BASARM|2VULN|2ASPD|1DMG|2CDMG	19CDMG|2RCR|3MBVNT|49ASPD|5BASARM|6BELT|7DUR|89VULN|9BPWR|aDMG
13	55123 44318	   	246.54	ACR|1BASARM|2VULN|2DMG|2CDMG|1BEXP	19CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7LHND|89VULN|9BPWR|aBEXP
14	55113 43212	 * 	246.44	ACR|1BASARM|2VULN|2DMG|1ASPD|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|79DMG|8aVULN
15	55123 47212	   	246.44	ACR|1BASARM|2VULN|2DMG|1ASPD|1CDMG	1CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7ASPD|8aVULN
16	55113 42313	 * 	246.12	ACR|3VULN|1BASARM|2ASPD|2CDMG	19CDMG|2RCR|3MBVNT|49ASPD|5BASARM|6BELT|7DUR|89aVULN|9BPWR
17	55113 46313	   	246.12	ACR|3VULN|1BASARM|2ASPD|2CDMG	19CDMG|2RCR|3MBVNT|49ASPD|5BASARM|6BELT|7LHND|89aVULN|9BPWR
18	55123 42313	 * 	246.12	ACR|3VULN|1BASARM|2DMG|2CDMG	19CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7DUR|89aVULN|9BPWR
19	55123 44313	   	246.12	ACR|3VULN|1BASARM|2DMG|2CDMG	19CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7LHND|89aVULN|9BPWR
20	55113 84433	 * 	245.75	ACR|2BASARM|2VULN|1ASPD|2CDMG|1AART	19CDMG|2RCR|3MBVNT|4ASPD|59BASARM|6AAC|79VULN|8RPLT|9BPWR|aAART
21	55123 84433	 * 	245.75	ACR|2BASARM|2VULN|1DMG|2CDMG|1AART	19CDMG|2RCR|3MBVNT|4DMG|59BASARM|6AAC|79VULN|8RPLT|9BPWR|aAART
22	55113 43712	   	245.51	ACR|1BASARM|2DMG|1ASPD|1VULN|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|79DMG|8BEXP|aVULN
23	55123 43622	   	245.51	ACR|1BASARM|2DMG|1ASPD|1VULN|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|47DMG|5BASARM|6BELT|8ASPD|9BEXP|aVULN
24	55123 43532	   	245.46	ACR|2BASARM|2DMG|2BEXP|2CDMG	19CDMG|2RCR|3MBVNT|47DMG|59BASARM|6BELT|89BEXP|9BPWR|aRCVC
25	55123 43531	   	245.13	ACR|2BASARM|2DMG|2BEXP|2CDMG	19CDMG|2RCR|3MBVNT|47DMG|59BASARM|6BELT|89BEXP|9BPWR|aLWND
26	55123 43534	   	245.13	ACR|2BASARM|2DMG|2BEXP|2CDMG	19CDMG|2RCR|3MBVNT|47DMG|59BASARM|6BELT|89BEXP|9BPWR|aRMIN
27	55113 43133	   	245.01	ACR|2BASARM|2DMG|1ASPD|2CDMG	19CDMG|2RCR|3MBVNT|4ASPD|59BASARM|6BELT|79DMG|8RMIN|9BPWR|aAAC
28	55123 47133	 * 	245.01	ACR|2BASARM|2ASPD|1DMG|2CDMG	19CDMG|2RCR|3MBVNT|4DMG|59BASARM|6BELT|79ASPD|8RMIN|9BPWR|aAAC
29	55113 43724	 * 	244.10	ACR|1BASARM|2ASPD|2BEXP|1DMG|1CDMG	1CDMG|2RCR|3MBVNT|4aASPD|5BASARM|6BELT|7DMG|89BEXP
30	55113 43722	   	241.46	ACR|1BASARM|2BEXP|1ASPD|1DMG|1VULN|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|7DMG|89BEXP|aVULN
31	55113 42314	   	241.20	ACR|1BASARM|2VULN|2ASPD|2CDMG	19CDMG|2RCR|3MBVNT|49ASPD|5BASARM|6BELT|7DUR|89VULN|9BPWR|aAAC
32	55113 46314	   	241.20	ACR|1BASARM|2VULN|2ASPD|2CDMG	19CDMG|2RCR|3MBVNT|49ASPD|5BASARM|6BELT|7LHND|89VULN|9BPWR|aAAC
33	55123 42314	   	241.20	ACR|1BASARM|2VULN|2DMG|2CDMG	19CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7DUR|89VULN|9BPWR|aAAC
34	55123 44314	   	241.20	ACR|1BASARM|2VULN|2DMG|2CDMG	19CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7LHND|89VULN|9BPWR|aAAC
35	55123 15342	 * 	240.50	ACR|1BASARM|2DMG|2AART|1VULN|1CDMG	1CDMG|2RCR|3MBVNT|49DMG|5BASARM|6LWND|78AART|aVULN
36	55123 25242	   	240.50	ACR|1BASARM|2DMG|2AART|1VULN|1CDMG	1CDMG|2RCR|3MBVNT|49DMG|5BASARM|6FEWX|78AART|aVULN
37	55211 36232	 * 	239.88	ACR|2ASPD|2DMG|1VULN|2CDMG|1AART|1BEXP	1aCDMG|2RCR|3VULN|4aASPD|5MDPS|6AART|7BEXP|8ZMB|9aDMG|aBPWR
38	55221 36232	   	239.88	ACR|2ASPD|2DMG|1VULN|2CDMG|1AART|1BEXP	1aCDMG|2RCR|3VULN|4aDMG|5MDPS|6AART|7BEXP|8ZMB|9aASPD|aBPWR
39	55113 43132	   	237.03	ACR|2BASARM|2DMG|1ASPD|2CDMG	19CDMG|2RCR|3MBVNT|4ASPD|59BASARM|6BELT|79DMG|8RMIN|9BPWR|aRCVC
40	55123 47132	   	237.03	ACR|2BASARM|2ASPD|1DMG|2CDMG	19CDMG|2RCR|3MBVNT|4DMG|59BASARM|6BELT|79ASPD|8RMIN|9BPWR|aRCVC
41	55113 43131	   	236.70	ACR|2BASARM|2DMG|1ASPD|2CDMG	19CDMG|2RCR|3MBVNT|4ASPD|59BASARM|6BELT|79DMG|8RMIN|9BPWR|aLWND
42	55113 43137	   	236.70	ACR|2BASARM|2DMG|1ASPD|2CDMG	19CDMG|2RCR|3MBVNT|4ASPD|59BASARM|6BELT|79DMG|8RMIN|9BPWR|aDUR
43	55113 43138	   	236.70	ACR|2BASARM|2DMG|1ASPD|2CDMG	19CDMG|2RCR|3MBVNT|4ASPD|59BASARM|6BELT|79DMG|8RMIN|9BPWR|aFEWX
44	55123 47131	   	236.70	ACR|2BASARM|2ASPD|1DMG|2CDMG	19CDMG|2RCR|3MBVNT|4DMG|59BASARM|6BELT|79ASPD|8RMIN|9BPWR|aLWND
45	55113 43134	   	236.60	ACR|2BASARM|2DMG|1ASPD|2CDMG	19CDMG|2RCR|3MBVNT|4ASPD|59BASARM|6BELT|79DMG|8RMIN|9BPWR|aDUST
46	55123 47134	   	236.60	ACR|2BASARM|2ASPD|1DMG|2CDMG	19CDMG|2RCR|3MBVNT|4DMG|59BASARM|6BELT|79ASPD|8RMIN|9BPWR|aDUST
47	55113 15342	 * 	236.57	ACR|1BASARM|2AART|1ASPD|1DMG|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6LWND|78AART|9DMG|aBEXP
48	55113 25242	   	236.57	ACR|1BASARM|2AART|1ASPD|1DMG|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6FEWX|78AART|9DMG|aBEXP
49	55113 43624	   	235.57	ACR|1BASARM|2ASPD|1DMG|2CDMG|1BEXP	18CDMG|2RCR|3MBVNT|4aASPD|5BASARM|6BELT|7DMG|9BEXP
50	55313 24331	 * 	235.31	ACR|1BASARM|2AART|1VULN|1ASPD|1BEXP|1CDMG	1CDMG|2RCR|3LWND|4ASPD|5BASARM|6BEXP|78AART|9MDPS|aVULN
51	55323 24331	   	235.31	ACR|1BASARM|2AART|1VULN|1DMG|1BEXP|1CDMG	1CDMG|2RCR|3LWND|4DMG|5BASARM|6BEXP|78AART|9MDPS|aVULN
52	52211 31641	 * 	234.32	ACR|3VULN|1BASARM|1ASPD|1BASICY|1BEXP|1CDMG	1CDMG|2LWND|389VULN|4ASPD|5RCR|6BEXP|7BASARM|aBASICY
53	55113 43622	   	234.23	ACR|1BASARM|1ASPD|1DMG|2CDMG|1VULN|1BEXP	18CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|7DMG|9BEXP|aVULN
54	55113 43414	   	233.20	ACR|1BASARM|2ASPD|2DMG|1CDMG	1CDMG|2RCR|3MBVNT|4aASPD|5BASARM|6BELT|79DMG|8FEWX
55	55123 42614	   	233.20	ACR|1BASARM|2ASPD|2DMG|1CDMG	1CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7DUR|8aASPD
56	55123 44614	   	233.20	ACR|1BASARM|2ASPD|2DMG|1CDMG	1CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7LHND|8aASPD
57	55123 47414	   	233.20	ACR|1BASARM|2ASPD|2DMG|1CDMG	1CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7aASPD|8FEWX
58	55113 43814	   	233.10	ACR|1BASARM|2ASPD|2DMG|1CDMG	1CDMG|2RCR|3MBVNT|4aASPD|5BASARM|6BELT|79DMG|8LEGI
59	55113 42317	   	232.89	ACR|1BASARM|2VULN|2ASPD|2CDMG	19CDMG|2RCR|3MBVNT|49ASPD|5BASARM|6BELT|7DUR|89VULN|9BPWR|aLIT
60	55113 42312	   	232.79	ACR|1BASARM|2VULN|2ASPD|2CDMG	19CDMG|2RCR|3MBVNT|49ASPD|5BASARM|6BELT|7DUR|89VULN|9BPWR|aTLV
61	55113 42315	   	232.79	ACR|1BASARM|2VULN|2ASPD|2CDMG	19CDMG|2RCR|3MBVNT|49ASPD|5BASARM|6BELT|7DUR|89VULN|9BPWR|aMDPS
62	55113 42318	   	232.79	ACR|1BASARM|2VULN|2ASPD|2CDMG	19CDMG|2RCR|3MBVNT|49ASPD|5BASARM|6BELT|7DUR|89VULN|9BPWR|aLEGI
63	55113 46312	   	232.79	ACR|1BASARM|2VULN|2ASPD|2CDMG	19CDMG|2RCR|3MBVNT|49ASPD|5BASARM|6BELT|7LHND|89VULN|9BPWR|aTLV
64	55123 42312	   	232.79	ACR|1BASARM|2VULN|2DMG|2CDMG	19CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7DUR|89VULN|9BPWR|aTLV
65	55123 42315	   	232.79	ACR|1BASARM|2VULN|2DMG|2CDMG	19CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7DUR|89VULN|9BPWR|aMDPS
66	55123 44312	   	232.79	ACR|1BASARM|2VULN|2DMG|2CDMG	19CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7LHND|89VULN|9BPWR|aTLV
67	55123 44315	   	232.79	ACR|1BASARM|2VULN|2DMG|2CDMG	19CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7LHND|89VULN|9BPWR|aMDPS
68	55313 21631	 * 	232.65	ACR|1BASARM|2VULN|2BEXP|1ASPD|1CDMG	1CDMG|2RCR|3LWND|4ASPD|5BASARM|6aBEXP|7FEWX|89VULN
69	55323 21631	 * 	232.65	ACR|1BASARM|2VULN|2BEXP|1DMG|1CDMG	1CDMG|2RCR|3LWND|4DMG|5BASARM|6aBEXP|7FEWX|89VULN
70	55123 43238	 * 	232.30	ACR|2BASARM|3DMG|2CDMG	19CDMG|2RCR|3MBVNT|47aDMG|59BASARM|6BELT|89DUR|9BPWR
71	55214 12313	   	232.22	ACR|2ASPD|2DMG|1VULN|1BEXP|1CDMG|1AART	1CDMG|2RCR|3VULN|45ASPD|6AART|7LHND|8BEXP|9aDMG
72	55113 43211	   	231.86	ACR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|79DMG|8VULN|aCGEN
73	55113 43213	   	231.86	ACR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|79DMG|8VULN|aLIT
74	55113 43214	   	231.86	ACR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|79DMG|8VULN|aMLV
75	55113 43412	   	231.86	ACR|1BASARM|2DMG|1ASPD|1VULN|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|79DMG|8FEWX|aVULN
76	55123 42612	   	231.86	ACR|1BASARM|2DMG|1ASPD|1VULN|1CDMG	1CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7DUR|8ASPD|aVULN
77	55123 44612	   	231.86	ACR|1BASARM|2DMG|1ASPD|1VULN|1CDMG	1CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7LHND|8ASPD|aVULN
78	55123 47211	   	231.86	ACR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	1CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7ASPD|8VULN|aCGEN
79	55123 47213	   	231.86	ACR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	1CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7ASPD|8VULN|aLIT
80	55123 47214	   	231.86	ACR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	1CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7ASPD|8VULN|aMLV
81	55123 47412	   	231.86	ACR|1BASARM|2DMG|1ASPD|1VULN|1CDMG	1CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7ASPD|8FEWX|aVULN
82	55113 43215	   	231.76	ACR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|79DMG|8VULN|aLEGI
83	55113 43217	   	231.76	ACR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|79DMG|8VULN|aAME
84	55113 43812	   	231.76	ACR|1BASARM|2DMG|1ASPD|1VULN|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|79DMG|8LEGI|aVULN
85	55113 52434	 * 	231.52	ACR|1BASARM|2ASPD|2BEXP|2CDMG	1aCDMG|2RCR|3MBVNT|4aASPD|5BASARM|6DUST|7LEGI|8RCVC|9aBEXP|aBPWR
86	55123 52434	   	231.52	ACR|1BASARM|2DMG|2BEXP|2CDMG	1aCDMG|2RCR|3MBVNT|4aDMG|5BASARM|6DUST|7LEGI|8RCVC|9aBEXP|aBPWR
87	55123 43324	 * 	231.26	ACR|3DMG|1BASARM|1ASPD|1CDMG	1CDMG|2RCR|3MBVNT|479DMG|5BASARM|6BELT|8LIT|aASPD
88	55123 43521	   	231.16	ACR|3DMG|1BASARM|2CDMG|1BEXP	1aCDMG|2RCR|3MBVNT|47aDMG|5BASARM|6BELT|8BEXP|9aVENFST|aBPWR
89	55313 34112	   	230.91	ACR|1BASARM|1ASPD|1DMG|1VULN|1AART|1CDMG	1CDMG|2RCR|3LWND|4ASPD|5BASARM|6AART|7RCVC|8DMG|9MLV|aVULN
90	55323 34112	   	230.91	ACR|1BASARM|1ASPD|1DMG|1VULN|1AART|1CDMG	1CDMG|2RCR|3LWND|4DMG|5BASARM|6AART|7RCVC|8ASPD|9MLV|aVULN
91	55123 43136	   	230.29	ACR|2BASARM|2DMG|2CDMG|1BEXP	19CDMG|2RCR|3MBVNT|47DMG|59BASARM|6BELT|89LWND|9BPWR|aBEXP
92	55123 43236	   	230.29	ACR|2BASARM|2DMG|2CDMG|1BEXP	19CDMG|2RCR|3MBVNT|47DMG|59BASARM|6BELT|89DUR|9BPWR|aBEXP
93	55143 43136	   	230.19	ACR|2BASARM|2DMG|2CDMG|1BEXP	19CDMG|2RCR|3MBVNT|4NUKE|59BASARM|6BELT|79DMG|8RMIN|9BPWR|aBEXP
94	55224 33311	 * 	230.18	ACR|3DMG|1VULN|1ASPD|1CDMG|1BEXP|1AART	1CDMG|2RCR|3VULN|49aDMG|5ASPD|6AART|7AAC|8BEXP
95	55313 36322	   	229.36	ACR|1BASARM|2ASPD|1DMG|1CDMG|1AART	1CDMG|2RCR|3LWND|4aASPD|5BASARM|6AART|7RPLT|8DUR|9DMG
96	55323 36322	   	229.36	ACR|1BASARM|2ASPD|1DMG|1CDMG|1AART	1CDMG|2RCR|3LWND|4DMG|5BASARM|6AART|7RPLT|8DUR|9aASPD
97	55113 43711	   	229.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|79DMG|8BEXP|aCGEN
98	55113 43713	   	229.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|79DMG|8BEXP|aLWND
99	55123 43544	   	229.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|47DMG|5BASARM|6BELT|8BEXP|9MLV|aASPD
100	55123 43621	   	229.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|47DMG|5BASARM|6BELT|8ASPD|9BEXP|aCGEN
101	55123 43623	   	229.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|47DMG|5BASARM|6BELT|8ASPD|9BEXP|aLWND
102	55113 41211	   	229.20	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG|1AART	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|7ZMB|8VULN|9DMG|aAART
103	55113 43241	   	229.20	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG|1AART	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|7DMG|8VULN|9CGEN|aAART
104	55123 47241	   	229.20	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG|1AART	1CDMG|2RCR|3MBVNT|4DMG|5BASARM|6BELT|7ASPD|8VULN|9CGEN|aAART
105	55143 43714	   	229.16	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|4NUKE|5BASARM|6BELT|79DMG|8BEXP|aASPD
106	55113 36241	   	229.10	ACR|1BASARM|1ASPD|1DMG|1VULN|1AART|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6MLV|7MDPS|8AART|9DMG|aVULN
107	55113 43281	   	229.10	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|7DMG|8VULN|9AME|aAART
108	55143 47211	   	229.10	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG|1AART	1CDMG|2RCR|3MBVNT|4NUKE|5BASARM|6BELT|7ASPD|8VULN|9DMG|aAART
109	55123 15344	   	228.75	ACR|1BASARM|2DMG|2AART|1CDMG	1CDMG|2RCR|3MBVNT|49DMG|5BASARM|6LWND|78AART|aAAC
110	55113 13632	   	227.56	ACR|2BASARM|1ASPD|2CDMG|1VULN|1BEXP	18CDMG|2RCR|3MBVNT|4ASPD|58BASARM|68LWND|7MDPS|8BPWR|9BEXP|aVULN
111	55123 13632	   	227.56	ACR|2BASARM|1DMG|2CDMG|1VULN|1BEXP	18CDMG|2RCR|3MBVNT|4DMG|58BASARM|68LWND|7MDPS|8BPWR|9BEXP|aVULN
112	55113 13634	 * 	227.44	ACR|2BASARM|2BEXP|1ASPD|2CDMG	18CDMG|2RCR|3MBVNT|4ASPD|58BASARM|68LWND|7MDPS|8BPWR|9aBEXP
113	55113 82334	   	227.44	ACR|2BASARM|2BEXP|1ASPD|2CDMG	1aCDMG|2RCR|3MBVNT|4ASPD|5aBASARM|6AAC|7ZMB|8LHND|9aBEXP|aBPWR
114	55123 13634	   	227.44	ACR|2BASARM|2BEXP|1DMG|2CDMG	18CDMG|2RCR|3MBVNT|4DMG|58BASARM|68LWND|7MDPS|8BPWR|9aBEXP
115	55123 82334	   	227.44	ACR|2BASARM|2BEXP|1DMG|2CDMG	1aCDMG|2RCR|3MBVNT|4DMG|5aBASARM|6AAC|7ZMB|8LHND|9aBEXP|aBPWR
116	55113 84431	   	227.44	ACR|2BASARM|2VULN|1ASPD|2CDMG	19CDMG|2RCR|3MBVNT|4ASPD|59BASARM|6AAC|79VULN|8RPLT|9BPWR|aCGEN
117	55113 84432	   	227.44	ACR|2BASARM|2VULN|1ASPD|2CDMG	19CDMG|2RCR|3MBVNT|4ASPD|59BASARM|6AAC|79VULN|8RPLT|9BPWR|aLIT
118	55123 84431	   	227.44	ACR|2BASARM|2VULN|1DMG|2CDMG	19CDMG|2RCR|3MBVNT|4DMG|59BASARM|6AAC|79VULN|8RPLT|9BPWR|aCGEN
119	55123 84432	   	227.44	ACR|2BASARM|2VULN|1DMG|2CDMG	19CDMG|2RCR|3MBVNT|4DMG|59BASARM|6AAC|79VULN|8RPLT|9BPWR|aLIT
120	55113 84434	   	227.34	ACR|2BASARM|2VULN|1ASPD|2CDMG	19CDMG|2RCR|3MBVNT|4ASPD|59BASARM|6AAC|79VULN|8RPLT|9BPWR|aERES
121	55123 84434	   	227.34	ACR|2BASARM|2VULN|1DMG|2CDMG	19CDMG|2RCR|3MBVNT|4DMG|59BASARM|6AAC|79VULN|8RPLT|9BPWR|aERES
122	55113 43224	   	226.95	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|7DMG|8VULN|9BEXP|aRCVC
123	55123 47224	   	226.95	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|4DMG|5BASARM|6BELT|7ASPD|8VULN|9BEXP|aRCVC
124	55313 34132	   	226.93	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AART	1CDMG|2RCR|3LWND|4ASPD|5BASARM|6AART|7RCVC|8DMG|9DUST|aBEXP
125	55323 34132	   	226.93	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AART	1CDMG|2RCR|3LWND|4DMG|5BASARM|6AART|7RCVC|8ASPD|9DUST|aBEXP
126	55113 43222	   	226.63	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|7DMG|8VULN|9BEXP|aCGEN
127	55113 43226	   	226.63	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|7DMG|8VULN|9BEXP|aDUR
128	55123 47222	   	226.63	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|4DMG|5BASARM|6BELT|7ASPD|8VULN|9BEXP|aCGEN
129	55113 43221	   	226.53	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|7DMG|8VULN|9BEXP|aERES
130	55113 43225	   	226.53	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|7DMG|8VULN|9BEXP|aAME
131	55113 43228	   	226.53	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|7DMG|8VULN|9BEXP|aNUKE
132	55123 47221	   	226.53	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|4DMG|5BASARM|6BELT|7ASPD|8VULN|9BEXP|aERES
133	55113 41213	   	226.51	ACR|1BASARM|2VULN|1ASPD|1DMG|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|7ZMB|8aVULN|9DMG
134	55113 43243	   	226.51	ACR|1BASARM|2VULN|1ASPD|1DMG|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|7DMG|8aVULN|9CGEN
135	55113 43721	   	226.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|7DMG|89BEXP|aCGEN
136	55113 43723	   	226.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|7DMG|89BEXP|aLWND
137	55123 47243	   	226.51	ACR|1BASARM|2VULN|1ASPD|1DMG|1CDMG	1CDMG|2RCR|3MBVNT|4DMG|5BASARM|6BELT|7ASPD|8aVULN|9CGEN
138	52211 31322	   	226.43	ACR|1BASARM|1VULN|1ASPD|1BASICY|1AART|1BEXP|1CDMG|1SELL	1CDMG|2LWND|3VULN|4ASPD|5RCR|6BEXP|7BASARM|8SELL|9BASICY|aAART
139	54211 31323	   	226.43	ACR|1BASARM|1VULN|1ASPD|1BASICY|1BEXP|1AART|1CDMG|1SELL	1CDMG|2FEWX|3VULN|4ASPD|5RCR|6BEXP|7BASARM|8SELL|9BASICY|aAART
140	55113 43283	   	226.41	ACR|1BASARM|2VULN|1ASPD|1DMG|1CDMG	1CDMG|2RCR|3MBVNT|4ASPD|5BASARM|6BELT|7DMG|8aVULN|9AME
141	55143 43724	   	226.41	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1CDMG|2RCR|3MBVNT|4NUKE|5BASARM|6BELT|7DMG|89BEXP|aASPD
