0	Index      	 *	Score 	Summary	Detail	
1	22113 15633	 * 	248.13	ACR|1BASARM|2ASPD|2DMG|2BEXP	1BELT|2RCR|3LWND|46DMG|56BEXP|6BPWR|7MDPS|8BASARM|9aASPD
41	22113 15662	   	218.79	ACR|1BASARM|2DMG|2BEXP|1AAC	1BELT|2RCR|39LWND|46DMG|56BEXP|6BPWR|7MDPS|8BASARM|aAAC
42	22113 15615	   	218.69	ACR|1BASARM|2DMG|2BEXP|1AAC	1BELT|2RCR|3LWND|46DMG|56BEXP|6BPWR|7MDPS|8BASARM|9DUST|aAAC
43	22121 32646	 * 	218.60	ACR|3VULN|1BASARM|2DMG	1BELT|2RCR|38LWND|4MLV|58DMG|6RPLT|789VULN|8BPWR|aBASARM
44	22113 11641	 * 	218.56	ACR|2ASPD|2DMG|2BEXP|1VULN	1BELT|2RCR|3LWND|46DMG|56BEXP|6BPWR|78ASPD|9LHND|aVULN
45	22113 11661	   	218.46	ACR|2ASPD|2DMG|2BEXP|1VULN	1BELT|2RCR|3LWND|46DMG|56BEXP|6BPWR|78ASPD|9DUST|aVULN
46	22113 11616	   	218.31	ACR|2ASPD|2DMG|2BEXP|1VULN|1SELL	1BELT|2RCR|3LWND|46DMG|56BEXP|6BPWR|78ASPD|9SELL|aVULN
47	54113 22363	 * 	218.21	ACR|1BASARM|2DMG|1VULN|1AART	1DUR|2RCR|35DMG|45ERES|5BPWR|6DUST|7AART|8BASARM|9LWND|aVULN
48	54133 22363	   	218.21	ACR|1BASARM|2DMG|1VULN|1AART	1DUR|2RCR|35DMG|45AME|5BPWR|6DUST|7AART|8BASARM|9LWND|aVULN
49	64113 22363	   	218.21	ACR|1BASARM|2DMG|1VULN|1AART	1FEWX|2RCR|35DMG|45ERES|5BPWR|6DUST|7AART|8BASARM|9LWND|aVULN
50	64133 22363	   	218.21	ACR|1BASARM|2DMG|1VULN|1AART	1FEWX|2RCR|35DMG|45AME|5BPWR|6DUST|7AART|8BASARM|9LWND|aVULN
