0	Index      	 *	Score 	Summary	Detail	
1	63636 23332	 * 	218.91	紫1基础对甲2攻速1伤害1全技能1基地爆炸1卖塔	16等级2卖塔3技能4核56攻速6序列升级7全技能8基地爆炸9基础对甲a伤害
15	21436 23262	   	201.89	紫1基础对甲2伤害1易伤1全技能	1平台2技能36最后敌人4核56伤害6序列升级7基础对甲8易伤9金币生成a全技能
16	32663 52214	 * 	201.44	紫1基础对甲2基地爆炸1伤害1全技能	12矿等2序列升级3核46基地爆炸5敌人爆炸7基础对甲8全技能9加一a伤害
17	21436 23243	   	200.93	紫1基础对甲2伤害1易伤1暴击	1平台2技能36最后敌人4核56伤害6序列升级7基础对甲8易伤9暴击a立即金币
18	21436 23241	   	200.50	紫1基础对甲2伤害1易伤1暴击	1平台2技能36最后敌人4核56伤害6序列升级7基础对甲8易伤9暴击a挖尘
19	21436 23242	   	200.50	紫1基础对甲2伤害1易伤1暴击	1平台2技能36最后敌人4核56伤害6序列升级7基础对甲8易伤9暴击a喷火对甲
20	21436 23433	   	199.62	紫1基础对甲2伤害1基地爆炸1暴击	1平台2技能36最后敌人4核56伤害6序列升级7基础对甲8暴击9基地爆炸a立即金币
21	21436 23431	   	199.19	紫1基础对甲2伤害1基地爆炸1暴击	1平台2技能36最后敌人4核56伤害6序列升级7基础对甲8暴击9基地爆炸a挖尘
22	21436 23432	   	199.19	紫1基础对甲2伤害1基地爆炸1暴击	1平台2技能36最后敌人4核56伤害6序列升级7基础对甲8暴击9基地爆炸a散射对甲
23	63636 23331	 * 	198.85	紫1基础对甲2攻速1基地爆炸1全技能1卖塔	16等级2卖塔3技能4核56攻速6序列升级7全技能8基地爆炸9基础对甲a金币生成
24	13655 13132	 * 	196.67	紫2攻速2基地爆炸1易伤1暴击1全技能	1双倍秒伤2技能3暴击4核57基地爆炸68攻速9易伤a全技能
25	32663 52222	 * 	196.27	紫2基础对甲2基地爆炸1全技能	129矿等29序列升级3核46基地爆炸59敌人爆炸79基础对甲8全技能a平台
26	32663 52223	   	196.27	紫2基础对甲2基地爆炸1全技能	129矿等29序列升级3核46基地爆炸59a敌人爆炸79基础对甲8全技能
27	32663 52221	   	196.17	紫2基础对甲2基地爆炸1全技能	129矿等29序列升级3核46基地爆炸59敌人爆炸79基础对甲8全技能a挖尘
28	21436 23321	   	195.49	紫3伤害1基础对甲2技能	1平台29技能36最后敌人4核56a伤害6序列升级7基础对甲8低血量敌人
29	32663 52232	 * 	195.13	紫1基础对甲2基地爆炸1易伤1全技能	12矿等2序列升级3核46基地爆炸5敌人爆炸7基础对甲8全技能9低血量敌人a易伤
30	32663 52212	   	195.03	紫1基础对甲2基地爆炸1易伤1全技能	12矿等2序列升级3核46基地爆炸5敌人爆炸7基础对甲8全技能9加一a易伤
31	35663 22222	   	194.88	紫2基础对甲1易伤1全技能1基地爆炸	19矿等29火球减费3核4基地爆炸56敌人爆炸79基础对甲8全技能9序列升级a易伤
32	21164 62221	 * 	193.69	紫2基础对甲2暴击1易伤1全技能	16平台2技能39暴击49等级5核79基础对甲8全技能9序列升级a易伤
33	21436 23211	   	193.49	紫1基础对甲2伤害1易伤2技能	1平台2a技能36最后敌人4核56伤害6序列升级7基础对甲8易伤9时间
34	21436 23224	   	193.49	紫1基础对甲2伤害1易伤2技能	1平台29技能36最后敌人4核56伤害6序列升级7基础对甲8易伤a低血量敌人
35	21436 23226	   	193.49	紫1基础对甲2伤害1易伤2技能	1平台29技能36最后敌人4核56伤害6序列升级7基础对甲8易伤a策反
36	21436 23222	   	193.39	紫1基础对甲2伤害1易伤2技能	1平台29技能36最后敌人4核56伤害6序列升级7基础对甲8易伤a挖尘
37	21436 23223	   	193.39	紫1基础对甲2伤害1易伤2技能	1平台29技能36最后敌人4核56伤害6序列升级7基础对甲8易伤a双倍秒伤
38	21436 23231	   	193.39	紫1基础对甲2伤害1易伤2技能	1平台2a技能36最后敌人4核56伤害6序列升级7基础对甲8易伤9挖青
39	32632 12562	 * 	190.64	紫1基础对甲2攻速1易伤	12矿等2序列升级3核4时间56最后敌人7基础对甲8易伤9a攻速
40	32351 14533	   	190.25	紫1基础对甲1易伤1全技能1基地爆炸1暴击	12矿等2序列升级3平台4核5低血量敌人6基地爆炸7暴击8全技能9基础对甲a易伤
41	32663 52231	   	189.79	紫1基础对甲2基地爆炸1全技能1技能	12矿等2序列升级3核46基地爆炸5敌人爆炸7基础对甲8全技能9低血量敌人a技能
42	32663 22224	   	189.73	紫2基础对甲1全技能1基地爆炸1技能	129矿等29序列升级3核4基地爆炸569敌人爆炸79基础对甲8全技能a技能
43	35663 22221	   	189.53	紫2基础对甲1全技能1基地爆炸1技能	19矿等29火球减费3核4基地爆炸56敌人爆炸79基础对甲8全技能9序列升级a技能
44	32662 26132	 * 	189.51	紫1易伤1攻速1伤害1暴击1基地爆炸1全技能	12矿等2序列升级3核4基地爆炸5最后敌人6伤害7攻速8易伤9暴击a全技能
45	13655 13213	 * 	189.07	紫3基地爆炸1攻速1易伤1暴击1全技能	1双倍秒伤2技能3暴击4核579基地爆炸6攻速8全技能a易伤
46	32631 51632	   	189.07	紫1基础对甲1伤害1全技能1暴击	12矿等2序列升级3核4时间5立即金币6暴击7加一8全技能9基础对甲a伤害
47	32631 53532	   	189.07	紫1基础对甲1伤害1全技能1暴击	12矿等2序列升级3核4时间5立即金币6暴击7挖尘8全技能9基础对甲a伤害
