0	Index      	 *	Score 	Summary	Detail	
1	61623 11363	 * 	306.81	DCR|2MLV|3VULN|1LIT|2DMG	17DMG|27MLV|3ERES|4FEWX|57aVULN|6AART|7BPWR|8RCR|9LIT
25	25333 21632	   	281.84	ACR|3LIT|2MLV|3VULN	1aLWND|2RCR|356LIT|45DUST|5aBPWR|78aVULN|9aMLV
26	31432 51532	 * 	280.92	DCR|2LIT|2VULN|2DMG|1MLV|2DUR	19DUR|2MLV|39VULN|4FEWX|5aLIT|6LEGI|7RCR|89DMG|9BPWR
27	11222 61234	   	280.62	DCR|3LIT|2VULN|1MLV|1DMG	19DUST|2MLV|389LIT|4LWND|5DUR|69VULN|7RCR|9BPWR|aDMG
28	61131 21643	   	280.53	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	15DMG|2MLV|39VULN|4CDMG|6RCR|7BELT|8ZMB|aLIT
29	33222 51234	   	280.52	DCR|3LIT|2VULN|1MLV|1DMG|2DUR	19DUR|29VULN|3DUST|4MLV|589LIT|6LEGI|7RCR|9BPWR|aDMG
30	21411 23352	   	280.00	DCR|3LIT|3MLV|2VULN	18LWND|26aMLV|38VULN|458LIT|7NUKE|8BPWR|9RCR
31	11411 23352	   	279.70	DCR|3LIT|3MLV|2VULN	18DUST|26aMLV|38VULN|458LIT|7NUKE|8BPWR|9RCR
32	22113 21632	   	279.44	ACR|3LIT|2MLV|3VULN	1aLWND|25FEWX|3RCR|456LIT|5aBPWR|78aVULN|9aMLV
33	41242 68241	 * 	279.41	DCR|2LIT|3VULN|2DMG|1CDMG	1AART|278VULN|3MBVNT|4BEXP|57LIT|67DMG|7BPWR|9CDMG|aRCR
34	41222 48241	   	279.31	DCR|2LIT|3VULN|2DMG|1CDMG	1AART|278VULN|3MBVNT|4DUST|57LIT|67DMG|7BPWR|9CDMG|aRCR
35	23112 25632	   	279.14	ACR|3LIT|2MLV|3VULN	1aLWND|25aVULN|3RCR|467LIT|8LEGI|9aMLV|aBPWR
36	16113 21632	   	279.14	ACR|3LIT|2MLV|3VULN	1aDUST|25LWND|3RCR|456LIT|5aBPWR|78aVULN|9aMLV
37	36113 21632	   	279.14	ACR|3LIT|2MLV|3VULN|2DUR	1aDUR|25LWND|3RCR|456LIT|5aBPWR|78aVULN|9aMLV
38	25613 26123	   	279.03	ACR|3LIT|2MLV|2VULN|1DMG	19LWND|2RCR|35FEWX|456LIT|59BPWR|79MLV|89VULN|aDMG
39	61134 22221	   	278.88	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DMG|2MLV|35VULN|4CDMG|6RCR|7FEWX|8aLIT|9LWND
40	61134 22231	   	278.88	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DMG|2MLV|35VULN|4CDMG|6RCR|7FEWX|8aLIT|9BEXP
41	61134 22212	   	278.78	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DMG|2MLV|35VULN|4CDMG|6RCR|7FEWX|8aLIT|9ERES
42	61134 22241	   	278.78	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DMG|2MLV|35VULN|4CDMG|6RCR|7FEWX|8aLIT|9DUR
43	61134 22261	   	278.78	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DMG|2MLV|35VULN|4CDMG|6RCR|7FEWX|8aLIT|9DUST
44	25333 26123	   	278.73	ACR|3LIT|2MLV|2VULN|1DMG	19LWND|2RCR|356LIT|45DUST|59BPWR|79MLV|89VULN|aDMG
45	41521 11363	   	278.58	DCR|3VULN|1LIT|2DMG|1MLV	1AART|27aVULN|37DMG|4MLV|5ERES|67FEWX|7BPWR|8RCR|9LIT
46	44121 11363	   	278.58	DCR|3VULN|1LIT|2DMG|1MLV	1AART|27DMG|37aVULN|4MLV|5ERES|67FEWX|7BPWR|8RCR|9LIT
47	41521 21333	   	278.38	DCR|3VULN|1LIT|2DMG|1MLV	1AART|27aVULN|37DMG|4MLV|5ERES|67DUST|7BPWR|8RCR|9LIT
48	44121 21333	   	278.38	DCR|3VULN|1LIT|2DMG|1MLV	1AART|27DMG|37aVULN|4MLV|5ERES|67DUST|7BPWR|8RCR|9LIT
49	31432 51531	   	278.11	DCR|1LIT|2VULN|2DMG|1MLV|1NUKE|2DUR	19DUR|2MLV|39VULN|4FEWX|5LIT|6LEGI|7RCR|89DMG|9BPWR|aNUKE
