0	Index      	 *	Score 	Summary	Detail	
1	21252 14421	 * 	270.24	DCR|2LIT|2FLTARM|1VULN|1MLV	17BEXP|27DUST|3aLIT|4VULN|57FLTARM|6DMSP|7BPWR|8MLV|9RCR
16	16642 41437	   	253.01	DCR|2LIT|1FLTARM|1VULN|1MLV	1AART|2MBVNT|3MLV|4VULN|5BEXP|67LIT|8RCR|9CRUSTR|aFLTARM
17	16642 43437	   	252.30	DCR|1LIT|2VULN|1FLTARM|1MLV	1AART|2MBVNT|3MLV|47VULN|5BEXP|6LIT|8RCR|9CRUSTR|aFLTARM
18	24222 35333	 * 	251.77	DCR|2LIT|3VULN|1DMG	1BEXP|2RPLT|36LIT|4RMIN|56aVULN|6BPWR|7DMG|8RCR|9LWND
19	24222 35313	   	251.67	DCR|2LIT|3VULN|1DMG	1BEXP|2RPLT|36LIT|4RMIN|56aVULN|6BPWR|7DMG|8RCR|9DUST
20	22343 21635	   	251.51	DCR|2LIT|2VULN|1MLV|1CDMG	1BEXP|2CGEN|3LEGI|49LIT|5CDMG|68VULN|7MLV|aRCR
21	21233 21635	   	251.51	DCR|2LIT|2VULN|1MLV|1CDMG	1BEXP|2DUST|39LIT|4CGEN|5CDMG|68VULN|7MLV|aRCR
22	16416 41444	 * 	248.81	DCR|3LIT|3VULN|2DUR	1AART|2MBVNT|39aVULN|4CGEN|59DUR|679LIT|8RCR|9BPWR
23	21252 31156	   	248.70	DCR|1LIT|2VULN|1FLTARM|1MLV	1BEXP|2DUST|3LIT|49VULN|5FLTARM|6ERES|7CGEN|8MLV|aRCR
24	16646 41444	 * 	248.18	DCR|3LIT|2MLV|1VULN|2DUR	1AART|2MBVNT|39MLV|4VULN|59DUR|679LIT|8RCR|9BPWR|aZMB
25	23141 66133	   	248.11	DCR|3LIT|1VULN|1MLV|1ASPD	1BEXP|2LWND|3RMIN|49aLIT|5ASPD|6VULN|7RCR|8MLV
26	16426 15313	 * 	247.94	DCR|2MLV|3VULN|2DMG|1SELL	1AART|2MBVNT|37aVULN|4BEXP|5aDMG|6RCR|8aMLV|9SELL|aBPWR
27	21233 21535	   	246.21	DCR|3LIT|1VULN|1MLV|1CDMG	1BEXP|2DUST|39aLIT|4CGEN|5CDMG|6VULN|7MLV|8RCR
28	51643 33233	   	245.95	DCR|3VULN|1LIT|1DMG|1CDMG	1TLV|2DMG|3BLASTR|457VULN|6RCR|8LIT|9CGEN|aCDMG
29	22522 36222	   	245.69	DCR|1LIT|2VULN|1MLV|1DMG	1BEXP|2CGEN|3LHND|4ZMB|5DMG|69VULN|7MLV|8RCR|aLIT
30	22322 36222	   	245.60	DCR|1LIT|2VULN|1MLV|1DMG	1BEXP|2CGEN|3LEGI|4ZMB|5DMG|69VULN|7MLV|8RCR|aLIT
31	36522 36222	   	245.60	DCR|1LIT|2VULN|1MLV|1DMG	1DUST|2CGEN|3LHND|4ZMB|5DMG|69VULN|7MLV|8RCR|aLIT
32	51221 36222	   	245.60	DCR|1LIT|2VULN|1MLV|1DMG	1TLV|2DMG|3LHND|4ZMB|59VULN|6DUST|7MLV|8RCR|aLIT
33	51421 16222	   	245.60	DCR|1LIT|2VULN|1MLV|1DMG|1DUR	1TLV|2DMG|3DUR|4ZMB|59VULN|6LWND|7MLV|8RCR|aLIT
34	36322 36222	   	245.50	DCR|1LIT|2VULN|1MLV|1DMG	1DUST|2CGEN|3LEGI|4ZMB|5DMG|69VULN|7MLV|8RCR|aLIT
35	51421 36222	   	245.50	DCR|1LIT|2VULN|1MLV|1DMG|1DUR	1TLV|2DMG|3DUR|4ZMB|59VULN|6DUST|7MLV|8RCR|aLIT
36	24262 21222	   	245.47	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG	1BEXP|2RPLT|38LIT|4MLV|5VULN|6BELT|7CDMG|9DMG|aRCR
37	24222 34233	   	245.41	DCR|3LIT|3VULN	1BEXP|2RPLT|369LIT|4RMIN|567VULN|6BPWR|8TLV|aRCR
38	16648 12232	   	245.37	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG	1AART|2MBVNT|3MLV|4VULN|5CDMG|69LIT|7DMG|8RCVC|aRCR
39	21252 32521	 * 	245.22	DCR|2LIT|2VULN|1FLTARM	1BEXP|2DUST|3aLIT|47VULN|5FLTARM|6ERES|8RCVC|9RCR
40	21252 32321	   	245.12	DCR|2LIT|2VULN|1FLTARM	1BEXP|2DUST|3aLIT|47VULN|5FLTARM|68ERES|9RCR
41	36261 31325	   	244.96	DCR|2LIT|2VULN|1MLV	18DUST|2CGEN|3MLV|4RPLT|57VULN|6RCR|9aLIT
42	42123 33623	   	244.63	DCR|3VULN|1LIT|1MLV	18LWND|258CGEN|3RPLT|478VULN|6RCR|8BPWR|9LIT|aMLV
43	42125 33623	   	244.63	DCR|3VULN|1LIT|1MLV	18LWND|28CGEN|3RPLT|478VULN|5RCVC|6RCR|8BPWR|9LIT|aMLV
44	22462 12111	   	244.58	DCR|1LIT|2VULN|1MLV|1ASPD|2ZMB	19BEXP|2CGEN|39VULN|4BELT|5MLV|6ASPD|7RCR|89ZMB|9BPWR|aLIT
45	22236 13633	 * 	244.42	DCR|2MLV|1LIT|2VULN|1DMG	16BEXP|2CGEN|34MLV|56VULN|6BPWR|7ERES|8LIT|9RCR|aDMG
46	36462 12111	   	244.38	DCR|1LIT|2VULN|1MLV|1ASPD|2ZMB	19DUST|2CGEN|39VULN|4BELT|5MLV|6ASPD|7RCR|89ZMB|9BPWR|aLIT
47	22114 31131	   	244.33	DCR|3VULN|1LIT|1MLV	1BEXP|2CGEN|3RPLT|4ERES|579VULN|6RCR|8MLV|aLIT
48	34131 41141	   	244.33	DCR|3VULN|1LIT|1MLV	1DUST|2RPLT|3BEXP|4RCVC|579VULN|6RCR|8MLV|aLIT
49	42114 31131	   	244.33	DCR|3VULN|1LIT|1MLV	1LWND|2CGEN|3RPLT|4ERES|579VULN|6RCR|8MLV|aLIT
50	31161 41141	   	244.23	DCR|3VULN|1LIT|1MLV	12DUST|3LWND|4RPLT|579VULN|6RCR|8MLV|aLIT
51	31261 41141	   	244.23	DCR|3VULN|1LIT|1MLV	12DUST|3LHND|4RPLT|579VULN|6RCR|8MLV|aLIT
52	36114 31131	   	244.23	DCR|3VULN|1LIT|1MLV	1DUST|2CGEN|3RPLT|4ERES|579VULN|6RCR|8MLV|aLIT
53	53432 21433	   	244.19	DCR|1LIT|2VULN|1MLV|1ASPD|1CDMG	1TLV|2FLTHEA|38VULN|4MLV|5ASPD|6RPLT|7LIT|9RCR|aCDMG
54	51152 26223	   	243.79	DCR|1LIT|2DMG|1VULN|1MLV|1CDMG	1TLV|26DMG|3LWND|4CDMG|5CGEN|7VULN|8RCR|9LIT|aMLV
55	21252 41113	   	243.72	DCR|2LIT|2VULN|1FLTARM	1BEXP|2DUST|39LIT|49VULN|5FLTARM|69FEWX|7LWND|8LHND|9BPWR|aRCR
56	21252 44313	   	243.72	DCR|2LIT|2VULN|1FLTARM	1BEXP|2DUST|39LIT|49VULN|5FLTARM|69FEWX|7LHND|8LWND|9BPWR|aRCR
57	21252 61513	   	243.72	DCR|2LIT|2VULN|1FLTARM	1BEXP|2DUST|39LIT|49VULN|5FLTARM|69LHND|7LWND|8FEWX|9BPWR|aRCR
58	24262 63313	   	243.36	DCR|2LIT|2VULN|1MLV	1BEXP|2RPLT|38LIT|4MLV|5aVULN|6FEWX|7RCR|9TLV
59	24222 35343	   	243.19	DCR|2LIT|2VULN|1DMG|1ASPD	1BEXP|2RPLT|36LIT|4RMIN|56VULN|6BPWR|7DMG|8RCR|9NUKE|aASPD
60	21233 25525	   	243.09	DCR|2LIT|2VULN|1DMG|1CDMG	1BEXP|2DUST|3aLIT|4CGEN|5CDMG|69VULN|7DMG|8RCR
61	11153 33514	 * 	242.90	DCR|1LIT|2VULN|1MLV|2ASPD	1AART|2ERES|34ASPD|5CGEN|6MLV|7aVULN|8LIT|9RCR
62	24262 24312	   	242.63	DCR|3VULN|1LIT|1MLV	1BEXP|2RPLT|3LIT|4MLV|59aVULN|6BELT|7RCR|8FEWX
63	42261 31242	   	242.11	DCR|1LIT|2VULN|1MLV|1DMG|1SELL	1LWND|2CGEN|3MLV|4RPLT|57VULN|6RCR|8SELL|9DMG|aLIT
64	36261 31242	   	242.01	DCR|1LIT|2VULN|1MLV|1DMG|1SELL	1DUST|2CGEN|3MLV|4RPLT|57VULN|6RCR|8SELL|9DMG|aLIT
65	51153 12622	   	241.59	DCR|2LIT|2VULN|1DMG|1CDMG	1aTLV|2DMG|3aLWND|4CDMG|57LIT|6aVULN|8AART|9RCR|aBPWR
66	51253 12622	   	241.59	DCR|2LIT|2VULN|1DMG|1CDMG	1aTLV|2DMG|3aLHND|4CDMG|57LIT|6aVULN|8AART|9RCR|aBPWR
67	16428 48424	   	241.56	DCR|2LIT|2VULN|1MLV|1DUR	1AART|2MBVNT|37VULN|47BEXP|5RMIN|67LIT|7BPWR|8RCR|9DUR|aMLV
68	16642 43418	   	241.46	DCR|2LIT|2VULN|1MLV	1AART|2MBVNT|3MLV|47VULN|5BEXP|6aLIT|8RCR|9TLV
69	13425 61333	 * 	241.35	DCR|1LIT|1VULN|1MLV|1DMG|1NUKE	1AART|2ZMB|3DMG|4MLV|5LIT|6TLV|7RCR|8LHND|9VULN|aNUKE
70	13125 61431	   	241.08	DCR|1LIT|2VULN|1MLV|1ASPD	1AART|2ZMB|3ASPD|4MLV|5LIT|6TLV|7RCR|89VULN|aBEXP
71	13125 61432	   	241.08	DCR|1LIT|2VULN|1MLV|1ASPD	1AART|2ZMB|3ASPD|4MLV|5LIT|6TLV|7RCR|89VULN|aLWND
72	13125 61433	   	241.08	DCR|1LIT|2VULN|1MLV|1ASPD	1AART|2ZMB|3ASPD|4MLV|5LIT|6aTLV|7RCR|89VULN
73	22462 12121	   	241.08	DCR|1LIT|2VULN|1MLV|1ASPD	1BEXP|2CGEN|39VULN|4BELT|5MLV|6ASPD|7RCR|8ZMB|aLIT
74	56236 12121	   	241.08	DCR|1LIT|2VULN|1MLV|1ASPD	1TLV|2BEXP|3MLV|49VULN|5BELT|6ASPD|7RCR|8ZMB|aLIT
75	31513 62621	 * 	241.06	DCR|1LIT|2VULN|2DMG|1ASPD|1SELL	12DUST|3ASPD|4SELL|59VULN|6RCR|7aDMG|8LIT
76	32532 12221	   	240.98	DCR|1LIT|2VULN|1MLV|1ASPD	1DUST|2BELT|3ZMB|49VULN|5MLV|6ASPD|7RCR|8RMIN|aLIT
77	32532 12521	   	240.98	DCR|1LIT|2VULN|1MLV|1ASPD	1DUST|2BELT|3ZMB|48VULN|5MLV|6ASPD|7RCR|9CGEN|aLIT
78	32532 42321	   	240.98	DCR|1LIT|2VULN|1MLV|1ASPD	1DUST|2BELT|3ZMB|49VULN|5MLV|6RMIN|7RCR|8ASPD|aLIT
79	36462 12121	   	240.98	DCR|1LIT|2VULN|1MLV|1ASPD	1DUST|2CGEN|39VULN|4BELT|5MLV|6ASPD|7RCR|8ZMB|aLIT
80	42123 53223	   	240.83	DCR|3VULN|1LIT|1MLV	1LWND|25CGEN|3RPLT|467VULN|8RCR|9LIT|aMLV
81	42125 53223	   	240.83	DCR|3VULN|1LIT|1MLV	1LWND|2CGEN|3RPLT|467VULN|5RCVC|8RCR|9LIT|aMLV
82	24231 63163	   	240.74	DCR|3LIT|2FLTARM|1ASPD	18BEXP|2RPLT|38aLIT|4LHND|5ASPD|6LEGI|78FLTARM|8BPWR|9RCR
83	51111 66113	   	240.46	DCR|1LIT|2VULN|1MLV|1DMG	1TLV|2DMG|3LWND|4BEXP|5aVULN|6LIT|7RCR|8MLV|9MBVNT
84	51211 66113	   	240.46	DCR|1LIT|2VULN|1MLV|1DMG	1TLV|2DMG|3LHND|4BEXP|5aVULN|6LIT|7RCR|8MLV|9MBVNT
85	16416 41447	   	240.32	DCR|3LIT|2VULN|2DUR|1ASPD	1AART|2MBVNT|39VULN|4CGEN|59DUR|679LIT|8RCR|9BPWR|aASPD
86	32532 12133	 * 	240.26	DCR|1LIT|1VULN|1MLV|2ASPD|3ZMB	19DUST|2BELT|389ZMB|4VULN|5MLV|69ASPD|7RCR|9BPWR|aLIT
