0	Index      	 *	Score 	Summary	Detail	
1	15336 21133	 * 	299.43	DCR|2LIT|4VULN|1MLV|1DMG	1458VULN|29BELT|35LIT|5BPWR|6DMG|7MLV|aRCR
31	13316 22721	   	274.54	DCR|2LIT|4VULN|1DMG	1249VULN|3LWND|59TLV|6RCR|7MBVNT|89LIT|9BPWR|aDMG
32	13225 21621	   	274.54	DCR|2LIT|4VULN|1DMG	1259VULN|39FEWX|4CGEN|6RCR|7DUR|89LIT|9BPWR|aDMG
33	13325 22721	   	274.54	DCR|2LIT|4VULN|1DMG	1259VULN|3LWND|49CGEN|6RCR|7MBVNT|89LIT|9BPWR|aDMG
34	13425 21621	   	274.54	DCR|2LIT|4VULN|1DMG	1259VULN|39BEXP|4CGEN|6RCR|7DUR|89LIT|9BPWR|aDMG
35	13525 22721	   	274.54	DCR|2LIT|4VULN|1DMG	1259VULN|3LHND|49CGEN|6RCR|7MBVNT|89LIT|9BPWR|aDMG
36	42311 31421	 * 	273.21	DCR|3LIT|3VULN|3DUR|3CDMG	1BELT|247DUR|348LIT|47aBPWR|57aCDMG|67aVULN|9RCR
37	15336 13125	   	272.64	DCR|2LIT|4VULN|1DMG	145aVULN|2BELT|35LIT|5BPWR|6ERES|7RCR|8CGEN|9DMG
38	15336 13325	   	272.64	DCR|2LIT|4VULN|1DMG	145aVULN|2BELT|35LIT|5BPWR|6ERES|7RCR|8TLV|9DMG
39	13316 22724	 * 	271.37	DCR|5VULN|2LIT	1249aVULN|3LWND|59TLV|6RCR|7MBVNT|89LIT|9BPWR
40	13525 22724	   	271.37	DCR|5VULN|2LIT	1259aVULN|3LHND|49CGEN|6RCR|7MBVNT|89LIT|9BPWR
41	15336 13621	 * 	271.06	DCR|2LIT|3VULN|2DMG	145VULN|2aBELT|35LIT|5BPWR|6ERES|7RCR|89DMG
42	15336 13622	   	271.06	DCR|2LIT|3VULN|2DMG	145VULN|2BELT|35LIT|5BPWR|6ERES|7RCR|89DMG|aFEWX
43	15336 13623	   	270.96	DCR|2LIT|3VULN|2DMG	145VULN|2BELT|35LIT|5BPWR|6ERES|7RCR|89DMG|aLEGI
