0	Index      	 *	Score 	Summary	Detail	
1	31432 35133	 * 	310.60	DCR|5VULN|1LIT|1MLV|1NUKE|1CDMG	1MLV|23459VULN|6LIT|7CDMG|8RCR|aNUKE
14	31423 32624	   	295.58	DCR|2LIT|2VULN|3ASPD|1MLV|1DMG	1MLV|23VULN|489ASPD|57LIT|6DMG|aRCR
15	31364 27323	 * 	295.12	DCR|2LIT|2MLV|2VULN|2ASPD|1CDMG	17MLV|2aVULN|37ASPD|4NUKE|5MBVNT|67LIT|7BPWR|8CDMG|9RCR
16	31161 35126	   	294.54	DCR|2LIT|2MLV|2VULN|1DMG	1aMLV|24VULN|39LIT|5ZMB|6DMG|7RCR|8CGEN
17	31161 35226	   	294.54	DCR|2LIT|2MLV|2VULN|1DMG	1aMLV|24VULN|39LIT|5ZMB|6DMG|7RCR|8RMIN
18	31353 31471	   	293.72	DCR|2LIT|3VULN|1MLV|1DMG|1ASPD	1MLV|248VULN|3ASPD|59LIT|6DMG|7MBVNT|aRCR
19	31423 31471	   	293.72	DCR|2LIT|3VULN|1MLV|1DMG|1ASPD	1MLV|238VULN|4ASPD|59LIT|6DMG|7MBVNT|aRCR
20	31353 32631	   	292.87	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG	1MLV|24VULN|38ASPD|57LIT|6DMG|9RCR|aZMB
21	31423 32631	   	292.87	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG	1MLV|23VULN|48ASPD|57LIT|6DMG|9RCR|aZMB
22	11432 32346	 * 	292.82	DCR|2LIT|4VULN|1MLV|1CDMG	1ERES|2345VULN|68LIT|7MLV|9CDMG|aRCR
23	24413 33343	   	291.29	DCR|2LIT|3VULN|1MLV|1CDMG|2ZMB	19ZMB|2DUST|379VULN|4LWND|5CDMG|6RCR|89LIT|9BPWR|aMLV
24	41353 15232	 * 	291.19	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	19ASPD|24VULN|39DMG|5LIT|6ZMB|7RCR|89DUST|9BPWR|aMLV
25	41423 15232	   	291.19	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	19ASPD|23VULN|49DMG|5LIT|6ZMB|7RCR|89DUST|9BPWR|aMLV
26	31432 35134	   	290.54	DCR|5VULN|1LIT|1MLV|1CDMG	1MLV|23459VULN|6LIT|7CDMG|8RCR|aTLV
27	31432 35135	   	290.54	DCR|5VULN|1LIT|1MLV|1CDMG	1MLV|23459VULN|6LIT|7CDMG|8RCR|aDMSP
28	31432 35136	   	290.54	DCR|5VULN|1LIT|1MLV|1CDMG	1MLV|23459VULN|6LIT|7CDMG|8RCR|aRCVC
29	31432 35131	   	290.44	DCR|5VULN|1LIT|1MLV|1CDMG	1MLV|23459VULN|6LIT|7CDMG|8RCR|aDUR
30	31353 35333	   	290.00	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG|1ASPD	1MLV|24aVULN|3ASPD|5LIT|6DMG|7RCR|8CDMG|9LWND
31	31423 35333	   	290.00	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG|1ASPD	1MLV|23aVULN|4ASPD|5LIT|6DMG|7RCR|8CDMG|9LWND
32	35284 64431	   	289.80	DCR|2LIT|2MLV|3VULN	18MLV|2MBVNT|3DUST|48aVULN|58LIT|6RCR|7NUKE|8BPWR|9RPLT
33	31353 31411	 * 	288.43	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	1MLV|248VULN|3ASPD|5LIT|69DMG|7MBVNT|aRCR
34	31423 31411	   	288.43	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	1MLV|238VULN|4ASPD|5LIT|69DMG|7MBVNT|aRCR
35	31353 31481	   	288.38	DCR|2MLV|3VULN|1LIT|1DMG|1ASPD	19MLV|248VULN|3ASPD|5LIT|6DMG|7MBVNT|aRCR
36	31423 31481	   	288.38	DCR|2MLV|3VULN|1LIT|1DMG|1ASPD	19MLV|238VULN|4ASPD|5LIT|6DMG|7MBVNT|aRCR
37	21163 35232	   	287.31	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD|2ZMB	19ZMB|24VULN|39LIT|5ASPD|6DMG|7RCR|89DUST|9BPWR|aMLV
38	31432 35152	   	287.20	DCR|4VULN|1LIT|1MLV|1ASPD|1CDMG	1MLV|2345VULN|6LIT|7CDMG|8RCR|9ERES|aASPD
39	31161 31471	   	287.01	DCR|2LIT|3VULN|1MLV|1DMG	1MLV|248VULN|39LIT|5ZMB|6DMG|7MBVNT|aRCR
40	11263 34326	   	286.95	DCR|2LIT|2MLV|3VULN	1ERES|258VULN|3DUST|4aMLV|69LIT|7RCR
41	31253 34326	   	286.95	DCR|2LIT|2MLV|3VULN	1aMLV|258VULN|3DUST|4ERES|69LIT|7RCR
42	31115 13523	 * 	286.89	DCR|2LIT|2MLV|3DMG|1VULN	19MLV|2VULN|39LIT|4RMIN|567DMG|89FEWX|9BPWR|aRCR
43	31115 13623	   	286.89	DCR|2LIT|2MLV|3DMG|1VULN	19MLV|2VULN|39LIT|4RMIN|567DMG|89BEXP|9BPWR|aRCR
44	51343 83344	 * 	286.63	DCR|2LIT|2MLV|1VULN|3CDMG|1DMG	1AART|289CDMG|3VULN|4MBVNT|59LIT|6RCR|79MLV|9BPWR|aDMG
45	31115 13323	   	286.59	DCR|2LIT|2MLV|3DMG|1VULN|2DUR	19MLV|2VULN|39LIT|4RMIN|567DMG|89DUR|9BPWR|aRCR
46	45132 32222	   	286.41	DCR|2LIT|3VULN|1MLV|2ASPD	18ASPD|2RPLT|3AART|4MLV|5RCVC|68LIT|789VULN|8BPWR|aRCR
47	31353 31323	   	286.30	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG|1ASPD	1MLV|24aVULN|3ASPD|5LIT|6DMG|7MBVNT|8CDMG|9RCR
48	31423 31323	   	286.30	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG|1ASPD	1MLV|23aVULN|4ASPD|5LIT|6DMG|7MBVNT|8CDMG|9RCR
49	35171 14471	   	286.29	DCR|2LIT|2MLV|2VULN|1DMG	15MLV|2MBVNT|39LIT|48VULN|6DMG|7ZMB|aRCR
50	36433 31471	   	286.29	DCR|2LIT|2MLV|2VULN|1DMG	13MLV|2ZMB|48VULN|59LIT|6DMG|7MBVNT|aRCR
51	45132 32242	   	286.13	DCR|2LIT|2VULN|1MLV|2ASPD|1NUKE	18ASPD|2RPLT|3AART|4MLV|5RCVC|68LIT|78VULN|8BPWR|9RCR|aNUKE
52	31443 42332	   	285.98	DCR|2MLV|3VULN|1LIT|1DMG	17MLV|237VULN|47CGEN|5AART|6RCR|7BPWR|8RMIN|9DMG|aLIT
53	31353 32632	   	285.93	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG	1MLV|24VULN|38ASPD|57LIT|6DMG|9RCR|aRCVC
54	31353 32633	   	285.93	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG	1MLV|24VULN|38ASPD|57LIT|6DMG|9RCR|aTLV
55	31353 32634	   	285.93	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG	1MLV|24VULN|38ASPD|57LIT|6DMG|9RCR|aCGEN
56	31423 32632	   	285.93	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG	1MLV|23VULN|48ASPD|57LIT|6DMG|9RCR|aRCVC
57	31423 32633	   	285.93	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG	1MLV|23VULN|48ASPD|57LIT|6DMG|9RCR|aTLV
58	31423 32634	   	285.93	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG	1MLV|23VULN|48ASPD|57LIT|6DMG|9RCR|aCGEN
59	31364 27324	   	285.91	DCR|2LIT|2MLV|1VULN|2ASPD|1DMG|1CDMG	17MLV|2VULN|37ASPD|4NUKE|5MBVNT|67LIT|7BPWR|8CDMG|9RCR|aDMG
60	31353 32635	   	285.83	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG	1MLV|24VULN|38ASPD|57LIT|6DMG|9RCR|aDUR
61	31423 32635	   	285.83	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG	1MLV|23VULN|48ASPD|57LIT|6DMG|9RCR|aDUR
62	31161 31481	   	285.19	DCR|2MLV|3VULN|1LIT|1DMG	19MLV|248VULN|3LIT|5ZMB|6DMG|7MBVNT|aRCR
63	41432 32334	 * 	284.73	DCR|2LIT|4VULN|3ASPD	179ASPD|2345VULN|69LIT|89DUST|9BPWR|aRCR
64	31141 26241	 * 	284.42	DCR|2LIT|3MLV|3VULN|2DUR	157MLV|279VULN|38LIT|4LHND|67DUR|7BPWR|aRCR
65	21162 31636	   	284.34	DCR|3LIT|3VULN|1MLV	1ZMB|245VULN|356LIT|5BPWR|7FEWX|8DUR|9MLV|aRCR
66	31353 31324	   	284.22	DCR|1LIT|2VULN|1MLV|1NUKE|1DMG|1CDMG|1ASPD	1MLV|24VULN|3ASPD|5LIT|6DMG|7MBVNT|8CDMG|9RCR|aNUKE
67	31423 31324	   	284.22	DCR|1LIT|2VULN|1MLV|1NUKE|1DMG|1CDMG|1ASPD	1MLV|23VULN|4ASPD|5LIT|6DMG|7MBVNT|8CDMG|9RCR|aNUKE
68	31353 35351	   	284.11	DCR|1LIT|2VULN|1MLV|1DMG|1AART|1CDMG|1ASPD	1MLV|24VULN|3ASPD|5LIT|6DMG|7RCR|8CDMG|9BELT|aAART
69	31423 35351	   	284.11	DCR|1LIT|2VULN|1MLV|1DMG|1AART|1CDMG|1ASPD	1MLV|23VULN|4ASPD|5LIT|6DMG|7RCR|8CDMG|9BELT|aAART
70	21163 35126	   	284.02	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ZMB|24VULN|39LIT|5ASPD|6DMG|7RCR|8CGEN|aMLV
71	21353 35126	   	284.02	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ZMB|24VULN|3ASPD|59LIT|6DMG|7RCR|8CGEN|aMLV
72	21423 35126	   	284.02	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ZMB|23VULN|4ASPD|59LIT|6DMG|7RCR|8CGEN|aMLV
73	31353 35122	   	284.02	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1MLV|24VULN|3ASPD|59LIT|6DMG|7RCR|8CGEN|aZMB
74	31353 35222	   	284.02	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1MLV|24VULN|3ASPD|59LIT|6DMG|7RCR|8RMIN|aZMB
75	31423 35122	   	284.02	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1MLV|23VULN|4ASPD|59LIT|6DMG|7RCR|8CGEN|aZMB
76	31423 35222	   	284.02	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1MLV|23VULN|4ASPD|59LIT|6DMG|7RCR|8RMIN|aZMB
77	31353 35622	   	283.92	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1MLV|24VULN|3ASPD|59LIT|6DMG|7RCR|8ERES|aZMB
78	31423 35622	   	283.92	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1MLV|23VULN|4ASPD|59LIT|6DMG|7RCR|8ERES|aZMB
79	45132 32243	 * 	283.36	DCR|3LIT|2VULN|1MLV|2ASPD	18ASPD|2RPLT|3AART|4MLV|5RCVC|68aLIT|78VULN|8BPWR|9RCR
80	21355 16212	   	283.28	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1ZMB|248VULN|3ASPD|5LHND|6DMG|7RCR|9MLV|aLIT
81	21425 16212	   	283.28	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1ZMB|238VULN|4ASPD|5LHND|6DMG|7RCR|9MLV|aLIT
82	31161 35333	   	283.28	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1MLV|24aVULN|3LIT|5ZMB|6DMG|7RCR|8CDMG|9BEXP
83	21352 16212	   	283.18	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1ZMB|248VULN|3ASPD|5DUST|6DMG|7RCR|9MLV|aLIT
84	21422 16212	   	283.18	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1ZMB|238VULN|4ASPD|5DUST|6DMG|7RCR|9MLV|aLIT
85	41324 36412	   	282.55	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	17ASPD|27VULN|37DMG|4RMIN|5MBVNT|6DMSP|7BPWR|8RCR|9MLV|aLIT
86	41324 36442	   	282.55	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	17ASPD|27VULN|37DMG|4RMIN|5MBVNT|6DMSP|7BPWR|8RCR|9LIT|aMLV
87	35284 64411	   	282.53	DCR|3LIT|2MLV|2VULN	18MLV|2MBVNT|3DUST|48VULN|589LIT|6RCR|7NUKE|8BPWR|aLHND
88	35284 64413	   	282.53	DCR|3LIT|2MLV|2VULN	18MLV|2MBVNT|3DUST|48VULN|589LIT|6RCR|7NUKE|8BPWR|aCGEN
89	35284 64414	   	282.53	DCR|3LIT|2MLV|2VULN	18MLV|2MBVNT|3DUST|48VULN|589LIT|6RCR|7NUKE|8BPWR|aBEXP
90	35284 64444	   	282.48	DCR|3LIT|2MLV|2VULN	18MLV|2MBVNT|3DUST|48VULN|58aLIT|6RCR|7NUKE|8BPWR|9AART
91	31225 26126	   	282.44	DCR|3LIT|2MLV|2VULN	17MLV|27VULN|3DUST|4RMIN|5ZMB|679LIT|7BPWR|8CGEN|aRCR
92	35284 64412	   	282.38	DCR|3LIT|2MLV|2VULN	18MLV|2MBVNT|3DUST|48VULN|589LIT|6RCR|7NUKE|8BPWR|aDUR
93	36433 35333	   	280.71	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	13MLV|2ZMB|4aVULN|5LIT|6DMG|7RCR|8CDMG|9BEXP
