0	Index      	 *	Score 	Summary	Detail	
1	21631 13128	 * 	305.41	ACR|4VULN|2TLV|2DUR|1AART	1AART|27aFEWX|37DUR|4RCR|5MBVNT|678aVULN|7aBPWR|9aTLV
20	11324 23653	 * 	285.86	DCR|4VULN|1TLV|1AEFBLL	1LWND|2AEFBLL|345aVULN|6DUR|7RCR|8TLV|9ZMB
21	53343 11234	 * 	285.22	DCR|3VULN|2TLV|2ASPD|2CDMG|1MSE	18aERES|28CDMG|34aVULN|5MSE|68TLV|7RCR|8aBPWR|9aASPD
22	11324 23634	   	284.88	DCR|3VULN|1TLV|1AEFBLL|1DMG	1LWND|2AEFBLL|345VULN|6DUR|7RCR|8TLV|9FRZARM|aDMG
23	12323 54361	 * 	283.94	DCR|3VULN|1TLV|2DMG|1AART	19LWND|2RPLT|389VULN|4TLV|5ZMB|6AART|79DMG|9BPWR|aRCR
24	61361 11215	   	283.24	DCR|2TLV|2VULN|1AEFBLL|1DMG|1CDMG	18DUST|2AEFBLL|38VULN|4CDMG|5ERES|68TLV|7RCR|8BPWR|9AEFRZ|aDMG
25	12321 51543	   	282.19	ACR|DCR|2VULN|1TLV	1LWND|2RPLT|38VULN|4TLV|59RCR|6ERES|7MLV|aRAT
26	12321 53543	   	282.19	ACR|DCR|2VULN|1TLV	1LWND|2RPLT|38VULN|4TLV|59RCR|6ERES|7RMIN|aRAT
27	11325 16335	   	281.93	DCR|3VULN|1TLV|1AEFBLL|1DMG|1ASPD	1LWND|2AEFBLL|348VULN|5ASPD|6CGEN|7DMG|9TLV|aRCR
28	11323 21354	   	281.36	DCR|3VULN|2TLV|1AEFBLL	1LWND|2AEFBLL|348VULN|5LHND|67TLV|9RAT|aRCR
29	11335 21354	   	281.36	DCR|3VULN|2TLV|1AEFBLL	1LWND|2AEFBLL|358VULN|4FEWX|67TLV|9RAT|aRCR
30	11324 23641	   	280.57	DCR|3VULN|1TLV|1AEFBLL|2DUR|1CDMG	1LWND|2AEFBLL|345VULN|6aDUR|7RCR|8TLV|9CDMG
31	21631 18128	   	279.53	ACR|2TLV|2VULN|1AEBURN|2DUR|1AART	1AART|2aFEWX|3aDUR|4RCR|5MBVNT|68VULN|7AEBURN|9aTLV|aBPWR
32	12341 11163	   	279.10	ACR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	1LWND|2RPLT|3VULN|4ASPD|5aRCR|6SNIHEL|7FEWX|8AEFBLL|9TLV
33	12341 12133	   	279.10	ACR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	1LWND|2RPLT|3VULN|4ASPD|5aRCR|6SNIHEL|7LHND|8AEFBLL|9TLV
34	21633 13125	   	279.01	ACR|4VULN|1TLV|2DUR|1AART	1AART|27FEWX|37DUR|4RCR|5LEGI|678aVULN|7BPWR|9TLV
35	11324 23613	   	278.92	DCR|4VULN|1TLV|1AEFBLL	1LWND|2AEFBLL|345aVULN|6DUR|7RCR|8TLV|9FEWX
36	11324 23631	   	278.46	DCR|3VULN|1TLV|1AEFBLL|1CDMG	1LWND|2AEFBLL|345VULN|6DUR|7RCR|8TLV|9FRZARM|aCDMG
37	11324 23635	   	278.46	DCR|3VULN|1TLV|1AEFBLL|1ASPD	1LWND|2AEFBLL|345VULN|6DUR|7RCR|8TLV|9FRZARM|aASPD
38	21633 13241	 * 	278.39	ACR|DCR|3VULN|2DUR|1AART	1AART|27FEWX|37DUR|48RCR|5LEGI|679VULN|7BPWR|aRAT
39	21633 13246	   	278.39	ACR|DCR|3VULN|2DUR|1AART	1AART|27FEWX|37DUR|48RCR|5LEGI|679VULN|7BPWR|aZMB
40	11361 11236	   	277.12	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	18LWND|2AEFBLL|38VULN|4CDMG|5ERES|68TLV|7RCR|8BPWR|9ASPD|aRMIN
41	11365 11232	   	277.12	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	18LWND|2AEFBLL|38VULN|4CDMG|5CGEN|68TLV|7RCR|8BPWR|9ASPD|aCANARM
42	11365 11235	   	277.12	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	18LWND|2AEFBLL|38VULN|4CDMG|5CGEN|68TLV|7RCR|8BPWR|9ASPD|aERES
43	11365 11213	   	277.12	DCR|3TLV|2VULN|1AEFBLL|1CDMG	18LWND|2AEFBLL|38VULN|4CDMG|5CGEN|68aTLV|7RCR|8BPWR|9AEFRZ
44	11361 11232	   	277.02	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	18LWND|2AEFBLL|38VULN|4CDMG|5ERES|68TLV|7RCR|8BPWR|9ASPD|aCANARM
45	11361 11235	   	277.02	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	18LWND|2AEFBLL|38VULN|4CDMG|5aERES|68TLV|7RCR|8BPWR|9ASPD
46	11365 11133	   	277.02	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	1LWND|2AEFBLL|38VULN|4CDMG|5CGEN|6aTLV|7RCR|9ASPD
47	11565 11133	   	277.02	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	1LWND|2AEFBLL|3CDMG|48VULN|5CGEN|6aTLV|7RCR|9ASPD
48	11361 11213	   	277.02	DCR|3TLV|2VULN|1AEFBLL|1CDMG	18LWND|2AEFBLL|38VULN|4CDMG|5ERES|68aTLV|7RCR|8BPWR|9AEFRZ
49	11361 11133	   	276.92	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	1LWND|2AEFBLL|38VULN|4CDMG|5ERES|6aTLV|7RCR|9ASPD
50	11561 11133	   	276.92	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	1LWND|2AEFBLL|3CDMG|48VULN|5ERES|6aTLV|7RCR|9ASPD
51	61361 11236	   	276.92	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	18DUST|2AEFBLL|38VULN|4CDMG|5ERES|68TLV|7RCR|8BPWR|9ASPD|aRMIN
52	61365 11133	   	276.92	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	1DUST|2AEFBLL|38VULN|4CDMG|5CGEN|6aTLV|7RCR|9ASPD
53	61365 11232	   	276.92	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	18DUST|2AEFBLL|38VULN|4CDMG|5CGEN|68TLV|7RCR|8BPWR|9ASPD|aCANARM
54	61365 11213	   	276.92	DCR|3TLV|2VULN|1AEFBLL|1CDMG	18DUST|2AEFBLL|38VULN|4CDMG|5CGEN|68aTLV|7RCR|8BPWR|9AEFRZ
55	61361 11133	   	276.82	DCR|2TLV|2VULN|1AEFBLL|1CDMG|1ASPD	1DUST|2AEFBLL|38VULN|4CDMG|5ERES|6aTLV|7RCR|9ASPD
56	61361 11232	   	276.82	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	18DUST|2AEFBLL|38VULN|4CDMG|5ERES|68TLV|7RCR|8BPWR|9ASPD|aCANARM
57	61361 11235	   	276.82	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	18DUST|2AEFBLL|38VULN|4CDMG|5aERES|68TLV|7RCR|8BPWR|9ASPD
58	61361 11213	   	276.82	DCR|3TLV|2VULN|1AEFBLL|1CDMG	18DUST|2AEFBLL|38VULN|4CDMG|5ERES|68aTLV|7RCR|8BPWR|9AEFRZ
59	22614 42231	   	276.56	ACR|DCR|1TLV|1VULN|1DMG|1AART	1AART|2CGEN|38RCR|4RCVC|5TLV|6VULN|7aFEWX|9DMG
60	22614 42232	   	276.56	ACR|DCR|1TLV|1VULN|1DMG|1AART	1AART|2CGEN|38RCR|4RCVC|5TLV|6VULN|7FEWX|9DMG|aLWND
61	22614 42233	   	276.56	ACR|DCR|1TLV|1VULN|1DMG|1AART	1AART|2CGEN|38RCR|4RCVC|5TLV|6VULN|7FEWX|9DMG|aTSLARM
62	22643 32235	   	276.56	ACR|DCR|1TLV|1VULN|1DMG|1AART	1AART|2CGEN|38RCR|4MLV|5VULN|6DMSP|7FEWX|9DMG|aTLV
63	16361 11234	   	276.03	DCR|2TLV|2VULN|2ASPD|2CDMG	18aLWND|2RCVC|38VULN|4aCDMG|5ERES|68TLV|7RCR|8aBPWR|9aASPD
