0	Index      	 *	Score 	Summary	Detail	
1	16161 62121	 * 	295.41	ACR|ACR|2VULN|1TLV|1AEBURN	1CGEN|24RCR|3LWND|5BEXP|68VULN|7RMIN|9AEBURN|aTLV
38	16161 26321	   	275.25	ACR|ACR|2VULN|1TLV	1CGEN|24RCR|3LWND|5BEXP|6DMSP|7ERES|8aVULN|9TLV
39	16161 36321	   	275.25	ACR|ACR|2VULN|1TLV	1CGEN|24RCR|3LWND|5BEXP|6RCVC|7ERES|8aVULN|9TLV
40	16163 33321	   	275.25	ACR|ACR|2VULN|1TLV	15CGEN|24RCR|3LWND|6ERES|7LHND|8aVULN|9TLV
41	41225 33312	 * 	275.22	DCR|3VULN|1TLV|1AEFBLL|1DMG	1ZMB|268VULN|3LWND|4AEFBLL|5DMG|7LHND|9RCR|aTLV
42	16163 16321	   	275.15	ACR|ACR|2VULN|1TLV	15CGEN|24RCR|3LWND|6DUST|7ERES|8aVULN|9TLV
43	16163 35321	   	275.15	ACR|ACR|2VULN|1TLV	15CGEN|24RCR|3LWND|6ERES|7DUST|8aVULN|9TLV
44	16164 33321	   	275.15	ACR|ACR|2VULN|1TLV	1CGEN|24RCR|3LWND|5AEWIND|6ERES|7LHND|8aVULN|9TLV
45	41225 35312	   	275.12	DCR|3VULN|1TLV|1AEFBLL|1DMG	1ZMB|268VULN|3LWND|4AEFBLL|5DMG|7DUST|9RCR|aTLV
46	16162 31126	   	275.11	ACR|ACR|1TLV|1VULN|1AEFBLL|1DUR	1CGEN|24RCR|3LWND|5LSRICY|6MLV|7DUR|8AEFBLL|9VULN|aTLV
47	12113 33262	 * 	274.45	DCR|2TLV|2VULN|2DMG	12CGEN|3aVULN|4LIT|5RAT|6aTLV|7RCR|8LWND|9aDMG|aBPWR
48	12113 33462	   	274.45	DCR|2TLV|2VULN|2DMG	12CGEN|3aVULN|4LIT|5RAT|6aTLV|7RCR|8FEWX|9aDMG|aBPWR
49	12113 33662	   	274.45	DCR|2TLV|2VULN|2DMG	12CGEN|3aVULN|4LIT|5RAT|6aTLV|7RCR|8BEXP|9aDMG|aBPWR
50	41152 13612	   	274.25	DCR|2TLV|2VULN|2DMG	1ZMB|25VULN|3RMIN|45DMG|5BPWR|6DUST|7RCVC|8aTLV|9RCR
51	41335 16212	   	273.86	DCR|3VULN|1TLV|1DMG|2DUR	1ZMB|237VULN|4LHND|5DMG|68DUR|9RCR|aTLV
52	41335 32212	   	273.86	DCR|3VULN|1TLV|1DMG|2DUR	1ZMB|236VULN|4LHND|5DMG|78DUR|9RCR|aTLV
53	41152 63312	   	272.84	DCR|3VULN|1TLV|2DMG	1ZMB|258VULN|3RMIN|45DMG|5BPWR|6CGEN|7LHND|9RCR|aTLV
54	35313 22113	   	272.84	DCR|2TLV|2VULN|2CDMG|2RAT|1DUR	1MULFIG|28CDMG|3DUST|4DUR|58TLV|6aRAT|78VULN|8BPWR|9RCR
55	55313 22113	   	272.84	DCR|2TLV|2VULN|2CDMG|2RAT|1DUR	1MSLTOX|28CDMG|3DUST|4DUR|58TLV|6aRAT|78VULN|8BPWR|9RCR
56	16425 13321	   	272.39	ACR|DCR|1TLV|1VULN|1AEBURN	1CGEN|27RCR|3DMSP|4ZMB|5VULN|6DUST|8BEXP|9AEBURN|aTLV
57	16462 32332	 * 	272.15	ACR|ACR|2TLV|3DMG|1MSE	19CGEN|24RCR|3DMSP|59aDMG|6AME|7MSE|89TLV|9BPWR
58	16462 33331	   	271.69	ACR|ACR|2TLV|2DMG|1MSE	19CGEN|24RCR|3DMSP|59DMG|6AME|7LHND|89TLV|9BPWR|aMSE
59	16462 33332	   	271.69	ACR|ACR|2TLV|2DMG	19CGEN|24RCR|3DMSP|59DMG|6AME|7LHND|89TLV|9BPWR|aERES
60	31215 24432	   	270.85	DCR|3VULN|1TLV|2ASPD|1DUR	17MULFIG|27aVULN|3DUR|4RAT|57ASPD|6DMSP|7BPWR|8RCR|9TLV
61	31215 34431	   	270.75	DCR|3VULN|1TLV|2ASPD|1DUR	17MULFIG|267VULN|3DUR|4RAT|57ASPD|7BPWR|8RCR|9TLV|aDUST
62	41355 32112	   	270.15	DCR|2VULN|1TLV|2DMG|2DUR|2ZMB	16ZMB|23VULN|47DUR|56DMG|6BPWR|8BEXP|9RCR|aTLV
63	41352 21433	 * 	269.23	DCR|3VULN|1TLV|3DUR	1ZMB|235VULN|45aDUR|5BPWR|6BASHEA|7RAT|8RCR|9TLV
64	41352 31433	   	269.23	DCR|3VULN|1TLV|3DUR	1ZMB|235VULN|45aDUR|5BPWR|6BASFIG|7RAT|8RCR|9TLV
65	41225 16212	   	269.23	DCR|2VULN|1TLV|1AEFBLL|1DMG|2DUR	1ZMB|27VULN|3LWND|4AEFBLL|5DMG|68DUR|9RCR|aTLV
66	41225 32212	   	269.23	DCR|2VULN|1TLV|1AEFBLL|1DMG|2DUR	1ZMB|26VULN|3LWND|4AEFBLL|5DMG|78DUR|9RCR|aTLV
67	41335 15212	 * 	269.23	DCR|2VULN|1TLV|1DMG|1AEBURN|2DUR	1ZMB|23VULN|4LHND|5DMG|68DUR|7AEBURN|9RCR|aTLV
68	41313 33164	 * 	269.03	DCR|3VULN|1TLV|1AEBURN	1ZMB|239VULN|4LIT|5RAT|6TLV|7RCR|8FLTARM|aAEBURN
69	62322 16317	   	268.60	DCR|DCR|1TLV|1VULN|1ASPD|1DUR	1DUR|2BEXP|3MBVNT|4VENICY|5ASPD|6VULN|7FEWX|8TLV|9aRCR
70	62336 21317	   	268.60	DCR|DCR|1TLV|1VULN|1ASPD|1DUR	1DUR|2BEXP|3MBVNT|4LHND|5ASPD|6SNIHEL|7VULN|8TLV|9aRCR
71	62322 18317	   	268.50	DCR|DCR|1TLV|1VULN|1ASPD|1DUR	1DUR|2BEXP|3MBVNT|4VENICY|5ASPD|6VULN|7LEGI|8TLV|9aRCR
72	41615 23434	   	268.46	DCR|3VULN|1TLV|1DMG|1ASPD|1SELL	1ZMB|247VULN|3SELL|5MBVNT|6TLV|8DMG|9RCR|aASPD
73	41313 33552	   	268.43	DCR|3VULN|2TLV	1ZMB|23aVULN|4LIT|5RAT|6aTLV|7RCR|8CGEN|9aBEXP|aBPWR
74	11635 32312	   	268.28	DCR|3VULN|1TLV|1AEFBLL|1DMG	1CGEN|2AEFBLL|3LWND|4LHND|5DMG|678VULN|9RCR|aTLV
75	41313 33425	   	268.23	DCR|3VULN|2TLV	1ZMB|239VULN|4LIT|5RAT|6aTLV|7RCR|8FEWX
76	41313 33432	   	268.23	DCR|3VULN|2TLV	1ZMB|23aVULN|4LIT|5RAT|6aTLV|7RCR|8FEWX|9aERES|aBPWR
77	41313 33542	   	268.23	DCR|3VULN|2TLV	1ZMB|23aVULN|4LIT|5RAT|6aTLV|7RCR|8CGEN|9aDUST|aBPWR
78	41313 33625	   	268.23	DCR|3VULN|2TLV	1ZMB|239VULN|4LIT|5RAT|6aTLV|7RCR|8BEXP
79	41313 33632	   	268.23	DCR|3VULN|2TLV	1ZMB|23aVULN|4LIT|5RAT|6aTLV|7RCR|8BEXP|9aERES|aBPWR
80	11135 35312	   	268.18	DCR|3VULN|1TLV|1AEFBLL|1DMG	1CGEN|2AEFBLL|368VULN|4LHND|5DMG|7DUST|9RCR|aTLV
81	11135 62312	   	268.18	DCR|3VULN|1TLV|1AEFBLL|1DMG	1CGEN|2AEFBLL|378VULN|4LHND|5DMG|6AETHUN|9RCR|aTLV
82	22143 31362	 * 	268.03	DCR|3VULN|1TLV|1DMG|2AEBURN|1SELL	1SELL|2BEXP|356VULN|46AEBURN|6BPWR|7DMG|8RPLT|9RCR|aTLV
83	31315 34432	   	266.94	DCR|4VULN|1TLV|2ASPD|1MSE	17MULFIG|267aVULN|3MSE|4RAT|57ASPD|7BPWR|8RCR|9TLV
84	41335 14212	   	266.75	DCR|2VULN|1TLV|2DMG|2DUR	1ZMB|23VULN|4LHND|57DMG|68DUR|9RCR|aTLV
85	31223 61432	   	266.65	DCR|2VULN|1TLV|2DMG|2DUR	1MULFIG|2aVULN|35DUR|46DMG|7RAT|8RCR|9TLV
86	51223 61432	   	266.65	DCR|2VULN|1TLV|2DMG|2DUR	1MSLTOX|2aVULN|35DUR|46DMG|7RAT|8RCR|9TLV
87	11113 33225	   	266.52	DCR|2TLV|2VULN|1AEFBLL|1DUR	1CGEN|2AEFBLL|3aVULN|4aLIT|5RAT|6aTLV|7RCR|8LWND|9DUR|aBPWR
88	35313 22112	   	266.22	DCR|2TLV|2VULN|2CDMG|1DUR	1MULFIG|28CDMG|3DUST|4DUR|58TLV|6RAT|78VULN|8BPWR|9RCR|aRPLT
89	35313 22114	   	266.22	DCR|2TLV|2VULN|2CDMG|1DUR	1MULFIG|28CDMG|3DUST|4DUR|58TLV|6RAT|78VULN|8BPWR|9RCR|aLWND
90	55313 22112	   	266.22	DCR|2TLV|2VULN|2CDMG|1DUR	1MSLTOX|28CDMG|3DUST|4DUR|58TLV|6RAT|78VULN|8BPWR|9RCR|aRPLT
91	55313 22114	   	266.22	DCR|2TLV|2VULN|2CDMG|1DUR	1MSLTOX|28CDMG|3DUST|4DUR|58TLV|6RAT|78VULN|8BPWR|9RCR|aLWND
92	35313 22115	   	266.12	DCR|2TLV|2VULN|2CDMG|1DUR	1MULFIG|28CDMG|3DUST|4DUR|58TLV|6RAT|78VULN|8BPWR|9RCR|aERES
93	55313 22115	   	266.12	DCR|2TLV|2VULN|2CDMG|1DUR	1MSLTOX|28CDMG|3DUST|4DUR|58TLV|6RAT|78VULN|8BPWR|9RCR|aERES
94	16161 11321	   	265.55	ACR|ACR|1TLV|1VULN|1AEBURN	1CGEN|24RCR|3LWND|5BEXP|6MLV|7DMSP|8VULN|9AEBURN|aTLV
95	16161 11341	   	265.55	ACR|ACR|1TLV|1VULN|1AEFBLL	1CGEN|24RCR|3LWND|5BEXP|6MLV|7DMSP|8VULN|9AEFBLL|aTLV
96	16161 25321	   	265.55	ACR|ACR|1TLV|1VULN|1AEBURN	1CGEN|24RCR|3LWND|5BEXP|6DMSP|7MLV|8VULN|9AEBURN|aTLV
97	16161 35321	   	265.55	ACR|ACR|1TLV|1VULN|1AEBURN	1CGEN|24RCR|3LWND|5BEXP|6RCVC|7MLV|8VULN|9AEBURN|aTLV
98	16163 23321	   	265.55	ACR|ACR|1TLV|1VULN|1AEBURN	15CGEN|24RCR|3LWND|6MLV|7LHND|8VULN|9AEBURN|aTLV
99	16163 23341	   	265.55	ACR|ACR|1TLV|1VULN|1AEFBLL	15CGEN|24RCR|3LWND|6MLV|7LHND|8VULN|9AEFBLL|aTLV
100	16165 23331	   	265.55	ACR|ACR|1TLV|1VULN|1DMG	1CGEN|24RCR|39LWND|5DMG|6RCVC|7LHND|8VULN|aTLV
101	16166 11321	   	265.55	ACR|ACR|1TLV|1VULN|1AEBURN	1CGEN|24RCR|3LWND|5FEWX|6MLV|7DMSP|8VULN|9AEBURN|aTLV
102	11265 13321	 * 	265.45	ACR|DCR|1TLV|1VULN|1AEBURN|1AEFBLL	1CGEN|2AEFBLL|3AAC|47RCR|5VULN|6DUST|8BEXP|9AEBURN|aTLV
103	11265 13621	   	265.45	ACR|DCR|1TLV|1VULN|1AEFBLL|1AEBURN	1CGEN|2AEFBLL|3AAC|47RCR|5VULN|6DUST|8LHND|9AEBURN|aTLV
104	12265 13321	   	265.45	ACR|DCR|1TLV|1VULN|1AEBURN	12CGEN|3AAC|47RCR|5VULN|6DUST|8BEXP|9AEBURN|aTLV
105	12265 13341	   	265.45	ACR|DCR|1TLV|1VULN|1AEFBLL	12CGEN|3AAC|47RCR|5VULN|6DUST|8BEXP|9AEFBLL|aTLV
106	12265 13621	   	265.45	ACR|DCR|1TLV|1VULN|1AEBURN	12CGEN|3AAC|47RCR|5VULN|6DUST|8LHND|9AEBURN|aTLV
107	16163 15321	   	265.45	ACR|ACR|1TLV|1VULN|1AEBURN	15CGEN|24RCR|3LWND|6DUST|7MLV|8VULN|9AEBURN|aTLV
108	16163 25321	   	265.45	ACR|ACR|1TLV|1VULN|1AEBURN	15CGEN|24RCR|3LWND|6MLV|7DUST|8VULN|9AEBURN|aTLV
109	16163 33341	   	265.45	ACR|ACR|1TLV|1VULN|1AEFBLL	15CGEN|24RCR|3LWND|6ERES|7LHND|8VULN|9AEFBLL|aTLV
110	16164 23321	   	265.45	ACR|ACR|1TLV|1VULN|1AEBURN	1CGEN|24RCR|3LWND|5AEWIND|6MLV|7LHND|8VULN|9AEBURN|aTLV
111	16212 31516	   	265.45	ACR|DCR|1TLV|1VULN|1AEBURN	1CGEN|2aRCR|3MDPS|4AEBURN|5DMSP|6FEWX|7BELT|8TLV|9VULN
