0	Index      	 *	Score 	Summary	Detail	
1	52255 11313	 * 	306.11	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1CDMG	1BLAICY|2CDMG|3AEBURN|4aRCR|5VULN|6TLV|7BEXP|8MDPS|9DMG
48	15136 25321	   	279.01	DCR|3VULN|2TLV|1CDMG|1AART	1CDMG|2RPLT|356VULN|47TLV|8RCR|9AART|aBEXP
49	22143 53131	   	279.00	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1DUST|2TLV|3VULN|48RCR|5AEPOI|6DMSP|7NUKE|9LWND|aCDMG
50	22143 53141	   	279.00	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1DUST|2TLV|3VULN|48RCR|5AEPOI|6DMSP|7NUKE|9CDMG|aLHND
51	22143 53142	   	279.00	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1DUST|2TLV|3VULN|48RCR|5AEPOI|6DMSP|7NUKE|9CDMG|aFEWX
52	22163 23532	   	279.00	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1DUST|2TLV|3VULN|4CDMG|5MDPS|6LWND|7aRCR|8DMG|9CGEN
53	22163 23552	   	279.00	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1DUST|2TLV|3VULN|4CDMG|5MDPS|6LWND|7aRCR|8DMG|9AME
54	31231 63142	   	279.00	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1ERES|28RCR|3AEPOI|4MLV|5VULN|6CGEN|7NUKE|9CDMG|aTLV
55	15115 25322	   	278.91	DCR|3VULN|2TLV|1CDMG|1AART	1CDMG|2RPLT|346VULN|57TLV|8RCR|9AART|aERES
56	15136 25322	   	278.91	DCR|3VULN|2TLV|1CDMG|1AART	1CDMG|2RPLT|356VULN|47TLV|8RCR|9AART|aERES
57	22143 53143	   	278.90	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1DUST|2TLV|3VULN|48RCR|5AEPOI|6DMSP|7NUKE|9CDMG|aBLASTR
58	22163 23512	   	278.90	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1DUST|2TLV|3VULN|4CDMG|5MDPS|6LWND|7aRCR|8DMG|9ERES
59	22163 43532	   	278.90	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1DUST|2TLV|3VULN|4CDMG|5MDPS|6LEGI|7aRCR|8DMG|9CGEN
60	31131 52144	   	278.90	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	14ERES|28RCR|3AAC|5VULN|6DUST|7AEBURN|9CDMG|aTLV
61	31261 13144	   	278.90	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1ERES|28RCR|3AEPOI|4NUKE|5VULN|6AEFRZ|7FEWX|9CDMG|aTLV
62	31261 14142	   	278.90	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1ERES|28RCR|3AEPOI|4NUKE|5VULN|6AEFRZ|7LWND|9CDMG|aTLV
63	31261 15142	   	278.90	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1ERES|28RCR|3AEPOI|4NUKE|5VULN|6AEFRZ|7LHND|9CDMG|aTLV
64	22163 43512	   	278.80	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1DUST|2TLV|3VULN|4CDMG|5MDPS|6LEGI|7aRCR|8DMG|9ERES
65	31431 32144	   	277.35	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG|1ASPD|1MSE	14ERES|28RCR|3ASPD|5VULN|6MSE|7AEBURN|9CDMG|aTLV
66	22165 62321	   	277.15	DCR|2TLV|2VULN|1DMG|1CDMG	1DUST|26TLV|35VULN|4CDMG|7RAT|8ZMB|9RCR|aDMG
67	22113 14222	   	276.63	DCR|2TLV|2VULN|1DMG|1AEBURN	1DUST|27TLV|34VULN|5RAT|6DMG|8RCR|9AEBURN|aLHND
68	22113 14225	   	276.63	DCR|2TLV|2VULN|1DMG|1AEBURN	1DUST|27TLV|34VULN|5RAT|6DMG|8RCR|9AEBURN|aLIT
69	22113 14262	   	276.63	DCR|2TLV|2VULN|1AEFBLL|1DMG	1DUST|27TLV|34VULN|5RAT|6DMG|8RCR|9AEFBLL|aLHND
70	22113 14265	   	276.63	DCR|2TLV|2VULN|1AEFBLL|1DMG	1DUST|27TLV|34VULN|5RAT|6DMG|8RCR|9AEFBLL|aLIT
71	22133 16222	   	276.63	DCR|2TLV|2VULN|1DMG|1AEBURN	1DUST|24TLV|37VULN|5RAT|6DMG|8RCR|9AEBURN|aLHND
72	22133 16225	   	276.63	DCR|2TLV|2VULN|1DMG|1AEBURN	1DUST|24TLV|37VULN|5RAT|6DMG|8RCR|9AEBURN|aLIT
73	22133 16262	   	276.63	DCR|2TLV|2VULN|1AEFBLL|1DMG	1DUST|24TLV|37VULN|5RAT|6DMG|8RCR|9AEFBLL|aLHND
74	22133 16265	   	276.63	DCR|2TLV|2VULN|1AEFBLL|1DMG	1DUST|24TLV|37VULN|5RAT|6DMG|8RCR|9AEFBLL|aLIT
75	22133 13213	   	276.63	DCR|2TLV|2VULN|1DMG|1AEPOI	1DUST|24TLV|3aVULN|5RAT|6DMG|7AEPOI|8RCR|9LWND
76	22113 14223	   	276.53	DCR|2TLV|2VULN|1DMG|1AEBURN	1DUST|27TLV|34VULN|5RAT|6DMG|8RCR|9AEBURN|aERES
77	22113 14224	   	276.53	DCR|2TLV|2VULN|1DMG|1AEBURN	1DUST|27TLV|34VULN|5RAT|6DMG|8RCR|9AEBURN|aBLASTR
78	22113 14263	   	276.53	DCR|2TLV|2VULN|1AEFBLL|1DMG	1DUST|27TLV|34VULN|5RAT|6DMG|8RCR|9AEFBLL|aERES
79	22113 14264	   	276.53	DCR|2TLV|2VULN|1AEFBLL|1DMG	1DUST|27TLV|34VULN|5RAT|6DMG|8RCR|9AEFBLL|aBLASTR
80	22133 16223	   	276.53	DCR|2TLV|2VULN|1DMG|1AEBURN	1DUST|24TLV|37VULN|5RAT|6DMG|8RCR|9AEBURN|aERES
81	22133 16224	   	276.53	DCR|2TLV|2VULN|1DMG|1AEBURN	1DUST|24TLV|37VULN|5RAT|6DMG|8RCR|9AEBURN|aBLASTR
82	22133 16263	   	276.53	DCR|2TLV|2VULN|1AEFBLL|1DMG	1DUST|24TLV|37VULN|5RAT|6DMG|8RCR|9AEFBLL|aERES
83	22133 16264	   	276.53	DCR|2TLV|2VULN|1AEFBLL|1DMG	1DUST|24TLV|37VULN|5RAT|6DMG|8RCR|9AEFBLL|aBLASTR
84	22143 53153	   	276.36	ACR|DCR|1TLV|1VULN|1AEPOI|1AART	1DUST|2TLV|3VULN|48RCR|5AEPOI|6DMSP|7NUKE|9RPLT|aAART
