0	Index      	 *	Score 	Summary	Detail	
1	46125 31224	 * 	298.67	DCR|DCR|2MLV|1VULN|1TLV	1ERES|2LWND|3MBVNT|4VULN|58MLV|6aRCR|7TLV|9BEXP
21	25432 31613	 * 	282.81	DCR|3VULN|1TLV|1MLV|1DMG|1ASPD	1DUR|2LEGI|389VULN|4ASPD|5DMG|6RCR|7TLV|aMLV
22	21414 31633	 * 	281.36	DCR|3MLV|2VULN|1DMG|1AAC|2DUR	18DUR|2LHND|38VULN|4RMIN|578MLV|6AAC|8BPWR|9RCR|aDMG
23	42623 64243	   	280.68	DCR|DCR|2VULN|1DMG|1ASPD	1ERES|2SPLARM|3aVULN|4MBVNT|5DMG|67RCR|8ZMB|9ASPD
24	46351 31322	   	279.97	DCR|DCR|1VULN|1TLV|1ASPD	1ERES|2LWND|3ASPD|4VULN|5LHND|68RCR|7TLV|9RAT|aAART
25	42623 64432	   	279.44	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1ERES|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8AAC|9FEWX|aMLV
26	42323 64382	 * 	278.90	DCR|DCR|2TLV|2DMG|1CDMG	19ERES|2SPLARM|3LEGI|4MBVNT|59DMG|67RCR|89TLV|9BPWR|aCDMG
27	46321 31361	 * 	278.80	DCR|DCR|2TLV|1VULN|1ASPD	1ERES|2LWND|3ASPD|4LEGI|5LHND|68RCR|7aTLV|9VULN
28	46323 31361	   	278.70	DCR|DCR|2TLV|1VULN|1ASPD	1ERES|2LWND|3ASPD|4LEGI|5DUST|68RCR|7aTLV|9VULN
29	46321 31362	   	278.28	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1ERES|2LWND|3ASPD|4LEGI|5LHND|68RCR|7TLV|9VULN|aCDMG
30	46323 31362	   	278.18	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1ERES|2LWND|3ASPD|4LEGI|5DUST|68RCR|7TLV|9VULN|aCDMG
31	12623 64452	   	278.18	DCR|DCR|2VULN|1DMG|1CDMG	1CGEN|2SPLARM|3aVULN|4MBVNT|5DMG|67RCR|8TBNT|9CDMG
32	12623 64363	   	278.08	DCR|DCR|2VULN|1DMG|1CDMG	1CGEN|2SPLARM|3aVULN|4MBVNT|5DMG|67RCR|8BEXP|9CDMG
33	12123 64618	   	276.85	DCR|DCR|1VULN|1TLV|1DMG	1CGEN|2SPLARM|3LHND|4MBVNT|5DMG|67RCR|8TLV|9DUR|aVULN
34	12623 64412	   	276.85	DCR|DCR|1VULN|1TLV|1DMG	1CGEN|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8TBNT|9TLV|aDUR
35	12623 64512	   	276.85	DCR|DCR|1VULN|1TLV|1DMG	1CGEN|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8BBNT|9TLV|aDUR
36	12323 64618	   	276.75	DCR|DCR|1VULN|1TLV|1DMG	1CGEN|2SPLARM|3LEGI|4MBVNT|5DMG|67RCR|8TLV|9DUR|aVULN
37	12623 64118	   	276.75	DCR|DCR|1VULN|1TLV|1DMG	1CGEN|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8ERES|9DUR|aTLV
38	12623 64171	   	276.75	DCR|DCR|1VULN|1TLV|1DMG	1CGEN|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8ERES|9TLV|aAART
39	42623 64221	   	276.75	DCR|DCR|1VULN|1TLV|1DMG	1ERES|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8ZMB|9TLV|aAART
40	42623 64321	   	276.75	DCR|DCR|1VULN|1TLV|1DMG	1ERES|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8AME|9TLV|aAART
41	42623 64222	   	275.38	DCR|DCR|1VULN|1TLV|1DMG	1ERES|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8ZMB|9TLV|aRAT
42	42623 64322	   	275.38	DCR|DCR|1VULN|1TLV|1DMG	1ERES|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8AME|9TLV|aRAT
43	12623 64172	   	275.38	DCR|DCR|1VULN|1TLV|1DMG	1CGEN|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8ERES|9TLV|aRAT
44	21442 31314	 * 	274.95	DCR|2VULN|2TLV|2DMG|1MLV	1DUR|2LHND|38VULN|47TLV|59DMG|6RCR|aMLV
45	25432 33613	 * 	274.90	DCR|3VULN|2MLV|1DMG|1ASPD	1DUR|2LEGI|389VULN|4ASPD|5DMG|6RCR|7aMLV
46	22442 31314	   	274.85	DCR|2VULN|2TLV|2DMG|1MLV	1DUR|2DUST|38VULN|47TLV|59DMG|6RCR|aMLV
47	16125 31624	   	274.58	DCR|DCR|1VULN|1TLV|1MLV	1CGEN|2LWND|3MBVNT|4VULN|5MLV|6aRCR|7TLV|8DMSP|9BEXP
48	16125 31724	   	274.58	DCR|DCR|1VULN|1TLV|1MLV	18CGEN|2LWND|3MBVNT|4VULN|5MLV|6aRCR|7TLV|9BEXP
49	16125 31424	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1CGEN|2LWND|3MBVNT|4VULN|5MLV|6aRCR|7TLV|89BEXP
50	46125 31124	   	274.38	DCR|DCR|1VULN|1TLV|1MLV	18ERES|2LWND|3MBVNT|4VULN|5MLV|6aRCR|7TLV|9BEXP
51	46125 31424	   	274.38	DCR|DCR|1VULN|1TLV|1MLV	1ERES|2LWND|3MBVNT|4VULN|5MLV|6aRCR|7TLV|89BEXP
52	46351 31311	   	273.03	DCR|DCR|1VULN|1TLV|1ASPD	1ERES|2LWND|3ASPD|4VULN|5LHND|68RCR|7TLV|9CGEN|aDUR
53	46353 31311	   	272.93	DCR|DCR|1VULN|1TLV|1ASPD	1ERES|2LWND|3ASPD|4VULN|5DUST|68RCR|7TLV|9CGEN|aDUR
54	23542 22632	 * 	272.87	ACR|DCR|2VULN|2MLV|2DUR	1aDUR|2TBNT|36MLV|4aVULN|59RCR|7AETHUN|8aFEWX|aBPWR
55	33542 22532	   	272.87	ACR|DCR|2VULN|2MLV|2DUR	1aFEWX|2TBNT|36MLV|4aVULN|59RCR|7AETHUN|8aDUR|aBPWR
56	46353 31322	   	271.57	DCR|DCR|1VULN|1TLV|1ASPD	1ERES|2LWND|3ASPD|4VULN|5DUST|68RCR|7TLV|9RAT|aDMSP
57	46353 31323	   	271.57	DCR|DCR|1VULN|1TLV|1ASPD	1ERES|2LWND|3ASPD|4VULN|5DUST|68RCR|7TLV|9RAT|aRPLT
58	46321 31326	   	271.57	DCR|DCR|1VULN|1TLV|1ASPD	1ERES|2LWND|3ASPD|4LEGI|5LHND|68RCR|7TLV|9RAT|aVULN
59	12623 64462	   	270.96	DCR|DCR|1VULN|1MLV|1DMG	1CGEN|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8TBNT|9MLV|aDUR
60	42623 64212	   	270.86	DCR|DCR|1VULN|1MLV|1DMG	1ERES|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8ZMB|9DUR|aMLV
61	42623 64312	   	270.86	DCR|DCR|1VULN|1MLV|1DMG	1ERES|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8AME|9DUR|aMLV
62	31434 21314	 * 	270.65	ACR|DCR|2VULN|1TLV|2ASPD	19FEWX|269LHND|3aVULN|48RCR|5TLV|79ASPD|9BPWR
63	11164 11621	   	270.53	DCR|DCR|1VULN|1TLV|1CDMG	16CGEN|2AART|3BBNT|4TLV|5CDMG|7DMSP|8aRCR|9VULN
64	12623 64841	   	269.59	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1CGEN|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8AAC|9ASPD|aDMSP
65	12623 64842	   	269.59	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1CGEN|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8AAC|9ASPD|aBBNT
66	12123 64743	   	269.59	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1CGEN|2SPLARM|3LHND|4MBVNT|5DMG|67RCR|8AAC|9ASPD|aVULN
67	42623 64441	   	269.49	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1ERES|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8AAC|9ASPD|aDMSP
68	42623 64442	   	269.49	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1ERES|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8AAC|9ASPD|aBBNT
69	12323 64743	   	269.49	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1CGEN|2SPLARM|3LEGI|4MBVNT|5DMG|67RCR|8AAC|9ASPD|aVULN
70	12523 64843	   	269.49	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1CGEN|2SPLARM|3AETHUN|4MBVNT|5DMG|67RCR|8AAC|9ASPD|aVULN
71	42123 64443	   	269.49	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1ERES|2SPLARM|3LHND|4MBVNT|5DMG|67RCR|8AAC|9ASPD|aVULN
72	42323 64443	   	269.39	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1ERES|2SPLARM|3LEGI|4MBVNT|5DMG|67RCR|8AAC|9ASPD|aVULN
73	42523 64443	   	269.39	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1ERES|2SPLARM|3AETHUN|4MBVNT|5DMG|67RCR|8AAC|9ASPD|aVULN
74	61216 15233	   	269.12	DCR|DCR|2VULN|1ASPD	1LIT|2AME|3DUR|49RPLT|57VULN|6ASPD|8aRCR
