0	Index      	 *	Score 	Summary	Detail	
1	31142 42116	 * 	198.94	ACR|3DMG|2VULN|1AART|2ASPD	1RCVC|2AART|36aDMG|4RCR|5ERES|7aASPD|8aVULN|9DMSP|aBPWR
16	31141 45113	   	188.15	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1RCVC|29AART|36DMG|4RCR|5ZMB|7BEXP|8VULN|aCDMG
17	31141 46113	   	188.15	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1RCVC|29AART|36DMG|4RCR|5ZMB|7LHND|8VULN|aCDMG
18	31143 41113	   	188.15	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1RCVC|29AART|37DMG|4RCR|5BEXP|6ZMB|8VULN|aCDMG
19	31141 51113	   	188.15	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1RCVC|29AART|37DMG|4RCR|5ZMB|6LHND|8VULN|aCDMG
20	31141 43113	   	188.05	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1RCVC|29AART|36DMG|4RCR|5ZMB|7DUST|8VULN|aCDMG
21	31141 41151	   	187.58	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCVC|2AART|36DMG|4RCR|5ZMB|7LWND|89VULN|aDUR
22	31143 41151	   	187.58	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCVC|2AART|37DMG|4RCR|5BEXP|6ZMB|89VULN|aDUR
23	31141 51151	   	187.58	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCVC|2AART|37DMG|4RCR|5ZMB|6LHND|89VULN|aDUR
24	31141 43151	   	187.48	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCVC|2AART|36DMG|4RCR|5ZMB|7DUST|89VULN|aDUR
25	33621 15116	   	187.33	DCR|3VULN|3DMG|2DUR|2RCVC	16RCVC|239VULN|4LHND|59aDMG|7RCR|89DUR|9BPWR
26	33631 27114	   	187.26	DCR|3VULN|3DMG|2DUR	1RCVC|239VULN|4MBVNT|579DMG|6RCR|89DUR|9BPWR|aFEWX
27	33631 27115	   	187.26	DCR|3VULN|3DMG|2DUR	1RCVC|239VULN|4MBVNT|579DMG|6RCR|89DUR|9BPWR|aLHND
28	33631 27116	   	187.26	DCR|3VULN|3DMG|2DUR	1RCVC|239VULN|4MBVNT|579DMG|6RCR|89DUR|9BPWR|aBELT
29	33631 27118	   	187.26	DCR|3VULN|3DMG|2DUR	1RCVC|239VULN|4MBVNT|579DMG|6RCR|89DUR|9BPWR|aMLV
30	33631 27112	   	187.16	DCR|3VULN|3DMG|2DUR	1RCVC|239VULN|4MBVNT|579DMG|6RCR|89DUR|9BPWR|aERES
31	33631 33213	 * 	187.12	DCR|4VULN|2DMG|3DUR	1RCVC|239aVULN|4MBVNT|59DMG|689DUR|7RCR|9BPWR
32	31144 41111	   	186.73	ACR|2AART|2DMG|1VULN|2DUR|1ZMB	1RCVC|29AART|37DMG|4RCR|5aDUR|6ZMB|8VULN
33	31114 21536	 * 	186.44	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|2RCVC|1ASPD	14RCVC|2AART|36DMG|5VULN|7FLTHEA|8RCR|9CDMG|aASPD
34	33631 27714	   	186.03	DCR|3VULN|3DMG|1ZMB	1RCVC|239VULN|4MBVNT|579DMG|6RCR|89BEXP|9BPWR|aZMB
35	33631 24814	   	185.83	DCR|3VULN|3DMG|1ZMB	1RCVC|239VULN|4MBVNT|589DMG|6RCR|79DUST|9BPWR|aZMB
36	31142 62116	   	185.66	ACR|2VULN|2DMG|1AART|2ASPD|2RCVC	16RCVC|2AART|3aDMG|4RCR|5ERES|7aASPD|8aVULN|9DMSP|aBPWR
37	31141 22652	 * 	185.47	ACR|2AART|2DMG|3ZMB|1CDMG	1RCVC|2aAART|37DMG|4RCR|579ZMB|67BASICY|7BPWR|8CDMG
38	31141 22531	 * 	185.29	ACR|2AART|2DMG|1VULN|2ZMB|1DUR	1RCVC|29AART|37DMG|4RCR|57ZMB|67BASICY|7BPWR|8VULN|aDUR
39	31146 41113	   	184.09	ACR|2AART|2DMG|1VULN|1CDMG|1ASPD	1RCVC|29AART|36DMG|4RCR|5ASPD|7LWND|8VULN|aCDMG
40	31146 51113	   	184.09	ACR|2AART|2DMG|1VULN|1CDMG|1ASPD	1RCVC|29AART|37DMG|4RCR|5ASPD|6LHND|8VULN|aCDMG
41	33631 33218	   	184.02	DCR|3VULN|2DMG|3DUR|1ZMB	1RCVC|239VULN|4MBVNT|59DMG|689DUR|7RCR|9BPWR|aZMB
42	33631 27383	 * 	183.82	DCR|3VULN|2DMG|1FLTHEA|1ZMB	1RCVC|239VULN|4MBVNT|57DMG|6RCR|8FLTHEA|aZMB
43	31114 21561	   	183.80	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB|2RCVC|1DUR	14RCVC|2AART|36DMG|5VULN|7FLTHEA|8RCR|9ZMB|aDUR
44	31141 45123	   	183.64	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1RCVC|2AART|36DMG|4RCR|5ZMB|7BEXP|8VULN|9DUR|aCDMG
45	31143 41123	   	183.64	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1RCVC|2AART|37DMG|4RCR|5BEXP|6ZMB|8VULN|9DUR|aCDMG
46	31143 41623	   	183.64	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1RCVC|2AART|37DMG|4RCR|5BEXP|6ZMB|8DUR|9VULN|aCDMG
47	31142 42153	   	183.54	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1RCVC|2AART|36DMG|4RCR|5ERES|7ASPD|8VULN|9ZMB|aCDMG
48	33621 55111	   	183.40	DCR|4VULN|2DMG|2DUR	1RCVC|2369VULN|4LHND|59DMG|7RCR|89DUR|9BPWR|aFEWX
49	33621 55112	   	183.40	DCR|4VULN|2DMG|2DUR	1RCVC|2369VULN|4LHND|59DMG|7RCR|89DUR|9BPWR|aMGNSTR
50	33621 55113	   	183.40	DCR|4VULN|2DMG|2DUR	1RCVC|2369VULN|4LHND|59DMG|7RCR|89DUR|9BPWR|aBELT
51	31114 21511	 * 	183.34	DCR|2VULN|2DMG|1AART|1FLTHEA|2RCVC	14RCVC|2AART|36DMG|5aVULN|7FLTHEA|8RCR|9BASHEA
52	31146 12141	   	183.29	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|2AART|39DMG|4RCR|59ASPD|6RMIN|7MBVNT|89VULN|9BPWR|aFEWX
53	31146 12143	   	183.29	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|2AART|39DMG|4RCR|59ASPD|6RMIN|7MBVNT|89VULN|9BPWR|aCGEN
54	31146 12148	   	183.29	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|2AART|39DMG|4RCR|59ASPD|6RMIN|7MBVNT|89VULN|9BPWR|aLWND
55	31142 41123	   	183.19	ACR|2VULN|2DMG|1AART|1CDMG	1RCVC|2AART|36DMG|4RCR|5ERES|7LWND|89VULN|aCDMG
56	31146 12142	   	183.19	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|2AART|39DMG|4RCR|59ASPD|6RMIN|7MBVNT|89VULN|9BPWR|aDLOT
57	31146 12144	   	183.19	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|2AART|39DMG|4RCR|59ASPD|6RMIN|7MBVNT|89VULN|9BPWR|aLEGI
58	31142 51123	   	183.19	ACR|2VULN|2DMG|1AART|1CDMG	1RCVC|2AART|37DMG|4RCR|5ERES|6LHND|89VULN|aCDMG
59	31143 21153	   	183.19	ACR|2VULN|2DMG|1AART|1CDMG	1RCVC|2AART|37DMG|4RCR|5BEXP|6ERES|89VULN|aCDMG
60	31142 43153	   	183.09	ACR|2VULN|2DMG|1AART|1CDMG	1RCVC|2AART|36DMG|4RCR|5ERES|7DUST|89VULN|aCDMG
61	31142 46123	   	183.09	ACR|2DMG|2VULN|1AART|1CDMG	1RCVC|2AART|36DMG|4RCR|5ERES|7LEGI|89VULN|aCDMG
62	31146 43111	   	182.67	ACR|2AART|2DMG|1VULN|2DUR|1ASPD	1RCVC|29AART|36DMG|4RCR|5ASPD|7aDUR|8VULN
63	31144 41113	   	182.61	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	1aRCVC|29AART|37DMG|4RCR|5DUR|6ZMB|8VULN
64	33631 22434	   	182.57	DCR|3VULN|2DMG|1AART	1RCVC|238VULN|4MBVNT|58DMG|6RCR|78MLV|8BPWR|9CGEN|aAART
65	33631 22448	   	182.57	DCR|3VULN|2DMG|1AART	1RCVC|238VULN|4MBVNT|58DMG|6RCR|78MLV|8BPWR|9BELT|aAART
66	31141 22522	   	182.56	ACR|3DMG|1AART|1VULN|2ZMB	1RCVC|2AART|379DMG|4RCR|57ZMB|67BASICY|7BPWR|8VULN|aLHND
67	31141 22525	   	182.56	ACR|3DMG|1AART|1VULN|2ZMB	1RCVC|2AART|379DMG|4RCR|57ZMB|67BASICY|7BPWR|8VULN|aFEWX
68	31141 22526	   	182.56	ACR|3DMG|1AART|1VULN|2ZMB	1RCVC|2AART|379DMG|4RCR|57ZMB|67BASICY|7BPWR|8VULN|aDMSP
69	31141 22523	   	182.46	ACR|3DMG|1AART|1VULN|2ZMB	1RCVC|2AART|379DMG|4RCR|57ZMB|67BASICY|7BPWR|8VULN|aTLV
70	33631 21434	   	182.37	DCR|3VULN|2DMG|1AART	1RCVC|238VULN|4MBVNT|58DMG|6RCR|78ERES|8BPWR|9CGEN|aAART
71	33631 21448	   	182.37	DCR|3VULN|2DMG|1AART	1RCVC|238VULN|4MBVNT|58DMG|6RCR|78ERES|8BPWR|9BELT|aAART
72	33631 21464	   	182.37	DCR|3VULN|2DMG|1AART	1RCVC|238VULN|4MBVNT|58DMG|6RCR|78ERES|8BPWR|9MLV|aAART
73	33631 23315	   	182.37	DCR|3VULN|2DMG|1AART	1RCVC|239VULN|4MBVNT|59DMG|6RCR|7RMIN|89TLV|9BPWR|aAART
74	33631 27511	   	181.96	DCR|3VULN|3DMG|1ASPD	1RCVC|239VULN|4MBVNT|579DMG|6RCR|89LHND|9BPWR|aASPD
75	33631 27711	   	181.96	DCR|3VULN|3DMG|1ASPD	1RCVC|239VULN|4MBVNT|579DMG|6RCR|89BEXP|9BPWR|aASPD
76	33631 27713	   	181.96	DCR|3VULN|3DMG|1DUR	1RCVC|239VULN|4MBVNT|579DMG|6RCR|89BEXP|9BPWR|aDUR
77	33631 27811	   	181.96	DCR|3VULN|3DMG|1ASPD	1RCVC|239VULN|4MBVNT|579DMG|6RCR|89LWND|9BPWR|aASPD
78	31144 21151	   	181.77	ACR|2VULN|2DMG|1AART|2DUR	1RCVC|2AART|37DMG|4RCR|5aDUR|6ERES|89VULN
79	33631 24811	   	181.76	DCR|3VULN|3DMG|1ASPD	1RCVC|239VULN|4MBVNT|589DMG|6RCR|79DUST|9BPWR|aASPD
80	33631 24813	   	181.76	DCR|3VULN|3DMG|1DUR	1RCVC|239VULN|4MBVNT|589DMG|6RCR|79DUST|9BPWR|aDUR
81	31146 22531	   	181.48	ACR|3DMG|1AART|1VULN|1DUR|1ASPD	1RCVC|2AART|379DMG|4RCR|5ASPD|6BASICY|8VULN|aDUR
82	31141 41111	   	181.44	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	1RCVC|29AART|36DMG|4RCR|5ZMB|7LWND|8VULN|aDUR
83	31141 45111	   	181.44	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	1RCVC|29AART|36DMG|4RCR|5ZMB|7BEXP|8VULN|aDUR
84	31141 46111	   	181.44	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	1RCVC|29AART|36DMG|4RCR|5ZMB|7LHND|8VULN|aDUR
85	31141 46123	   	181.44	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	1RCVC|2aAART|36DMG|4RCR|5ZMB|7LHND|8VULN|9DUR
86	31143 41111	   	181.44	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	1RCVC|29AART|37DMG|4RCR|5BEXP|6ZMB|8VULN|aDUR
87	31141 51111	   	181.44	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	1RCVC|29AART|37DMG|4RCR|5ZMB|6LHND|8VULN|aDUR
88	31141 51123	   	181.44	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	1RCVC|2aAART|37DMG|4RCR|5ZMB|6LHND|8VULN|9DUR
89	31144 41112	   	181.44	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	1RCVC|29AART|37DMG|4RCR|5DUR|6ZMB|8VULN|aBEXP
90	31114 21513	 * 	181.41	DCR|3DMG|1AART|1VULN|1FLTHEA|2RCVC	14RCVC|2AART|36aDMG|5VULN|7FLTHEA|8RCR|9BASHEA
91	31141 43111	   	181.34	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	1RCVC|29AART|36DMG|4RCR|5ZMB|7DUST|8VULN|aDUR
92	31141 41152	   	180.64	ACR|2VULN|2DMG|1AART|1ZMB	1RCVC|2AART|36DMG|4RCR|5ZMB|7LWND|89VULN|aRMIN
93	31143 41152	   	180.64	ACR|2VULN|2DMG|1AART|1ZMB	1RCVC|2AART|37DMG|4RCR|5BEXP|6ZMB|89VULN|aRMIN
94	31241 43116	   	180.64	ACR|2VULN|2DMG|1AART|1ZMB	1RCVC|2AART|3aERES|4RCR|5ZMB|6aDMG|79DMSP|8aVULN|aBPWR
95	31141 51152	   	180.64	ACR|2VULN|2DMG|1AART|1ZMB	1RCVC|2AART|37DMG|4RCR|5ZMB|6LHND|89VULN|aRMIN
96	31142 36362	   	180.64	ACR|2VULN|2DMG|1AART|1ZMB	1RCVC|2AART|37DMG|4RCR|57ERES|67LIT|7BPWR|89VULN|aZMB
97	31141 22615	   	180.56	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	1RCVC|2AART|37DMG|4RCR|57ZMB|67BASICY|7BPWR|8CDMG|9BEXP|aVULN
98	31141 43152	   	180.54	ACR|2VULN|2DMG|1AART|1ZMB	1RCVC|2AART|36DMG|4RCR|5ZMB|7DUST|89VULN|aRMIN
99	31141 22363	   	180.44	ACR|2DMG|3ZMB|1AART|1VULN	1RCVC|2AART|37DMG|4RCR|579ZMB|67BASICY|7BPWR|8RMIN|aVULN
100	31141 22651	 * 	180.34	ACR|2DMG|3ZMB|1AART|2CDMG	1RCVC|2AART|37DMG|4RCR|579ZMB|67BASICY|7BPWR|8aCDMG
101	33631 27337	   	180.27	DCR|2VULN|2DMG|1AART|1FLTHEA	1RCVC|23VULN|4MBVNT|57DMG|6RCR|8FLTHEA|9DUST|aAART
102	33631 22115	   	179.84	DCR|3VULN|1AART|1DMG|2ZMB	1RCVC|239VULN|4MBVNT|5DMG|6RCR|79MLV|89ZMB|9BPWR|aAART
103	33631 27343	   	179.76	DCR|3VULN|2DMG|1FLTHEA|1ASPD	1RCVC|23aVULN|4MBVNT|57DMG|6RCR|8FLTHEA|9ASPD
104	33553 23134	 * 	179.72	DCR|4VULN|2DMG|1CDMG	1RCVC|278aVULN|38ERES|4TLV|5CDMG|68DMG|8BPWR|9RCR
105	33631 21115	   	179.64	DCR|3VULN|1AART|1DMG|2ZMB	1RCVC|239VULN|4MBVNT|5DMG|6RCR|79ERES|89ZMB|9BPWR|aAART
106	31144 35123	   	179.58	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RCVC|2AART|3DMG|4RCR|5DUR|6BEXP|78VULN|9ASPD|aCDMG
107	31141 22534	   	179.53	ACR|2AART|2DMG|1VULN|2ZMB	1aRCVC|29AART|37DMG|4RCR|57ZMB|67BASICY|7BPWR|8VULN
108	31114 21531	   	179.50	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|2RCVC	14RCVC|2AART|36DMG|5VULN|7FLTHEA|8RCR|9CDMG|aMLV
109	31114 21532	   	179.50	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|2RCVC	14RCVC|2AART|36DMG|5VULN|7FLTHEA|8RCR|9CDMG|aLIT
110	31114 21533	   	179.50	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|2RCVC	14RCVC|2AART|36DMG|5VULN|7FLTHEA|8RCR|9CDMG|aRPLT
111	31114 21534	   	179.50	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|2RCVC	14RCVC|2AART|36DMG|5VULN|7FLTHEA|8RCR|9CDMG|aLHND
112	33631 23221	 * 	179.33	DCR|3VULN|2DMG|2CDMG	1RCVC|239VULN|4MBVNT|59DMG|6RCR|7RMIN|89CDMG|9BPWR|aFEWX
113	33631 23222	   	179.33	DCR|3VULN|2DMG|2CDMG	1RCVC|239VULN|4MBVNT|59DMG|6RCR|7RMIN|89CDMG|9BPWR|aCGEN
114	33631 23223	   	179.33	DCR|3VULN|2DMG|2CDMG	1RCVC|239VULN|4MBVNT|59DMG|6RCR|7RMIN|89CDMG|9BPWR|aLIT
115	33631 23224	   	179.33	DCR|3VULN|2DMG|2CDMG	1RCVC|239VULN|4MBVNT|59DMG|6RCR|7RMIN|89CDMG|9BPWR|aBEXP
116	33631 23227	   	179.33	DCR|3VULN|2DMG|2CDMG	1RCVC|239VULN|4MBVNT|59DMG|6RCR|7RMIN|89CDMG|9BPWR|aLWND
117	33637 27221	   	179.33	DCR|3VULN|2DMG|2CDMG	1RCVC|239VULN|4MBVNT|5RMIN|6RCR|79DMG|89CDMG|9BPWR|aFEWX
118	33637 27222	   	179.33	DCR|3VULN|2DMG|2CDMG	1RCVC|239VULN|4MBVNT|5RMIN|6RCR|79DMG|89CDMG|9BPWR|aCGEN
119	33637 27223	   	179.33	DCR|3VULN|2DMG|2CDMG	1RCVC|239VULN|4MBVNT|5RMIN|6RCR|79DMG|89CDMG|9BPWR|aLIT
120	33637 27224	   	179.33	DCR|3VULN|2DMG|2CDMG	1RCVC|239VULN|4MBVNT|5RMIN|6RCR|79DMG|89CDMG|9BPWR|aBEXP
121	31146 42111	   	179.23	ACR|3DMG|1AART|1CDMG|1ZMB|1ASPD	1RCVC|2AART|367DMG|4RCR|5ASPD|8CDMG|9ZMB|aBEXP
122	31146 42112	   	179.23	ACR|3DMG|1AART|1CDMG|1ZMB|1ASPD	1RCVC|2AART|367DMG|4RCR|5ASPD|8CDMG|9ZMB|aMLV
123	31146 42113	   	179.23	ACR|3DMG|1AART|1CDMG|1ZMB|1ASPD	1RCVC|2AART|367DMG|4RCR|5ASPD|8CDMG|9ZMB|aRPLT
124	31146 42332	   	179.23	ACR|3DMG|1AART|1CDMG|1ZMB|1ASPD	1RCVC|2AART|367DMG|4RCR|5ASPD|8LIT|9CDMG|aZMB
125	31144 41121	 * 	179.10	ACR|2DMG|1AART|1VULN|3DUR|1ZMB	1RCVC|2AART|37DMG|4RCR|59aDUR|6ZMB|8VULN
126	31141 61153	   	179.08	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|2RCVC	16RCVC|2AART|3DMG|4RCR|5ZMB|7LWND|89VULN|aCDMG
127	31511 32162	 * 	179.04	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	1RCVC|24AART|3LIT|5RCR|6DMG|79VULN|8ASPD|aZMB
128	33631 22258	 * 	179.03	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|23aVULN|4MBVNT|5DMG|6RCR|7MLV|8CDMG|9AART
129	33631 23238	   	179.03	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|23aVULN|4MBVNT|5DMG|6RCR|7RMIN|8CDMG|9AART
130	31141 63153	   	178.98	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|2RCVC	16RCVC|2AART|3DMG|4RCR|5ZMB|7DUST|89VULN|aCDMG
131	31146 43113	   	178.55	ACR|2AART|2DMG|1VULN|1ASPD|1DUR	1aRCVC|29AART|36DMG|4RCR|5ASPD|7DUR|8VULN
132	33631 22815	   	178.53	DCR|3VULN|1AART|1DMG|2ASPD	1RCVC|239VULN|4MBVNT|5DMG|6RCR|79MLV|89ASPD|9BPWR|aAART
133	31141 22532	   	178.35	ACR|2AART|2DMG|1VULN|2ZMB	1RCVC|29AART|37DMG|4RCR|57ZMB|67BASICY|7BPWR|8VULN|aLWND
134	31141 22533	   	178.35	ACR|2AART|2DMG|1VULN|2ZMB	1RCVC|29AART|37DMG|4RCR|57ZMB|67BASICY|7BPWR|8VULN|aBEXP
135	31141 22536	   	178.35	ACR|2AART|2DMG|1VULN|2ZMB	1RCVC|29AART|37DMG|4RCR|57ZMB|67BASICY|7BPWR|8VULN|aLHND
136	33631 21815	   	178.33	DCR|3VULN|1AART|1DMG|2ASPD	1RCVC|239VULN|4MBVNT|5DMG|6RCR|79ERES|89ASPD|9BPWR|aAART
137	31141 22535	   	178.25	ACR|2AART|2DMG|1VULN|2ZMB	1RCVC|29AART|37DMG|4RCR|57ZMB|67BASICY|7BPWR|8VULN|aTLV
138	33631 88424	   	177.52	DCR|4VULN|2DMG|1CDMG	1RCVC|2379VULN|4MBVNT|57DMG|67MGNSTR|7BPWR|8CDMG|aRCR
139	31146 41111	   	177.37	ACR|2AART|2DMG|1VULN|1DUR|1ASPD	1RCVC|29AART|36DMG|4RCR|5ASPD|7LWND|8VULN|aDUR
140	31146 43112	   	177.37	ACR|2AART|2DMG|1VULN|1ASPD|1DUR	1RCVC|29AART|36DMG|4RCR|5ASPD|7DUR|8VULN|aBEXP
141	31146 51111	   	177.37	ACR|2AART|2DMG|1VULN|1ASPD|1DUR	1RCVC|29AART|37DMG|4RCR|5ASPD|6LHND|8VULN|aDUR
142	31146 51123	   	177.37	ACR|2AART|2DMG|1VULN|1ASPD|1DUR	1RCVC|2aAART|37DMG|4RCR|5ASPD|6LHND|8VULN|9DUR
143	31322 32664	 * 	177.26	4VULN|3DMG|1AART|3ASPD|2RCVC	13RCVC|2AART|459aVULN|6CGEN|79aASPD|89aDMG|9aBPWR
144	31323 22164	   	177.16	4VULN|3DMG|1AART|3ASPD|2RCVC	13RCVC|2AART|489aVULN|5ERES|69aDMG|79aASPD|9aBPWR
145	31142 45113	   	177.05	ACR|2AART|2DMG|1VULN|1CDMG	1RCVC|29AART|36DMG|4RCR|5ERES|7BEXP|8VULN|aCDMG
146	31143 21113	   	177.05	ACR|2AART|2DMG|1VULN|1CDMG	1RCVC|29AART|37DMG|4RCR|5BEXP|6ERES|8VULN|aCDMG
147	31143 51113	   	177.05	ACR|2AART|2DMG|1VULN|1CDMG	1RCVC|29AART|37DMG|4RCR|5BEXP|6TLV|8VULN|aCDMG
148	31142 43113	   	176.95	ACR|2AART|2DMG|1VULN|1CDMG	1RCVC|29AART|36DMG|4RCR|5ERES|7DUST|8VULN|aCDMG
149	31141 42121	   	176.93	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1RCVC|2AART|36DMG|4RCR|5ZMB|7ASPD|8VULN|9RMIN|aDUR
150	31114 21562	   	176.86	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB|2RCVC	14RCVC|2AART|36DMG|5VULN|7FLTHEA|8RCR|9ZMB|aLWND
151	31114 21563	   	176.86	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB|2RCVC	14RCVC|2AART|36DMG|5VULN|7FLTHEA|8RCR|9ZMB|aBEXP
152	31142 42151	   	176.83	ACR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1RCVC|2AART|36DMG|4RCR|5ERES|7ASPD|8VULN|9ZMB|aDUR
153	34112 16211	 * 	176.75	ACR|3DMG|1AART|1VULN|3DUR	1RCVC|289DUR|3VULN|49BEXP|5RCR|679DMG|9BPWR|aAART
154	31141 41133	   	176.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCVC|2AART|36DMG|4RCR|5ZMB|7LWND|8VULN|9BEXP|aCDMG
155	31141 45133	   	176.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCVC|2AART|36DMG|4RCR|5ZMB|79BEXP|8VULN|aCDMG
156	31141 46133	   	176.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCVC|2AART|36DMG|4RCR|5ZMB|7LHND|8VULN|9BEXP|aCDMG
157	31143 41133	   	176.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCVC|2AART|37DMG|4RCR|59BEXP|6ZMB|8VULN|aCDMG
158	31143 41163	   	176.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCVC|2AART|37DMG|4RCR|5BEXP|6ZMB|8VULN|9LHND|aCDMG
159	31143 43153	   	176.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2AART|3DMG|4RCR|57BEXP|6ZMB|89VULN|aCDMG
160	31143 45323	   	176.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2AART|3DMG|4RCR|5BEXP|6ZMB|79VULN|8FEWX|aCDMG
161	31141 51133	   	176.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCVC|2AART|37DMG|4RCR|5ZMB|6LHND|8VULN|9BEXP|aCDMG
