0	Index      	 *	Score 	Summary	Detail	
1	43322 15413	 * 	206.58	DCR|4VULN|1AART|3CDMG|1DMG	1AART|237aVULN|47CGEN|578CDMG|6RCR|7BPWR|9DMG
114	33135 54123	   	181.79	ACR|1AART|1VULN|1DMG|2CDMG|2DUR|1ZMB|1ASPD	15DUR|2ASPD|3RCR|4AART|6VULN|79CDMG|8DMG|aZMB
115	33145 33143	   	181.67	ACR|3DMG|2VULN|2ASPD|2DUR	19DUR|29ASPD|3RCR|4LIT|5RPLT|68VULN|79aDMG|9BPWR
116	45122 41313	   	181.55	ACR|3DMG|1AART|1VULN|2ZMB	1AART|2aZMB|3RCR|4LHND|5BEXP|679DMG|8VULN
117	43322 14153	   	181.49	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1AART|23VULN|4CGEN|58CDMG|6RCR|7ERES|9DMG|aZMB
118	43322 16153	   	181.49	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1AART|23VULN|4CGEN|58CDMG|6RCR|7TLV|9DMG|aZMB
119	45124 21313	   	181.45	ACR|3DMG|1AART|1VULN|2ZMB	1AART|2aZMB|3RCR|4LHND|579DMG|6DUST|8VULN
120	33531 16611	   	181.33	ACR|2VULN|1AART|1DMG|2ASPD|2DUR|1ZMB	18DUR|28ASPD|3FEWX|4AART|5RCR|6TLV|78VULN|8BPWR|9DMG|aZMB
121	64131 31316	   	181.19	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1FEWX|2LEGI|39aVULN|4RCR|5DMG|6CDMG|7AART|8ASPD
122	33133 52125	   	181.18	ACR|2AART|2VULN|1DMG|2ASPD|1DUR	1DUR|25ASPD|3RCR|48AART|6aVULN|7LHND|9DMG
123	54131 31316	   	181.09	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2LEGI|39aVULN|4RCR|5DMG|6CDMG|7AART|8ASPD
124	31133 42148	   	180.94	ACR|2VULN|2DMG|1AART|3DUR|1SELL	14aDUR|2CGEN|3RCR|5SELL|6aDMG|7AART|8MBVNT|9aVULN|aBPWR
125	23134 15231	   	180.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1BEXP|2ASPD|3RCR|4AART|5DMG|6aVULN|7CDMG|8ZMB|9AIRHEA
126	33133 56125	   	180.74	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	1DUR|25ASPD|3RCR|4AART|6aVULN|7CGEN|8ZMB|9DMG
127	53134 11333	   	180.74	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1DUST|2ASPD|3RCR|4AART|57DMG|6VULN|8CDMG|9ZMB|aCGEN
128	53134 11334	   	180.74	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1DUST|2ASPD|3RCR|4AART|57DMG|6VULN|8CDMG|9ZMB|aRPLT
129	33134 11333	   	180.71	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1DUR|2ASPD|3RCR|4AART|57DMG|6aVULN|8CGEN|9LHND
130	33134 11353	   	180.71	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2ASPD|3RCR|4AART|57DMG|6aVULN|8CGEN|9BEXP
131	33134 12263	   	180.71	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2ASPD|3RCR|4AART|59DMG|6aVULN|7LHND|8RPLT
132	33134 16263	   	180.71	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1DUR|2ASPD|3RCR|4AART|59DMG|6aVULN|7LWND|8RPLT
133	23135 41363	   	180.71	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1BEXP|2ASPD|3RCR|4AART|5DUR|67DMG|8CGEN|9aVULN
134	33132 41363	   	180.71	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2ASPD|3RCR|4AART|5BEXP|67DMG|8CGEN|9aVULN
135	33134 51363	   	180.71	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2ASPD|3RCR|4AART|57DMG|6FEWX|8CGEN|9aVULN
136	53134 15231	   	180.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2ASPD|3RCR|4AART|5DMG|6aVULN|7CDMG|8ZMB|9AIRHEA
137	33131 11215	   	180.61	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1DUR|2ASPD|3RCR|4AART|5RMIN|6aVULN|79DMG|8ERES
138	33131 11515	   	180.61	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1DUR|2ASPD|3RCR|4AART|5RMIN|6aVULN|79DMG|8TLV
139	33134 11223	   	180.61	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2ASPD|3RCR|4AART|57DMG|6aVULN|8DUST|9RMIN
140	33134 11325	   	180.61	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2ASPD|3RCR|4AART|57DMG|6aVULN|8CGEN|9NUKE
141	33134 11365	   	180.61	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2ASPD|3RCR|4AART|57DMG|6aVULN|8CGEN|9TLV
142	33134 11553	   	180.61	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2ASPD|3RCR|4AART|57DMG|6aVULN|8DLOT|9LWND
143	33134 11253	   	180.51	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1DUR|2ASPD|3RCR|4AART|57DMG|6aVULN|8DUST|9ERES
144	43322 15125	   	180.48	DCR|4VULN|1AART|2CDMG	1AART|237aVULN|47CGEN|57CDMG|6RCR|7BPWR|8LIT|9LWND
145	43322 15153	   	180.48	DCR|4VULN|1AART|2CDMG	1AART|237aVULN|47CGEN|57CDMG|6RCR|7BPWR|8LIT|9FEWX
146	45123 11133	   	180.43	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	18AART|2ZMB|3RCR|49LHND|5ASPD|6aVULN|7DMG
147	45121 11122	   	180.43	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	18AART|2ZMB|3RCR|4LHND|5RMIN|6VULN|79DMG|aDUR
148	45123 11125	   	180.33	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	18AART|2ZMB|3RCR|4LHND|5ASPD|6aVULN|7DMG|9NUKE
149	43322 12543	   	180.28	DCR|4VULN|1AART|2CDMG	1AART|238aVULN|4CGEN|59CDMG|6RCR|7FEWX
150	36232 32434	 * 	180.17	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2MGNSTR|3VULN|4AART|59aDMG|6ERES|7CDMG|8RCR
151	63134 43312	   	180.06	ACR|2AART|2DMG|1VULN|2DUR|1ASPD	18FEWX|2ASPD|3RCR|4aAART|58DMG|6RPLT|78DUR|8BPWR|9VULN
152	43322 11516	   	179.93	DCR|3VULN|1AART|1DMG|1CDMG	1AART|238VULN|4CGEN|5CDMG|6RCR|7LHND|9RMIN|aDMG
153	43322 12161	   	179.93	DCR|3VULN|1AART|1DMG|1CDMG	1AART|239VULN|4CGEN|5CDMG|6RCR|7FEWX|8DMG|aRMIN
154	43322 12162	   	179.93	DCR|3VULN|1AART|1DMG|1CDMG	1AART|239VULN|4CGEN|5CDMG|6RCR|7aFEWX|8DMG
155	43322 12163	   	179.93	DCR|3VULN|1AART|1DMG|1CDMG	1AART|239VULN|4CGEN|5CDMG|6RCR|7FEWX|8DMG|aRPLT
156	43322 12164	   	179.93	DCR|3VULN|1AART|1DMG|1CDMG	1AART|239VULN|4aCGEN|5CDMG|6RCR|7FEWX|8DMG
157	43322 12516	   	179.93	DCR|3VULN|1AART|1DMG|1CDMG	1AART|238VULN|4CGEN|5CDMG|6RCR|7FEWX|9RMIN|aDMG
158	33134 12313	   	179.86	ACR|2AART|2DMG|1VULN|2DUR|1ASPD	1aDUR|2ASPD|3RCR|48AART|59DMG|6VULN|7LHND
159	33134 16313	   	179.86	ACR|2AART|2DMG|1VULN|2DUR|1ASPD	1aDUR|2ASPD|3RCR|48AART|59DMG|6VULN|7LWND
160	33135 52125	   	179.86	ACR|2AART|2VULN|1DMG|2DUR|1ASPD	15DUR|2ASPD|3RCR|48AART|6aVULN|7LHND|9DMG
161	43322 11166	   	179.83	DCR|3VULN|1AART|1DMG|1CDMG	1AART|23aVULN|4CGEN|5CDMG|6RCR|7LHND|8DMG|9DUST
162	45123 11631	   	179.78	ACR|2VULN|1AART|1DMG|2ZMB|1DUR|1ASPD	1AART|2aZMB|3RCR|4LHND|5ASPD|69VULN|7DMG|8DUR
