0	Index      	 *	Score 	Summary	Detail	
1	51212 68443	 * 	198.38	ACR|5VULN|2AART|3ASPD	156ASPD|2MBVNT|35679VULN|4RCR|569BPWR|8aAART
15	51212 24354	   	187.30	ACR|3VULN|1AART|1DMG|2ASPD|1CDMG	15ASPD|2MBVNT|357VULN|4RCR|5BPWR|6CDMG|8AART|9LHND|aDMG
16	51212 24364	   	187.20	ACR|3VULN|1AART|1DMG|2ASPD|1CDMG	15ASPD|2MBVNT|357VULN|4RCR|5BPWR|6CDMG|8AART|9DUST|aDMG
17	51212 24384	   	187.20	ACR|3VULN|1AART|1DMG|2ASPD|1CDMG	15ASPD|2MBVNT|357VULN|4RCR|5BPWR|6CDMG|8AART|9LEGI|aDMG
18	51215 24323	   	187.20	ACR|3VULN|1AART|1DMG|2ASPD|1CDMG	19ASPD|2MBVNT|357VULN|4RCR|6CDMG|8AART|aDMG
19	51212 68441	   	186.93	ACR|5VULN|1AART|3ASPD	156ASPD|2MBVNT|35679VULN|4RCR|569BPWR|8AART|aBEXP
20	51212 68444	   	186.93	ACR|5VULN|1AART|3ASPD	156ASPD|2MBVNT|35679VULN|4RCR|569BPWR|8AART|aCGEN
21	51212 63164	 * 	186.90	ACR|3VULN|2DMG|3ASPD|1CDMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7LWND|8aDMG|9CDMG
22	51212 68442	   	186.83	ACR|5VULN|1AART|3ASPD	156ASPD|2MBVNT|35679VULN|4RCR|569BPWR|8AART|aDUST
23	51212 24464	   	186.70	ACR|3VULN|1AART|1DMG|2ASPD|1CDMG	15ASPD|2MBVNT|357VULN|4RCR|5BPWR|6CDMG|8LHND|9AART|aDMG
24	51212 62147	   	186.40	ACR|3VULN|1AART|3ASPD|1DMG|1DUR	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7BEXP|8DMG|9AART|aDUR
25	51212 63147	   	186.40	ACR|3VULN|1AART|3ASPD|1DMG|1DUR	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7LWND|8DMG|9AART|aDUR
26	51212 24471	   	186.10	ACR|3VULN|1AART|1DMG|2ASPD|1CDMG	15ASPD|2MBVNT|357VULN|4RCR|5BPWR|6CDMG|8LHND|9DMG|aAART
27	51215 61242	   	185.03	ACR|4VULN|1AART|2ASPD|1ZMB|1DUR	16ASPD|2MBVNT|3567VULN|4RCR|6BPWR|8DUR|9AART|aZMB
28	51212 31228	   	184.60	ACR|4VULN|3ASPD|1DMG|2DUR	159ASPD|2MBVNT|3579VULN|4RCR|59BPWR|6RCVC|89DUR|aDMG
29	51212 44342	   	183.90	ACR|4VULN|1AART|3ASPD|1ZMB	157ASPD|2MBVNT|3578VULN|4RCR|57BPWR|6RMIN|9ZMB|aAART
30	51714 22431	 * 	183.28	DCR|2VULN|2DMG|1AART|3ASPD	136ASPD|2MBVNT|36BPWR|46VULN|5AART|7RCR|89DMG|aRMIN
31	51714 22432	   	183.28	DCR|2VULN|2DMG|1AART|3ASPD	136ASPD|2MBVNT|36BPWR|46VULN|5AART|7RCR|89DMG|aBEXP
32	51714 22433	   	183.28	DCR|2VULN|2DMG|1AART|3ASPD	136ASPD|2MBVNT|36BPWR|46VULN|5AART|7RCR|89DMG|aLHND
33	51714 22434	   	183.28	DCR|2VULN|2DMG|1AART|3ASPD	136ASPD|2MBVNT|36BPWR|46VULN|5AART|7RCR|89DMG|aLIT
34	51714 22436	   	183.28	DCR|2VULN|2DMG|1AART|3ASPD	136ASPD|2MBVNT|36BPWR|46VULN|5AART|7RCR|89DMG|aLWND
35	55312 23363	 * 	183.24	DCR|4VULN|3CDMG|3ASPD|2ZMB	179ASPD|247CDMG|3LWND|59ZMB|6789VULN|79BPWR|aRCR
36	51714 22437	   	183.18	DCR|2VULN|2DMG|1AART|3ASPD	136ASPD|2MBVNT|36BPWR|46VULN|5AART|7RCR|89DMG|aTLV
37	51714 22438	   	183.18	DCR|2VULN|2DMG|1AART|3ASPD	136ASPD|2MBVNT|36BPWR|46VULN|5AART|7RCR|89DMG|aERES
38	51212 22257	 * 	182.66	ACR|3VULN|3ASPD|1DMG|2CDMG|1DUR	158ASPD|2MBVNT|358VULN|4RCR|58BPWR|68CDMG|7RMIN|9DUR|aDMG
39	51212 44378	 * 	182.59	ACR|5VULN|3ASPD|1DMG	157ASPD|2MBVNT|3578aVULN|4RCR|57BPWR|6RMIN|9DMG
40	51212 23257	   	182.56	ACR|3VULN|3ASPD|1DMG|2CDMG|1DUR	158ASPD|2MBVNT|358VULN|4RCR|58BPWR|68CDMG|7NUKE|9DUR|aDMG
41	51814 43448	   	182.49	ACR|3VULN|1AART|1DMG|2ASPD|1DUR	19ASPD|2MBVNT|3DUR|4RCR|5AART|69LHND|789VULN|9BPWR|aDMG
42	51232 44835	 * 	182.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|35aVULN|45DUST|5BPWR|6RCR|7CDMG|8AART|9DMG
43	51714 22336	   	181.34	DCR|3VULN|1AART|3ASPD|1DMG	136ASPD|2MBVNT|36BPWR|46aVULN|5AART|7RCR|8RMIN|9DMG
44	51714 22741	   	181.34	DCR|3VULN|1AART|3ASPD|1DMG	136ASPD|2MBVNT|368BPWR|468VULN|5AART|7RCR|9DMG|aLWND
45	51714 22742	   	181.34	DCR|3VULN|1AART|3ASPD|1DMG	136ASPD|2MBVNT|368BPWR|468VULN|5AART|7RCR|9DMG|aBEXP
46	51714 22744	   	181.34	DCR|3VULN|1AART|3ASPD|1DMG	136ASPD|2MBVNT|368BPWR|468VULN|5AART|7RCR|9DMG|aLIT
47	51212 24358	   	181.34	ACR|4VULN|1AART|2ASPD|1CDMG	15ASPD|2MBVNT|357aVULN|4RCR|5BPWR|6CDMG|8AART|9LHND
48	51714 22236	   	181.24	DCR|3VULN|1AART|3ASPD|1DMG	136ASPD|2MBVNT|36BPWR|46aVULN|5AART|7RCR|8ERES|9DMG
49	51714 22446	   	181.24	DCR|3VULN|1AART|3ASPD|1DMG	136ASPD|2MBVNT|36BPWR|46aVULN|5AART|7RCR|8DMG|9TLV
50	51714 22743	   	181.24	DCR|3VULN|1AART|3ASPD|1DMG	136ASPD|2MBVNT|368BPWR|468VULN|5AART|7RCR|9DMG|aAIRHEL
51	51215 24324	   	181.24	ACR|4VULN|1AART|2ASPD|1CDMG	19ASPD|2MBVNT|357aVULN|4RCR|6CDMG|8AART
52	55312 23124	 * 	181.23	DCR|3VULN|3CDMG|1DMG|2ASPD|1ZMB	17ASPD|247CDMG|3LWND|5ZMB|67aVULN|7BPWR|8DMG|9RCR
53	51212 44672	   	180.77	ACR|3VULN|1AART|3ASPD|1DMG	157ASPD|2MBVNT|357VULN|4RCR|57BPWR|6RMIN|8RCVC|9DMG|aAART
54	51212 44374	   	180.76	ACR|4VULN|3ASPD|1DMG|1ZMB	157ASPD|2MBVNT|3578VULN|4RCR|57BPWR|6RMIN|9DMG|aZMB
55	51212 24468	   	180.74	ACR|4VULN|1AART|2ASPD|1CDMG	15ASPD|2MBVNT|357aVULN|4RCR|5BPWR|6CDMG|8LHND|9AART
56	51215 24342	   	180.59	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|357VULN|4RCR|6CDMG|8AART|9LIT|aDMG
57	51215 24354	   	180.59	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|357VULN|4RCR|6CDMG|8AART|9LHND|aDMG
58	51215 24364	   	180.49	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|357VULN|4RCR|6CDMG|8AART|9DUST|aDMG
59	51215 24384	   	180.49	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|357VULN|4RCR|6CDMG|8AART|9LEGI|aDMG
60	51315 53142	   	180.17	ACR|3VULN|1AART|2ASPD|1CDMG|2DUR	19ASPD|2MBVNT|3LWND|4RCR|569VULN|7AART|89DUR|9BPWR|aCDMG
61	51212 63373	   	180.06	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7LWND|8AART|9CGEN|aDMG
62	51212 63383	   	180.06	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7LWND|8AART|9RMIN|aDMG
63	51215 24464	   	179.99	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|357VULN|4RCR|6CDMG|8LHND|9AART|aDMG
64	51212 62141	   	179.46	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7BEXP|8DMG|9AART|aRPLT
65	51212 62145	   	179.46	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7BEXP|8DMG|9AART|aLHND
66	51212 62146	   	179.46	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7BEXP|8DMG|9AART|aFEWX
67	51212 63141	   	179.46	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7LWND|8DMG|9AART|aRPLT
68	51212 63145	   	179.46	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7LWND|8DMG|9AART|aLHND
69	51212 63146	   	179.46	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7LWND|8DMG|9AART|aFEWX
70	51215 24471	   	179.39	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|357VULN|4RCR|6CDMG|8LHND|9DMG|aAART
71	51212 62142	   	179.36	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7BEXP|8DMG|9AART|aDUST
72	51212 62143	   	179.36	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7BEXP|8DMG|9AART|aNUKE
73	51212 62144	   	179.36	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7BEXP|8DMG|9AART|aERES
74	51212 62743	   	179.36	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7BEXP|8ERES|9AART|aDMG
75	51212 63142	   	179.36	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7LWND|8DMG|9AART|aDUST
76	51212 63143	   	179.36	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7LWND|8DMG|9AART|aNUKE
77	51212 63144	   	179.36	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7LWND|8DMG|9AART|aERES
78	51212 65141	   	179.36	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7DUST|8DMG|9AART|aRPLT
79	51212 65143	   	179.36	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7DUST|8DMG|9AART|aLHND
80	51212 65144	   	179.36	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7DUST|8DMG|9AART|aLIT
81	51212 66343	   	179.36	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7TLV|8BEXP|9AART|aDMG
82	51212 65142	   	179.26	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7aDUST|8DMG|9AART
83	51212 62117	   	178.86	ACR|3VULN|1AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7BEXP|8DMG|9CGEN|aAART
84	51215 44472	   	178.76	ACR|3VULN|1AART|3ASPD|1DMG	178ASPD|2MBVNT|357VULN|4RCR|6RMIN|7BPWR|9DMG|aAART
85	51212 22282	 * 	178.62	ACR|3VULN|1AART|3ASPD|2CDMG|1SELL	158ASPD|2MBVNT|358VULN|4RCR|58BPWR|68CDMG|7RMIN|9SELL|aAART
86	51212 23282	 * 	178.52	ACR|3VULN|1AART|3ASPD|2CDMG|1SELL	158ASPD|2MBVNT|358VULN|4RCR|58BPWR|68CDMG|7NUKE|9SELL|aAART
87	51232 44854	 * 	178.26	DCR|2VULN|2AART|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|35VULN|45DUST|5BPWR|6RCR|7CDMG|89AART|aDMG
88	51215 31224	   	178.18	ACR|4VULN|1DMG|2ASPD|2DUR	19ASPD|2MBVNT|3579VULN|4RCR|6RCVC|89DUR|9BPWR|aDMG
89	51714 22427	   	177.92	DCR|2VULN|1AART|3ASPD|1DMG|2DUR	136ASPD|2MBVNT|36BPWR|46VULN|5AART|7RCR|8DMG|9aDUR
90	51483 46124	   	177.91	DCR|2DMG|1AART|1VULN|2ASPD|2DUR|1ZMB	17ASPD|2MBVNT|3DMSP|47DMG|5AART|67DUR|7BPWR|8VULN|9RCR|aZMB
91	51232 44833	   	177.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2MBVNT|35VULN|45DUST|5BPWR|6RCR|7CDMG|8AART|9DMG|aZMB
92	51235 44833	   	177.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2MBVNT|35VULN|4DUST|6RCR|7CDMG|8AART|9DMG|aZMB
93	55111 62222	   	177.78	DCR|4VULN|3CDMG|3ASPD	189ASPD|248CDMG|3LEGI|589aVULN|6RCR|7RMIN|89BPWR
94	51215 61421	   	177.78	ACR|5VULN|1DMG|2ASPD	16ASPD|2MBVNT|35678VULN|4RCR|6BPWR|9RCVC|aDMG
95	51212 28464	 * 	177.36	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	15ASPD|2MBVNT|35VULN|4RCR|5BPWR|68CDMG|7LHND|9AART|aDMG
96	51212 74643	 * 	177.36	ACR|2VULN|1AART|3ASPD|1DMG|1CDMG	157ASPD|2MBVNT|35VULN|4RCR|5BPWR|6RPLT|8CDMG|9AART|aDMG
97	55334 33121	   	177.17	DCR|3VULN|3CDMG|1DMG|2ASPD|1DUR	17ASPD|267CDMG|3LWND|4DMG|567VULN|67BPWR|8NUKE|9RCR|aDUR
98	51714 22334	 * 	177.14	DCR|2AART|2VULN|3ASPD|1DMG	136ASPD|2MBVNT|36BPWR|46VULN|5aAART|7RCR|8RMIN|9DMG
99	51714 22418	   	177.14	DCR|2AART|2VULN|3ASPD|1DMG	136ASPD|2MBVNT|36BPWR|46VULN|5aAART|7RCR|8DMG|9LWND
100	51212 25271	 * 	177.00	ACR|4VULN|1DMG|2ASPD|1CDMG	15ASPD|2MBVNT|3589VULN|4RCR|5BPWR|6CDMG|7LIT|aDMG
101	51212 44146	 * 	176.99	ACR|4VULN|3ASPD|2ZMB|2DUR	157ASPD|2MBVNT|357aVULN|4RCR|57aBPWR|6RMIN|8aDUR|9aZMB
102	51212 28471	   	176.76	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	15ASPD|2MBVNT|35VULN|4RCR|5BPWR|68CDMG|7LHND|9DMG|aAART
103	51212 31248	   	176.53	ACR|4VULN|1AART|2ASPD|1DUR	15ASPD|2MBVNT|357aVULN|4RCR|5BPWR|6RCVC|8DUR|9AART
104	51814 33447	   	176.53	ACR|4VULN|1AART|2ASPD|1DUR	19ASPD|2MBVNT|3DUR|4RCR|5AART|69FEWX|789aVULN|9BPWR
105	51247 41272	   	176.36	DCR|2VULN|2DMG|1AART|2ASPD	19ASPD|2MBVNT|39VULN|4BEXP|5DUST|6RCR|79DMG|8RMIN|9BPWR|aAART
106	54232 33513	 * 	176.33	DCR|3VULN|1AART|2CDMG|2ASPD	1aASPD|24LWND|39aVULN|5RPLT|6RCR|7AART|8aCDMG|aBPWR
107	54312 33513	   	176.33	DCR|3VULN|1AART|2CDMG|2ASPD	1aASPD|23LWND|49aVULN|5RPLT|6RCR|7AART|8aCDMG|aBPWR
108	51212 62135	   	176.25	ACR|3VULN|3ASPD|1DMG|1CDMG|1DUR	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7BEXP|8DMG|9DUR|aCDMG
109	51212 63135	   	176.25	ACR|3VULN|3ASPD|1DMG|1CDMG|1DUR	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7LWND|8DMG|9DUR|aCDMG
110	51212 44167	   	176.25	ACR|3VULN|3ASPD|1DMG|1CDMG|1DUR	157ASPD|2MBVNT|357VULN|4RCR|57BPWR|6RMIN|8DUR|9CDMG|aDMG
111	51215 61411	   	176.18	ACR|5VULN|1DMG|2ASPD	16ASPD|2MBVNT|35678VULN|4RCR|6BPWR|9DMSP|aDMG
112	51215 22211	 * 	176.18	ACR|5VULN|2CDMG|2ASPD	18ASPD|2MBVNT|3589aVULN|4RCR|68CDMG|7RMIN|8BPWR
113	51215 23211	   	176.08	ACR|5VULN|2CDMG|2ASPD	18ASPD|2MBVNT|3589aVULN|4RCR|68CDMG|7NUKE|8BPWR
114	51814 33442	   	176.07	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	19ASPD|2MBVNT|3DUR|4RCR|5AART|69FEWX|789VULN|9BPWR|aCDMG
115	51814 43442	   	176.07	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	19ASPD|2MBVNT|3DUR|4RCR|5AART|69LHND|789VULN|9BPWR|aCDMG
116	51212 61435	 * 	175.93	ACR|5VULN|3ASPD|1CDMG|1SELL	156ASPD|2MBVNT|35689VULN|4RCR|569BPWR|7SELL|aCDMG
117	51212 22226	   	175.72	ACR|3VULN|3ASPD|1DMG|2CDMG	158ASPD|2MBVNT|358VULN|4RCR|58BPWR|68CDMG|7RMIN|9LHND|aDMG
118	51212 22237	   	175.72	ACR|3VULN|3ASPD|1DMG|2CDMG	158ASPD|2MBVNT|358VULN|4RCR|58BPWR|68CDMG|7RMIN|9BEXP|aDMG
119	51212 25225	   	175.68	ACR|4VULN|3ASPD|1CDMG|2DUR	15aASPD|2MBVNT|358aVULN|4RCR|5aBPWR|6CDMG|7LIT|9aDUR
120	51212 23226	   	175.62	ACR|3VULN|3ASPD|1DMG|2CDMG	158ASPD|2MBVNT|358VULN|4RCR|58BPWR|68CDMG|7NUKE|9LHND|aDMG
121	51212 23237	   	175.62	ACR|3VULN|3ASPD|1DMG|2CDMG	158ASPD|2MBVNT|358VULN|4RCR|58BPWR|68CDMG|7NUKE|9BEXP|aDMG
122	51212 22217	   	175.62	ACR|3VULN|3ASPD|1DMG|2CDMG	158ASPD|2MBVNT|358VULN|4RCR|58BPWR|68CDMG|7RMIN|9DUST|aDMG
123	51212 31224	   	175.54	ACR|4VULN|3ASPD|2DUR|1ZMB	159ASPD|2MBVNT|3579VULN|4RCR|59BPWR|6RCVC|89DUR|aZMB
124	51212 23217	   	175.52	ACR|3VULN|3ASPD|1DMG|2CDMG	158ASPD|2MBVNT|358VULN|4RCR|58BPWR|68CDMG|7NUKE|9DUST|aDMG
125	51212 31316	   	175.50	ACR|4VULN|1AART|3ASPD	159ASPD|2MBVNT|3579VULN|4RCR|59BPWR|6RCVC|89CGEN|aAART
126	51212 36422	   	175.50	ACR|4VULN|1AART|3ASPD	159ASPD|2MBVNT|3589VULN|4RCR|59BPWR|6RCVC|79BEXP|aAART
127	51212 61233	   	175.44	ACR|4VULN|3ASPD|1CDMG|2DUR|1SELL	156ASPD|2MBVNT|3569VULN|4RCR|569BPWR|7SELL|89DUR|aCDMG
128	51714 11814	 * 	175.33	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	13ASPD|2MBVNT|3BPWR|49VULN|5AART|6RCR|7BEXP|8DMG|aCDMG
129	51212 38422	   	175.30	ACR|4VULN|1AART|3ASPD	159ASPD|2MBVNT|3589VULN|4RCR|59BPWR|6RCVC|79DUST|aAART
130	51212 34446	   	174.95	ACR|3VULN|1AART|1DMG|2ASPD	15ASPD|2MBVNT|359VULN|4RCR|5BPWR|6RCVC|7LIT|8DMG|aAART
131	51212 24225	   	174.88	ACR|4VULN|2ASPD|1CDMG|1ZMB|1DUR	15ASPD|2MBVNT|3578VULN|4RCR|5BPWR|6CDMG|9DUR|aZMB
132	51215 61222	   	174.86	ACR|5VULN|3ASPD|2DUR	169ASPD|2MBVNT|35679VULN|4RCR|69BPWR|89DUR|aMLV
133	51212 24325	   	174.85	ACR|3VULN|1AART|3ASPD|1CDMG	159ASPD|2MBVNT|357VULN|4RCR|5BPWR|6CDMG|8AART|aRCVC
134	51714 22154	 * 	174.83	DCR|3VULN|1AART|3ASPD|1CDMG	136ASPD|2MBVNT|36BPWR|46aVULN|5AART|7RCR|8DUST|9CDMG
135	51212 62832	   	174.80	ACR|4VULN|1AART|3ASPD	156ASPD|2MBVNT|3569VULN|4RCR|56BPWR|7BEXP|8RCVC|aAART
136	51215 61221	   	174.76	ACR|5VULN|3ASPD|2DUR	169ASPD|2MBVNT|35679VULN|4RCR|69BPWR|89DUR|aERES
137	51215 61224	   	174.76	ACR|5VULN|3ASPD|2DUR	169ASPD|2MBVNT|35679VULN|4RCR|69BPWR|89DUR|aDUST
138	51212 16122	   	174.74	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	15ASPD|2MBVNT|35VULN|4RCR|5BPWR|6FEWX|7DMG|8DUR|9ZMB|aAART
139	51212 56122	   	174.74	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	15ASPD|2MBVNT|35VULN|4RCR|5BPWR|6BEXP|7DMG|8DUR|9ZMB|aAART
140	51212 86222	   	174.74	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	15ASPD|2MBVNT|35VULN|4RCR|5BPWR|6DUR|7DMG|8LHND|9ZMB|aAART
141	51212 82122	   	174.64	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	15ASPD|2MBVNT|35VULN|4RCR|5BPWR|6DUR|7DUST|8DMG|9ZMB|aAART
142	51212 86422	   	174.64	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	15ASPD|2MBVNT|35VULN|4RCR|5BPWR|6DUR|7DMG|8DUST|9ZMB|aAART
143	51212 44386	   	174.50	ACR|4VULN|1AART|3ASPD	157ASPD|2MBVNT|3578VULN|4RCR|57BPWR|6RMIN|9RCVC|aAART
144	51223 33162	 * 	174.30	DCR|5VULN|1AART|2ASPD	19ASPD|2MBVNT|35789VULN|459CGEN|59BPWR|6AART|aRCR
145	51212 12186	 * 	174.28	ACR|2VULN|2DMG|1AART|2ASPD	15ASPD|2MBVNT|35VULN|4RCR|5BPWR|6FEWX|7DUST|89DMG|aAART
146	51215 23214	   	174.25	ACR|4VULN|2CDMG|2ASPD|1ZMB	18ASPD|2MBVNT|3589VULN|4RCR|68CDMG|7NUKE|8BPWR|aZMB
147	51814 43741	   	174.23	ACR|3VULN|1AART|3ASPD|2DUR	189ASPD|2MBVNT|3aDUR|4RCR|5AART|689LHND|789VULN|89BPWR
148	51212 32873	   	174.15	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	15ASPD|2MBVNT|35VULN|4RCR|5BPWR|6RCVC|7RPLT|8AART|9CDMG|aDMG
149	51212 63325	   	174.10	ACR|4VULN|1AART|3ASPD	156ASPD|2MBVNT|356aVULN|4RCR|56BPWR|7LWND|8AART|9LIT
150	51212 68421	   	174.10	ACR|4VULN|1AART|3ASPD	156ASPD|2MBVNT|3567VULN|4RCR|56BPWR|8AART|9LWND|aCGEN
151	51212 68422	   	174.10	ACR|4VULN|1AART|3ASPD	156ASPD|2MBVNT|3567VULN|4RCR|56BPWR|8AART|9LWND|aFEWX
152	51212 68423	   	174.10	ACR|4VULN|1AART|3ASPD	156ASPD|2MBVNT|3567VULN|4RCR|56BPWR|8AART|9aLWND
153	51212 68424	   	174.10	ACR|4VULN|1AART|3ASPD	156ASPD|2MBVNT|3567VULN|4RCR|56BPWR|8AART|9LWND|aMLV
154	51212 68431	   	174.10	ACR|4VULN|1AART|3ASPD	156ASPD|2MBVNT|3567VULN|4RCR|56BPWR|8AART|9CGEN|aRMIN
155	51212 68432	   	174.10	ACR|4VULN|1AART|3ASPD	156ASPD|2MBVNT|3567VULN|4RCR|56BPWR|8AART|9CGEN|aBEXP
156	51212 68434	   	174.10	ACR|4VULN|1AART|3ASPD	156ASPD|2MBVNT|3567VULN|4RCR|56BPWR|8AART|9CGEN|aLHND
157	51215 24325	   	174.07	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	19ASPD|2MBVNT|357VULN|4RCR|6CDMG|8AART|aDUR
158	51215 61243	   	174.03	ACR|4VULN|1AART|2ASPD|1DUR	16ASPD|2MBVNT|3567VULN|4RCR|6BPWR|8DUR|9AART|aMGNLIT
159	51215 61244	   	174.03	ACR|4VULN|1AART|2ASPD|1DUR	16ASPD|2MBVNT|3567VULN|4RCR|6BPWR|8DUR|9AART|aBELT
160	51212 68433	   	174.00	ACR|4VULN|1AART|3ASPD	156ASPD|2MBVNT|3567VULN|4RCR|56BPWR|8AART|9CGEN|aLEGI
