0	Index      	 *	Score 	Summary	Detail	
1	61251 64214	 * 	192.90	DCR|3VULN|2DMG|1AART|2DUR	1aDUR|26aVULN|3AART|4MBVNT|5RCVC|7NUKE|8RCR|9aDMG|aBPWR
78	61141 37173	   	174.22	ACR|3VULN|2DMG|2DUR|1ZMB	17DUR|278VULN|3MBVNT|47DMG|5RCR|6RMIN|7BPWR|9ZMB|aLHND
79	61141 37428	   	174.22	ACR|3DMG|2VULN|2DUR|1ZMB	17DUR|27VULN|3MBVNT|479DMG|5RCR|6RMIN|7BPWR|8BELT|aZMB
80	61141 61331	   	174.22	ACR|3VULN|2DMG|2DUR|1ZMB	17DUR|279VULN|3MBVNT|47DMG|5RCR|6BELT|7BPWR|8RPLT|aZMB
81	51141 37146	   	174.19	ACR|3VULN|2DMG|1AART	17LHND|278VULN|3MBVNT|47DMG|5RCR|6RMIN|7BPWR|9CGEN|aAART
82	61215 23311	   	174.16	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|27VULN|3aAART|4CDMG|5DUST|6MLV|8DMG|9RCR
83	21431 27146	   	174.09	ACR|3VULN|2DMG|1AART	17MLV|2DUST|378VULN|4MBVNT|5RCR|67DMG|7BPWR|9CGEN|aAART
84	61141 62242	   	174.01	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2aVULN|3MBVNT|48DMG|5RCR|6BELT|7AART|9ASPD
85	61173 61434	 * 	173.83	DCR|3VULN|1DMG|3DUR|2ASPD|1FLTHEA	18aDUR|258VULN|3MBVNT|4FLTHEA|6DMG|78ASPD|8BPWR|9RCR
86	11236 56322	   	173.82	DCR|2AART|2VULN|1DMG|1CDMG	1LEGI|23CGEN|4aAART|5CDMG|6RCR|79VULN|8DMG
87	42312 43612	 * 	173.79	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|2LHND|4aDMG|5ZMB|6AART|7VULN|8RCR|9RMIN
88	42312 43621	   	173.79	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	13CDMG|2LHND|4DMG|5ZMB|6AART|79VULN|8RCR|aBEXP
89	42312 43623	   	173.79	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	13CDMG|2aLHND|4DMG|5ZMB|6AART|79VULN|8RCR
90	61171 23453	 * 	173.72	DCR|3VULN|1DMG|2ZMB|1FLTHEA|2DUR	19DUR|29aVULN|3MBVNT|4FLTHEA|5RPLT|6DMG|79ZMB|8RCR|9BPWR
91	41112 43631	   	173.69	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	19CDMG|2NUKE|39TLV|4DMG|5ZMB|6AART|79VULN|8RCR|9BPWR|aBEXP
92	41112 43633	   	173.69	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	19CDMG|2NUKE|39TLV|4DMG|5ZMB|6AART|79VULN|8RCR|9BPWR|aLHND
93	42312 43631	   	173.69	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	13CDMG|2LHND|4DMG|5ZMB|6AART|7aVULN|8RCR|9LSRHEA
94	51141 26811	   	173.58	ACR|3VULN|3DMG|1ASPD	18aLHND|278VULN|3MBVNT|468DMG|5RCR|8BPWR|9ASPD
95	51141 26822	   	173.58	ACR|3VULN|3DMG|1DUR	18LHND|278VULN|3MBVNT|468DMG|5RCR|8BPWR|9DMSP|aDUR
96	21431 27364	   	173.48	ACR|3VULN|3DMG|1DUR	17MLV|2DUST|37aVULN|4MBVNT|5RCR|679DMG|7BPWR|8DUR
97	51141 26812	   	173.48	ACR|3VULN|3DMG|1ASPD	18LHND|278VULN|3MBVNT|468DMG|5RCR|8BPWR|9ASPD|aERES
98	51141 26814	   	173.48	ACR|3VULN|3DMG|1ASPD	18LHND|278VULN|3MBVNT|468DMG|5RCR|8BPWR|9ASPD|aTLV
99	51141 26844	   	173.48	ACR|3VULN|3DMG|1DUR	18LHND|278VULN|3MBVNT|468DMG|5RCR|8BPWR|9ERES|aDUR
100	61141 24118	   	173.38	ACR|3VULN|3DMG|1DUR	1DUR|289VULN|3MBVNT|46aDMG|5RCR|7CGEN
101	51252 44336	   	173.27	DCR|2VULN|2DMG|1AART|1CDMG	19LHND|29VULN|3AART|4MBVNT|5ERES|6CDMG|7RCVC|89DMG|9BPWR|aRCR
102	51254 44336	   	173.27	DCR|2VULN|2DMG|1AART|1CDMG	19LHND|29VULN|3AART|4MBVNT|5TLV|6CDMG|7RCVC|89DMG|9BPWR|aRCR
103	62512 15323	 * 	173.21	DCR|2VULN|2DMG|3DUR|1CDMG|1ZMB	12aDUR|3CDMG|4aDMG|5ZMB|6ERES|7aVULN|8RMIN|9RCR|aBPWR
104	51141 52441	   	173.18	ACR|2VULN|2DMG|1AART|1CDMG	1LHND|27VULN|3MBVNT|49DMG|5RCR|6CDMG|8AART|aRPLT
105	51141 52443	   	173.18	ACR|2VULN|2DMG|1AART|1CDMG	1LHND|27VULN|3MBVNT|49DMG|5RCR|6CDMG|8AART|aCGEN
106	51141 52446	   	173.18	ACR|2VULN|2DMG|1AART|1CDMG	1LHND|27VULN|3MBVNT|49DMG|5RCR|6CDMG|8AART|aMLV
107	51141 52447	   	173.18	ACR|2VULN|2DMG|1AART|1CDMG	1LHND|27VULN|3MBVNT|49DMG|5RCR|6CDMG|8AART|aRMIN
108	51141 52448	   	173.18	ACR|2VULN|2DMG|1AART|1CDMG	1LHND|27VULN|3MBVNT|49DMG|5RCR|6CDMG|8AART|aLWND
109	51141 52452	   	173.18	ACR|2VULN|2DMG|1AART|1CDMG	1LHND|27VULN|3MBVNT|4aDMG|5RCR|6CDMG|8AART|9DMSP
110	51141 52444	   	173.08	ACR|2VULN|2DMG|1AART|1CDMG	1LHND|27VULN|3MBVNT|49DMG|5RCR|6CDMG|8AART|aDUST
111	62324 27226	   	173.05	DCR|2VULN|2DMG|1AART|2DUR	12DUR|3MBVNT|47DMG|5AART|6aVULN|8RCR|9AIRHEA
112	61532 32351	 * 	172.96	DCR|2VULN|2DMG|1AART|3DUR	136DUR|27VULN|4CGEN|56DMG|6BPWR|8AART|9RCR|aBEXP
113	61532 32352	   	172.86	DCR|2VULN|2DMG|1AART|3DUR	136DUR|27VULN|4CGEN|56DMG|6BPWR|8AART|9RCR|aDUST
114	61141 26643	   	172.84	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2VULN|3MBVNT|46DMG|5RCR|7CANHEL|8CDMG|9AART|aZMB
115	45322 36111	   	172.73	DCR|3VULN|2DMG|2CDMG	13CDMG|24aVULN|58DMG|6TLV|7RCR|9RPLT
116	45322 36133	 * 	172.73	DCR|3DMG|2VULN|2CDMG	13CDMG|24VULN|58aDMG|6TLV|7RCR|9CGEN
117	51141 26361	   	172.58	ACR|2VULN|2DMG|1AART|1CDMG	1LHND|27VULN|3MBVNT|46DMG|5RCR|8RPLT|9AART|aCDMG
118	61312 11346	   	172.42	DCR|4VULN|1DMG|1ZMB|1DUR	1DUR|2479VULN|3AIRHEA|5RCVC|6RCR|8DMG|aZMB
119	61141 61227	   	172.37	ACR|2VULN|2DMG|1AART|2DUR	17DUR|27VULN|3MBVNT|47DMG|5RCR|6BELT|7BPWR|8LWND|9RCVC|aAART
120	61141 61427	   	172.37	ACR|2VULN|2DMG|1AART|2DUR	17DUR|27VULN|3MBVNT|47DMG|5RCR|6BELT|7BPWR|8FEWX|9RCVC|aAART
121	66331 63113	 * 	172.33	DCR|3VULN|1AART|2FLTHEA|3DUR	147DUR|2RPLT|37FLTHEA|5AART|679VULN|7BPWR|8RCVC|aRCR
122	61251 21273	   	172.32	DCR|3VULN|1AART|1DMG|1DUR	1DUR|289VULN|3AART|4MBVNT|5RCVC|6LIT|7RCR|aDMG
123	42312 43412	   	172.19	DCR|2AART|1VULN|2CDMG|1DMG|1ZMB|1DUR	13CDMG|2LHND|4DMG|5ZMB|6aAART|7VULN|8DUR|9RCR
124	61141 62442	   	172.08	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUR|28aVULN|3MBVNT|4DMG|5RCR|6BELT|7AART|9ASPD
125	61321 14261	   	172.06	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1DUR|28VULN|3AIRHEA|4TLV|5FLTHEA|6DMG|7CDMG|9RCR|aAART
126	62242 31423	 * 	172.03	ACR|2DMG|1AART|1VULN|2ASPD|2DUR	12DUR|3LIT|4RCR|5AART|67ASPD|8VULN|9aDMG
127	23213 32331	   	172.02	DCR|2DMG|2AART|1VULN|1CDMG	1MLV|2CDMG|3RPLT|4VULN|5LSRREG|6RCR|7aAART|89DMG
128	23213 32361	   	172.02	DCR|2VULN|2AART|1DMG|1CDMG	1MLV|2CDMG|3RPLT|49VULN|5LSRREG|6RCR|7aAART|8DMG
129	43213 32361	   	172.02	DCR|2VULN|2AART|1DMG|1CDMG	1CDMG|2CGEN|3RPLT|49VULN|5LSRREG|6RCR|7aAART|8DMG
130	45113 32331	   	171.92	DCR|2DMG|2AART|1VULN|1CDMG	1CDMG|2VULN|3RPLT|4TLV|5LSRREG|6RCR|7aAART|89DMG
131	45113 32361	   	171.92	DCR|2VULN|2AART|1DMG|1CDMG	1CDMG|29VULN|3RPLT|4TLV|5LSRREG|6RCR|7aAART|8DMG
132	25321 23215	   	171.92	DCR|2VULN|2DMG|1AART|1ZMB	1MLV|2CGEN|3MBVNT|49DMG|5AART|67VULN|8RCR|aZMB
133	25321 27245	   	171.92	DCR|2VULN|2DMG|1AART|1ZMB	1MLV|2CGEN|3MBVNT|47DMG|5AART|69VULN|8RCR|aZMB
134	61173 32315	 * 	171.91	DCR|2VULN|2DMG|2FLTHEA|2DUR	1aDUR|25VULN|3MBVNT|4aFLTHEA|6RCR|7DMSP|8aDMG|9RMIN|aBPWR
135	21132 16335	   	171.77	DCR|2AART|2VULN|2DMG	19MLV|2DUST|3RCVC|46AART|5RPLT|79VULN|89DMG|9BPWR|aRCR
136	61532 33314	   	171.76	DCR|2VULN|2DMG|1AART|3DUR	136DUR|28VULN|4CGEN|56DMG|6BPWR|7MLV|9RCR|aAART
137	51141 37125	   	171.57	ACR|3VULN|2DMG|1CDMG|1DUR	17LHND|278VULN|3MBVNT|47DMG|5RCR|6RMIN|7BPWR|9DUR|aCDMG
138	61141 27111	   	171.48	ACR|3DMG|1AART|1VULN|1ASPD|1DUR	1DUR|2VULN|3MBVNT|46aDMG|5RCR|7LIT|8AART|9ASPD
139	21431 27125	   	171.47	ACR|3VULN|2DMG|1CDMG|1DUR	17MLV|2DUST|378VULN|4MBVNT|5RCR|67DMG|7BPWR|9DUR|aCDMG
140	51141 52112	   	171.37	ACR|3VULN|2DMG|1CDMG|1DUR	1LHND|279VULN|3MBVNT|4aDMG|5RCR|6CDMG|8DUR
141	51141 52532	   	171.37	ACR|3DMG|2VULN|1CDMG|1DUR	1LHND|27VULN|3MBVNT|48aDMG|5RCR|6CDMG|9DUR
142	61141 52212	   	171.37	ACR|3VULN|2DMG|1CDMG|1DUR	1DUR|279VULN|3MBVNT|4aDMG|5RCR|6CDMG|8LWND
143	51141 52732	   	171.37	ACR|3VULN|2DMG|1CDMG|1DUR	1LHND|278VULN|3MBVNT|4aDMG|5RCR|6CDMG|9DUR
144	61141 61451	   	171.37	ACR|2VULN|2DMG|1AART|2DUR	17DUR|27VULN|3MBVNT|47DMG|5RCR|6aBELT|7BPWR|8FEWX|9AART
145	61141 61452	   	171.37	ACR|2VULN|2DMG|1AART|2DUR	17DUR|27VULN|3MBVNT|47DMG|5RCR|6BELT|7BPWR|8FEWX|9AART|aBEXP
146	61141 61453	   	171.37	ACR|2VULN|2DMG|1AART|2DUR	17DUR|27VULN|3MBVNT|47DMG|5RCR|6BELT|7BPWR|8FEWX|9AART|aLWND
147	45312 42112	   	171.29	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|2VULN|4aDMG|5ZMB|6AART|7BEXP|8DUST|9RCR
148	45313 61313	   	171.29	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|2VULN|47DMG|5DUST|6ZMB|8RCR|9BELT|aAART
149	51141 55442	   	171.25	ACR|3DMG|1AART|1VULN|1CDMG	17LHND|2VULN|3MBVNT|49aDMG|5RCR|6CDMG|8AART
150	61141 15273	 * 	171.24	ACR|2VULN|2DMG|2CDMG|3DUR	19aDUR|2aVULN|3MBVNT|48DMG|5RCR|6ERES|7aCDMG|aBPWR
151	23112 43625	 * 	171.23	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1MLV|2CDMG|3TLV|4DMG|5aZMB|6AART|79VULN|8RCR
152	62324 27211	   	171.21	DCR|3DMG|1AART|1VULN|2DUR	12DUR|3MBVNT|479DMG|5AART|6VULN|8RCR|aMLV
153	62324 27212	   	171.21	DCR|3DMG|1AART|1VULN|2DUR	12DUR|3MBVNT|479DMG|5AART|6VULN|8RCR|aBEXP
154	62324 27214	   	171.21	DCR|3DMG|1AART|1VULN|2DUR	12DUR|3MBVNT|479DMG|5AART|6VULN|8RCR|aLWND
155	62324 27215	   	171.21	DCR|3DMG|1AART|1VULN|2DUR	12DUR|3MBVNT|479DMG|5AART|6VULN|8RCR|aRMIN
156	62324 27216	   	171.21	DCR|3DMG|1AART|1VULN|2DUR	12DUR|3MBVNT|479DMG|5AART|6VULN|8RCR|aRPLT
157	62324 27217	   	171.21	DCR|3DMG|1AART|1VULN|2DUR	12DUR|3MBVNT|479DMG|5AART|6VULN|8RCR|aCGEN
158	62512 43212	   	171.17	DCR|2AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	12DUR|3CDMG|4DMG|5ZMB|6aAART|7VULN|8LWND|9RCR
159	62512 43311	   	171.17	DCR|2AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	12DUR|3CDMG|4DMG|5ZMB|6aAART|7VULN|8BEXP|9RCR
160	61312 12346	   	171.12	DCR|3VULN|1AART|1DMG|1DUR	1DUR|24aVULN|3AIRHEA|5RCVC|6RCR|7DMG|8LWND|9AART
161	62324 27213	   	171.11	DCR|3DMG|1AART|1VULN|2DUR	12DUR|3MBVNT|479DMG|5AART|6VULN|8RCR|aVENICY
162	62512 43111	   	171.07	DCR|2AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	12DUR|3CDMG|4DMG|5ZMB|6aAART|7VULN|8DUST|9RCR
163	61316 11343	   	170.85	DCR|4VULN|1DMG|2DUR|1ASPD	15DUR|2479VULN|3AIRHEA|6RCR|8DMG|aASPD
164	51141 15273	 * 	170.85	ACR|3VULN|2DMG|2CDMG	1aLHND|29aVULN|3MBVNT|48DMG|5RCR|6ERES|7aCDMG|aBPWR
165	24242 33263	   	170.77	ACR|2VULN|2DMG|1AART|1ASPD	1MLV|2RMIN|3LIT|4RCR|5AART|6ASPD|7aDMG|89VULN
166	61141 61321	   	170.77	ACR|2VULN|2DMG|1AART|2DUR	17DUR|27VULN|3MBVNT|47DMG|5RCR|6BELT|7BPWR|8RPLT|9CGEN|aAART
