0	Index      	 *	Score 	Summary	Detail	
1	13161 48184	 * 	256.24	橙橙1易伤1等级1全技能1暴击	1敌人爆炸2最后敌人3全技能4加一5挖尘6等级7易伤8暴击9a核
35	13232 15431	   	229.14	橙橙2易伤	14敌人爆炸2最后敌人3随机技能5基地爆炸69核7a易伤8平台
36	33232 15431	   	229.14	橙橙2易伤	1低血量敌人24敌人爆炸3随机技能5基地爆炸69核7a易伤8平台
37	51212 15432	   	229.14	橙橙1易伤1等级	1随机技能2基地爆炸3金币生成4等级5敌人爆炸69核7易伤8平台a雷电
38	51212 15433	   	229.14	橙橙1易伤1等级	1a随机技能2基地爆炸3金币生成4等级5敌人爆炸69核7易伤8平台
39	12215 15431	   	229.04	橙橙2易伤	1敌人爆炸2低血量敌人35随机技能4挖尘69核7a易伤8平台
40	13215 15431	   	229.04	橙橙2易伤	1敌人爆炸2最后敌人35随机技能4挖尘69核7a易伤8平台
41	33215 15431	   	229.04	橙橙2易伤	1低血量敌人2敌人爆炸35随机技能4挖尘69核7a易伤8平台
42	35211 15431	   	229.04	橙橙2易伤	1低血量敌人25基地爆炸3随机技能4挖尘69核7a易伤8平台
43	51222 15431	   	229.04	橙橙2易伤	1随机技能2基地爆炸3金币生成4掉矿5敌人爆炸69核7a易伤8平台
44	51312 15432	   	229.04	橙橙1易伤1等级	1随机技能2基地爆炸3技能点4等级5敌人爆炸69核7易伤8平台a雷电
45	51312 15433	   	229.04	橙橙1易伤1等级	1a随机技能2基地爆炸3技能点4等级5敌人爆炸69核7易伤8平台
46	42212 15431	   	228.94	橙橙2易伤	14挖尘2低血量敌人3随机技能5敌人爆炸69核7a易伤8平台
47	43212 15431	   	228.94	橙橙2易伤	14挖尘2最后敌人3随机技能5敌人爆炸69核7a易伤8平台
48	51322 15431	   	228.94	橙橙2易伤	1随机技能2基地爆炸3技能点4掉矿5敌人爆炸69核7a易伤8平台
49	64311 12612	   	228.74	橙橙1易伤1等级	13掉矿2风暴减费4平台5金币生成6易伤7等级8a核9防空对头目
50	32313 43236	 * 	226.46	橙2易伤3伤害1矿等1全技能	1低血量敌人2挖青367伤害46易伤5加一6序列升级8全技能9核a矿等
51	51212 13432	   	226.30	橙橙1等级1矿等1时间	1随机技能2基地爆炸3金币生成4等级5敌人爆炸69核7时间8平台a矿等
52	55112 13432	   	226.30	橙橙1等级1矿等1时间	1随机技能2金币生成3敌人爆炸4等级5基地爆炸69核7时间8平台a矿等
53	55322 13432	   	226.30	橙橙1等级1矿等1时间	1随机技能2金币生成3等级4敌人爆炸5基地爆炸69核7时间8平台a矿等
