0	Index      	 *	Score 	Summary	Detail	
1	13134 31516	 * 	196.02	ACR|3DMG|3ZMB|1AART|3DUR|2ASPD	17aZMB|279DUR|3FEWX|4aASPD|5RCR|67aDMG|7aBPWR|8AART
17	21241 76331	   	178.97	DCR|3VULN|2DMG|1AART	1RMIN|29DMG|3NUKE|4MBVNT|5AART|689VULN|7RCR|9BPWR|aBEXP
18	21241 76332	   	178.97	DCR|3VULN|2DMG|1AART	1RMIN|29DMG|3NUKE|4MBVNT|5AART|689VULN|7RCR|9BPWR|aLIT
19	21241 76334	   	178.97	DCR|3VULN|2DMG|1AART	1RMIN|29DMG|3NUKE|4MBVNT|5AART|689VULN|7RCR|9BPWR|aCGEN
20	35111 62126	   	178.87	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2VENICY|35aVULN|4ERES|6AART|7DMG|8RCR|9ASPD
21	21241 76333	   	178.87	DCR|3VULN|2DMG|1AART	1RMIN|29DMG|3NUKE|4MBVNT|5AART|689VULN|7RCR|9BPWR|aERES
22	13134 65113	   	177.55	ACR|2DMG|3ZMB|1AART|2ASPD|2DUR	178ZMB|2aDUR|3FEWX|4aASPD|5RCR|6AART|9aDMG|aBPWR
23	31111 61533	   	177.16	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2MGNSTR|35VULN|4ERES|68AART|7RCR|9DMG|aDUR
24	35111 61533	   	177.06	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2VENICY|35VULN|4ERES|68AART|7RCR|9DMG|aDUR
25	16213 32536	 * 	176.85	DCR|2VULN|2DMG|3ZMB|2ASPD	16aZMB|2DMSP|3aERES|49DMG|56ASPD|6aBPWR|7aVULN|8RCR
26	21126 42354	 * 	176.78	DCR|3AART|2DMG|2CDMG|2DUR	1RMIN|2aDMG|3aDUR|459AART|6RCR|7MBVNT|8aCDMG|aBPWR
27	63111 23533	   	176.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BEXP|29VULN|3CDMG|4NUKE|5DUR|6AART|7RCR|8DMG|aZMB
28	21231 43531	   	176.62	DCR|2VULN|2DMG|1AART|1ZMB	1RMIN|29DMG|3NUKE|479ERES|5AART|6RCR|89VULN|9BPWR|aZMB
29	21122 12434	   	176.45	DCR|2VULN|2DMG|1AART|2DUR	1RMIN|2aDMG|3aDUR|4AART|5RPLT|6MLV|7RCR|8FEWX|9aVULN|aBPWR
30	21122 62434	   	176.35	DCR|2VULN|2DMG|1AART|2DUR	1RMIN|2aDMG|3aDUR|4AART|5RPLT|6TLV|7RCR|8FEWX|9aVULN|aBPWR
31	13134 31525	 * 	176.27	ACR|2DMG|1AART|1VULN|2ZMB|2DUR|1ASPD	17ZMB|27DUR|3FEWX|4ASPD|5RCR|67DMG|7BPWR|8AART|9LIT|aVULN
32	31111 62436	   	176.10	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|2MGNSTR|35VULN|4ERES|6AART|79DMG|8ASPD|aRCR
33	21126 25116	 * 	176.06	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	19RMIN|26DMG|3DUR|45AART|7VULN|8RCR|aCDMG
34	21126 25124	   	176.06	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1RMIN|26DMG|3DUR|45AART|7VULN|8RCR|9LWND|aCDMG
35	33465 32343	 * 	175.24	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	19CDMG|2MLV|39ZMB|4VULN|5DUST|69DMG|7MBVNT|8RCR|9BPWR|aAART
36	14223 52343	   	175.14	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	19ZMB|2TLV|39DMG|4VULN|5DUST|69CDMG|7MBVNT|8RCR|9BPWR|aAART
37	14244 61341	 * 	174.92	DCR|3VULN|2DMG|1CDMG|1ZMB	1ZMB|2TLV|3aDMG|4MBVNT|579VULN|6CDMG|8RCR
38	21126 42343	   	174.18	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RMIN|2DMG|3DUR|45AART|6RCR|7MBVNT|8CDMG|9VULN|aZMB
39	31113 62134	   	173.89	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	19CDMG|29MGNSTR|3VULN|4ERES|5DMSP|6AART|79DMG|8RCR|9BPWR|aZMB
40	31115 62134	   	173.79	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	19CDMG|29MGNSTR|3VULN|45ERES|6AART|79DMG|8RCR|9BPWR|aZMB
41	35113 62134	   	173.69	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	19CDMG|29VENICY|3VULN|4ERES|5DMSP|6AART|79DMG|8RCR|9BPWR|aZMB
42	13134 31512	 * 	173.68	ACR|2DMG|1AART|3DUR|2ZMB|1CDMG|1ASPD	17ZMB|279DUR|3FEWX|4ASPD|5RCR|67DMG|7BPWR|8AART|aCDMG
43	13534 31512	   	173.58	ACR|2DMG|1AART|3DUR|2ZMB|1CDMG|1ASPD	17ZMB|279DUR|3DUST|4ASPD|5RCR|67DMG|7BPWR|8AART|aCDMG
44	13134 31511	   	173.56	ACR|2DMG|3ZMB|1AART|3DUR|1ASPD	17aZMB|279DUR|3FEWX|4ASPD|5RCR|67DMG|7BPWR|8AART
45	13534 31511	   	173.46	ACR|2DMG|3ZMB|1AART|3DUR|1ASPD	17aZMB|279DUR|3DUST|4ASPD|5RCR|67DMG|7BPWR|8AART
46	16233 42342	   	173.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2DMSP|3ERES|4AART|58VULN|6RCR|7MBVNT|9CDMG|aDMG
47	21121 16134	   	173.27	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD|1DUR	1RMIN|27DMG|3DUR|4AART|57LWND|67CDMG|7BPWR|8ASPD|9VULN|aRCR
48	31111 61563	 * 	172.75	DCR|3VULN|2AART|1CDMG|1DUR	1CDMG|2MGNSTR|359VULN|4ERES|68AART|7RCR|aDUR
49	21231 43533	   	172.55	DCR|2VULN|2DMG|1AART|1DUR	1RMIN|29DMG|3NUKE|479ERES|5AART|6RCR|89VULN|9BPWR|aDUR
50	14244 12346	   	172.42	DCR|2VULN|2DMG|1AART|1ZMB	1ZMB|2TLV|39DMG|4MBVNT|5aVULN|6LIT|7RCR|8AART
51	21121 16621	 * 	172.37	DCR|2DMG|1AART|3CDMG|1VULN|1DUR	1RMIN|27DMG|3DUR|4AART|57LWND|678CDMG|7BPWR|9VULN|aRCR
52	13134 31233	 * 	172.13	ACR|2DMG|1VULN|2ZMB|2ASPD|1CDMG|2DUR	17ZMB|27DUR|3FEWX|4aASPD|5RCR|67DMG|7BPWR|8VULN|9CDMG
53	13534 31233	   	172.03	ACR|2DMG|1VULN|2ZMB|2ASPD|1CDMG|2DUR	17ZMB|27DUR|3DUST|4aASPD|5RCR|67DMG|7BPWR|8VULN|9CDMG
54	31111 62116	   	172.03	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2MGNSTR|35aVULN|4ERES|6AART|7DMG|8RCR|9LWND
55	31111 62141	   	172.03	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2MGNSTR|35aVULN|4ERES|6AART|7DMG|8RCR|9BELT
56	35111 62116	   	171.93	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2VENICY|35aVULN|4ERES|6AART|7DMG|8RCR|9LWND
57	35111 62141	   	171.93	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2VENICY|35aVULN|4ERES|6AART|7DMG|8RCR|9BELT
58	21125 62162	   	171.65	DCR|2VULN|2DMG|1AART|2DUR	1RMIN|27DMG|3aDUR|4AART|57CGEN|67VULN|7BPWR|8BEXP|9RCR
59	63111 23534	   	171.01	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1BEXP|29VULN|3CDMG|4NUKE|5aDUR|6AART|7RCR|8DMG
60	31111 61531	   	170.22	DCR|2VULN|2AART|1DMG|1CDMG	1CDMG|2MGNSTR|35VULN|4ERES|68AART|7RCR|9DMG|aBELT
61	31111 61532	   	170.22	DCR|2VULN|2AART|1DMG|1CDMG	1CDMG|2MGNSTR|35VULN|4ERES|68AART|7RCR|9DMG|aLWND
62	31111 61535	   	170.22	DCR|2VULN|2AART|1DMG|1CDMG	1CDMG|2MGNSTR|35VULN|4ERES|68AART|7RCR|9DMG|aFEWX
63	16213 12536	   	170.14	DCR|2VULN|2DMG|3ZMB|1ASPD	16aZMB|2DMSP|3aERES|49DMG|5ASPD|7aVULN|8RCR|aBPWR
64	35111 61531	   	170.12	DCR|2VULN|2AART|1DMG|1CDMG	1CDMG|2VENICY|35VULN|4ERES|68AART|7RCR|9DMG|aBELT
65	35111 61532	   	170.12	DCR|2VULN|2AART|1DMG|1CDMG	1CDMG|2VENICY|35VULN|4ERES|68AART|7RCR|9DMG|aLWND
66	21621 31354	 * 	170.12	DCR|3DMG|2VULN|2ZMB	1RMIN|24aDMG|3aBASICY|59ZMB|6RCR|7CGEN|8aVULN|aBPWR
67	21111 41633	   	170.02	DCR|2DMG|1AART|3ASPD|2ZMB|1DUR	14RMIN|2aDMG|3DUR|5AART|6RCR|7aZMB|89aASPD|aBPWR
68	13134 31535	   	169.94	ACR|2DMG|3ZMB|1AART|2DUR|1ASPD	17aZMB|27DUR|3aFEWX|4ASPD|5RCR|67DMG|7aBPWR|8AART|9aMLV
69	31113 62133	   	169.83	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	19CDMG|29MGNSTR|3VULN|4ERES|5DMSP|6AART|79DMG|8RCR|9BPWR|aDUR
70	31111 61434	   	169.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2MGNSTR|35VULN|4ERES|6AART|7RCR|8RCVC|9DMG|aZMB
71	63115 23533	   	169.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|29VULN|3CDMG|4NUKE|5LHND|6AART|7RCR|8DMG|aZMB
72	13134 31533	   	169.74	ACR|2DMG|3ZMB|1AART|2DUR|1ASPD	17aZMB|27DUR|3FEWX|4ASPD|5RCR|67DMG|7BPWR|8AART|9MLV
73	31115 62133	   	169.73	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	19CDMG|29MGNSTR|3VULN|45ERES|6AART|79DMG|8RCR|9BPWR|aDUR
74	31111 61234	   	169.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2MGNSTR|35VULN|48ERES|6AART|7RCR|9DMG|aZMB
75	13534 31533	   	169.64	ACR|2DMG|3ZMB|1AART|2DUR|1ASPD	17aZMB|27DUR|3DUST|4ASPD|5RCR|67DMG|7BPWR|8AART|9MLV
76	13134 31553	   	169.64	ACR|2DMG|3ZMB|1AART|2DUR|1ASPD	17aZMB|27DUR|3FEWX|4ASPD|5RCR|67DMG|7BPWR|8AART|9ERES
77	13134 31561	   	169.64	ACR|2DMG|3ZMB|1AART|2DUR|1ASPD	17aZMB|27DUR|3FEWX|4ASPD|5RCR|67DMG|7BPWR|8AART|9MBVNT
78	35113 62133	   	169.63	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	19CDMG|29VENICY|3VULN|4ERES|5DMSP|6AART|79DMG|8RCR|9BPWR|aDUR
79	35111 61234	   	169.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2VENICY|35VULN|48ERES|6AART|7RCR|9DMG|aZMB
80	35115 62133	   	169.53	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	19CDMG|29VENICY|3VULN|45ERES|6AART|79DMG|8RCR|9BPWR|aDUR
81	13134 31241	 * 	169.46	ACR|2VULN|2DMG|2ZMB|2DUR|1ASPD	17ZMB|27DUR|3FEWX|4ASPD|5RCR|67DMG|7BPWR|89VULN|aCGEN
82	13134 31242	   	169.46	ACR|2VULN|2DMG|2ZMB|2DUR|1ASPD	17ZMB|27DUR|3FEWX|4ASPD|5RCR|67DMG|7BPWR|89VULN|aLWND
83	13134 31244	   	169.46	ACR|2VULN|2DMG|2ZMB|2DUR|1ASPD	17ZMB|27DUR|3FEWX|4ASPD|5RCR|67DMG|7BPWR|89VULN|aDMSP
84	13134 31612	   	169.46	ACR|2VULN|2DMG|2ZMB|2DUR|1ASPD	17ZMB|27DUR|3FEWX|4ASPD|5RCR|67DMG|7BPWR|8CGEN|9aVULN
85	13134 31245	   	169.36	ACR|2VULN|2DMG|2ZMB|2DUR|1ASPD	17ZMB|27DUR|3FEWX|4ASPD|5RCR|67DMG|7BPWR|89VULN|aNUKE
86	13134 31246	   	169.36	ACR|2VULN|2DMG|2ZMB|2DUR|1ASPD	17ZMB|27DUR|3FEWX|4ASPD|5RCR|67DMG|7BPWR|89VULN|aDUST
87	13134 31262	   	169.36	ACR|2VULN|2DMG|2ZMB|2DUR|1ASPD	17ZMB|27DUR|3FEWX|4ASPD|5RCR|67DMG|7BPWR|8aVULN|9CANSTR
88	13534 31241	   	169.36	ACR|2VULN|2DMG|2ZMB|2DUR|1ASPD	17ZMB|27DUR|3DUST|4ASPD|5RCR|67DMG|7BPWR|89VULN|aCGEN
89	13534 31242	   	169.36	ACR|2VULN|2DMG|2ZMB|2DUR|1ASPD	17ZMB|27DUR|3DUST|4ASPD|5RCR|67DMG|7BPWR|89VULN|aLWND
90	13534 31612	   	169.36	ACR|2VULN|2DMG|2ZMB|2DUR|1ASPD	17ZMB|27DUR|3DUST|4ASPD|5RCR|67DMG|7BPWR|8CGEN|9aVULN
91	13534 31262	   	169.26	ACR|2VULN|2DMG|2ZMB|2DUR|1ASPD	17ZMB|27DUR|3DUST|4ASPD|5RCR|67DMG|7BPWR|8aVULN|9CANSTR
92	21126 25131	   	169.25	DCR|2AART|2DMG|1VULN|1DUR|1ASPD	1RMIN|26DMG|3DUR|45AART|7VULN|8RCR|9LSRHEA|aASPD
93	16513 32533	 * 	168.93	DCR|2DMG|1AART|1VULN|2ZMB|2ASPD	16ZMB|2DMSP|3CGEN|49DMG|56ASPD|6BPWR|7VULN|8RCR|aAART
94	16233 42344	   	168.87	DCR|3VULN|1AART|1CDMG|1ZMB	1ZMB|2DMSP|3ERES|4AART|58aVULN|6RCR|7MBVNT|9CDMG
95	16213 32533	   	168.83	DCR|2DMG|1AART|1VULN|2ZMB|2ASPD	16ZMB|2DMSP|3ERES|49DMG|56ASPD|6BPWR|7VULN|8RCR|aAART
96	21126 42345	   	168.47	DCR|2AART|1VULN|1DMG|1CDMG|2DUR	1RMIN|2DMG|3aDUR|45AART|6RCR|7MBVNT|8CDMG|9VULN
97	21111 25154	   	167.95	DCR|2VULN|2DMG|1AART|1DUR	14RMIN|26DMG|3DUR|5AART|7aVULN|8RCR|9LIT
98	16663 32122	 * 	167.93	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|2DMSP|3BASICY|478VULN|5RCR|6CDMG|9DUR|aAART
99	21126 25122	   	167.71	DCR|2AART|2DMG|1VULN|2DUR	1RMIN|26DMG|3aDUR|45AART|7VULN|8RCR|9LWND
100	21126 25142	   	167.71	DCR|2AART|2DMG|1VULN|2DUR	1RMIN|26DMG|3aDUR|45AART|7VULN|8RCR|9FEWX
101	13134 31342	 * 	167.52	ACR|3DMG|1VULN|2ZMB|2DUR|1ASPD	17ZMB|27DUR|3FEWX|4ASPD|5RCR|67aDMG|7BPWR|8LWND|9VULN
102	31111 61526	 * 	167.48	DCR|2VULN|2AART|2CDMG|1ZMB	19CDMG|2MGNSTR|35VULN|4ERES|68AART|7RCR|aZMB
103	21126 42352	 * 	167.45	DCR|3AART|1VULN|1DMG|1CDMG|1DUR	1RMIN|2DMG|3DUR|459AART|6RCR|7MBVNT|8CDMG|aVULN
104	13534 31342	   	167.42	ACR|3DMG|1VULN|2ZMB|2DUR|1ASPD	17ZMB|27DUR|3DUST|4ASPD|5RCR|67aDMG|7BPWR|8LWND|9VULN
105	21126 42181	   	167.40	DCR|2AART|2DMG|2ZMB|2DUR	1RMIN|29DMG|39DUR|45AART|6RCR|7MBVNT|89ZMB|9BPWR|aBEXP
106	21126 42182	   	167.40	DCR|2AART|2DMG|2ZMB|2DUR	1RMIN|29DMG|39DUR|45AART|6RCR|7MBVNT|89ZMB|9BPWR|aLIT
107	21126 42184	   	167.40	DCR|2AART|2DMG|2ZMB|2DUR	1RMIN|29DMG|39DUR|45AART|6RCR|7MBVNT|89ZMB|9BPWR|aCGEN
108	31111 62164	   	167.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2MGNSTR|35VULN|4ERES|6AART|7DMG|8RCR|9RCVC|aZMB
109	46111 34322	   	167.37	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	1ASPD|2DMSP|3DMG|4SELL|5aVULN|6RCR|7AART|8CDMG|9LIT
110	21126 42183	   	167.30	DCR|2AART|2DMG|2ZMB|2DUR	1RMIN|29DMG|39DUR|45AART|6RCR|7MBVNT|89ZMB|9BPWR|aERES
111	31111 62154	   	167.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2MGNSTR|35VULN|49ERES|6AART|7DMG|8RCR|aZMB
112	21623 46211	 * 	167.07	ACR|2VULN|2DMG|1AART|1DUR	1RMIN|24DMG|3BASICY|5RCR|6CGEN|7AART|8DUR|9aVULN
113	16421 22533	   	167.02	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1aZMB|2DMSP|3RPLT|49VULN|5DUR|6AART|7RCR|8DMG
114	63433 34231	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|29VULN|3LHND|4AART|5FEWX|6DMG|7RCR|8CDMG|aDUR
115	13134 32516	   	166.64	ACR|2DMG|1AART|3DUR|2ZMB|2ASPD	1aZMB|279DUR|3FEWX|4aASPD|5RCR|6aDMG|8AART|aBPWR
116	21623 51361	 * 	166.54	ACR|3VULN|3DMG	1RMIN|249DMG|3BASICY|5RCR|6DLOT|79aVULN|89CGEN|9BPWR
117	21125 62161	   	166.35	DCR|2VULN|2DMG|1AART|1DUR	1RMIN|27DMG|3DUR|4AART|57CGEN|67VULN|7BPWR|8BEXP|9RCR|aRPLT
118	21125 62163	   	166.35	DCR|2VULN|2DMG|1AART|1DUR	1RMIN|27DMG|3DUR|4AART|57CGEN|67VULN|7BPWR|8aBEXP|9RCR
119	21621 31144	   	166.27	DCR|3DMG|2VULN|1ZMB	1RMIN|24aDMG|3aBASICY|5ZMB|6RCR|78CGEN|9aVULN|aBPWR
120	21621 32344	   	166.17	DCR|3DMG|2VULN|1ZMB	18RMIN|24aDMG|3aBASICY|5ZMB|6RCR|7TLV|9aVULN|aBPWR
