0	Index      	 *	Score 	Summary	Detail	
1	35215 52221	 * 	197.00	ACR|3VULN|2DMG|1AART|2RCVC|1DUR	14RCVC|2RCR|368VULN|5aDMG|7AART|9DUR
18	35215 52233	   	183.48	ACR|3VULN|1AART|1DMG|1ZMB|2RCVC	14RCVC|2RCR|368VULN|5DMG|7AART|9CGEN|aZMB
19	35215 52323	   	183.48	ACR|3VULN|1AART|1DMG|1ZMB|2RCVC	14RCVC|2RCR|369VULN|5DMG|7AART|8LHND|aZMB
20	34335 52223	 * 	183.42	DCR|4VULN|1AART|1DMG|2DUR	1RCVC|2468VULN|39DUR|5DMG|7AART|aRCR
21	35633 63113	 * 	182.70	ACR|2DMG|1AART|1VULN|3DUR|1ZMB	1RCVC|2RCR|367DUR|4AART|5ZMB|8aDMG|9VULN
22	66333 32644	 * 	182.42	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1MBVNT|2aTLV|3ASPD|4AART|5RCR|6aDMG|7CDMG|8SNIHEL|9aVULN|aBPWR
23	64233 31357	 * 	182.35	ACR|3VULN|2AART|1DMG|1ZMB	1MBVNT|2ZMB|3TLV|49AART|5RCR|6DMG|78aVULN
24	32254 33313	 * 	182.06	ACR|2DMG|1AART|1VULN|2CDMG|2ASPD	1RCVC|2aDMG|3aCDMG|4RCR|5BELT|6CANHEL|7VULN|8AART|9aASPD|aBPWR
25	35632 53221	   	181.56	ACR|2VULN|1AART|1DMG|2DUR|1ZMB|2RCVC	15RCVC|2RCR|37DUR|4AART|6ZMB|89VULN|aDMG
26	35233 35113	   	181.50	ACR|2VULN|2DMG|2CDMG|2DUR|2RCVC	15RCVC|2RCR|3aVULN|4aDUR|68CDMG|7CGEN|9aDMG|aBPWR
27	35215 52123	   	181.48	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|2RCVC	14RCVC|2RCR|36VULN|5DMG|7AART|8CGEN|9CDMG|aZMB
28	35133 62341	 * 	181.10	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2RCR|3FEWX|4aAART|5ZMB|6DUR|7CDMG|8DMG|9VULN
29	35333 62341	   	181.00	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2RCR|3DUST|4aAART|5ZMB|6DUR|7CDMG|8DMG|9VULN
30	35232 63315	 * 	180.57	ACR|2VULN|2DMG|2ASPD|1CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|67ASPD|8CDMG|9aDMG
31	34335 32213	   	180.50	DCR|4VULN|1AART|1DMG|1DUR|2RCVC	16RCVC|2489VULN|3DUR|5DMG|7AART|aRCR
32	34515 32213	   	180.50	DCR|4VULN|1AART|1DMG|1DUR|2RCVC	16RCVC|2389VULN|4DUR|5DMG|7AART|aRCR
33	33262 11333	 * 	180.41	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1RCVC|238LHND|38BPWR|4CDMG|58VULN|6AART|78DMG|9ASPD|aRCR
34	35232 36311	 * 	180.15	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|6aCDMG|7DMG|8AART|9FEWX
35	35232 36321	   	180.15	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|6aCDMG|7DMG|8AART|9LWND
36	35615 32223	   	180.06	ACR|2VULN|1AART|1DMG|2DUR|1ZMB|2RCVC	14RCVC|2RCR|36DUR|5DMG|7AART|89VULN|aZMB
37	35232 21116	   	179.94	ACR|3VULN|1AART|1DMG|2DUR	1RCVC|2RCR|356VULN|46DUR|6BPWR|7LEGI|8DMG|9LHND|aAART
38	35232 21126	   	179.94	ACR|3VULN|1AART|1DMG|2DUR	1RCVC|2RCR|356VULN|46DUR|6BPWR|7LEGI|8DMG|9BEXP|aAART
39	35232 21161	   	179.94	ACR|3VULN|1AART|1DMG|2DUR	1RCVC|2RCR|356VULN|46DUR|6BPWR|7LEGI|8DMG|9MLV|aAART
40	35232 22116	   	179.94	ACR|3VULN|1AART|1DMG|2DUR	1RCVC|2RCR|356VULN|46DUR|6BPWR|7DUST|8DMG|9LHND|aAART
41	35236 32251	   	179.94	ACR|3VULN|1AART|1DMG|2DUR	1RCVC|2RCR|379VULN|49DUR|5LWND|6DMG|89ERES|9BPWR|aAART
42	35232 21131	   	179.84	ACR|3VULN|1AART|1DMG|2DUR	1RCVC|2RCR|356VULN|46DUR|6BPWR|7LEGI|8DMG|9ERES|aAART
43	35232 25421	 * 	179.84	ACR|3VULN|1AART|2CDMG|2DUR	1RCVC|2RCR|356VULN|46DUR|6BPWR|78CDMG|9ERES|aAART
44	64233 31327	   	179.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1MBVNT|2ZMB|3TLV|4AART|5RCR|6aDMG|78VULN|9ASPD
45	35215 32251	   	179.55	ACR|2VULN|2DMG|1AART|2RCVC|1DUR	14RCVC|2RCR|39VULN|59DMG|6DUR|7LWND|89ERES|9BPWR|aAART
46	35215 52222	   	179.42	ACR|3VULN|1AART|1DMG|2RCVC|1DUR	14RCVC|2RCR|368VULN|5DMG|7AART|9DUR|aLWND
47	35313 52521	   	179.32	ACR|3VULN|1AART|1DMG|2RCVC|1ASPD	14RCVC|2RCR|3DUST|5ASPD|689VULN|7AART|aDMG
48	35232 24332	 * 	179.29	ACR|4VULN|1AART|3DUR	1RCVC|2RCR|3569VULN|469DUR|69BPWR|79LSRICY|8AART|aFEWX
49	35232 24333	   	179.29	ACR|4VULN|1AART|3DUR	1RCVC|2RCR|3569VULN|469DUR|69BPWR|79LSRICY|8AART|aDMSP
50	35232 24334	   	179.29	ACR|4VULN|1AART|3DUR	1RCVC|2RCR|3569VULN|469DUR|69BPWR|79LSRICY|8AART|aBEXP
51	35232 24335	   	179.29	ACR|4VULN|1AART|3DUR	1RCVC|2RCR|3569VULN|469DUR|69BPWR|79LSRICY|8AART|aRPLT
52	35232 24331	   	179.19	ACR|4VULN|1AART|3DUR	1RCVC|2RCR|3569VULN|469DUR|69BPWR|79LSRICY|8AART|aCANSTR
53	35232 24336	   	179.19	ACR|4VULN|1AART|3DUR	1RCVC|2RCR|3569VULN|469DUR|69BPWR|79LSRICY|8AART|aERES
54	35232 36342	   	179.13	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1RCVC|2RCR|35VULN|49DUR|6CDMG|7DMG|8AART|aBEXP
55	35232 36343	   	179.13	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1RCVC|2RCR|35VULN|49DUR|6CDMG|7DMG|8AART|aRMIN
56	35233 35313	   	179.01	ACR|2VULN|2DMG|3DUR|1CDMG|2RCVC	15RCVC|2RCR|3aVULN|48aDUR|6CDMG|7CGEN|9aDMG|aBPWR
57	35231 52326	   	178.88	ACR|2VULN|2DMG|1AART|1DUR	1RCVC|2RCR|38VULN|4DUR|5BELT|6AART|7TLV|9aDMG
58	32256 12223	   	178.49	ACR|2VULN|2DMG|1AART|1CDMG	1RCVC|27DMG|3CDMG|4RCR|5RPLT|6BEXP|89VULN|aAART
59	35232 33432	   	178.27	ACR|5VULN|2CDMG|1DUR	1RCVC|2RCR|3579aVULN|4DUR|68CDMG
60	35232 53131	   	178.27	ACR|5VULN|1DMG|1DUR	1RCVC|2RCR|35789VULN|4DUR|6SNIHEL|aDMG
61	32251 32311	   	178.22	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	1RCVC|29DMG|35CDMG|4RCR|6VULN|7ZMB|8CGEN|aAART
62	32251 32341	   	178.22	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1RCVC|2DMG|35CDMG|4RCR|69VULN|7ZMB|8CGEN|aAART
63	35232 25321	 * 	178.04	ACR|3VULN|1AART|3DUR|1CDMG	1RCVC|2RCR|356VULN|468DUR|6BPWR|7CDMG|9AART|aLHND
64	35232 25322	   	178.04	ACR|3VULN|1AART|3DUR|1CDMG	1RCVC|2RCR|356VULN|468DUR|6BPWR|7CDMG|9AART|aBEXP
65	35232 25324	   	178.04	ACR|3VULN|1AART|3DUR|1CDMG	1RCVC|2RCR|356VULN|468DUR|6BPWR|7CDMG|9AART|aLWND
66	35232 25325	   	178.04	ACR|3VULN|1AART|3DUR|1CDMG	1RCVC|2RCR|356VULN|468DUR|6BPWR|7CDMG|9AART|aFEWX
67	35232 25326	   	178.04	ACR|3VULN|1AART|3DUR|1CDMG	1RCVC|2RCR|356VULN|468DUR|6BPWR|7CDMG|9AART|aCGEN
68	35232 25323	   	177.94	ACR|3VULN|1AART|3DUR|1CDMG	1RCVC|2RCR|356VULN|468DUR|6BPWR|7CDMG|9AART|aDUST
69	64233 31335	   	177.84	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1MBVNT|2ZMB|3TLV|4AART|5RCR|6DMG|789VULN|aDUR
70	35215 52121	   	177.41	ACR|2VULN|1AART|1DMG|1CDMG|2RCVC|1DUR	14RCVC|2RCR|36VULN|5DMG|7AART|8CGEN|9CDMG|aDUR
71	44521 21211	 * 	177.34	ACR|2AART|2VULN|1DMG|1CDMG	18LIT|2RCR|34AART|56VULN|7LHND|9CDMG|aDMG
72	44521 23311	   	177.34	ACR|2AART|2VULN|1DMG|1CDMG	1LIT|2RCR|34AART|56VULN|7RMIN|8CGEN|9CDMG|aDMG
73	35232 33332	   	177.25	ACR|5VULN|1CDMG|2DUR	1RCVC|2RCR|3579aVULN|48DUR|6CDMG
74	44521 22111	   	177.24	ACR|2AART|2VULN|1DMG|1CDMG	1LIT|2RCR|34AART|56VULN|7CGEN|8ERES|9CDMG|aDMG
75	44521 23111	   	177.24	ACR|2AART|2VULN|1DMG|1CDMG	1LIT|2RCR|34AART|56VULN|7RMIN|8ERES|9CDMG|aDMG
76	35223 33166	   	176.78	ACR|2VULN|2DMG|1AART|1ASPD	1RCVC|2RCR|39VULN|49BEXP|56CGEN|7ASPD|89DMG|9BPWR|aAART
77	35115 62221	   	176.66	ACR|2VULN|2DMG|1AART|3RCVC	146RCVC|2RCR|3FEWX|5aDMG|7AART|89VULN
78	35315 62221	   	176.56	ACR|2VULN|2DMG|1AART|3RCVC	146RCVC|2RCR|3DUST|5aDMG|7AART|89VULN
79	32256 12163	 * 	176.55	ACR|3DMG|1AART|1VULN|1CDMG	1RCVC|278DMG|3CDMG|4RCR|5RPLT|6BEXP|9VULN|aAART
80	35133 31536	   	176.54	ACR|4VULN|1AART|1ZMB	1RCVC|2RCR|38FEWX|4AART|5ZMB|68BEXP|789aVULN|8BPWR
81	35633 32334	 * 	176.52	ACR|2VULN|1AART|2ZMB|1CDMG|2DUR	1RCVC|2RCR|3aDUR|4AART|5aZMB|6BEXP|7CDMG|8aVULN|9RMIN|aBPWR
82	35232 53335	   	176.35	ACR|4VULN|1AART|2DUR	1aRCVC|2RCR|3579VULN|49DUR|69SNIHEL|8AART|9BPWR
83	35333 31536	   	176.34	ACR|4VULN|1AART|1ZMB	1RCVC|2RCR|38DUST|4AART|5ZMB|68BEXP|789aVULN|8BPWR
84	35235 23141	   	176.09	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2RCR|39aVULN|4DUR|5ZMB|6CDMG|7BELT|8DMG
85	35221 36323	   	175.89	ACR|2VULN|1AART|1DMG|2CDMG|2RCVC	15RCVC|2RCR|39VULN|4BEXP|6aCDMG|7DMG|8AART
86	66333 31342	   	175.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1MBVNT|2TLV|3ASPD|4AART|5RCR|6DMG|78VULN|9CDMG|aZMB
87	66333 33522	   	175.84	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1MBVNT|2TLV|3ASPD|4AART|5RCR|67DMG|8CDMG|9VULN|aZMB
88	66333 33642	   	175.84	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1MBVNT|2TLV|3ASPD|4AART|5RCR|67DMG|8VULN|9CDMG|aZMB
89	64233 31322	   	175.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1MBVNT|2ZMB|3TLV|4AART|5RCR|6DMG|78VULN|9ASPD|aCDMG
90	64233 31344	   	175.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|2ZMB|3TLV|4AART|5RCR|6DMG|78VULN|9CDMG|aDUR
91	35215 52331	   	175.76	ACR|2VULN|2DMG|1AART|3RCVC	149RCVC|2RCR|36VULN|5aDMG|7AART|8LHND
92	66333 31325	   	175.71	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1MBVNT|2TLV|3ASPD|4AART|5RCR|69DMG|78VULN|aDUR
93	35215 33125	   	175.51	ACR|2DMG|1AART|1VULN|2ASPD|2RCVC|1DUR	14RCVC|2RCR|3VULN|58DMG|6DUR|79ASPD|aAART
94	35232 24315	   	175.47	ACR|4VULN|1AART|2DUR	1RCVC|2RCR|356aVULN|46DUR|6aBPWR|7aLSRICY|8AART|9aCGEN
95	35214 63111	 * 	175.43	ACR|4VULN|3ASPD|1CDMG|2RCVC	14RCVC|2RCR|3789VULN|589LIT|689ASPD|89BPWR|aCDMG
96	35232 24351	   	175.27	ACR|4VULN|1AART|2DUR	1RCVC|2RCR|3569VULN|46DUR|6BPWR|7LSRICY|8AART|aLHND
97	64233 31341	   	175.21	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1MBVNT|2ZMB|3TLV|4AART|5RCR|6DMG|78VULN|9aCDMG
98	35232 24352	   	175.17	ACR|4VULN|1AART|2DUR	1RCVC|2RCR|3569VULN|46DUR|6BPWR|7LSRICY|8AART|aDUST
99	35232 24353	   	175.17	ACR|4VULN|1AART|2DUR	1RCVC|2RCR|3569VULN|46DUR|6BPWR|7LSRICY|8AART|aTLV
100	35232 53331	   	175.17	ACR|4VULN|1AART|2DUR	1RCVC|2RCR|3579VULN|49DUR|69SNIHEL|8AART|9BPWR|aLHND
101	35232 53332	   	175.07	ACR|4VULN|1AART|2DUR	1RCVC|2RCR|3579VULN|49DUR|69SNIHEL|8AART|9BPWR|aDUST
102	35232 53333	   	175.07	ACR|4VULN|1AART|2DUR	1RCVC|2RCR|3579VULN|49DUR|69SNIHEL|8AART|9BPWR|aTLV
103	35232 53334	   	175.07	ACR|4VULN|1AART|2DUR	1RCVC|2RCR|3579VULN|49DUR|69SNIHEL|8AART|9BPWR|aCANHEL
104	35232 53336	   	175.07	ACR|4VULN|1AART|2DUR	1RCVC|2RCR|3579VULN|49DUR|69aSNIHEL|8AART|9BPWR
105	35212 33441	   	174.99	ACR|2VULN|1AART|1DMG|2CDMG|2RCVC	14RCVC|2RCR|37VULN|5LWND|68CDMG|9DMG|aAART
106	35212 36111	   	174.99	ACR|2DMG|1AART|1VULN|2CDMG|2RCVC	14RCVC|2RCR|3VULN|5LWND|68CDMG|79DMG|aAART
107	35212 36141	   	174.99	ACR|2VULN|1AART|1DMG|2CDMG|2RCVC	14RCVC|2RCR|39VULN|5LWND|68CDMG|7DMG|aAART
108	35232 26413	   	174.85	ACR|3VULN|1AART|1CDMG|2DUR|1SELL	19RCVC|2RCR|356VULN|46DUR|6BPWR|7SELL|8CDMG|aAART
109	44521 23332	   	174.70	ACR|2AART|2VULN|1DMG|1ZMB	1LIT|2RCR|34AART|56VULN|7RMIN|8CGEN|9ZMB|aDMG
110	35633 31531	   	174.68	ACR|3VULN|1AART|2DUR|1ZMB	1RCVC|2RCR|38DUR|4AART|5ZMB|68BEXP|789VULN|8BPWR|aLWND
111	35633 31532	   	174.68	ACR|3VULN|1AART|2DUR|1ZMB	1RCVC|2RCR|38DUR|4AART|5ZMB|68BEXP|789VULN|8BPWR|aFEWX
112	35633 31533	   	174.68	ACR|3VULN|1AART|2DUR|1ZMB	1RCVC|2RCR|38DUR|4AART|5ZMB|68BEXP|789VULN|8BPWR|aLHND
113	35133 61531	   	174.68	ACR|3VULN|1AART|2DUR|1ZMB	1RCVC|2RCR|38FEWX|4AART|5ZMB|68DUR|789VULN|8BPWR|aLWND
114	35133 61532	   	174.68	ACR|3VULN|1AART|2DUR|1ZMB	1RCVC|2RCR|38aFEWX|4AART|5ZMB|68DUR|789VULN|8BPWR
115	35133 61533	   	174.68	ACR|3VULN|1AART|2DUR|1ZMB	1RCVC|2RCR|38FEWX|4AART|5ZMB|68DUR|789VULN|8BPWR|aLHND
116	35232 25433	 * 	174.65	ACR|4VULN|2CDMG|3DUR	1RCVC|2RCR|3569VULN|46aDUR|6BPWR|78CDMG
117	44521 22132	   	174.60	ACR|2AART|2VULN|1DMG|1ZMB	1LIT|2RCR|34AART|56VULN|7CGEN|8ERES|9ZMB|aDMG
118	35232 35121	   	174.54	ACR|3VULN|1AART|2CDMG|1DUR	1RCVC|2RCR|359VULN|4DUR|68CDMG|7CGEN|aAART
119	35236 32221	   	174.54	ACR|3VULN|1AART|1DMG|1DUR	1RCVC|2RCR|379VULN|4DUR|5LWND|6DMG|8ERES|aAART
120	35432 32221	   	174.54	ACR|3VULN|1AART|1DMG|1DUR	1RCVC|2RCR|3LWND|4DUR|579VULN|6DMG|8ERES|aAART
121	35532 31521	   	174.54	ACR|3VULN|1AART|1DMG|1DUR	1RCVC|2RCR|3LHND|4DUR|589VULN|6DMG|7ERES|aAART
122	35232 36113	   	174.51	ACR|2VULN|2DMG|2CDMG|1DUR	1aRCVC|2RCR|35VULN|4DUR|68CDMG|79DMG
123	35333 61531	   	174.48	ACR|3VULN|1AART|2DUR|1ZMB	1RCVC|2RCR|38DUST|4AART|5ZMB|68DUR|789VULN|8BPWR|aLWND
124	35333 61532	   	174.48	ACR|3VULN|1AART|2DUR|1ZMB	1RCVC|2RCR|38DUST|4AART|5ZMB|68DUR|789VULN|8BPWR|aFEWX
125	35333 61533	   	174.48	ACR|3VULN|1AART|2DUR|1ZMB	1RCVC|2RCR|38DUST|4AART|5ZMB|68DUR|789VULN|8BPWR|aLHND
126	35232 33421	   	174.44	ACR|3VULN|1AART|2CDMG|1DUR	1RCVC|2RCR|357VULN|4DUR|68CDMG|9ERES|aAART
127	32232 23555	 * 	174.43	DCR|3DMG|2VULN|2CDMG	1RCVC|24aDMG|34CDMG|4BPWR|5DUST|6RMIN|79VULN|8RCR
128	35232 24623	   	174.42	ACR|3VULN|2DMG|2DUR	1RCVC|2RCR|356VULN|46DUR|6BPWR|7LSRICY|8aDMG|9LIT
129	35115 22221	   	174.41	ACR|2VULN|2DMG|1AART|2RCVC	14RCVC|2RCR|36FEWX|5aDMG|7AART|89VULN
130	35415 12221	   	174.41	ACR|2VULN|2DMG|1AART|2RCVC	14RCVC|2RCR|36LWND|5aDMG|7AART|89VULN
131	35232 32424	   	174.32	ACR|3VULN|1AART|1CDMG|2DUR	1RCVC|2RCR|35aVULN|4aDUR|6CDMG|7FEWX|8aLWND|9AART|aBPWR
132	35232 21154	   	174.20	ACR|3VULN|1DMG|3DUR|1CDMG	1RCVC|2RCR|356VULN|469DUR|6BPWR|7LEGI|8DMG|aCDMG
133	35232 22154	   	174.20	ACR|3VULN|1DMG|3DUR|1CDMG	1RCVC|2RCR|356VULN|469DUR|6BPWR|7DUST|8DMG|aCDMG
134	35132 24336	   	173.98	ACR|3VULN|1AART|1DMG|2RCVC	15RCVC|2RCR|3FEWX|4AART|6BEXP|7DMG|89aVULN
135	35232 21421	   	173.97	ACR|4VULN|1AART|2DUR	1RCVC|2RCR|3569VULN|46DUR|6BPWR|7LEGI|8LHND|aAART
136	35232 21521	   	173.97	ACR|4VULN|1AART|2DUR	1RCVC|2RCR|3569VULN|46DUR|6BPWR|7LEGI|8LWND|aAART
137	35332 14336	   	173.88	ACR|3VULN|1AART|1DMG|2RCVC	15RCVC|2RCR|3DUST|4AART|6BEXP|7DMG|89aVULN
138	35232 36312	   	173.84	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|6CDMG|7DMG|8AART|9FEWX|aRPLT
139	35232 36313	   	173.84	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|6CDMG|7DMG|8AART|9FEWX|aMLV
140	35232 36315	   	173.84	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|6CDMG|7DMG|8AART|9FEWX|aBEXP
141	35232 36316	   	173.84	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|6CDMG|7DMG|8AART|9FEWX|aCGEN
142	35232 36322	   	173.84	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|6CDMG|7DMG|8AART|9LWND|aRPLT
143	35232 36323	   	173.84	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|6CDMG|7DMG|8AART|9LWND|aMLV
144	35232 36325	   	173.84	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|6CDMG|7DMG|8AART|9LWND|aBEXP
145	35232 36326	   	173.84	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|6CDMG|7DMG|8AART|9LWND|aCGEN
146	35232 36351	   	173.84	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|6CDMG|7DMG|8AART|9RPLT|aBEXP
147	35232 36361	   	173.84	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|6CDMG|7DMG|8AART|9aLIT
148	35232 36362	   	173.84	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|6CDMG|7DMG|8AART|9LIT|aLWND
149	35232 36363	   	173.84	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|6CDMG|7DMG|8AART|9LIT|aRMIN
150	35133 31526	   	173.79	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|2RCR|38FEWX|4AART|5ZMB|68BEXP|78VULN|8BPWR|9ASPD|aDMG
151	66333 33226	   	173.78	ACR|3DMG|1AART|1VULN|1DUR|1ASPD	1MBVNT|2TLV|3ASPD|4AART|5RCR|679DMG|8DUR|aVULN
152	35232 36314	   	173.74	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|6CDMG|7DMG|8AART|9FEWX|aERES
153	35232 36324	   	173.74	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|6CDMG|7DMG|8AART|9LWND|aERES
154	35232 36353	   	173.74	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|6CDMG|7DMG|8AART|9RPLT|aTLV
155	64233 31355	   	173.63	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1MBVNT|2ZMB|3TLV|49AART|5RCR|6DMG|78VULN|aDUR
156	35232 25233	   	173.62	ACR|3VULN|1AART|1CDMG|2DUR	1RCVC|2RCR|356VULN|46DUR|6BPWR|7CDMG|8BELT|9CGEN|aAART
157	35133 31326	   	173.59	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|2RCR|3FEWX|4AART|5ZMB|6BEXP|79VULN|8ASPD|aDMG
158	35232 25253	   	173.52	ACR|3VULN|1AART|1CDMG|2DUR	1RCVC|2RCR|356VULN|46DUR|6BPWR|7CDMG|8BELT|9TLV|aAART
159	35232 35321	   	173.52	ACR|3VULN|1AART|1CDMG|2DUR	1RCVC|2RCR|359VULN|48DUR|6CDMG|7CGEN|aAART
160	35233 25432	   	173.51	ACR|4VULN|2CDMG|2DUR|2RCVC	15RCVC|2RCR|369aVULN|46DUR|6BPWR|78CDMG
161	32515 63223	   	173.50	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1RCVC|25DMG|3DUR|4MLV|6AART|7ASPD|89VULN|aRCR
162	35232 33321	   	173.42	ACR|3VULN|1AART|1CDMG|2DUR	1RCVC|2RCR|357VULN|48DUR|6CDMG|9ERES|aAART
163	32535 63223	   	173.40	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1RCVC|25DMG|3DUR|4TLV|6AART|7ASPD|89VULN|aRCR
164	44112 22261	   	173.37	ACR|2VULN|2DMG|1AART|1DUR	18LIT|2RCR|38DMG|4DUR|5CGEN|6RMIN|78VULN|8BPWR|9AART|aDMSP
165	44112 22262	   	173.37	ACR|2VULN|2DMG|1AART|1DUR	18LIT|2RCR|38DMG|4DUR|5CGEN|6RMIN|78VULN|8BPWR|9AART|aLHND
166	44112 22263	   	173.37	ACR|2VULN|2DMG|1AART|1DUR	18LIT|2RCR|38DMG|4DUR|5CGEN|6RMIN|78VULN|8BPWR|9AART|aFEWX
167	35232 35115	   	173.34	ACR|2VULN|2DMG|2CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|68CDMG|7CGEN|9aDMG
168	35232 36111	   	173.34	ACR|2VULN|2DMG|2CDMG|1DUR	1RCVC|2RCR|35VULN|4DUR|68CDMG|79DMG|aDMSP
