0	Index      	 *	Score 	Summary	Detail	
1	21334 21411	 * 	206.39	ACR|3VULN|2DMG|1AART|2ASPD|1CDMG	18DMG|258LIT|3RCR|45ASPD|58BPWR|6CDMG|789VULN|aAART
75	64235 12312	   	182.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	12VULN|3DUST|4CDMG|5aDMG|6ERES|7RCR|8AART|9DUR
76	24212 13553	   	181.81	DCR|3VULN|3DMG|1AART|2DUR|1MSE	16aDMG|2aDUR|3LWND|4AART|5MSE|79aVULN|8RCR|aBPWR
77	21315 63363	   	181.77	ACR|3DMG|2VULN|1CDMG|2DUR	189DMG|2LIT|3RCR|49DUR|5LWND|6FEWX|79VULN|9BPWR|aCDMG
78	21362 11354	   	181.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	14DMG|2LIT|3RCR|5DUR|67VULN|8RPLT|9ZMB|aAART
79	24516 12322	   	180.91	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	13DMG|23DUR|3BPWR|4CDMG|5VULN|6ERES|7RCR|8AART|9ZMB|aBEXP
80	24516 12323	   	180.91	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	13DMG|23DUR|3BPWR|4CDMG|5VULN|6ERES|7RCR|8AART|9ZMB|aLWND
81	24516 12321	   	180.81	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	13DMG|23DUR|3BPWR|4CDMG|5VULN|6ERES|7RCR|8AART|9ZMB|aSNIHEL
82	21333 16312	   	180.56	ACR|3DMG|2VULN|1ZMB|1DUR|1ASPD	19aDMG|2LIT|3RCR|4ASPD|58VULN|6DUR|7ZMB
83	22516 12312	   	180.27	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	13aDMG|23BEXP|3BPWR|4CDMG|5VULN|6ERES|7RCR|8AART|9DUR
84	26516 12312	   	180.27	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	13aDMG|23FEWX|3BPWR|4CDMG|5VULN|6ERES|7RCR|8AART|9DUR
85	23516 12312	   	180.07	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	13aDMG|23DUST|3BPWR|4CDMG|5VULN|6ERES|7RCR|8AART|9DUR
86	14115 13144	 * 	179.92	DCR|4VULN|1AART|1DMG|1DUR	1DUR|269aVULN|3MBVNT|4AIRHEL|5AART|7DMG|8RCR
87	66115 13144	   	179.92	DCR|4VULN|1AART|1DMG|1DUR	169aVULN|2DUR|3MBVNT|4AIRHEL|5AART|7DMG|8RCR
88	21264 41653	   	179.82	DCR|3VULN|2DMG|1CDMG|1ZMB	13DMG|2LIT|4MBVNT|57aVULN|6RCR|8CDMG|9ZMB
89	21264 47253	   	179.82	DCR|3VULN|2DMG|1CDMG|1ZMB	13DMG|2LIT|4MBVNT|58aVULN|6RCR|7CDMG|9ZMB
90	23226 13553	   	179.77	DCR|3VULN|2DMG|1AART	1aDMG|2aDUST|3LWND|4RCVC|5AART|6BEXP|79aVULN|8RCR|aBPWR
91	23336 15343	   	179.67	DCR|3DMG|2VULN|1AART	15aDMG|2aDUST|39FEWX|4AART|6BEXP|7RCR|8aVULN|aBPWR
92	23216 15253	   	179.57	DCR|3DMG|2VULN|1AART	15aDMG|2aDUST|3LWND|4AART|6BEXP|7RCR|8LEGI|9aVULN|aBPWR
93	23216 15313	   	179.57	DCR|3DMG|2VULN|1AART	15aDMG|29aDUST|3LWND|4AART|6BEXP|7RCR|8aVULN|aBPWR
94	23336 15313	   	179.57	DCR|3DMG|2VULN|1AART	15aDMG|29aDUST|3FEWX|4AART|6BEXP|7RCR|8aVULN|aBPWR
95	23416 15313	   	179.57	DCR|3DMG|2VULN|1AART	15aDMG|29DUST|3LEGI|4AART|6aBEXP|7RCR|8aVULN|aBPWR
96	21333 34451	   	179.54	ACR|2VULN|2DMG|1AART|2ASPD|1SELL	18DMG|2LIT|3RCR|48ASPD|58VULN|6SELL|7RCVC|8BPWR|9AART|aDMSP
97	21333 34452	   	179.54	ACR|2VULN|2DMG|1AART|2ASPD|1SELL	18DMG|2LIT|3RCR|48ASPD|58VULN|6SELL|7RCVC|8BPWR|9AART|aMLV
98	21333 34453	   	179.54	ACR|2VULN|2DMG|1AART|2ASPD|1SELL	18DMG|2LIT|3RCR|48ASPD|58VULN|6SELL|7RCVC|8BPWR|9AART|aLWND
99	14115 13143	   	179.47	DCR|3VULN|1AART|1DMG|1FLTHEA|1DUR	1DUR|269VULN|3MBVNT|4AIRHEL|5AART|7DMG|8RCR|aFLTHEA
100	66115 13143	   	179.47	DCR|3VULN|1AART|1DMG|1FLTHEA|1DUR	169VULN|2DUR|3MBVNT|4AIRHEL|5AART|7DMG|8RCR|aFLTHEA
101	32642 31432	   	179.38	ACR|3VULN|3DMG|1DUR	18LIT|278VULN|3RCVC|4RCR|5LEGI|68aDMG|8BPWR|9DUR
102	21313 32464	   	179.37	ACR|2VULN|2DMG|3DUR|1CDMG|1ASPD	18DMG|2LIT|3RCR|458DUR|6RCVC|78VULN|8BPWR|9CDMG|aASPD
103	21315 22336	   	178.97	ACR|3DMG|2VULN|3DUR|1ASPD	16aDMG|2LIT|3RCR|49aDUR|56LWND|6aBPWR|7ASPD|8aVULN
104	23236 15353	   	178.97	DCR|3VULN|2DMG|1AART	1aDMG|24aDUST|3LWND|5AART|6BEXP|7RCR|89aVULN|aBPWR
105	21313 11443	   	178.87	ACR|3VULN|2DMG|3DUR|1ASPD	18DMG|2LIT|3RCR|458DUR|678VULN|8BPWR|9BEXP|aASPD
106	21324 31432	   	178.48	ACR|3VULN|3DMG|1DUR	18aDMG|2LIT|3RCR|468LHND|578VULN|8BPWR|9DUR
107	21365 11413	   	178.48	ACR|3VULN|3DMG|1ASPD	148DMG|2LIT|3RCR|58BEXP|678VULN|8BPWR|9CGEN|aASPD
108	21343 31432	   	178.38	ACR|3VULN|3DMG|1DUR	18aDMG|28LIT|3RCR|4RMIN|578VULN|6NUKE|8BPWR|9DUR
109	21314 23312	   	178.28	ACR|3VULN|3DMG|1DUR	19aDMG|2LIT|3RCR|4DUR|578VULN|6LWND
110	21314 43312	   	178.28	ACR|3VULN|3DMG|1DUR	19aDMG|2LIT|3RCR|4DUR|578VULN|6BEXP
111	21314 63312	   	178.28	ACR|3VULN|3DMG|1DUR	19aDMG|2LIT|3RCR|4DUR|578VULN|6FEWX
112	64236 11312	   	178.19	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	127VULN|3DUST|4CDMG|5RCR|6BEXP|8AART|9DUR|aDMG
113	21264 41387	   	177.96	DCR|3VULN|3DMG|1DUR	139DMG|29LIT|4MBVNT|579VULN|6RCR|8RPLT|9BPWR|aDUR
114	21264 41513	   	177.96	DCR|3VULN|3DMG|1ASPD	138DMG|28LIT|4MBVNT|578VULN|6RCR|8BPWR|9CGEN|aASPD
115	21264 41515	   	177.96	DCR|3VULN|3DMG|1DUR	138DMG|28LIT|4MBVNT|578VULN|6RCR|8BPWR|9CGEN|aDUR
116	24516 12312	   	177.83	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	13DMG|23DUR|3BPWR|4aCDMG|5VULN|6ERES|7RCR|8AART|9RCVC
117	22442 31353	   	177.79	ACR|3DMG|2VULN|1AART	15aDMG|26BEXP|3LEGI|4RCR|7aVULN|8AART|9aFEWX|aBPWR
118	62233 61163	   	177.79	ACR|3VULN|2DMG|1AART	17aVULN|2aLHND|3LEGI|4AART|5RCR|6BEXP|8LWND|9aDMG|aBPWR
119	22442 31323	   	177.59	ACR|3DMG|2VULN|1AART	15aDMG|26BEXP|3LEGI|4RCR|7aVULN|8AART|9aDUST|aBPWR
120	21362 32413	   	177.56	ACR|3DMG|2VULN|2DUR|1ASPD	148DMG|2LIT|3RCR|58DUR|6RCVC|78VULN|8BPWR|9CGEN|aASPD
121	21323 21332	   	177.47	ACR|2VULN|2DMG|1AART|2DUR	16DMG|2LIT|3RCR|4LHND|56DUR|6BPWR|78VULN|9AART|aRCVC
122	21251 24623	 * 	177.33	DCR|3DMG|2AART|1VULN|1ZMB	135DMG|2LIT|4VULN|6LWND|7ZMB|8aAART|9RCR
123	21251 34623	   	177.33	DCR|3DMG|2AART|1VULN|1ZMB	135DMG|2LIT|4VULN|6LHND|7ZMB|8aAART|9RCR
124	21251 52623	   	177.33	DCR|3DMG|2AART|1VULN|1ZMB	135DMG|2LIT|4VULN|6ZMB|7LWND|8aAART|9RCR
125	21251 53623	   	177.33	DCR|3DMG|2AART|1VULN|1ZMB	135DMG|2LIT|4VULN|6ZMB|7LHND|8aAART|9RCR
126	23216 13513	   	177.17	DCR|3DMG|2VULN|1AART	15aDMG|29aDUST|3LWND|4AART|6BEXP|7aVULN|8RCR|aBPWR
127	23336 14513	   	177.17	DCR|3DMG|2VULN|1AART	15aDMG|29aDUST|3FEWX|4AART|6BEXP|7aVULN|8RCR|aBPWR
128	21362 11344	   	177.11	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2LIT|3RCR|5DUR|67VULN|8RPLT|9ASPD|aAART
129	21344 21211	   	176.98	ACR|2VULN|2DMG|1AART|1CDMG	15DMG|258LIT|3RCR|4RMIN|5BPWR|6CDMG|79VULN|aAART
130	21314 53361	   	176.87	ACR|2VULN|2DMG|1AART|2DUR	19DMG|2LIT|3RCR|49DUR|59VULN|6aRPLT|7RMIN|8AART|9BPWR
131	21314 53362	   	176.87	ACR|2VULN|2DMG|1AART|2DUR	19DMG|2LIT|3RCR|49DUR|59VULN|6RPLT|7RMIN|8AART|9BPWR|aBEXP
132	14115 13153	   	176.82	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|26aVULN|3MBVNT|4AIRHEL|5AART|7DMG|8RCR|9ZMB
133	21366 11522	   	176.78	ACR|2VULN|2DMG|1AART|1CDMG	14DMG|2LIT|3RCR|5LHND|67VULN|8CDMG|9ERES|aAART
134	21366 16222	   	176.78	ACR|2VULN|2DMG|1AART|1CDMG	14DMG|2LIT|3RCR|5LHND|68VULN|7CDMG|9ERES|aAART
135	23236 13553	   	176.57	DCR|3VULN|2DMG|1AART	1aDMG|24aDUST|3LWND|5AART|6BEXP|79aVULN|8RCR|aBPWR
136	21365 13423	   	176.47	ACR|3DMG|2VULN|1FLTHEA|1ASPD	148DMG|2LIT|3RCR|578BEXP|68VULN|8BPWR|9ASPD|aFLTHEA
137	21365 22423	   	176.47	ACR|3DMG|2VULN|1FLTHEA|1ASPD	148DMG|2LIT|3RCR|568BEXP|78VULN|8BPWR|9ASPD|aFLTHEA
