0	Index      	 *	Score 	Summary	Detail	
1	26422 46134	 * 	190.42	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	19CGEN|2RCR|3AART|4MBVNT|59DMG|6aVULN|7DUR|89ASPD|9BPWR
14	26321 22622	   	182.48	ACR|2VULN|2DMG|1AART|1FLTHEA	14aCGEN|2RCR|3RPLT|5AART|6aDMG|7FLTHEA|8FEWX|9aVULN|aBPWR
15	26321 22322	   	182.38	ACR|2VULN|2DMG|1AART|1FLTHEA	14aCGEN|2RCR|3RPLT|5AART|6aDMG|7FLTHEA|8DUST|9aVULN|aBPWR
16	26321 22424	   	182.28	ACR|2VULN|2DMG|1AART|1FLTHEA	14CGEN|2RCR|3RPLT|5AART|6aDMG|7FLTHEA|89VULN
17	46351 22322	   	182.08	ACR|2VULN|2DMG|1AART|1FLTHEA	14aERES|2RCR|3RPLT|5AART|6aDMG|7FLTHEA|8DUST|9aVULN|aBPWR
18	52323 23613	 * 	181.97	DCR|3VULN|2DMG|1AART	18LWND|289VULN|3RCVC|48DMG|5MBVNT|6RCR|7RPLT|8BPWR|aAART
19	26422 46144	   	181.68	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1CGEN|2RCR|3AART|4MBVNT|5DMG|69aVULN|7DUR|8ASPD
20	64223 23613	   	181.67	DCR|3VULN|2DMG|1AART	18DMG|289VULN|38LWND|4RCVC|5MBVNT|6RCR|7RPLT|8BPWR|aAART
21	26422 44227	 * 	181.61	ACR|3AART|2VULN|1DMG|2ASPD	1aCGEN|2RCR|378AART|4MBVNT|5DMG|6aVULN|9aASPD|aBPWR
22	63345 42322	   	180.46	DCR|2VULN|2DMG|1AART|1CDMG	1aDMG|2LWND|3AART|4MBVNT|5aSNIHEL|6RCR|7ERES|8CDMG|9aVULN|aBPWR
23	26321 22422	   	180.35	ACR|3VULN|1AART|1DMG|1FLTHEA	14CGEN|2RCR|3RPLT|5AART|6DMG|7FLTHEA|89aVULN
24	26632 11363	 * 	180.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CGEN|2RCR|3FEWX|4ZMB|5DUR|68VULN|7CDMG|9AART|aDMG
25	14135 23511	 * 	179.92	DCR|3VULN|2DMG|2ASPD|1ZMB	18ASPD|289VULN|3DUST|4ZMB|58DMG|6RCR|7RPLT|8BPWR|aLWND
26	14135 23512	   	179.92	DCR|3VULN|2DMG|2ASPD|1ZMB	18ASPD|289VULN|3DUST|4ZMB|58DMG|6RCR|7RPLT|8BPWR|aLHND
27	14135 23513	   	179.92	DCR|3VULN|2DMG|2ASPD|1ZMB	18ASPD|289VULN|3DUST|4ZMB|58DMG|6RCR|7RPLT|8BPWR|aDMSP
28	63261 23348	   	179.87	DCR|3DMG|2VULN|1AART	13aDMG|23LWND|3aBPWR|4MBVNT|5aFEWX|6RCR|7RPLT|8AART|9aVULN
29	26433 12232	 * 	179.49	ACR|3AART|2VULN|1CDMG|1ZMB|1ASPD	1CGEN|2RCR|349AART|5ZMB|6ASPD|7CDMG|8aVULN
30	26532 41232	 * 	178.88	ACR|4VULN|2DMG|1ASPD|1SELL	1CGEN|2RCR|3SELL|4589VULN|6aDMG|7ASPD
31	26532 43212	 * 	178.88	ACR|4VULN|2DMG|1DUR|1SELL	1CGEN|2RCR|3SELL|4589VULN|6aDMG|7DUR
32	62342 62112	 * 	178.88	DCR|2DMG|2AART|1VULN|2CDMG|1DUR	15DMG|2MLV|3DUR|45CDMG|5BPWR|68AART|7BEXP|9RCR|aVULN
33	26433 12211	   	177.70	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1CGEN|2RCR|34AART|5ZMB|6ASPD|7CDMG|8VULN|9DMG|aMLV
34	26433 12212	   	177.60	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1CGEN|2RCR|34AART|5ZMB|6ASPD|7CDMG|8VULN|9DMG|aDUST
35	26433 12213	   	177.60	ACR|2AART|1DMG|1VULN|1CDMG|1ZMB|1ASPD	1CGEN|2RCR|34AART|5ZMB|6ASPD|7CDMG|8VULN|9DMG|aLSRREG
36	26433 12215	   	177.60	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1CGEN|2RCR|34AART|5ZMB|6ASPD|7CDMG|8VULN|9DMG|aERES
37	14135 23523	 * 	177.52	DCR|2VULN|2DMG|3ASPD|1ZMB|1DUR	189ASPD|28VULN|3DUST|4ZMB|58DMG|6RCR|7RPLT|8BPWR|aDUR
38	26321 22462	   	177.13	ACR|2DMG|1AART|1VULN|1FLTHEA|2DUR	14aCGEN|2RCR|3RPLT|5AART|6aDMG|7FLTHEA|8VULN|9aDUR|aBPWR
39	26433 11163	 * 	177.13	ACR|3VULN|2AART|1ZMB|1ASPD	1CGEN|2RCR|34AART|5ZMB|6ASPD|7ERES|89aVULN
40	26422 46221	   	176.67	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2RCR|3AART|4MBVNT|5aDMG|68VULN|7DUR|9LWND
41	26422 46241	   	176.67	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2RCR|3AART|4MBVNT|5aDMG|68VULN|7DUR|9BEXP
42	26421 21621	   	176.67	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2RCR|3AART|4MBVNT|5DUR|6LHND|78VULN|9aDMG
43	26421 51121	   	176.67	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2RCR|3AART|4MBVNT|5DUR|67VULN|8LWND|9aDMG
44	26424 21821	   	176.67	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2RCR|3AART|4MBVNT|57VULN|6LHND|8DUR|9aDMG
45	26424 24621	   	176.67	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2RCR|3AART|4MBVNT|58VULN|6LHND|7DUR|9aDMG
46	26422 46211	   	176.57	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2RCR|3AART|4MBVNT|5aDMG|68VULN|7DUR|9DUST
47	26421 31621	   	176.57	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2RCR|3AART|4MBVNT|5DUR|6DUST|78VULN|9aDMG
48	26422 41221	   	176.57	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2RCR|3AART|4MBVNT|5aDMG|68VULN|7DUST|9DUR
49	26424 31521	   	176.57	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2RCR|3AART|4MBVNT|57VULN|6DUST|8aDMG|9DUR
50	26424 31821	   	176.57	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2RCR|3AART|4MBVNT|57VULN|6DUST|8DUR|9aDMG
51	26424 34621	   	176.57	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2RCR|3AART|4MBVNT|58VULN|6DUST|7DUR|9aDMG
52	26424 61221	   	176.57	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2RCR|3AART|4MBVNT|58VULN|6aDMG|7DUST|9DUR
53	64323 23321	 * 	176.46	DCR|2VULN|2DMG|1AART|1FLTHEA	18DMG|25VULN|3RPLT|4CGEN|6RCR|7FEWX|9FLTHEA|aAART
54	24422 42812	 * 	176.17	DCR|3VULN|2AART|1DMG|1DUR	1CGEN|268VULN|3aAART|4MBVNT|5DMG|7DUR|9RCR
55	26532 41212	 * 	175.78	ACR|3VULN|2DMG|1ZMB|1ASPD|1SELL	1CGEN|2RCR|3SELL|458VULN|6aDMG|7ASPD|9ZMB
56	64323 26221	 * 	175.61	DCR|5VULN|1DMG|1ZMB	1DMG|2578aVULN|3RPLT|4CGEN|6RCR|9ZMB
57	26422 12428	   	175.48	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	19CGEN|2RCR|3AART|4MBVNT|59DMG|6ERES|7ZMB|89DUR|9BPWR|aVULN
58	26226 33262	 * 	175.29	ACR|4VULN|2DMG	1CGEN|2RCR|3LWND|4RCVC|58DMG|679aVULN
59	24451 32233	 * 	175.20	ACR|4VULN|1AART|1DMG	178CGEN|2678VULN|3AART|478LIT|5RCR|78BPWR|9RPLT|aDMG
60	26532 43211	 * 	174.94	ACR|4VULN|1DMG|1CDMG|1DUR|1SELL	1CGEN|2RCR|3SELL|4589VULN|6DMG|7DUR|aCDMG
61	26422 44213	   	174.80	ACR|3AART|2VULN|1DMG|1DUR	1CGEN|2RCR|378AART|4MBVNT|5DMG|69VULN|aDUR
62	26424 64213	   	174.80	ACR|3AART|2VULN|1DMG|1DUR	1CGEN|2RCR|378AART|4MBVNT|59VULN|6DMG|aDUR
63	26422 44226	   	174.80	ACR|3AART|2VULN|1DMG|1ASPD	1CGEN|2RCR|378AART|4MBVNT|5DMG|6aVULN|9ASPD
64	26422 45331	 * 	174.74	ACR|3DMG|1AART|1VULN|1DUR	1CGEN|2RCR|3AART|4MBVNT|59aDMG|6VULN|7FEWX|8DUR
65	26422 48144	   	174.74	ACR|3VULN|1AART|1DMG|1ASPD	1CGEN|2RCR|3AART|4MBVNT|5DMG|69aVULN|7LWND|8ASPD
66	26433 61221	 * 	174.70	ACR|2AART|2DMG|1VULN|1ZMB	1CGEN|2RCR|34AART|5ZMB|6VULN|7MLV|89DMG|aFEWX
67	26433 61222	   	174.70	ACR|2AART|2DMG|1VULN|1ZMB	1aCGEN|2RCR|34AART|5ZMB|6VULN|7MLV|89DMG
68	26433 63221	   	174.70	ACR|2AART|2DMG|1VULN|1ZMB	1CGEN|2RCR|34AART|5ZMB|6VULN|7RMIN|89DMG|aFEWX
69	26433 63222	   	174.70	ACR|2AART|2DMG|1VULN|1ZMB	1aCGEN|2RCR|34AART|5ZMB|6VULN|7RMIN|89DMG
70	26433 25111	 * 	174.69	ACR|2AART|3ZMB|1DMG|1VULN	17CGEN|2RCR|34AART|579ZMB|67FEWX|7BPWR|8VULN|aDMG
71	26433 35111	   	174.69	ACR|2AART|3ZMB|1DMG|1VULN	17CGEN|2RCR|34AART|579ZMB|67BEXP|7BPWR|8VULN|aDMG
72	14323 26216	 * 	174.69	DCR|5VULN|1AART|1ASPD	1ASPD|25789VULN|3RPLT|4CGEN|6RCR|aAART
73	26424 52221	   	174.60	ACR|2AART|2VULN|1DMG|1ZMB	1CGEN|2RCR|38AART|4MBVNT|56VULN|7ZMB|9BEXP|aDMG
74	26433 61223	   	174.60	ACR|2AART|2DMG|1VULN|1ZMB	1CGEN|2RCR|34AART|5ZMB|6VULN|7MLV|89DMG|aERES
75	26433 63223	   	174.60	ACR|2AART|2DMG|1VULN|1ZMB	1CGEN|2RCR|34AART|5ZMB|6VULN|7RMIN|89DMG|aERES
76	64323 26321	 * 	174.53	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|257VULN|3RPLT|4CGEN|6RCR|8BEXP|9FLTHEA|aAART
77	26432 35111	   	174.49	ACR|2AART|3ZMB|1DMG|1VULN	17CGEN|2RCR|34AART|57DUST|679ZMB|7BPWR|8VULN|aDMG
78	23451 32331	 * 	174.28	ACR|2AART|2DMG|2VULN	17CGEN|2LWND|38AART|47LIT|5RCR|67VULN|7BPWR|9aDMG
79	24451 31331	   	174.08	ACR|2AART|2DMG|2VULN	1CGEN|26VULN|38AART|4LIT|5RCR|7LWND|9aDMG
80	63216 22613	   	173.92	DCR|2VULN|2DMG|1AART|1ZMB	13DMG|23LWND|3BPWR|4CGEN|5RPLT|6RCR|79VULN|8ZMB|aAART
81	44421 21121	   	173.85	DCR|2VULN|2DMG|1AART|1DUR	1ERES|27VULN|3AART|4BEXP|5DUR|6RCR|8LWND|9aDMG
82	64323 23363	   	173.82	DCR|2VULN|2DMG|1AART|1ZMB	18DMG|25VULN|3RPLT|4CGEN|6RCR|7FEWX|9ZMB|aAART
83	26533 38421	   	173.78	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR|1SELL	17CGEN|2RCR|3SELL|47VULN|5MBVNT|67DUR|7BPWR|8DMG|9FLTHEA|aAART
84	44421 21321	   	173.75	DCR|2VULN|2DMG|1AART|1DUR	1ERES|27VULN|3AART|4BEXP|5DUR|6RCR|8DUST|9aDMG
85	64432 22311	   	173.46	DCR|2VULN|2DMG|1AART|1CDMG	16DMG|27VULN|3AART|4LWND|5CDMG|8CGEN|9RCR|aMLV
86	64432 22111	   	173.36	DCR|2VULN|2DMG|1AART|1CDMG	16DMG|27VULN|3AART|4LWND|5CDMG|8TLV|9RCR|aMLV
87	64432 22312	   	173.36	DCR|2VULN|2DMG|1AART|1CDMG	16DMG|27VULN|3AART|4LWND|5CDMG|8CGEN|9RCR|aDUST
88	64432 22313	   	173.36	DCR|2VULN|2DMG|1AART|1CDMG	16DMG|27VULN|3AART|4LWND|5CDMG|8CGEN|9RCR|aLSRREG
89	64432 22112	   	173.26	DCR|2VULN|2DMG|1AART|1CDMG	16DMG|27VULN|3AART|4LWND|5CDMG|8TLV|9RCR|aDUST
90	64432 22113	   	173.26	DCR|2VULN|2DMG|1AART|1CDMG	16DMG|27VULN|3AART|4LWND|5CDMG|8TLV|9RCR|aLSRREG
91	26632 11321	 * 	173.22	ACR|2VULN|1AART|1CDMG|1FLTHEA|1ZMB|1DUR	1CGEN|2RCR|3FEWX|4ZMB|5DUR|68VULN|7CDMG|9FLTHEA|aAART
92	46632 11321	   	173.12	ACR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB|1DUR	1ERES|2RCR|3FEWX|4ZMB|5DUR|68VULN|7CDMG|9FLTHEA|aAART
93	26413 12216	   	172.86	ACR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB	14CGEN|2RCR|3AART|5ZMB|6aASPD|7CDMG|8VULN|9DMG
94	26422 46132	   	172.83	ACR|2DMG|1AART|1VULN|2ASPD|1DUR	19CGEN|2RCR|3AART|4MBVNT|59DMG|6VULN|7DUR|89ASPD|9BPWR|aBELT
95	26422 46133	   	172.83	ACR|2DMG|1AART|1VULN|2ASPD|1DUR	19CGEN|2RCR|3AART|4MBVNT|59DMG|6VULN|7DUR|89ASPD|9BPWR|aMLV
96	26424 51424	   	172.74	ACR|2AART|2VULN|1DMG|1DUR	1CGEN|2RCR|38AART|4MBVNT|56VULN|7RCVC|9DMG|aDUR
97	26422 46444	 * 	172.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CGEN|2RCR|3AART|4MBVNT|5aDMG|6VULN|7DUR|8MLV|9CDMG
98	26422 41336	   	172.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3AART|4MBVNT|5DMG|6aVULN|7DUST|8DUR|9CDMG
99	62161 32363	 * 	172.63	DCR|3DMG|1AART|1VULN|2ASPD	17aDMG|2MLV|37ASPD|4RPLT|5AART|67ERES|7BPWR|8RCR|9VULN
100	26532 43221	   	172.29	ACR|4VULN|1DMG|1ZMB|1DUR|1SELL	1CGEN|2RCR|3SELL|458aVULN|6DMG|7DUR|9ZMB
101	14564 22214	 * 	172.27	DCR|4VULN|1DMG|1CDMG|1ASPD	1ASPD|2789VULN|3CDMG|4MBVNT|5MLV|6RCR|aDMG
102	63223 35212	   	171.96	DCR|2DMG|2AART|1VULN|1CDMG|1DUR	13DMG|23LWND|3BPWR|4CDMG|5RPLT|6VULN|78AART|9RCR|aDUR
103	62344 34413	   	171.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|2MLV|3DUR|4CDMG|59VULN|6MBVNT|7ZMB|8RCR|aAART
104	63562 44413	   	171.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DMG|2LWND|3CDMG|4MBVNT|59VULN|6ASPD|7ZMB|8RCR|aAART
105	64323 23613	   	171.88	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|259VULN|3RPLT|4CGEN|6RCR|7FEWX|8ZMB|aAART
106	63623 35212	   	171.86	DCR|2DMG|2AART|1VULN|1CDMG|1DUR	13DMG|2LWND|4CDMG|5RPLT|6VULN|78AART|9RCR|aDUR
107	26532 41211	 * 	171.84	ACR|3VULN|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1CGEN|2RCR|3SELL|458VULN|6DMG|7ASPD|9ZMB|aCDMG
108	26532 42212	   	171.84	ACR|4VULN|2DMG|1SELL	1CGEN|2RCR|3SELL|4589VULN|6aDMG|7DUST
109	62242 63112	   	171.84	DCR|2DMG|2AART|1VULN|2CDMG	15DMG|2MLV|3BEXP|45CDMG|5BPWR|68AART|7DUST|9RCR|aVULN
110	24451 33333	   	171.60	ACR|3VULN|1AART|1DMG|1ZMB	1CGEN|26aVULN|3AART|4LIT|5RCR|7DUST|8ZMB|9DMG
111	64323 25212	 * 	171.57	DCR|4VULN|2DMG	1aDMG|2589VULN|3RPLT|4CGEN|6RCR|7RCVC
112	24426 42211	   	171.52	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1CGEN|26VULN|38AART|4MBVNT|5ZMB|7DUR|9RCR|aDMG
113	14422 12216	   	171.52	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	1ASPD|2aVULN|38AART|4BEXP|5DMG|6ERES|7ZMB|9RCR
114	24422 44213	 * 	171.43	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|268VULN|3AART|4MBVNT|5DMG|7LWND|9RCR|aCDMG
115	24422 48213	   	171.43	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|268VULN|3AART|4MBVNT|5DMG|7LHND|9RCR|aCDMG
116	24424 83213	   	171.43	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|257VULN|3AART|4MBVNT|6LHND|8DMG|9RCR|aCDMG
117	26511 21263	   	171.39	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1CGEN|2RCR|3SELL|4DUR|5AART|6DMG|7LWND|8CDMG|9aVULN
118	26511 22421	   	171.39	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1SELL	1CGEN|2RCR|3SELL|4DUR|5AART|6DMG|7FLTHEA|89VULN|aRPLT
119	26511 22422	   	171.39	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1SELL	1CGEN|2RCR|3SELL|4DUR|5AART|6DMG|7FLTHEA|89VULN|aFEWX
120	63223 35213	   	171.34	DCR|2DMG|2AART|1VULN|2CDMG	13DMG|23LWND|3BPWR|4aCDMG|5RPLT|6VULN|78AART|9RCR
121	63623 35213	   	171.24	DCR|2DMG|2AART|1VULN|2CDMG	13DMG|2LWND|4aCDMG|5RPLT|6VULN|78AART|9RCR
122	26433 62213	   	171.14	ACR|3AART|2VULN|2DUR|1ZMB	1CGEN|2RCR|348AART|5ZMB|69VULN|7aDUR
123	26433 21263	   	170.76	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CGEN|2RCR|34AART|5ZMB|6FEWX|7MLV|8DMG|9VULN|aCDMG
124	26433 31263	   	170.76	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CGEN|2RCR|34AART|5ZMB|6BEXP|7MLV|8DMG|9VULN|aCDMG
125	63342 33117	   	170.72	DCR|2VULN|2DMG|1AART|1ZMB	15DMG|26LWND|3AART|4MBVNT|7ZMB|8aVULN|9RCR
126	26432 31263	   	170.66	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CGEN|2RCR|34AART|5DUST|6ZMB|7MLV|8DMG|9VULN|aCDMG
127	14135 23521	   	170.58	DCR|2VULN|2DMG|3ASPD|1ZMB	189ASPD|28VULN|3DUST|4ZMB|58DMG|6RCR|7RPLT|8BPWR|aBELT
128	14135 23522	   	170.58	DCR|2VULN|2DMG|3ASPD|1ZMB	189ASPD|28VULN|3DUST|4ZMB|58DMG|6RCR|7RPLT|8BPWR|aLWND
129	26422 42274	   	170.53	ACR|2AART|2VULN|1DMG|1DUR	17CGEN|2RCR|38AART|4MBVNT|5DMG|69VULN|aDUR
130	26421 21821	   	170.53	ACR|2AART|2DMG|1VULN|1DUR	1CGEN|2RCR|38AART|4MBVNT|5DUR|6LHND|7VULN|9aDMG
131	26424 24821	   	170.53	ACR|2AART|2DMG|1VULN|1DUR	1CGEN|2RCR|38AART|4MBVNT|5VULN|6LHND|7DUR|9aDMG
132	26422 44174	   	170.43	ACR|2AART|2VULN|1DMG|1ASPD	1CGEN|2RCR|37AART|4MBVNT|5DMG|6aVULN|8LEGI|9ASPD
133	26422 44714	   	170.43	ACR|2AART|2VULN|1DMG|1DUR	1CGEN|2RCR|37AART|4MBVNT|5DMG|6aVULN|8ERES|9DUR
134	11367 38413	 * 	170.36	DCR|2VULN|2DMG|1AART|2ASPD	17ASPD|2ERES|3RMIN|4MBVNT|57VULN|67DMG|7BPWR|8AART|9RCR|aFEWX
135	11367 38414	   	170.36	DCR|2VULN|2DMG|1AART|2ASPD	17ASPD|2ERES|3RMIN|4MBVNT|57VULN|67DMG|7BPWR|8AART|9RCR|aLWND
136	52323 25544	   	170.32	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LWND|2VULN|3RCVC|4aDMG|5MBVNT|6RCR|7DUR|8AART|9CDMG
137	11367 38412	   	170.26	DCR|2VULN|2DMG|1AART|2ASPD	17ASPD|2ERES|3RMIN|4MBVNT|57VULN|67DMG|7BPWR|8AART|9RCR|aTLV
138	46432 33213	   	170.09	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1ERES|2RCR|3AART|4LWND|58DMG|6LHND|7ZMB|9DUR|aVULN
139	66162 13121	 * 	170.03	DCR|2DMG|1AART|1VULN|1FLTHEA|2ASPD	15DMG|2RMIN|35ASPD|4RPLT|5BPWR|6ERES|7RCR|8VULN|9FLTHEA|aAART
140	13342 68312	   	170.01	DCR|2DMG|1AART|1VULN|2ASPD|2DUR	17ASPD|2LWND|3AART|4MBVNT|57DMG|67DUR|7BPWR|8RCVC|9RCR|aVULN
141	13135 24261	   	170.01	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2LWND|3DUST|4ZMB|5DMG|6RCR|7DUR|89VULN|aAART
142	14135 24211	   	170.01	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1ASPD|28VULN|3DUST|4ZMB|5DMG|6RCR|7DUR|9FEWX|aAART
143	14135 24231	   	170.01	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1ASPD|28VULN|3DUST|4ZMB|5DMG|6RCR|7DUR|9LWND|aAART
144	26633 43322	 * 	169.99	ACR|3VULN|1AART|1CDMG|1ZMB	1CGEN|2RCR|3FEWX|4ZMB|5BASICY|69aVULN|7AART|8CDMG
145	26426 41221	   	169.99	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3AART|4MBVNT|5ZMB|68VULN|7DUST|9DUR|aDMG
146	52323 23614	   	169.77	DCR|3VULN|2DMG|1ZMB	18LWND|289VULN|3RCVC|48DMG|5MBVNT|6RCR|7RPLT|8BPWR|aZMB
147	46332 13421	   	169.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1ERES|2RCR|3RPLT|4CDMG|5DUR|6VULN|7MLV|8AART|9aDMG
148	26422 45221	   	169.73	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4MBVNT|5aDMG|68VULN|7FEWX|9LWND
149	26422 45241	   	169.73	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4MBVNT|5aDMG|68VULN|7FEWX|9BEXP
150	26422 48231	   	169.73	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4MBVNT|5aDMG|68VULN|7LWND|9FEWX
151	26424 21121	   	169.73	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4MBVNT|57VULN|6LHND|8LWND|9aDMG
152	26424 21521	   	169.73	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4MBVNT|57VULN|6LHND|8aDMG|9LWND
153	26424 21541	   	169.73	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4MBVNT|57VULN|6LHND|8aDMG|9BEXP
154	26424 54121	   	169.73	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4MBVNT|56VULN|7BEXP|8LWND|9aDMG
155	26424 22621	   	169.73	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4MBVNT|58VULN|6LHND|7LWND|9aDMG
156	26422 41231	   	169.63	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4MBVNT|5aDMG|68VULN|7DUST|9FEWX
157	26422 45211	   	169.63	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4MBVNT|5aDMG|68VULN|7FEWX|9DUST
158	26422 48211	   	169.63	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4MBVNT|5aDMG|68VULN|7LWND|9DUST
159	26424 21511	   	169.63	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4MBVNT|57VULN|6LHND|8aDMG|9DUST
160	26424 31121	   	169.63	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4MBVNT|57VULN|6DUST|8LWND|9aDMG
161	26424 31531	   	169.63	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4MBVNT|57VULN|6DUST|8aDMG|9FEWX
162	26424 32621	   	169.63	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4MBVNT|58VULN|6DUST|7LWND|9aDMG
