0	Index      	 *	Score 	Summary	Detail	
1	16227 42384	 * 	187.77	DCR|3VULN|2DMG|1AART|1ZMB	1aLHND|25aVULN|3MBVNT|4ZMB|6CGEN|7RCR|8aDMG|9AART|aBPWR
29	41362 51323	   	170.83	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	13DUR|2BEXP|4RCR|5DMG|6aVULN|7AART|8DUST|9CDMG
30	43362 31623	   	170.83	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	13DUR|2DUST|4RCR|5DMG|6LWND|7AART|8aVULN|9CDMG
31	16133 34341	   	170.46	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|25VULN|37DMG|4CGEN|6BEXP|8AART|9RCR|aCDMG
32	63226 12325	   	170.41	DCR|2DMG|1AART|1VULN|2ZMB|2DUR	14ZMB|26DUR|3TLV|58DMG|7RCR|9AART|aVULN
33	13363 34341	   	170.36	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|2TLV|35VULN|47DMG|6BEXP|8AART|9RCR|aCDMG
34	16133 24341	   	170.36	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|25VULN|37DMG|4CGEN|6DUST|8AART|9RCR|aCDMG
35	16163 32341	   	170.36	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|25VULN|34DMG|6TLV|7BEXP|8AART|9RCR|aCDMG
36	41362 23123	   	170.33	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	13DUR|2BEXP|4RCR|5DMG|6FEWX|7aVULN|8AART|9CDMG
37	16163 22211	   	170.32	DCR|3DMG|2VULN|1CDMG|1ZMB	1LHND|25VULN|347DMG|6CDMG|8LIT|9ZMB|aRCR
38	13363 24341	   	170.26	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|2TLV|35VULN|47DMG|6DUST|8AART|9RCR|aCDMG
39	43362 23123	   	170.23	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	13DUR|2DUST|4RCR|5DMG|6FEWX|7aVULN|8AART|9CDMG
40	16112 32531	 * 	169.98	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1SELL	19LHND|2VULN|39DMG|4SELL|5LWND|6CDMG|7RCR|89ASPD|9BPWR|aAART
41	16161 11325	 * 	169.97	DCR|3DMG|2VULN|1AART	1LHND|27VULN|346DMG|5RPLT|8AART|9DUST|aRCR
42	41365 12333	   	169.73	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	13DUR|2BEXP|4RCR|5CDMG|67DMG|8VULN|9AART|aRCVC
43	41365 13333	   	169.73	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	13DUR|2BEXP|4RCR|5CDMG|6DMG|78VULN|9AART|aRCVC
44	41362 13153	 * 	169.53	ACR|3DMG|2VULN|3DUR	139DUR|2BEXP|4RCR|59aDMG|6MLV|7LWND|89VULN|9BPWR
45	41362 32153	   	169.53	ACR|3DMG|2VULN|3DUR	139DUR|2BEXP|4RCR|59aDMG|6LWND|7CGEN|89VULN|9BPWR
46	43362 13153	   	169.43	ACR|3DMG|2VULN|3DUR	139DUR|2DUST|4RCR|59aDMG|6MLV|7LWND|89VULN|9BPWR
47	43362 32153	   	169.43	ACR|3DMG|2VULN|3DUR	139DUR|2DUST|4RCR|59aDMG|6LWND|7CGEN|89VULN|9BPWR
48	46532 22323	 * 	169.22	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|26VULN|3CDMG|4RCR|5RMIN|79DMG|8BELT|aZMB
49	42521 11221	 * 	169.15	DCR|2VULN|2DMG|1FLTHEA|1CDMG|1DUR	1DUR|26LHND|3CDMG|4FLTHEA|56VULN|6BPWR|7FEWX|8RCR|9aDMG
50	42521 15221	   	169.15	DCR|2VULN|2DMG|1FLTHEA|1CDMG|1DUR	1DUR|26LHND|3CDMG|4FLTHEA|56VULN|6BPWR|7BEXP|8RCR|9aDMG
51	52521 16221	   	169.15	DCR|2VULN|2DMG|1FLTHEA|1CDMG|1DUR	1FEWX|26LHND|3CDMG|4FLTHEA|56VULN|6BPWR|7DUR|8RCR|9aDMG
52	41132 11155	 * 	169.11	DCR|3DMG|2VULN|3DUR	19aDUR|2BEXP|359DMG|4CGEN|6FEWX|7RCR|89VULN|9BPWR
53	42521 31221	   	169.05	DCR|2VULN|2DMG|1CDMG|1FLTHEA|1DUR	1DUR|2LHND|3CDMG|4FLTHEA|56VULN|7FEWX|8RCR|9aDMG
54	42521 35221	   	169.05	DCR|2VULN|2DMG|1CDMG|1FLTHEA|1DUR	1DUR|2LHND|3CDMG|4FLTHEA|56VULN|7BEXP|8RCR|9aDMG
55	52521 36221	   	169.05	DCR|2VULN|2DMG|1CDMG|1FLTHEA|1DUR	1FEWX|2LHND|3CDMG|4FLTHEA|56VULN|7DUR|8RCR|9aDMG
56	41132 21155	   	169.01	DCR|3DMG|2VULN|3DUR	19aDUR|2BEXP|359DMG|4CGEN|6DUST|7RCR|89VULN|9BPWR
57	43132 11155	   	169.01	DCR|3DMG|2VULN|3DUR	19aDUR|2DUST|359DMG|4CGEN|6FEWX|7RCR|89VULN|9BPWR
58	41136 21153	   	169.01	DCR|3DMG|2VULN|3DUR	159DUR|2BEXP|39aDMG|4CGEN|6DUST|7RCR|89VULN|9BPWR
59	46132 11433	   	168.91	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1DUR|2VULN|35DMG|4CGEN|6FEWX|7RCR|8AART|9ZMB|aASPD
60	46133 11433	   	168.91	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DUR|25VULN|3DMG|4CGEN|6FEWX|7RCR|8AART|9ZMB|aASPD
61	46132 21433	   	168.81	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1DUR|2VULN|35DMG|4CGEN|6DUST|7RCR|8AART|9ZMB|aASPD
62	46133 21433	   	168.81	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DUR|25VULN|3DMG|4CGEN|6DUST|7RCR|8AART|9ZMB|aASPD
63	41133 51423	   	168.55	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2BEXP|39DMG|4CGEN|5aVULN|6DMSP|7RCR|8AART
64	46132 11413	   	168.55	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2aVULN|35DMG|4CGEN|6FEWX|7RCR|8AART|9BEXP
65	46132 11423	   	168.55	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2aVULN|35DMG|4CGEN|6FEWX|7RCR|8AART|9RCVC
66	46132 31413	   	168.55	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2aVULN|35DMG|4CGEN|69BEXP|7RCR|8AART
67	46132 31433	   	168.55	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2aVULN|35DMG|4CGEN|6BEXP|7RCR|8AART|9LWND
68	46132 21423	   	168.45	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2aVULN|35DMG|4CGEN|6DUST|7RCR|8AART|9RCVC
69	46133 31422	   	168.45	DCR|2VULN|2DMG|1AART|1DUR	1DUR|25VULN|39DMG|4CGEN|6BEXP|7RCR|8AART|aLSRHEA
70	46523 22323	   	168.02	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1DUR|24VULN|34CDMG|4BPWR|5ZMB|6BEXP|79DMG|8BELT|aRCR
71	46521 13132	   	167.72	DCR|3VULN|1AART|2CDMG|1DUR	1DUR|247VULN|34CDMG|4BPWR|5CGEN|6RCR|8LHND|9ERES|aAART
72	46521 13232	   	167.72	DCR|3VULN|1AART|2CDMG|1DUR	1DUR|247VULN|34CDMG|4BPWR|5CGEN|6RCR|8FEWX|9ERES|aAART
73	46521 13312	   	167.72	DCR|3VULN|1AART|2CDMG|1DUR	1DUR|247VULN|34CDMG|4BPWR|5CGEN|6RCR|8TLV|9LWND|aAART
74	46521 13332	   	167.72	DCR|3VULN|1AART|2CDMG|1DUR	1DUR|247VULN|34CDMG|4BPWR|5CGEN|6RCR|8TLV|9BEXP|aAART
75	16227 42315	   	167.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|25VULN|3MBVNT|4ZMB|6CGEN|7RCR|8DMG|9CDMG|aAART
76	46132 11432	   	167.26	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1aDUR|2VULN|35DMG|4CGEN|6FEWX|7RCR|8AART|9ZMB
77	46133 11432	   	167.26	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1aDUR|25VULN|3DMG|4CGEN|6FEWX|7RCR|8AART|9ZMB
78	42521 11241	 * 	167.22	DCR|3VULN|1DMG|1FLTHEA|1CDMG|1DUR	1DUR|26LHND|3CDMG|4FLTHEA|569VULN|6BPWR|7FEWX|8RCR|aDMG
79	23265 13316	 * 	167.19	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1CGEN|2DUR|3TLV|4RCR|5CDMG|6DMG|789VULN|aZMB
80	46132 21432	   	167.16	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1aDUR|2VULN|35DMG|4CGEN|6DUST|7RCR|8AART|9ZMB
81	46133 21432	   	167.16	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1aDUR|25VULN|3DMG|4CGEN|6DUST|7RCR|8AART|9ZMB
82	42521 31241	   	167.12	DCR|3VULN|1DMG|1CDMG|1FLTHEA|1DUR	1DUR|2LHND|3CDMG|4FLTHEA|569VULN|7FEWX|8RCR|aDMG
83	11353 14223	 * 	167.04	ACR|3VULN|1AART|1DMG|1DUR	1LHND|2BEXP|3DUR|4RCR|59aVULN|6MLV|7DMG|8AART
84	11353 64223	   	167.04	ACR|3VULN|1AART|1DMG|1DUR	1LHND|2BEXP|3DUR|4RCR|59aVULN|6CGEN|7DMG|8AART
85	42132 11435	 * 	166.90	DCR|3DMG|1AART|2ZMB|2DUR	1aDUR|2LHND|35aDMG|4CGEN|6FEWX|7RCR|8AART|9aZMB|aBPWR
86	46132 31423	   	166.62	DCR|3DMG|1AART|1VULN|1DUR	1DUR|2VULN|359DMG|4CGEN|6BEXP|7RCR|8AART|aRCVC
87	46133 11413	   	166.62	DCR|3VULN|1AART|1DMG|1DUR	1DUR|25aVULN|3DMG|4CGEN|6FEWX|7RCR|8AART|9BEXP
88	46133 11423	   	166.62	DCR|3VULN|1AART|1DMG|1DUR	1DUR|25aVULN|3DMG|4CGEN|6FEWX|7RCR|8AART|9RCVC
89	46133 31413	   	166.62	DCR|3VULN|1AART|1DMG|1DUR	1DUR|25aVULN|3DMG|4CGEN|69BEXP|7RCR|8AART
90	46133 31433	   	166.62	DCR|3VULN|1AART|1DMG|1DUR	1DUR|25aVULN|3DMG|4CGEN|6BEXP|7RCR|8AART|9LWND
91	46133 21423	   	166.52	DCR|3VULN|1AART|1DMG|1DUR	1DUR|25aVULN|3DMG|4CGEN|6DUST|7RCR|8AART|9RCVC
92	46132 31421	   	166.52	DCR|3DMG|1AART|1VULN|1DUR	1DUR|2VULN|359DMG|4CGEN|6BEXP|7RCR|8AART|aDUST
93	46132 31422	   	166.52	DCR|3DMG|1AART|1VULN|1DUR	1DUR|2VULN|359DMG|4CGEN|6BEXP|7RCR|8AART|aERES
94	46521 12311	   	166.51	DCR|2VULN|2DMG|2CDMG|1DUR	1DUR|24VULN|34CDMG|4BPWR|5CGEN|6RCR|79DMG|8VENICY|aFEWX
95	46521 12312	   	166.51	DCR|2VULN|2DMG|2CDMG|1DUR	1DUR|24VULN|34CDMG|4BPWR|5CGEN|6RCR|79DMG|8VENICY|aBEXP
96	46521 12313	   	166.51	DCR|2VULN|2DMG|2CDMG|1DUR	1DUR|24VULN|34CDMG|4BPWR|5CGEN|6RCR|79DMG|8VENICY|aLHND
97	63236 12325	   	166.46	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1ZMB|26DUR|34TLV|58DMG|7RCR|9AART|aVULN
98	61322 31343	 * 	166.41	DCR|2VULN|3ZMB|1AART|2CDMG	148ZMB|2TLV|38VULN|5LIT|6FEWX|78CDMG|8BPWR|9RCR|aAART
99	61626 12321	   	166.00	DCR|3DMG|1AART|2ZMB|2DUR	14ZMB|2TLV|36DUR|58aDMG|7RCR|9AART
100	63226 12321	   	166.00	DCR|3DMG|1AART|2ZMB|2DUR	14ZMB|26DUR|3TLV|58aDMG|7RCR|9AART
101	61321 31426	   	165.72	DCR|2DMG|1AART|1VULN|2ZMB|1DUR	14ZMB|2TLV|3VULN|5DUR|6BEXP|7RCR|8AART|9aDMG
102	42362 13151	 * 	165.72	ACR|3VULN|2DMG|2DUR	19DUR|2LHND|3RCVC|4RCR|59DMG|6MLV|7LWND|89aVULN|9BPWR
103	42362 22151	   	165.72	ACR|3VULN|2DMG|2DUR	19DUR|2LHND|3RCVC|4RCR|59DMG|6FEWX|7CGEN|89aVULN|9BPWR
104	42362 32151	   	165.72	ACR|3VULN|2DMG|2DUR	19DUR|2LHND|3RCVC|4RCR|59DMG|6LWND|7CGEN|89aVULN|9BPWR
105	12662 51323	   	165.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	12LHND|3DUR|4RCR|5DMG|6aVULN|7AART|8DUST|9CDMG
106	23262 51423	   	165.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2DUR|3TLV|4RCR|5DMG|6aVULN|7AART|8LWND|9CDMG
107	23262 51623	   	165.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2DUR|3TLV|4RCR|5DMG|6aVULN|7AART|8LHND|9CDMG
108	42362 51323	   	165.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2LHND|3RCVC|4RCR|5DMG|6aVULN|7AART|8DUST|9CDMG
109	46362 23321	   	165.52	ACR|3DMG|2VULN|2DUR	19DUR|27VULN|36RCVC|4RCR|58aDMG
110	46362 33311	   	165.52	ACR|3DMG|2VULN|2DUR	16DUR|27VULN|39RCVC|4RCR|58aDMG
111	21662 51323	   	165.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2TLV|3DUR|4RCR|5DMG|6aVULN|7AART|8DUST|9CDMG
112	23262 51323	   	165.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2DUR|3TLV|4RCR|5DMG|6aVULN|7AART|8DUST|9CDMG
113	41132 11152	   	165.30	DCR|3DMG|2VULN|2DUR	19DUR|2BEXP|359DMG|4CGEN|6FEWX|7RCR|89VULN|9BPWR|aLIT
114	41132 11154	   	165.30	DCR|3DMG|2VULN|2DUR	19DUR|2BEXP|359DMG|4aCGEN|6FEWX|7RCR|89VULN|9BPWR
115	41132 11156	   	165.30	DCR|3DMG|2VULN|2DUR	19DUR|2BEXP|359DMG|4CGEN|6FEWX|7RCR|89VULN|9BPWR|aRCVC
116	42132 11152	   	165.30	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|359DMG|4CGEN|6FEWX|7RCR|89VULN|9BPWR|aLIT
117	42132 11154	   	165.30	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|359DMG|4aCGEN|6FEWX|7RCR|89VULN|9BPWR
118	42132 11155	   	165.30	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|359DMG|4CGEN|6FEWX|7RCR|89VULN|9BPWR|aRCVC
119	42132 11156	   	165.30	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|359DMG|4CGEN|6FEWX|7RCR|89VULN|9BPWR|aBEXP
120	42132 31152	   	165.30	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|359DMG|4CGEN|6BEXP|7RCR|89VULN|9BPWR|aLIT
121	42132 31154	   	165.30	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|359DMG|4aCGEN|6BEXP|7RCR|89VULN|9BPWR
122	42132 31155	   	165.30	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|359DMG|4CGEN|6BEXP|7RCR|89VULN|9BPWR|aRCVC
123	42132 31156	   	165.30	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|359DMG|4CGEN|6aBEXP|7RCR|89VULN|9BPWR
124	16133 11451	   	165.30	DCR|3VULN|2DMG|2DUR	19LHND|25aVULN|39DMG|4CGEN|6FEWX|7RCR|89DUR|9BPWR
125	16133 31451	   	165.30	DCR|3VULN|2DMG|2DUR	19LHND|25aVULN|39DMG|4CGEN|6BEXP|7RCR|89DUR|9BPWR
126	42134 11151	   	165.30	DCR|3VULN|2DMG|2DUR	19DUR|25LHND|39DMG|4CGEN|6FEWX|7RCR|89aVULN|9BPWR
127	42134 31151	   	165.30	DCR|3VULN|2DMG|2DUR	19DUR|25LHND|39DMG|4CGEN|6BEXP|7RCR|89aVULN|9BPWR
128	46133 31251	   	165.30	DCR|3VULN|2DMG|2DUR	19DUR|25aVULN|39DMG|4CGEN|6BEXP|7RCR|89FEWX|9BPWR
129	51132 21155	   	165.30	DCR|3DMG|2VULN|2DUR	19FEWX|2BEXP|359DMG|4CGEN|6aDUR|7RCR|89VULN|9BPWR
130	41132 11151	   	165.20	DCR|3DMG|2VULN|2DUR	19DUR|2BEXP|359DMG|4CGEN|6FEWX|7RCR|89VULN|9BPWR|aERES
131	41132 21152	   	165.20	DCR|3DMG|2VULN|2DUR	19DUR|2BEXP|359DMG|4CGEN|6DUST|7RCR|89VULN|9BPWR|aLIT
132	41132 21154	   	165.20	DCR|3DMG|2VULN|2DUR	19DUR|2BEXP|359DMG|4aCGEN|6DUST|7RCR|89VULN|9BPWR
133	41132 21156	   	165.20	DCR|3DMG|2VULN|2DUR	19DUR|2BEXP|359DMG|4CGEN|6DUST|7RCR|89VULN|9BPWR|aRCVC
134	42132 11151	   	165.20	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|359DMG|4CGEN|6FEWX|7RCR|89VULN|9BPWR|aERES
135	42132 21152	   	165.20	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|359DMG|4CGEN|6DUST|7RCR|89VULN|9BPWR|aLIT
136	42132 21154	   	165.20	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|359DMG|4aCGEN|6DUST|7RCR|89VULN|9BPWR
137	42132 21155	   	165.20	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|359DMG|4CGEN|6DUST|7RCR|89VULN|9BPWR|aRCVC
138	42132 21156	   	165.20	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|359DMG|4CGEN|6DUST|7RCR|89VULN|9BPWR|aBEXP
139	42132 31151	   	165.20	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|359DMG|4CGEN|6BEXP|7RCR|89VULN|9BPWR|aERES
140	42162 11152	   	165.20	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|349DMG|5ERES|6aFEWX|7RCR|89VULN|9BPWR
141	42162 31152	   	165.20	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|349DMG|5ERES|6BEXP|7RCR|89VULN|9BPWR|aFEWX
142	43132 11152	   	165.20	DCR|3DMG|2VULN|2DUR	19DUR|2DUST|359DMG|4CGEN|6FEWX|7RCR|89VULN|9BPWR|aLIT
143	43132 11154	   	165.20	DCR|3DMG|2VULN|2DUR	19DUR|2DUST|359DMG|4aCGEN|6FEWX|7RCR|89VULN|9BPWR
144	43132 11156	   	165.20	DCR|3DMG|2VULN|2DUR	19DUR|2DUST|359DMG|4CGEN|6FEWX|7RCR|89VULN|9BPWR|aRCVC
145	43132 61152	   	165.20	DCR|3DMG|2VULN|2DUR	19DUR|2DUST|359DMG|4CGEN|6BEXP|7RCR|89VULN|9BPWR|aLIT
146	53132 21155	   	165.20	DCR|3DMG|2VULN|2DUR	19FEWX|2DUST|359DMG|4CGEN|6aDUR|7RCR|89VULN|9BPWR
147	13362 11451	   	165.20	DCR|3VULN|2DMG|2DUR	19LHND|2TLV|39aVULN|45DMG|6FEWX|7RCR|89DUR|9BPWR
148	13362 31451	   	165.20	DCR|3VULN|2DMG|2DUR	19LHND|2TLV|39aVULN|45DMG|6BEXP|7RCR|89DUR|9BPWR
149	16133 21451	   	165.20	DCR|3VULN|2DMG|2DUR	19LHND|25aVULN|39DMG|4CGEN|6DUST|7RCR|89DUR|9BPWR
150	41152 11151	   	165.20	DCR|3VULN|2DMG|2DUR	19DUR|2BEXP|39DMG|4RCVC|5ERES|6FEWX|7RCR|89aVULN|9BPWR
151	42134 21151	   	165.20	DCR|3VULN|2DMG|2DUR	19DUR|25LHND|39DMG|4CGEN|6DUST|7RCR|89aVULN|9BPWR
152	42143 11151	   	165.20	DCR|3VULN|2DMG|2DUR	19DUR|2LHND|39DMG|4DUST|5DMSP|6MLV|7RCR|89aVULN|9BPWR
153	43161 31151	   	165.20	DCR|3VULN|2DMG|2DUR	19DUR|2DUST|39DMG|46LWND|5CGEN|7RCR|89aVULN|9BPWR
154	43163 11151	   	165.20	DCR|3VULN|2DMG|2DUR	19DUR|2DUST|39DMG|4LWND|5DMSP|6MLV|7RCR|89aVULN|9BPWR
155	46133 21251	   	165.20	DCR|3VULN|2DMG|2DUR	19DUR|25aVULN|39DMG|4CGEN|6DUST|7RCR|89FEWX|9BPWR
156	13362 21451	   	165.10	DCR|3VULN|2DMG|2DUR	19LHND|2TLV|39aVULN|45DMG|6DUST|7RCR|89DUR|9BPWR
157	41132 21151	   	165.10	DCR|3DMG|2VULN|2DUR	19DUR|2BEXP|359DMG|4CGEN|6DUST|7RCR|89VULN|9BPWR|aERES
158	41152 21151	   	165.10	DCR|3VULN|2DMG|2DUR	19DUR|2BEXP|39DMG|4RCVC|5ERES|6DUST|7RCR|89aVULN|9BPWR
159	42132 21151	   	165.10	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|359DMG|4CGEN|6DUST|7RCR|89VULN|9BPWR|aERES
160	42162 11151	   	165.10	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|349DMG|5aERES|6FEWX|7RCR|89VULN|9BPWR
161	42162 11153	   	165.10	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|349DMG|5ERES|6FEWX|7RCR|89VULN|9BPWR|aDUST
162	42162 21152	   	165.10	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|349DMG|5ERES|6DUST|7RCR|89VULN|9BPWR|aFEWX
163	42162 31151	   	165.10	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|349DMG|5aERES|6BEXP|7RCR|89VULN|9BPWR
164	43132 11151	   	165.10	DCR|3DMG|2VULN|2DUR	19DUR|2DUST|359DMG|4CGEN|6FEWX|7RCR|89VULN|9BPWR|aERES
165	43132 61151	   	165.10	DCR|3DMG|2VULN|2DUR	19DUR|2DUST|359DMG|4CGEN|6BEXP|7RCR|89VULN|9BPWR|aERES
166	43162 31151	   	165.10	DCR|3VULN|2DMG|2DUR	19DUR|2DUST|39DMG|46LWND|5ERES|7RCR|89aVULN|9BPWR
167	42162 21151	   	165.00	DCR|3DMG|2VULN|2DUR	19DUR|2LHND|349DMG|5aERES|6DUST|7RCR|89VULN|9BPWR
168	43142 11151	   	165.00	DCR|3VULN|2DMG|2DUR	19DUR|24DUST|39DMG|5ERES|6FEWX|7RCR|89aVULN|9BPWR
