0	Index      	 *	Score 	Summary	Detail	
1	27418 14336	 * 	202.09	ACR|2VULN|2DMG|2AART|3CDMG	1MBVNT|2RCVC|37aCDMG|4aVULN|5RCR|68AART|9aDMG|aBPWR
21	27418 28133	   	182.63	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1MBVNT|2RCVC|3CDMG|48VULN|5RCR|6DUR|79DMG|aAART
22	22142 21111	 * 	182.39	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1MBVNT|2FEWX|367VULN|4RCR|5AART|8DMG|9CDMG|aASPD
23	22142 21112	   	182.39	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2FEWX|367VULN|4RCR|5AART|8DMG|9CDMG|aDUR
24	22361 33234	 * 	182.35	ACR|3DMG|1AART|2CDMG|1FLTHEA|1ZMB	1MBVNT|27FEWX|3FLTHEA|47CDMG|5RCR|679DMG|7BPWR|8AART|aZMB
25	24361 33274	   	182.35	ACR|3DMG|1AART|2CDMG|1FLTHEA|1ZMB	1MBVNT|27LHND|3FLTHEA|47CDMG|5RCR|679DMG|7BPWR|8AART|aZMB
26	23824 51152	   	182.33	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|2DMG|3ZMB|469VULN|5AIRHEA|7AART|8RCR|aCDMG
27	23433 42121	   	182.27	DCR|3VULN|2DMG|1AART	1MBVNT|29DMG|3CGEN|4AART|59LIT|6RCVC|7RCR|89aVULN|9BPWR
28	11536 14111	 * 	181.33	DCR|3DMG|1AART|1VULN|3DUR	18CGEN|2VULN|3AART|4BELT|589DMG|6RCR|78aDUR|8BPWR
29	11536 14322	   	180.89	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1CGEN|2aVULN|3AART|4BELT|58DMG|6RCR|7DUR|9ASPD
30	11313 63154	   	180.76	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1CGEN|27VULN|3ERES|45AART|6RCR|8CDMG|9DUR|aDMG
31	11313 63123	   	180.42	DCR|3VULN|2AART|1CDMG|1ZMB	1CGEN|27aVULN|3ERES|45AART|6RCR|8CDMG|9ZMB
32	61313 63123	   	180.42	DCR|3VULN|2AART|1CDMG|1ZMB	1MLV|27aVULN|3ERES|45AART|6RCR|8CDMG|9ZMB
33	61313 63623	   	180.42	DCR|3VULN|2AART|1CDMG|1ZMB	1MLV|27aVULN|3ERES|45AART|6RCR|8ZMB|9CDMG
34	11433 66132	 * 	180.14	DCR|2AART|2VULN|1DMG|2CDMG	1CGEN|28VULN|3DMG|45AART|6RCR|7DLOT|9aCDMG
35	11515 63131	   	179.93	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|247VULN|3AART|5TLV|6RCR|8CDMG|9DMG|aRCVC
36	23433 32121	   	179.77	DCR|3VULN|2DMG|1AART	1MBVNT|29DMG|36CGEN|4AART|59LIT|7RCR|89aVULN|9BPWR
37	23437 42121	   	179.77	DCR|3VULN|2DMG|1AART	1MBVNT|29DMG|35CGEN|4AART|69LIT|7RCR|89aVULN|9BPWR
38	23334 35417	   	179.77	DCR|3DMG|2VULN|1AART	1MBVNT|26aDMG|3LIT|4AART|5BELT|7RCR|8aMLV|9aVULN|aBPWR
39	22142 21141	   	179.74	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1MBVNT|2FEWX|367VULN|4RCR|5AART|8DMG|9ZMB|aDUR
40	23332 42847	   	179.57	DCR|3VULN|2DMG|1AART	1MBVNT|2aDMG|3LIT|4AART|5aLHND|69aVULN|7RCVC|8RCR|aBPWR
41	23335 42847	   	179.57	DCR|3VULN|2DMG|1AART	1MBVNT|2aDMG|3LIT|4AART|5aLWND|69aVULN|7RCVC|8RCR|aBPWR
42	23334 35267	   	179.57	DCR|3DMG|2VULN|1AART	1MBVNT|26aDMG|3LIT|4AART|5BELT|7RCR|8aVULN|9aTLV|aBPWR
43	23338 12847	   	179.47	DCR|3VULN|2DMG|1AART	1MBVNT|2aDMG|3aLIT|4AART|59aVULN|6LEGI|7RCVC|8RCR|aBPWR
44	22142 21127	 * 	179.29	ACR|3VULN|2DMG|1AART	1MBVNT|2FEWX|367VULN|4RCR|5AART|8aDMG|9SNIHEL
45	11514 63134	   	179.08	DCR|4VULN|1AART|1DMG	1CGEN|247aVULN|3AART|5DMG|6RCR|8MBVNT|9RPLT
46	23334 15117	   	178.97	DCR|2VULN|2DMG|1AART|2ZMB	1MBVNT|2aDMG|3LIT|4AART|5BELT|6DMSP|7RCR|8aZMB|9aVULN|aBPWR
47	23372 16382	 * 	178.68	DCR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2aDMG|3aLIT|4MLV|56CDMG|7aVULN|8RCR|9AART|aBPWR
48	11515 63132	   	178.63	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|247VULN|3AART|5TLV|6RCR|8CDMG|9DMG|aRMIN
49	22172 37743	   	178.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1MBVNT|2aFEWX|3aVULN|4LEGI|5DUR|6AART|7CDMG|8aDMG|9RCR|aBPWR
50	23341 32121	   	178.57	DCR|3VULN|2DMG|1AART	1MBVNT|29DMG|34LIT|59CGEN|6AART|7RCR|89aVULN|9BPWR
51	23361 32121	   	178.57	DCR|3VULN|2DMG|1AART	1MBVNT|29DMG|3LIT|4DMSP|59CGEN|6AART|7RCR|89aVULN|9BPWR
52	23248 72336	 * 	178.34	DCR|3DMG|1AART|1VULN|2CDMG	1MBVNT|237DMG|3BPWR|49CDMG|5DMSP|6AART|8RCR|aVULN
53	22361 33236	   	178.29	ACR|3DMG|1AART|2CDMG|1FLTHEA|1DUR	1MBVNT|27FEWX|3FLTHEA|47CDMG|5RCR|679DMG|7BPWR|8AART|aDUR
54	24361 33276	   	178.29	ACR|3DMG|1AART|2CDMG|1FLTHEA|1DUR	1MBVNT|27LHND|3FLTHEA|47CDMG|5RCR|679DMG|7BPWR|8AART|aDUR
55	22361 33244	   	178.29	ACR|3DMG|1AART|2CDMG|1FLTHEA|1DUR	1MBVNT|27FEWX|3FLTHEA|47CDMG|5RCR|67aDMG|7BPWR|8AART|9DUR
56	27418 14338	   	178.26	ACR|2VULN|2AART|1DMG|2CDMG	1MBVNT|2RCVC|37CDMG|4aVULN|5RCR|68AART|9DMG
57	11433 65122	   	178.22	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1CGEN|2VULN|38DMG|45AART|6RCR|7DUR|9MLV|aZMB
58	22142 61111	   	178.18	ACR|2VULN|2AART|1DMG|1CDMG|1ASPD	1MBVNT|2FEWX|37VULN|4RCR|56AART|8DMG|9CDMG|aASPD
59	22142 61112	   	178.18	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1MBVNT|2FEWX|37VULN|4RCR|56AART|8DMG|9CDMG|aDUR
60	22116 23746	   	178.16	DCR|3VULN|3DMG|1DUR	1MBVNT|28aFEWX|38aVULN|4CGEN|5DUR|6RCR|78aDMG|8aBPWR|9BELT
61	65132 63322	   	178.13	DCR|3DMG|1AART|1VULN|1CDMG	158MLV|278DMG|38DUST|4AART|6RCR|8BPWR|9VULN|aCDMG
62	11316 63133	   	178.03	DCR|3VULN|1AART|1DMG|1CDMG	15CGEN|27aVULN|3ERES|4AART|6RCR|8CDMG|9DMG
63	11514 62122	   	178.02	DCR|2VULN|2DMG|1AART|1ZMB	1CGEN|24VULN|3AART|58DMG|6RCR|7FEWX|9MLV|aZMB
64	11533 15151	   	178.02	DCR|2VULN|2DMG|1AART|1ZMB	1CGEN|2aVULN|3AART|47BELT|5ZMB|6RCR|89DMG
65	11533 16151	   	178.02	DCR|2VULN|2DMG|1AART|1ZMB	17CGEN|2aVULN|3AART|4BELT|5ZMB|6RCR|89DMG
66	11433 61621	   	177.86	DCR|2AART|2VULN|2DMG	1aCGEN|28VULN|3aDMG|45AART|6RCR|7aSNIHEL|9BELT|aBPWR
67	11433 63421	   	177.86	DCR|2AART|2VULN|2DMG	1aCGEN|27VULN|3aDMG|45AART|6RCR|8aBASICY|9BELT|aBPWR
68	11433 66121	   	177.76	DCR|2AART|2VULN|2DMG	1CGEN|28VULN|39DMG|45AART|6RCR|7DLOT|aLWND
69	11433 66122	   	177.76	DCR|2AART|2VULN|2DMG	1CGEN|28VULN|39DMG|45AART|6RCR|7DLOT|aLHND
70	23334 35233	   	177.56	DCR|2VULN|2DMG|1AART|1CDMG	1MBVNT|26DMG|3LIT|4AART|5BELT|7RCR|89VULN|aCDMG
71	11536 14113	   	177.41	DCR|3DMG|1AART|1VULN|2DUR	18CGEN|2VULN|3AART|4BELT|589DMG|6RCR|78DUR|8BPWR|aDUST
72	23332 26847	   	177.37	DCR|3VULN|2DMG|1AART	1MBVNT|2aDMG|3LIT|4AART|5aLHND|6DMSP|79aVULN|8RCR|aBPWR
73	23335 24847	   	177.37	DCR|3VULN|2DMG|1AART	1MBVNT|2aDMG|3LIT|4AART|5aLWND|6DMSP|79aVULN|8RCR|aBPWR
74	23335 44847	   	177.37	DCR|3VULN|2DMG|1AART	1MBVNT|2aDMG|3LIT|4AART|57aLWND|69aVULN|8RCR|aBPWR
75	23338 21847	   	177.37	DCR|3VULN|2DMG|1AART	1MBVNT|2aDMG|3LIT|4AART|59aVULN|6DMSP|7aLWND|8RCR|aBPWR
76	23334 31117	   	177.37	DCR|3DMG|2VULN|1AART	1MBVNT|26aDMG|3LIT|4AART|5BELT|7aMLV|8RCR|9aVULN|aBPWR
77	11536 14311	   	177.31	DCR|3DMG|1AART|1VULN|2DUR	1CGEN|2VULN|3AART|4BELT|589DMG|6RCR|7aDUR
78	23332 42237	   	177.17	DCR|3VULN|2DMG|1AART	1MBVNT|2aDMG|3LIT|4AART|5aLHND|68aVULN|7RCVC|9RCR|aBPWR
79	23338 52237	   	177.17	DCR|3VULN|2DMG|1AART	1MBVNT|2aDMG|3LIT|4AART|58aVULN|6aLHND|7RCVC|9RCR|aBPWR
80	23334 38117	   	177.17	DCR|3DMG|2VULN|1AART	1MBVNT|26aDMG|3LIT|4AART|5BELT|7aERES|8RCR|9aVULN|aBPWR
81	23837 33522	   	176.91	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD	1MBVNT|28DMG|38ZMB|4CGEN|5ASPD|68VULN|7AART|8BPWR|9MLV|aRCR
82	11533 14112	   	176.71	DCR|2VULN|1AART|1DMG|2ZMB|2DUR	18CGEN|2aVULN|3AART|4BELT|58ZMB|6RCR|78DUR|8BPWR|9DMG
83	61533 14112	   	176.71	DCR|2VULN|1AART|1DMG|2ZMB|2DUR	18MLV|2aVULN|3AART|4BELT|58ZMB|6RCR|78DUR|8BPWR|9DMG
84	32353 15132	   	176.62	DCR|4VULN|1AART|1DMG|1DUR	14LWND|2BELT|345aVULN|4BPWR|6DUR|7AART|8DMG|9RCR
85	11514 63222	   	176.08	DCR|3VULN|1AART|1DMG|1ZMB	1CGEN|247VULN|3AART|5DMG|6RCR|8BEXP|9MLV|aZMB
86	11514 63322	   	176.08	DCR|3VULN|1AART|1DMG|1ZMB	1CGEN|247VULN|3AART|5DMG|6RCR|8LWND|9MLV|aZMB
87	23282 32733	   	176.05	DCR|3VULN|3DMG|2DUR	1MBVNT|238DMG|38BPWR|48DUR|5BEXP|6LHND|78aVULN|9RCR
88	23582 32733	   	176.05	DCR|3VULN|3DMG|2DUR	1MBVNT|238DMG|48DUR|5BEXP|6LHND|78aVULN|8BPWR|9RCR
89	11313 65133	   	176.03	DCR|2AART|2VULN|1DMG|1CDMG	1CGEN|2aVULN|3ERES|45AART|6RCR|7RCVC|8CDMG|9DMG
90	61313 65133	   	176.03	DCR|2AART|2VULN|1DMG|1CDMG	1MLV|2aVULN|3ERES|45AART|6RCR|7RCVC|8CDMG|9DMG
91	11514 63122	   	175.98	DCR|3VULN|1AART|1DMG|1ZMB	1CGEN|247VULN|3AART|5DMG|6RCR|8MBVNT|9MLV|aZMB
92	11533 11312	   	175.98	DCR|3VULN|1AART|1DMG|1ZMB	1CGEN|29aVULN|3AART|4BELT|5ZMB|6RCR|7DUST|8DMG
93	61533 11312	   	175.98	DCR|3VULN|1AART|1DMG|1ZMB	1MLV|29aVULN|3AART|4BELT|5ZMB|6RCR|7DUST|8DMG
94	11514 63142	   	175.88	DCR|3VULN|1AART|1DMG|1ZMB	1CGEN|247VULN|3AART|5DMG|6RCR|8MBVNT|9ERES|aZMB
95	11433 63134	   	175.83	DCR|3VULN|2AART|1DMG	1CGEN|27aVULN|3DMG|45AART|6RCR|8MBVNT|9RPLT
96	11433 63181	   	175.83	DCR|3VULN|2AART|1DMG	1CGEN|27aVULN|3DMG|45AART|6RCR|8MBVNT|9LIT
97	11433 66223	   	175.83	DCR|3DMG|2AART|1VULN	18CGEN|2VULN|39aDMG|45AART|6RCR|7DLOT
98	23234 42737	   	175.67	DCR|3DMG|2VULN|1AART	1MBVNT|23aDMG|3aBPWR|4LHND|5aLIT|6RCVC|7AART|8aVULN|9RCR
99	23384 42737	   	175.67	DCR|3DMG|2VULN|1AART	1MBVNT|25aDMG|3LIT|4aLHND|6RCVC|7AART|8aVULN|9RCR|aBPWR
100	23534 42737	   	175.67	DCR|3DMG|2VULN|1AART	1MBVNT|23aDMG|4LHND|5aLIT|6RCVC|7AART|8aVULN|9RCR|aBPWR
101	22361 33214	 * 	175.66	ACR|2DMG|1AART|1VULN|2CDMG|1FLTHEA	1MBVNT|27FEWX|3FLTHEA|47CDMG|5RCR|67DMG|7BPWR|8AART|9ERES|aVULN
102	22142 61141	   	175.53	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1MBVNT|2FEWX|37VULN|4RCR|56AART|8DMG|9ZMB|aDUR
103	23248 34834	   	175.48	DCR|2VULN|2DMG|1AART|2CDMG	1MBVNT|23DMG|3BPWR|47CDMG|5DMSP|68VULN|9RCR|aAART
104	23548 34834	   	175.48	DCR|2VULN|2DMG|1AART|2CDMG	1MBVNT|23DMG|47CDMG|5DMSP|68VULN|9RCR|aAART
105	22142 21113	   	175.45	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2FEWX|367VULN|4RCR|5AART|8DMG|9CDMG|aLHND
106	22142 21115	   	175.45	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2FEWX|367VULN|4RCR|5AART|8DMG|9CDMG|aCGEN
107	22142 21117	   	175.45	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2FEWX|367VULN|4RCR|5AART|8DMG|9CDMG|aLWND
108	22142 21775	   	175.45	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|29FEWX|367VULN|4RCR|5AART|8CDMG|aDMG
109	23334 35232	   	175.36	DCR|2AART|2VULN|2DMG	1MBVNT|26DMG|3LIT|4aAART|5BELT|7RCR|89VULN
110	22142 21116	   	175.35	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2FEWX|367VULN|4RCR|5AART|8DMG|9CDMG|aTLV
111	28142 63364	   	175.34	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|2LWND|37VULN|4RCR|5DUR|6CDMG|8ZMB|9AART|aDMG
112	22116 23725	   	175.15	DCR|2VULN|2DMG|1AART|2DUR	1MBVNT|28FEWX|38VULN|4CGEN|59DUR|6RCR|78DMG|8BPWR|aAART
113	24116 23727	   	175.15	DCR|2VULN|2DMG|1AART|2DUR	1MBVNT|28LHND|38VULN|4CGEN|59DUR|6RCR|78DMG|8BPWR|aAART
114	11433 63622	 * 	175.13	DCR|2AART|2VULN|1DMG|2ZMB	1CGEN|27VULN|3DMG|45AART|6RCR|8aZMB|9LHND
115	11313 63131	   	175.13	DCR|2AART|2VULN|1DMG|1CDMG	1CGEN|27VULN|3ERES|45AART|6RCR|8CDMG|9DMG|aRCVC
116	61313 63131	   	175.13	DCR|2AART|2VULN|1DMG|1CDMG	1MLV|27VULN|3ERES|45AART|6RCR|8CDMG|9DMG|aRCVC
117	22142 61127	   	175.08	ACR|2AART|2VULN|2DMG	1MBVNT|2FEWX|37VULN|4RCR|56AART|8aDMG|9SNIHEL
118	61433 63142	   	175.03	DCR|2AART|2VULN|1DMG|2ZMB	1MLV|27VULN|3DMG|45AART|6RCR|8MBVNT|9aZMB
119	23332 26237	   	174.97	DCR|3VULN|2DMG|1AART	1MBVNT|2aDMG|3LIT|4AART|5aLHND|6DMSP|78aVULN|9RCR|aBPWR
120	23332 56237	   	174.97	DCR|3VULN|2DMG|1AART	1MBVNT|2aDMG|3LIT|4AART|56aLHND|78aVULN|9RCR|aBPWR
121	24533 26237	   	174.97	DCR|3VULN|2DMG|1AART	1MBVNT|23aLHND|4AART|5LIT|6aDMG|78aVULN|9RCR|aBPWR
122	23372 46382	   	174.87	DCR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2aDMG|3aLIT|4MLV|5CDMG|6RCVC|7aVULN|8RCR|9AART|aBPWR
123	22331 52727	 * 	174.76	ACR|2VULN|2AART|1DMG|2FLTHEA	1MBVNT|29FEWX|39FLTHEA|4RMIN|5RCR|67AART|89VULN|9BPWR|aDMG
124	11651 22531	   	174.55	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CGEN|23VULN|4CDMG|5DUR|6RCR|7AART|8DMG|9RMIN|aASPD
125	21116 32683	   	174.17	DCR|3VULN|2DMG|1AART	1MBVNT|2RPLT|3RCVC|49CGEN|569VULN|7AART|89DMG|9BPWR|aRCR
126	11536 12141	   	174.15	DCR|2VULN|2DMG|1AART|1DUR	18CGEN|29VULN|3AART|4BELT|58DMG|6RCR|78LHND|8BPWR|aDUR
127	11536 12122	   	174.15	DCR|2VULN|2DMG|1AART|1ASPD	18CGEN|2aVULN|3AART|4BELT|58DMG|6RCR|78LHND|8BPWR|9ASPD
128	61536 12122	   	174.15	DCR|2VULN|2DMG|1AART|1ASPD	18MLV|2aVULN|3AART|4BELT|58DMG|6RCR|78LHND|8BPWR|9ASPD
129	23374 26382	   	174.12	DCR|3DMG|2VULN|1AART|1SELL	1MBVNT|26aDMG|3LIT|4aMLV|5SELL|7aVULN|8RCR|9AART|aBPWR
130	23374 64382	   	174.12	DCR|3VULN|2DMG|1AART|1SELL	1MBVNT|2aDMG|3LIT|4aMLV|5SELL|67aVULN|8RCR|9AART|aBPWR
131	11433 66311	   	174.05	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1CGEN|2VULN|3aDMG|45AART|6RCR|7DLOT|8DUR|9ASPD
132	11433 66313	   	174.05	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1CGEN|2aVULN|3DMG|45AART|6RCR|7DLOT|8DUR|9ASPD
133	23282 32732	   	174.05	DCR|3DMG|2VULN|1CDMG|2DUR	1MBVNT|238DMG|38BPWR|48DUR|5BEXP|6LHND|78VULN|9RCR|aCDMG
134	23582 32732	   	174.05	DCR|3DMG|2VULN|1CDMG|2DUR	1MBVNT|238DMG|48DUR|5BEXP|6LHND|78VULN|8BPWR|9RCR|aCDMG
135	11514 62133	   	173.95	DCR|2VULN|2DMG|1AART|1DUR	1CGEN|24VULN|3AART|58DMG|6RCR|7FEWX|9RPLT|aDUR
136	11536 11141	   	173.95	DCR|2VULN|2DMG|1AART|1DUR	18CGEN|29VULN|3AART|4BELT|58DMG|6RCR|78DUST|8BPWR|aDUR
137	11536 11122	   	173.95	DCR|2VULN|2DMG|1AART|1ASPD	18CGEN|2aVULN|3AART|4BELT|58DMG|6RCR|78DUST|8BPWR|9ASPD
138	61536 11122	   	173.95	DCR|2VULN|2DMG|1AART|1ASPD	18MLV|2aVULN|3AART|4BELT|58DMG|6RCR|78DUST|8BPWR|9ASPD
139	11433 62135	 * 	173.92	DCR|2AART|2DMG|1VULN|1CDMG	1CGEN|2VULN|38DMG|45AART|6RCR|7FEWX|9RPLT|aCDMG
140	11536 11341	   	173.85	DCR|2VULN|2DMG|1AART|1DUR	1CGEN|29VULN|3AART|4BELT|58DMG|6RCR|7DUST|aDUR
141	11536 11322	   	173.85	DCR|2VULN|2DMG|1AART|1ASPD	1CGEN|2aVULN|3AART|4BELT|58DMG|6RCR|7DUST|9ASPD
142	61536 11322	   	173.85	DCR|2VULN|2DMG|1AART|1ASPD	1MLV|2aVULN|3AART|4BELT|58DMG|6RCR|7DUST|9ASPD
143	11313 63114	   	173.82	DCR|2AART|2VULN|1DMG|1CDMG	1CGEN|27VULN|3ERES|45AART|6RCR|8CDMG|9LHND|aDMG
144	11313 63132	   	173.82	DCR|2AART|2VULN|1DMG|1CDMG	1CGEN|27VULN|3ERES|45AART|6RCR|8CDMG|9DMG|aRMIN
145	11313 63135	   	173.82	DCR|2AART|2VULN|1DMG|1CDMG	1CGEN|27VULN|3ERES|45AART|6RCR|8CDMG|9DMG|aLWND
146	11313 63136	   	173.82	DCR|2AART|2VULN|1DMG|1CDMG	1aCGEN|27VULN|3ERES|45AART|6RCR|8CDMG|9DMG
147	11433 66131	   	173.82	DCR|2AART|2VULN|1DMG|1CDMG	1CGEN|28VULN|3DMG|45AART|6RCR|7DLOT|9CDMG|aBEXP
148	11433 66133	   	173.82	DCR|2AART|2VULN|1DMG|1CDMG	1CGEN|28VULN|3DMG|45AART|6RCR|7DLOT|9CDMG|aRMIN
149	61313 63114	   	173.82	DCR|2AART|2VULN|1DMG|1CDMG	1MLV|27VULN|3ERES|45AART|6RCR|8CDMG|9LHND|aDMG
150	61313 63132	   	173.82	DCR|2AART|2VULN|1DMG|1CDMG	1MLV|27VULN|3ERES|45AART|6RCR|8CDMG|9DMG|aRMIN
151	61313 63135	   	173.82	DCR|2AART|2VULN|1DMG|1CDMG	1MLV|27VULN|3ERES|45AART|6RCR|8CDMG|9DMG|aLWND
152	61313 63136	   	173.82	DCR|2AART|2VULN|1DMG|1CDMG	1MLV|27VULN|3ERES|45AART|6RCR|8CDMG|9DMG|aCGEN
153	11313 63134	   	173.72	DCR|2AART|2VULN|1DMG|1CDMG	1CGEN|27VULN|3ERES|45AART|6RCR|8CDMG|9DMG|aLSRHEA
154	11433 61632	   	173.72	DCR|2AART|2VULN|1DMG|1CDMG	1CGEN|28VULN|3DMG|45AART|6RCR|7SNIHEL|9DUST|aCDMG
155	11433 63432	   	173.72	DCR|2AART|2VULN|1DMG|1CDMG	1CGEN|27VULN|3DMG|45AART|6RCR|8BASICY|9DUST|aCDMG
156	61313 63134	   	173.72	DCR|2AART|2VULN|1DMG|1CDMG	1MLV|27VULN|3ERES|45AART|6RCR|8CDMG|9DMG|aLSRHEA
157	23338 41843	   	173.68	DCR|4VULN|1AART|1DMG	1MBVNT|2DMG|3LIT|4AART|569aVULN|7LWND|8RCR
158	22142 21741	   	173.33	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1MBVNT|2FEWX|367VULN|4RCR|5AART|8CDMG|9ZMB|aASPD
159	22142 21742	   	173.33	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1MBVNT|2FEWX|367VULN|4RCR|5AART|8CDMG|9ZMB|aDUR
160	22142 21768	   	173.33	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1MBVNT|2FEWX|367VULN|4RCR|5AART|8CDMG|9DUR|aZMB
161	11432 36253	   	173.23	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1CGEN|2aVULN|3DMG|4AART|5CANSTR|6aTLV|7RCR|8DUR|9aCDMG|aBPWR
162	23234 72737	   	173.17	DCR|3DMG|2VULN|1AART	1MBVNT|23aDMG|3aBPWR|46LHND|5aLIT|7AART|8aVULN|9RCR
163	23344 12737	   	173.17	DCR|3DMG|2VULN|1AART	1MBVNT|26aDMG|34LIT|5aLHND|7AART|8aVULN|9RCR|aBPWR
164	23364 12737	   	173.17	DCR|3DMG|2VULN|1AART	1MBVNT|26aDMG|3LIT|4DMSP|5aLHND|7AART|8aVULN|9RCR|aBPWR
165	32352 35135	   	173.17	DCR|3VULN|2DMG|1AART	14LWND|2BELT|34aVULN|4BPWR|5MLV|68DMG|7AART|9RCR
166	24142 53727	   	173.17	ACR|2VULN|2DMG|1AART|2DUR	1MBVNT|28LHND|38VULN|4RCR|59DUR|6CGEN|78DMG|8BPWR|aAART
167	23334 28117	   	173.16	DCR|2AART|2VULN|2DMG	1MBVNT|2aDMG|3LIT|47AART|5BELT|6aMLV|8RCR|9aVULN|aBPWR
168	23334 58117	   	173.16	DCR|2AART|2DMG|2VULN	1MBVNT|2aDMG|3LIT|47AART|5BELT|6aCGEN|8RCR|9aVULN|aBPWR
169	23334 68117	   	172.96	DCR|2AART|2VULN|2DMG	1MBVNT|2aDMG|3LIT|47AART|5BELT|6aERES|8RCR|9aVULN|aBPWR
