0	Index      	 *	Score 	Summary	Detail	
1	31112 64111	 * 	190.59	ACR|3DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	179DMG|2DUR|37ASPD|47CGEN|5RCR|6AART|7BPWR|8ZMB|aVULN
26	31342 52241	 * 	178.17	ACR|3VULN|2DMG|2ZMB|2DUR	17DMG|27DUR|3RCVC|47ZMB|5RCR|6DMSP|7BPWR|89aVULN
27	31342 52242	 * 	178.17	ACR|3DMG|2VULN|2ZMB|2DUR	17aDMG|27DUR|3RCVC|47ZMB|5RCR|6DMSP|7BPWR|89VULN
28	25222 63135	 * 	177.86	DCR|2AART|2DMG|1VULN|1FLTHEA|1DUR	1MLV|2LWND|3DUR|49DMG|58AART|6FLTHEA|7RCR|aVULN
29	36123 34663	 * 	177.27	DCR|3VULN|3DMG|2ASPD	158DMG|2MBVNT|35ASPD|4RMIN|58BPWR|68ERES|78aVULN|9RCR
30	36332 11128	   	176.80	DCR|2AART|2VULN|2DMG|1DUR	1aDMG|2MBVNT|3aVULN|4TLV|58AART|6DUR|7aCANHEL|9RCR|aBPWR
31	36244 47232	   	176.20	DCR|3VULN|2DMG|2DUR|1ZMB	1aDMG|2MBVNT|3aDUR|4BEXP|5ZMB|69aVULN|7RCR|8RPLT|aBPWR
32	36332 34533	 * 	176.08	DCR|2VULN|2DMG|1AART|2CDMG	18DMG|2MBVNT|38VULN|4TLV|5AART|6CGEN|78CDMG|8BPWR|9ERES|aRCR
33	36332 54533	   	176.08	DCR|2VULN|2DMG|1AART|2CDMG	18DMG|2MBVNT|38VULN|4TLV|5AART|6MLV|78CDMG|8BPWR|9ERES|aRCR
34	31532 11611	   	175.61	DCR|2AART|2DMG|1VULN|2DUR|1ZMB	1aDMG|26DUR|3VULN|4TLV|57AART|8ZMB|9RCR
35	31532 11614	   	175.61	DCR|2AART|2VULN|1DMG|2DUR|1ZMB	1DMG|26DUR|3aVULN|4TLV|57AART|8ZMB|9RCR
36	31532 61613	   	175.61	DCR|2AART|2DMG|1VULN|2DUR|1ZMB	16DMG|2aDUR|3VULN|46TLV|57AART|6BPWR|8ZMB|9RCR
37	36542 41217	 * 	175.59	ACR|3DMG|2VULN|1AART	14aDMG|2MBVNT|3ERES|5RCR|6DLOT|7AART|8aVULN|9aDUST|aBPWR
38	32251 33242	   	175.56	DCR|3VULN|3DMG|1DUR	13aDMG|235CGEN|3BPWR|489VULN|6DUR|7RCR
39	32521 33242	   	175.46	DCR|3VULN|3DMG|1DUR	14aDMG|25CGEN|389VULN|6DUR|7RCR
40	36123 34664	 * 	175.26	DCR|3DMG|2VULN|2ASPD|1CDMG	158DMG|2MBVNT|35ASPD|4RMIN|58BPWR|68ERES|78VULN|9RCR|aCDMG
41	31112 64121	   	174.94	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	17DMG|2DUR|37ASPD|47CGEN|5RCR|6AART|7BPWR|8ZMB|9RCVC|aVULN
42	31112 64134	   	174.84	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	17DMG|2DUR|37ASPD|47CGEN|5RCR|6AART|7BPWR|8ZMB|9ERES|aVULN
43	31511 63213	   	174.76	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	19aDMG|2DUR|3VULN|4LWND|5LIT|6AART|7RCR|8ASPD
44	32241 31116	   	174.53	DCR|3DMG|1AART|1VULN|1CDMG	139DMG|235CGEN|3BPWR|4DUST|6AART|7RCR|8VULN|aCDMG
45	31154 61111	   	174.45	DCR|2DMG|1AART|1VULN|2ZMB|2DUR|1ASPD	1aDMG|27DUR|3ASPD|48ZMB|5VULN|6AART|9RCR
46	36172 48114	 * 	174.29	DCR|2DMG|1AART|2CDMG|3ASPD|1ZMB	1aDMG|2MBVNT|37aASPD|4LHND|5AART|6ZMB|8RCR|9aCDMG|aBPWR
47	31342 14242	   	174.12	ACR|3VULN|2DMG|2DUR|1ZMB	1aDMG|26DUR|3RCVC|4ZMB|5RCR|789VULN
48	36332 21228	   	174.07	DCR|3DMG|2VULN|1AART	18aDMG|2MBVNT|3aVULN|4TLV|5AART|6LHND|7aCANHEL|9RCR|aBPWR
49	31242 42111	 * 	174.03	ACR|3DMG|1VULN|2ZMB|1CDMG|2DUR	17aDMG|23DUR|47ZMB|5RCR|67ERES|7BPWR|8CDMG|9VULN
50	32251 33241	 * 	174.00	DCR|4VULN|2DMG|1DUR	13DMG|235CGEN|3BPWR|489aVULN|6DUR|7RCR
51	31536 13523	   	174.00	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	18DMG|26DUR|38VULN|458TLV|7RCR|8BPWR|9CDMG|aZMB
52	32521 33241	   	173.90	DCR|4VULN|2DMG|1DUR	14DMG|25CGEN|389aVULN|6DUR|7RCR
53	36542 35413	   	173.89	ACR|3DMG|2VULN|1AART	148DMG|2MBVNT|389ERES|5RCR|6RPLT|78VULN|8BPWR|aAART
54	23331 64352	 * 	173.63	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	1MLV|2LHND|3VULN|4AART|5aASPD|6CDMG|7RCR|89DMG
55	31262 63613	 * 	173.54	DCR|2DMG|1AART|1VULN|2CDMG|3DUR	19DMG|236DUR|4RCVC|56CDMG|6BPWR|7AART|8VULN|aRCR
56	31332 63613	   	173.54	DCR|2DMG|1AART|1VULN|2CDMG|3DUR	19DMG|246DUR|3RCVC|56CDMG|6BPWR|7AART|8VULN|aRCR
57	31112 61111	   	173.42	ACR|2DMG|1AART|1VULN|2DUR|1ZMB|1ASPD	19DMG|27DUR|3ASPD|4CGEN|5RCR|6AART|8ZMB|aVULN
58	35331 11526	   	172.99	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1aDMG|2LWND|38VULN|4AART|5ASPD|6DUR|7BASHEA|9RCR
59	31631 51521	   	172.75	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	15DMG|2DUR|3BELT|4LHND|6RCR|7ASPD|8VULN|9CDMG|aAART
60	31233 25552	 * 	172.72	DCR|3VULN|2DMG|3DUR|1ZMB	17DMG|234DUR|579VULN|67CANHEL|7BPWR|8ZMB|aRCR
61	36132 12815	   	172.66	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1DUR	18DMG|2MBVNT|38ASPD|4VULN|5AART|6DUR|78ERES|8BPWR|9CDMG|aRCR
62	36132 13815	   	172.66	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1DUR	18DMG|2MBVNT|38ASPD|4VULN|5AART|6DUR|78TLV|8BPWR|9CDMG|aRCR
63	36423 84128	   	172.47	DCR|3DMG|2VULN|1AART	14aDMG|2MBVNT|3aLWND|5ERES|6MGNLIT|7aVULN|8AART|9RCR|aBPWR
64	35132 11526	   	172.39	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1aDMG|2LWND|3ASPD|48VULN|5AART|6DUR|7BASHEA|9RCR
65	11242 31111	   	172.21	DCR|2DMG|1AART|1VULN|2ZMB|2DUR	13DUR|2ERES|45ZMB|6AART|7RCR|8VULN|9aDMG
66	11242 31114	 * 	172.21	DCR|2VULN|1AART|1DMG|2ZMB|2DUR	13DUR|2ERES|45ZMB|6AART|7RCR|8aVULN|9DMG
67	36161 61411	   	172.12	DCR|2DMG|2AART|1VULN|1ZMB|1ASPD	19DMG|2MBVNT|3ASPD|4ZMB|5CGEN|67AART|8RCR|aVULN
68	31212 52131	   	171.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1DMG|23DUR|4BELT|58VULN|6RCR|7BEXP|9AART|aCDMG
69	31212 53131	   	171.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1DMG|23DUR|4BELT|58VULN|6RCR|7LWND|9AART|aCDMG
70	31132 42311	   	171.64	DCR|2AART|2DMG|1VULN|2DUR|1ASPD	1aDMG|28DUR|3ASPD|4VULN|57AART|6MLV|9RCR
71	31132 42314	   	171.64	DCR|2AART|2VULN|1DMG|2DUR|1ASPD	1DMG|28DUR|3ASPD|4aVULN|57AART|6MLV|9RCR
72	31132 52311	   	171.64	DCR|2AART|2DMG|1VULN|2DUR|1ASPD	1aDMG|28DUR|3ASPD|4VULN|57AART|6CGEN|9RCR
73	31132 52314	   	171.64	DCR|2VULN|2AART|1DMG|2DUR|1ASPD	1DMG|28DUR|3ASPD|4aVULN|57AART|6CGEN|9RCR
74	31542 42311	   	171.64	DCR|2AART|2DMG|1VULN|2DUR|1ASPD	1aDMG|28DUR|3VULN|4ASPD|57AART|6MLV|9RCR
75	31542 52311	   	171.64	DCR|2AART|2DMG|1VULN|2DUR|1ASPD	1aDMG|28DUR|3VULN|4ASPD|57AART|6CGEN|9RCR
76	35326 21161	 * 	171.55	DCR|3VULN|2DMG|1CDMG|2DUR	19DMG|2LWND|389VULN|4LEGI|5LSRREG|6CDMG|79DUR|9BPWR|aRCR
77	32231 34551	   	171.37	DCR|3DMG|2VULN|1AART	138DMG|23CGEN|3BPWR|4RPLT|5LWND|67VULN|9RCR|aAART
78	33331 63226	   	171.16	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	18aDMG|2LHND|3VULN|4AART|5ASPD|6LSRICY|7DUR|9RCR
79	35331 63226	   	171.16	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	18aDMG|2LWND|3VULN|4AART|5ASPD|6LSRICY|7DUR|9RCR
80	33162 22262	 * 	171.15	ACR|3DMG|2VULN|3ASPD	17aDMG|2467aLHND|379ASPD|5RCR|7aBPWR|8aVULN
81	33331 11226	   	171.06	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	18aDMG|2LHND|3VULN|4AART|5ASPD|6DUR|7BASHEA|9RCR
82	35331 11226	   	171.06	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	18aDMG|2LWND|3VULN|4AART|5ASPD|6DUR|7BASHEA|9RCR
83	31124 62311	   	171.04	DCR|2DMG|2AART|1VULN|2DUR|1ASPD	1aDMG|28DUR|3ASPD|4RMIN|5VULN|67AART|9RCR
84	31124 62314	   	171.04	DCR|2VULN|2AART|1DMG|2DUR|1ASPD	1DMG|28DUR|3ASPD|4RMIN|5aVULN|67AART|9RCR
85	36451 13732	   	170.76	DCR|3VULN|3DMG|1ASPD	18aDMG|2MBVNT|378LWND|4ASPD|5aERES|68aVULN|8aBPWR|9RCR
86	36451 44732	   	170.76	DCR|3VULN|3DMG|1ASPD	18aDMG|2MBVNT|368LWND|4ASPD|5aERES|78aVULN|8aBPWR|9RCR
87	31342 14241	 * 	170.63	ACR|4VULN|1DMG|2DUR|1ZMB	1DMG|26DUR|3RCVC|4ZMB|5RCR|789aVULN
88	31132 65226	   	170.56	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	18aDMG|2DUR|3ASPD|4VULN|5AART|6LSRICY|7LWND|9RCR
89	33132 63226	   	170.56	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	18aDMG|2LHND|3ASPD|4VULN|5AART|6LSRICY|7DUR|9RCR
90	33342 63226	   	170.56	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	18aDMG|2LHND|3VULN|4ASPD|5AART|6LSRICY|7DUR|9RCR
91	35132 63226	   	170.56	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	18aDMG|2LWND|3ASPD|4VULN|5AART|6LSRICY|7DUR|9RCR
92	36142 34663	   	170.56	DCR|3VULN|3DMG|1ASPD	148DMG|2MBVNT|3ASPD|5RMIN|68ERES|78aVULN|8BPWR|9RCR
93	31112 64114	   	170.53	ACR|3DMG|1AART|2ASPD|1ZMB|1DUR	179DMG|2DUR|37ASPD|47CGEN|5RCR|6AART|7BPWR|8ZMB|aMLV
94	31112 64116	   	170.53	ACR|3DMG|1AART|2ASPD|1ZMB|1DUR	179DMG|2DUR|37ASPD|47CGEN|5RCR|6AART|7BPWR|8ZMB|aRPLT
95	31112 64161	   	170.53	ACR|3DMG|1AART|2ASPD|1ZMB|1DUR	17aDMG|2DUR|37ASPD|47CGEN|5RCR|6AART|7BPWR|8ZMB|9RMIN
96	31132 61226	   	170.46	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	18aDMG|2DUR|3ASPD|4VULN|5AART|6LSRICY|7LEGI|9RCR
97	33132 11226	   	170.46	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	18aDMG|2LHND|3ASPD|4VULN|5AART|6DUR|7BASHEA|9RCR
98	33342 11226	   	170.46	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	18aDMG|2LHND|3VULN|4ASPD|5AART|6DUR|7BASHEA|9RCR
99	35132 11226	   	170.46	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	18aDMG|2LWND|3ASPD|4VULN|5AART|6DUR|7BASHEA|9RCR
100	35342 11226	   	170.46	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	18aDMG|2LWND|3VULN|4ASPD|5AART|6DUR|7BASHEA|9RCR
101	31112 64115	   	170.43	ACR|3DMG|1AART|2ASPD|1ZMB|1DUR	179DMG|2DUR|37ASPD|47CGEN|5RCR|6AART|7BPWR|8ZMB|aERES
102	31112 64131	   	170.43	ACR|3DMG|1AART|2ASPD|1ZMB|1DUR	17aDMG|2DUR|37ASPD|47CGEN|5RCR|6AART|7BPWR|8ZMB|9ERES
103	31112 64141	   	170.43	ACR|3DMG|1AART|2ASPD|1ZMB|1DUR	17aDMG|2DUR|37ASPD|47CGEN|5RCR|6AART|7BPWR|8ZMB|9TLV
104	31112 64261	   	170.43	ACR|3DMG|1AART|2ASPD|1ZMB|1DUR	17aDMG|2DUR|37ASPD|47CGEN|5RCR|6AART|7BPWR|8ERES|9ZMB
105	32312 36551	 * 	170.38	DCR|3DMG|2VULN|2CDMG|1SELL	179DMG|23aCGEN|49CDMG|59VULN|6SELL|8RCR|9BPWR
106	32312 36552	 * 	170.38	DCR|3DMG|2VULN|2CDMG|1SELL	179DMG|23CGEN|49CDMG|59VULN|6SELL|8RCR|9BPWR|aBEXP
107	32212 14614	   	170.32	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	13DMG|23CGEN|3BPWR|4CDMG|5aVULN|6BEXP|7SELL|8AART|9RCR
108	32212 32614	   	170.32	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	13DMG|23CGEN|3BPWR|4CDMG|5aVULN|6SELL|7BEXP|8AART|9RCR
109	31532 61612	   	170.32	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	16DMG|2DUR|3VULN|46TLV|57AART|6BPWR|8ZMB|9RCR|aDMSP
110	32312 36553	 * 	170.28	DCR|3DMG|2VULN|2CDMG|1SELL	179DMG|23CGEN|49CDMG|59VULN|6SELL|8RCR|9BPWR|aLSRHEA
111	31112 64153	 * 	170.17	ACR|2DMG|2AART|2ZMB|2ASPD|1DUR	17DMG|2DUR|37ASPD|47CGEN|5RCR|69AART|7BPWR|8aZMB
112	31511 63212	   	170.11	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	19DMG|2DUR|3VULN|4LWND|5LIT|6AART|7RCR|8ASPD|aZMB
113	32253 51613	   	169.92	DCR|2DMG|2AART|1VULN|1ZMB|1DUR	13DMG|23CGEN|3BPWR|4VULN|5BEXP|67AART|8ZMB|9RCR|aDUR
114	36332 21128	   	169.86	DCR|2AART|2VULN|2DMG	1aDMG|2MBVNT|3aVULN|4TLV|58AART|6LHND|7aCANHEL|9RCR|aBPWR
115	36332 71811	   	169.86	DCR|2AART|2VULN|2DMG	1aDMG|2MBVNT|36VULN|46TLV|57AART|6BPWR|8CGEN|9RCR
116	36145 82112	   	169.83	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	14DMG|2MBVNT|3aASPD|5TLV|6AART|7VULN|8RCR|9CDMG
117	32523 51613	   	169.82	DCR|2DMG|2AART|1VULN|1ZMB|1DUR	14DMG|2CGEN|3VULN|5BEXP|67AART|8ZMB|9RCR|aDUR
118	32241 31153	   	169.75	DCR|2VULN|2DMG|1AART|1DUR	13DMG|235CGEN|3BPWR|4DUST|6AART|7RCR|8aVULN|9DUR
119	36215 48141	   	169.74	DCR|3DMG|2VULN|2DUR|1ASPD	169DMG|2MBVNT|39DUR|4LWND|5LHND|79VULN|8RCR|9BPWR|aASPD
120	36225 48141	   	169.74	DCR|3DMG|2VULN|2DUR|1ASPD	169DMG|2MBVNT|39DUR|4LHND|5LWND|79VULN|8RCR|9BPWR|aASPD
121	35223 72173	   	169.72	DCR|2DMG|2AART|1VULN|1ZMB|1DUR	14DMG|2LWND|3DUR|5MBVNT|67AART|8ZMB|9RCR|aVULN
122	31451 21153	   	169.65	DCR|2VULN|2DMG|1AART|1DUR	1aDMG|2DUR|3ERES|4RPLT|59VULN|6AART|7RCR|8BELT
123	36333 61544	   	169.36	DCR|2VULN|2DMG|2AART	1aDMG|2MBVNT|3aVULN|4aTLV|5RCVC|67AART|8RPLT|9RCR|aBPWR
124	31112 64311	   	169.23	ACR|2DMG|1AART|1VULN|2ASPD|2DUR	17DMG|28DUR|37ASPD|47CGEN|5RCR|6AART|7BPWR|9RMIN|aVULN
125	36258 31114	   	169.21	DCR|2DMG|1AART|2CDMG|2ASPD|2DUR	1aDMG|2MBVNT|37DUR|4aASPD|5AART|6RMIN|8RCR|9aCDMG|aBPWR
126	33331 63224	   	169.15	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	18DMG|2LHND|3VULN|4AART|5ASPD|6LSRICY|7DUR|9RCR|aCDMG
127	35331 63224	   	169.15	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	18DMG|2LWND|3VULN|4AART|5ASPD|6LSRICY|7DUR|9RCR|aCDMG
128	33331 11224	   	169.05	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	18DMG|2LHND|3VULN|4AART|5ASPD|6DUR|7BASHEA|9RCR|aCDMG
129	35331 11224	   	169.05	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	18DMG|2LWND|3VULN|4AART|5ASPD|6DUR|7BASHEA|9RCR|aCDMG
130	35331 11524	   	169.05	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DMG|2LWND|38VULN|4AART|5ASPD|6DUR|7BASHEA|9RCR|aCDMG
131	35112 13634	   	169.03	ACR|3DMG|2VULN|1ZMB|1ASPD	18aDMG|278LWND|3ASPD|4CGEN|5RCR|68VULN|8BPWR|9ZMB
132	35336 23213	   	169.02	DCR|3DMG|1AART|1VULN|1ASPD	19aDMG|2LWND|3VULN|4AART|5FEWX|6LIT|7RCR|8ASPD
133	35333 23213	   	168.92	DCR|3DMG|1AART|1VULN|1ASPD	19aDMG|2LWND|3VULN|4AART|5DUST|6LIT|7RCR|8ASPD
134	31266 31112	   	168.91	DCR|2DMG|2AART|1VULN|2DUR	19DMG|23DUR|4RCVC|5CGEN|6aAART|7RCR|8VULN
135	31336 31112	   	168.91	DCR|2DMG|2AART|1VULN|2DUR	19DMG|24DUR|3RCVC|5CGEN|6aAART|7RCR|8VULN
136	31265 31112	   	168.81	DCR|2DMG|2AART|1VULN|2DUR	19DMG|23DUR|4RCVC|5ERES|6aAART|7RCR|8VULN
137	31335 31112	   	168.81	DCR|2DMG|2AART|1VULN|2DUR	19DMG|24DUR|3RCVC|5ERES|6aAART|7RCR|8VULN
138	13322 63136	   	168.80	DCR|2AART|2DMG|1FLTHEA|1ZMB|1DUR	1DUR|2LWND|3CGEN|49DMG|58AART|6FLTHEA|7RCR|aZMB
139	13322 63246	   	168.80	DCR|2AART|2DMG|1FLTHEA|1ZMB|1DUR	1DUR|2LWND|3CGEN|48DMG|59AART|6FLTHEA|7RCR|aZMB
140	31342 42111	   	168.74	ACR|3DMG|1VULN|2ZMB|1CDMG|1DUR	17aDMG|2DUR|3RCVC|47ZMB|5RCR|67ERES|7BPWR|8CDMG|9VULN
141	31112 64353	 * 	168.64	ACR|3DMG|1AART|3DUR|2ASPD	179DMG|28aDUR|37ASPD|47CGEN|5RCR|6AART|7BPWR
142	32251 23242	   	168.62	DCR|3VULN|3DMG	13aDMG|235CGEN|3BPWR|489VULN|6FEWX|7RCR
143	36254 71114	   	168.61	DCR|2DMG|1AART|2CDMG|2ASPD|2DUR	1aDMG|2MBVNT|37DUR|4aASPD|5RMIN|6AART|8RCR|9aCDMG|aBPWR
144	33162 51112	   	168.57	ACR|2DMG|2AART|1VULN|1ASPD|1DUR	19DMG|24LHND|3ASPD|5RCR|67AART|8VULN|aDUR
145	33162 51311	   	168.57	ACR|2DMG|2AART|1VULN|1ASPD|1DUR	19DMG|24LHND|3ASPD|5RCR|67AART|8DUR|aVULN
146	31132 65224	   	168.55	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	18DMG|2DUR|3ASPD|4VULN|5AART|6LSRICY|7LWND|9RCR|aCDMG
147	33132 63224	   	168.55	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	18DMG|2LHND|3ASPD|4VULN|5AART|6LSRICY|7DUR|9RCR|aCDMG
148	33342 63224	   	168.55	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	18DMG|2LHND|3VULN|4ASPD|5AART|6LSRICY|7DUR|9RCR|aCDMG
149	35132 63224	   	168.55	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	18DMG|2LWND|3ASPD|4VULN|5AART|6LSRICY|7DUR|9RCR|aCDMG
150	36142 34664	   	168.55	DCR|3DMG|2VULN|1CDMG|1ASPD	148DMG|2MBVNT|3ASPD|5RMIN|68ERES|78VULN|8BPWR|9RCR|aCDMG
151	36123 34662	   	168.55	DCR|3DMG|2VULN|2ASPD|1DUR	158DMG|2MBVNT|35ASPD|4RMIN|58BPWR|68ERES|78VULN|9RCR|aDUR
152	32521 23242	   	168.52	DCR|3VULN|3DMG	14aDMG|25CGEN|389VULN|6FEWX|7RCR
153	35222 63353	   	168.51	DCR|3DMG|1AART|1VULN|2DUR	147DMG|2LWND|37DUR|57FEWX|6AART|7BPWR|8RPLT|9RCR|aVULN
154	31212 54431	   	168.46	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1DMG|23DUR|4BELT|58VULN|6RCR|7MGNLIT|9ZMB|aAART
155	31132 61223	   	168.45	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	18DMG|2DUR|3ASPD|4VULN|5AART|6LSRICY|7LEGI|9RCR|aCDMG
156	31542 61223	   	168.45	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	18DMG|2DUR|3VULN|4ASPD|5AART|6LSRICY|7LEGI|9RCR|aCDMG
157	33132 11224	   	168.45	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	18DMG|2LHND|3ASPD|4VULN|5AART|6DUR|7BASHEA|9RCR|aCDMG
158	33342 11224	   	168.45	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	18DMG|2LHND|3VULN|4ASPD|5AART|6DUR|7BASHEA|9RCR|aCDMG
159	35132 11224	   	168.45	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	18DMG|2LWND|3ASPD|4VULN|5AART|6DUR|7BASHEA|9RCR|aCDMG
160	35132 11524	   	168.45	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DMG|2LWND|3ASPD|48VULN|5AART|6DUR|7BASHEA|9RCR|aCDMG
