0	Index      	 *	Score 	Summary	Detail	
1	41351 22342	 * 	214.59	DCR|5VULN|2DMG|2CDMG|2DUR	1359aVULN|28DMG|49DUR|6RCR|79CDMG|9BPWR
47	51321 22342	   	189.53	DCR|4VULN|2DMG|2CDMG	19FEWX|28DMG|359aVULN|4DMSP|6RCR|79CDMG|9BPWR
48	41311 23343	   	189.43	DCR|4VULN|2DMG|2CDMG	1359VULN|28DMG|49BEXP|6RCR|79CDMG|9BPWR|aMBVNT
49	41311 23345	   	189.43	DCR|4VULN|2DMG|2CDMG	1359VULN|28DMG|49BEXP|6RCR|79CDMG|9BPWR|aTLV
50	41321 22343	   	189.43	DCR|4VULN|2DMG|2CDMG	1359VULN|28DMG|49FEWX|6RCR|79CDMG|9BPWR|aMBVNT
51	41321 22345	   	189.43	DCR|4VULN|2DMG|2CDMG	1359VULN|28DMG|49FEWX|6RCR|79CDMG|9BPWR|aTLV
52	41342 22343	   	189.43	DCR|4VULN|2DMG|2CDMG	1349VULN|28DMG|59FEWX|6RCR|79CDMG|9BPWR|aMBVNT
53	41221 22342	   	189.33	DCR|4VULN|2DMG|2CDMG	159aVULN|28DMG|39DUST|4DMSP|6RCR|79CDMG|9BPWR
54	42234 32123	   	188.47	DCR|3VULN|2DMG|2CDMG|1ZMB	15aVULN|2LIT|3DUR|45DMG|5BPWR|67CDMG|8RCR|9ZMB
55	31351 22325	 * 	188.45	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1SELL	14DUR|28DMG|35VULN|6RCR|7CDMG|9SELL|aAART
56	31441 22325	 * 	188.45	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1SELL	13DUR|28DMG|45VULN|6RCR|7CDMG|9SELL|aAART
57	24133 43622	 * 	187.78	DCR|3DMG|1AART|3CDMG|1VULN	168CGEN|2LHND|389CDMG|468DMG|5AART|68BPWR|7RCR|aVULN
58	31321 22341	   	187.66	DCR|3VULN|2DMG|2CDMG|2DUR	19DUR|28DMG|359VULN|4DMSP|6RCR|79CDMG|9BPWR|aLHND
59	31321 22344	   	187.66	DCR|3VULN|2DMG|2CDMG|2DUR	19DUR|28DMG|359VULN|4DMSP|6RCR|79CDMG|9BPWR|aCGEN
60	31321 22346	   	187.66	DCR|3VULN|2DMG|2CDMG|2DUR	19DUR|28DMG|359VULN|4DMSP|6RCR|79CDMG|9BPWR|aLIT
61	41421 22341	   	187.66	DCR|3VULN|2DMG|2CDMG|2DUR	159VULN|28DMG|39DUR|4DMSP|6RCR|79CDMG|9BPWR|aLHND
62	31321 22343	   	187.56	DCR|3VULN|2DMG|2CDMG|2DUR	19DUR|28DMG|359VULN|4DMSP|6RCR|79CDMG|9BPWR|aMBVNT
63	31321 22345	   	187.56	DCR|3VULN|2DMG|2CDMG|2DUR	19DUR|28DMG|359VULN|4DMSP|6RCR|79CDMG|9BPWR|aTLV
64	41421 22343	   	187.56	DCR|3VULN|2DMG|2CDMG|2DUR	159VULN|28DMG|39DUR|4DMSP|6RCR|79CDMG|9BPWR|aMBVNT
65	31321 26436	 * 	187.17	DCR|3VULN|3DMG|3DUR	17aDUR|29aDMG|35aVULN|4DMSP|6RCR|8BELT|aBPWR
66	41335 22234	 * 	187.08	DCR|3VULN|2AART|1DMG|1CDMG	13aVULN|2DMG|4ERES|5CGEN|6RCR|7CDMG|89AART
67	41331 16622	   	186.77	DCR|4VULN|2DMG|2CDMG	1389VULN|28DMG|4ERES|5RPLT|6DUR|78CDMG|8BPWR|aRCR
68	41331 24622	   	185.75	DCR|4VULN|2DMG|1CDMG|2DUR	1389VULN|28DMG|4ERES|5RPLT|6CDMG|78DUR|8BPWR|aRCR
69	41351 26213	   	185.32	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	135VULN|2DMG|47DUR|6RCR|8AART|9RMIN|aZMB
70	31321 25165	 * 	185.31	DCR|3VULN|2DMG|1AART	1DUR|28DMG|359VULN|4DMSP|6RCR|7TLV|aAART
71	31142 56744	 * 	185.28	DCR|3VULN|1AART|1DMG|2CDMG|2DUR	18DUR|2DMG|3MBVNT|468VULN|58CDMG|7AART|8BPWR|9ERES|aRCR
72	41351 26223	   	185.22	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	135VULN|2DMG|47DUR|6RCR|8AART|9ERES|aZMB
73	41351 26233	   	185.22	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	135VULN|2DMG|47DUR|6RCR|8AART|9TLV|aZMB
74	41351 22232	   	185.20	DCR|5VULN|1DMG|1CDMG	1359aVULN|2DMG|4DUR|6RCR|7CDMG|8DMSP
75	31351 26136	   	184.96	DCR|3DMG|2VULN|3DUR|1CDMG	147DUR|289DMG|35VULN|6RCR|aCDMG
76	41311 23242	   	184.77	DCR|5VULN|2CDMG|1DMG	1359aVULN|2DMG|49BEXP|6RCR|79CDMG|8DMSP|9BPWR
77	41321 22242	   	184.77	DCR|5VULN|2CDMG|1DMG	1359aVULN|2DMG|49FEWX|6RCR|79CDMG|8DMSP|9BPWR
78	41342 22242	   	184.77	DCR|5VULN|2CDMG|1DMG	1349aVULN|2DMG|59FEWX|6RCR|79CDMG|8DMSP|9BPWR
