0	Index      	 *	Score 	Summary	Detail	
1	16631 32216	 * 	196.44	ACR|2AART|2DMG|2VULN|2CDMG	1aDUST|2aDMG|35AART|4RCR|67VULN|8CGEN|9aCDMG|aBPWR
56	12414 12316	   	176.58	DCR|3DMG|1AART|1VULN|1ZMB	1DUST|2AART|35LHND|45aDMG|5BPWR|6RCR|7VULN|8AIRHEA|9ZMB
57	16631 31251	   	176.48	ACR|2AART|2DMG|2VULN	19DUST|29DMG|35AART|4RCR|6aVULN|7FEWX|89LWND|9BPWR
58	46631 32322	   	176.48	ACR|2AART|2VULN|2DMG	18BEXP|29DMG|35AART|4RCR|67VULN|aFEWX
59	16636 32331	   	176.45	ACR|3DMG|1AART|1VULN|2ASPD	1DUST|278DMG|3AART|4RCR|56ASPD|9ERES|aVULN
60	46631 32323	   	176.38	ACR|2AART|2VULN|2DMG	18BEXP|29DMG|35AART|4RCR|67VULN|aLEGI
61	12242 33563	   	176.22	DCR|2VULN|2DMG|1AART|1ZMB	1aDUST|2AART|345FEWX|6ZMB|7RCR|8aVULN|9aDMG|aBPWR
62	16634 33323	   	175.94	ACR|2VULN|2DMG|1AART|1ZMB	15DUST|25DMG|3AART|4RCR|5BPWR|6aVULN|7LWND|8ZMB|9LHND
63	16634 33331	   	175.84	ACR|2VULN|2DMG|1AART|1ZMB	15DUST|25DMG|3AART|4RCR|5BPWR|6aVULN|7LWND|8ZMB|9ERES
64	12413 62261	   	174.68	ACR|2AART|2DMG|2VULN	1DUST|29AART|36LHND|46DMG|5RCR|6BPWR|7aVULN|8LWND
65	42414 12313	   	174.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|2AART|35LHND|45DMG|5BPWR|6RCR|7VULN|8AIRHEA|9ZMB|aCDMG
66	12414 12253	   	174.55	DCR|2VULN|2DMG|1AART|1DUR	1DUST|2AART|35LHND|45DMG|5BPWR|6RCR|7aVULN|8LWND|9DUR
67	46631 13313	   	174.55	ACR|3DMG|2AART|1VULN	17BEXP|28aDMG|35AART|4RCR|6RMIN|9VULN
68	16631 12341	   	174.45	ACR|3DMG|2AART|1VULN	1DUST|278DMG|35AART|4RCR|6RMIN|9VULN|aLIT
69	16631 12363	   	174.45	ACR|3DMG|2AART|1VULN	1DUST|278DMG|35AART|4RCR|6RMIN|9BEXP|aVULN
70	16631 32235	   	174.45	ACR|3VULN|2AART|1DMG	1DUST|2DMG|35AART|4RCR|67aVULN|8CGEN|9RPLT
71	16631 32351	   	174.45	ACR|3VULN|2AART|1DMG	1DUST|2DMG|35AART|4RCR|67aVULN|8BEXP|9LHND
72	46631 12331	   	174.45	ACR|3DMG|2AART|1VULN	1BEXP|278DMG|35AART|4RCR|6RMIN|9ERES|aVULN
73	11631 32561	 * 	174.35	ACR|3VULN|2AART|2FLTHEA	1aDUST|2NUKE|35AART|4RCR|67aVULN|8aFLTHEA|9RMIN|aBPWR
74	16631 12331	   	174.35	ACR|3DMG|2AART|1VULN	1DUST|278DMG|35AART|4RCR|6RMIN|9ERES|aVULN
75	16631 12342	   	174.35	ACR|3DMG|2AART|1VULN	1aDUST|278DMG|35AART|4RCR|6RMIN|9VULN
76	16631 32135	   	174.35	ACR|3VULN|2AART|1DMG	1DUST|2DMG|35AART|4RCR|67aVULN|8ERES|9RPLT
77	16631 32253	   	174.35	ACR|3VULN|2AART|1DMG	1DUST|2DMG|35AART|4RCR|67aVULN|8CGEN|9ERES
78	52334 13521	   	174.34	DCR|2VULN|2DMG|1AART|2DUR|1ZMB|1ASPD|1MSE	1MSE|2AART|35DMG|45DUR|5BPWR|6RCR|7ZMB|8ASPD|9aVULN
79	22135 41333	   	174.17	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2CGEN|35DMG|4RCVC|6RPLT|7AART|8aVULN|9RCR
80	46632 21323	   	174.10	ACR|3VULN|1AART|1DMG|1ZMB	1BEXP|2DMG|3AART|4RCR|5FEWX|6LWND|7ZMB|89aVULN
81	21135 41333	   	174.07	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2TLV|35DMG|4RCVC|6RPLT|7AART|8aVULN|9RCR
82	64232 21611	 * 	174.05	ACR|3VULN|1AART|2CDMG|2ASPD	123ERES|23aBPWR|4RCR|5aCDMG|68aVULN|7AART|9aASPD
83	16632 14323	   	174.00	ACR|3VULN|1AART|1DMG|1ZMB	1DUST|2DMG|3AART|4RCR|5FEWX|6ZMB|7LHND|89aVULN
84	16632 21323	   	174.00	ACR|3VULN|1AART|1DMG|1ZMB	1DUST|2DMG|3AART|4RCR|5FEWX|6LWND|7ZMB|89aVULN
85	16633 14323	   	174.00	ACR|3VULN|1AART|1DMG|1ZMB	1DUST|2DMG|3AART|4RCR|5ZMB|6BEXP|7LHND|89aVULN
86	52334 12123	 * 	173.96	DCR|3VULN|2DMG|1AART|2DUR|1MSE	1MSE|2AART|35DMG|45DUR|5BPWR|6RCR|79aVULN|8RCVC
87	21141 52236	 * 	173.90	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB|1SELL	1aCDMG|2TLV|3aDMG|4CGEN|5VULN|6SELL|7aZMB|8AART|9RCR|aBPWR
88	26233 15142	 * 	173.10	DCR|4VULN|1DMG|2CDMG|1ZMB|1SELL	17CDMG|2ZMB|3578VULN|4SELL|67BEXP|7BPWR|9DMG|aRCR
89	12413 36126	   	173.07	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1DUST|2AART|3LHND|49DMG|5RCR|6DUR|7CDMG|8ASPD|aVULN
90	16631 22126	   	172.67	ACR|2AART|2DMG|1VULN|1ASPD|1DUR	1DUST|29DMG|35AART|4RCR|6RPLT|7DUR|8ASPD|aVULN
91	16631 32633	   	172.67	ACR|2AART|2VULN|1DMG|1ASPD|1DUR	1DUST|2DMG|35AART|4RCR|67VULN|8DUR|9CGEN|aASPD
92	12414 12251	   	172.62	DCR|3DMG|1AART|1VULN|1DUR	1DUST|2AART|35LHND|45aDMG|5BPWR|6RCR|7VULN|8LWND|9DUR
93	42211 15332	 * 	172.58	DCR|2AART|2DMG|2CDMG|1ZMB	1aBEXP|25AART|3FEWX|4aDMG|6RCR|7LWND|8ZMB|9aCDMG|aBPWR
94	11631 32663	   	172.57	ACR|2AART|2VULN|1DMG|1ASPD|1DUR	1DUST|2NUKE|35AART|4RCR|67VULN|8DUR|9DMG|aASPD
95	16631 32623	   	172.57	ACR|2AART|2VULN|1DMG|1DUR|1ASPD	1DUST|2DMG|35AART|4RCR|67VULN|8DUR|9TLV|aASPD
96	46631 32212	   	172.54	ACR|2AART|2VULN|1DMG|1CDMG	1BEXP|2DMG|35AART|4RCR|67VULN|8CGEN|9CDMG|aLWND
97	46631 32213	   	172.54	ACR|2AART|2VULN|1DMG|1CDMG	1BEXP|2DMG|35AART|4RCR|67VULN|8CGEN|9CDMG|aLHND
98	12414 12262	   	172.48	DCR|2AART|2DMG|1VULN|1ZMB	1DUST|29AART|35LHND|45DMG|5BPWR|6RCR|7VULN|8LWND|aZMB
99	42211 15343	   	172.48	DCR|2AART|2VULN|1DMG|1ZMB	1BEXP|25AART|3FEWX|4DMG|6RCR|7LWND|8ZMB|9aVULN
100	16631 23116	   	172.44	ACR|2AART|2DMG|1VULN|1CDMG	1DUST|2aDMG|35AART|4RCR|6RPLT|7MGNSTR|8CDMG|9VULN
101	16631 32212	   	172.44	ACR|2AART|2VULN|1DMG|1CDMG	1DUST|2DMG|35AART|4RCR|67VULN|8CGEN|9CDMG|aLWND
102	16631 32213	   	172.44	ACR|2AART|2VULN|1DMG|1CDMG	1DUST|2DMG|35AART|4RCR|67VULN|8CGEN|9CDMG|aLHND
103	16631 32511	   	172.44	ACR|2AART|2VULN|1DMG|1FLTHEA	1DUST|2DMG|35AART|4RCR|67VULN|8FLTHEA|9FEWX|aCGEN
104	16631 32513	   	172.44	ACR|2AART|2VULN|1DMG|1FLTHEA	1DUST|2DMG|35AART|4RCR|67VULN|8FLTHEA|9FEWX|aLWND
105	16631 32521	   	172.44	ACR|2AART|2VULN|1DMG|1FLTHEA	1DUST|2DMG|35AART|4RCR|67VULN|8FLTHEA|9LHND|aCGEN
106	16631 32523	   	172.44	ACR|2AART|2VULN|1DMG|1FLTHEA	1DUST|2DMG|35AART|4RCR|67VULN|8FLTHEA|9LHND|aLWND
107	41631 32322	   	172.44	ACR|2AART|2VULN|1DMG|1CDMG	18BEXP|2NUKE|35AART|4RCR|67VULN|9DMG|aCDMG
108	46631 32112	   	172.44	ACR|2AART|2VULN|1DMG|1CDMG	1BEXP|2DMG|35AART|4RCR|67VULN|8ERES|9CDMG|aLWND
109	46631 32113	   	172.44	ACR|2AART|2VULN|1DMG|1CDMG	1BEXP|2DMG|35AART|4RCR|67VULN|8ERES|9CDMG|aLHND
110	46631 32133	   	172.44	ACR|2AART|2VULN|1DMG|1CDMG	1BEXP|2DMG|35AART|4RCR|67VULN|8ERES|9RPLT|aCDMG
111	22633 45222	 * 	172.40	DCR|3DMG|1AART|1VULN|2CDMG|1SELL	17CDMG|27CGEN|3LWND|4SELL|5VULN|679DMG|7BPWR|8AART|aRCR
112	23433 45222	 * 	172.40	DCR|3DMG|1AART|1VULN|2CDMG|1SELL	17CDMG|27LWND|3MLV|4SELL|5VULN|679DMG|7BPWR|8AART|aRCR
113	22234 45222	 * 	172.40	DCR|3DMG|1AART|1VULN|2CDMG|1SELL	17CDMG|27CGEN|3VULN|4SELL|5LWND|679DMG|7BPWR|8AART|aRCR
114	12211 16332	   	172.38	DCR|2AART|2DMG|2CDMG|1ZMB	1aDUST|25AART|3FEWX|4aDMG|6RCR|7LWND|8ZMB|9aCDMG|aBPWR
115	12211 16343	   	172.38	DCR|2AART|2VULN|1DMG|1ZMB	1DUST|25AART|3FEWX|4DMG|6RCR|7LWND|8ZMB|9aVULN
116	12611 15343	   	172.38	DCR|2AART|2VULN|1DMG|1ZMB	1DUST|25AART|3BEXP|4DMG|6RCR|7LWND|8ZMB|9aVULN
117	16631 32112	   	172.34	ACR|2AART|2VULN|1DMG|1CDMG	1DUST|2DMG|35AART|4RCR|67VULN|8ERES|9CDMG|aLWND
118	16631 32113	   	172.34	ACR|2AART|2VULN|1DMG|1CDMG	1DUST|2DMG|35AART|4RCR|67VULN|8ERES|9CDMG|aLHND
119	16631 32133	   	172.34	ACR|2AART|2VULN|1DMG|1CDMG	1DUST|2DMG|35AART|4RCR|67VULN|8ERES|9RPLT|aCDMG
120	16631 32214	   	172.34	ACR|2AART|2VULN|1DMG|1CDMG	1aDUST|2DMG|35AART|4RCR|67VULN|8CGEN|9CDMG
121	16631 32215	   	172.34	ACR|2AART|2VULN|1DMG|1CDMG	1DUST|2DMG|35AART|4RCR|67VULN|8CGEN|9CDMG|aERES
122	16631 32531	   	172.34	ACR|2AART|2VULN|1DMG|1FLTHEA	1DUST|2DMG|35AART|4RCR|67VULN|8FLTHEA|9ERES|aLWND
123	16631 32532	   	172.34	ACR|2AART|2VULN|1DMG|1FLTHEA	1DUST|2DMG|35AART|4RCR|67VULN|8FLTHEA|9ERES|aFEWX
124	16631 62311	   	172.33	ACR|3DMG|2AART|1ZMB|1DUR	1DUST|278DMG|35AART|4RCR|6ZMB|9DUR|aLIT
125	42413 41323	   	172.30	ACR|3VULN|1AART|1DMG|1ZMB	1BEXP|2AART|3LHND|4DMG|5RCR|6FEWX|7ZMB|89aVULN
126	23633 45222	 * 	172.30	DCR|3DMG|1AART|1VULN|2CDMG|1SELL	17CDMG|27LWND|3TLV|4SELL|5VULN|679DMG|7BPWR|8AART|aRCR
127	12211 13753	   	172.28	DCR|2AART|2VULN|1DMG|1ZMB	1DUST|25AART|3FEWX|4DMG|6RCR|7MBVNT|8ZMB|9aVULN
128	12611 13753	   	172.28	DCR|2AART|2VULN|1DMG|1ZMB	1DUST|25AART|3BEXP|4DMG|6RCR|7MBVNT|8ZMB|9aVULN
129	11631 32536	   	172.24	ACR|2AART|2VULN|1DMG|1FLTHEA	1DUST|2NUKE|35AART|4RCR|67VULN|8FLTHEA|9ERES|aDMG
130	16631 32114	   	172.24	ACR|2AART|2VULN|1DMG|1CDMG	1aDUST|2DMG|35AART|4RCR|67VULN|8ERES|9CDMG
131	16631 32115	   	172.24	ACR|2AART|2VULN|1DMG|1CDMG	1DUST|2DMG|35AART|4RCR|67VULN|8aERES|9CDMG
132	16632 11361	   	172.23	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1DUST|2aDMG|3AART|4RCR|5FEWX|6ZMB|7DUR|8VULN|9ASPD
133	16632 11363	   	172.23	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUST|2DMG|3AART|4RCR|5FEWX|6ZMB|7DUR|8aVULN|9ASPD
134	16632 31361	   	172.23	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1DUST|2aDMG|3AART|4RCR|5FEWX|6DUR|7ZMB|8VULN|9ASPD
135	16632 31363	   	172.23	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUST|2DMG|3AART|4RCR|5FEWX|6DUR|7ZMB|8aVULN|9ASPD
136	16633 11361	   	172.23	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1DUST|2aDMG|3AART|4RCR|5ZMB|6BEXP|7DUR|8VULN|9ASPD
137	16633 11363	   	172.23	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUST|2DMG|3AART|4RCR|5ZMB|6BEXP|7DUR|8aVULN|9ASPD
138	16631 62312	   	172.23	ACR|3DMG|2AART|1ZMB|1DUR	1aDUST|278DMG|35AART|4RCR|6ZMB|9DUR
139	12413 15523	   	172.20	ACR|3VULN|1AART|1DMG|1ZMB	1DUST|2AART|3LHND|4DMG|5RCR|6ZMB|79aVULN|8BEXP
140	12413 41323	   	172.20	ACR|3VULN|1AART|1DMG|1ZMB	1DUST|2AART|3LHND|4DMG|5RCR|6FEWX|7ZMB|89aVULN
141	12413 51323	   	172.20	ACR|3VULN|1AART|1DMG|1ZMB	1DUST|2AART|3LHND|4DMG|5RCR|6BEXP|7ZMB|89aVULN
142	12413 62316	   	172.20	ACR|3DMG|1AART|1VULN|1ZMB	1DUST|2AART|36LHND|46aDMG|5RCR|6BPWR|7VULN|8AIRHEA|9ZMB
143	21234 45222	 * 	172.20	DCR|3DMG|1AART|1VULN|2CDMG|1SELL	17CDMG|27TLV|3VULN|4SELL|5LWND|679DMG|7BPWR|8AART|aRCR
144	21633 45222	 * 	172.20	DCR|3DMG|1AART|1VULN|2CDMG|1SELL	17CDMG|27TLV|3LWND|4SELL|5VULN|679DMG|7BPWR|8AART|aRCR
145	16634 32333	   	171.87	ACR|2VULN|2DMG|1AART|1ASPD	15DUST|25DMG|3AART|4RCR|5BPWR|67VULN|8BEXP|9CGEN|aASPD
146	14633 52212	 * 	171.80	ACR|3ZMB|1AART|1VULN|1DMG|1CDMG	1DUST|257ZMB|3AART|4RCR|6LIT|8VULN|9DMG|aCDMG
147	16634 32323	   	171.77	ACR|2VULN|2DMG|1AART|1ASPD	15DUST|25DMG|3AART|4RCR|5BPWR|67VULN|8BEXP|9TLV|aASPD
148	16623 53111	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2aDMG|3AART|4RPLT|5VULN|6CDMG|7RCR|8ZMB|9BEXP
149	16623 53113	   	171.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2DMG|3AART|4RPLT|5aVULN|6CDMG|7RCR|8ZMB|9BEXP
150	16623 53131	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2aDMG|3AART|4RPLT|5VULN|6CDMG|7RCR|8ZMB|9LWND
151	16623 53133	   	171.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2DMG|3AART|4RPLT|5aVULN|6CDMG|7RCR|8ZMB|9LWND
152	14633 61323	 * 	171.32	ACR|3VULN|3ZMB|1AART	1DUST|256ZMB|3AART|4RCR|7RMIN|89aVULN
153	46233 26332	   	171.18	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	18BEXP|28DMG|3TLV|4AART|5VULN|68MLV|7RCR|8BPWR|9CDMG|aZMB
154	22145 41333	   	171.06	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24CGEN|35DMG|6RPLT|7AART|8aVULN|9RCR
155	31243 16242	   	170.91	DCR|3DMG|2VULN|1ZMB|1DUR	1RPLT|2aVULN|3ZMB|4aFEWX|5DUST|6DUR|7RCR|89aDMG|aBPWR
156	31253 16242	   	170.91	DCR|3DMG|2VULN|1ZMB|1DUR	1RPLT|2aVULN|3ZMB|4aLHND|5DUST|6DUR|7RCR|89aDMG|aBPWR
157	31263 16242	   	170.91	DCR|3DMG|2VULN|1ZMB|1DUR	1RPLT|2aVULN|3ZMB|4aBEXP|5DUST|6DUR|7RCR|89aDMG|aBPWR
158	12414 12421	   	170.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2AART|35LHND|45DMG|5BPWR|6RCR|7VULN|8DUR|9CDMG|aCGEN
159	12414 12422	   	170.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2AART|35LHND|45DMG|5BPWR|6RCR|7VULN|8DUR|9CDMG|aFEWX
160	16635 11122	   	170.58	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1DUST|29DMG|3AART|4RCR|5VULN|6ZMB|7aDUR|8RPLT
161	16635 31122	   	170.58	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1DUST|29DMG|3AART|4RCR|5VULN|6aDUR|7ZMB|8RPLT
162	22235 22234	   	170.57	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1CDMG|2CGEN|3aVULN|4SELL|5DMG|6ASPD|7ZMB|8AART|9RCR
163	42413 11361	   	170.53	ACR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1BEXP|2AART|3LHND|4aDMG|5RCR|6ZMB|7DUR|8VULN|9ASPD
164	42413 11363	   	170.53	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1BEXP|2AART|3LHND|4DMG|5RCR|6ZMB|7DUR|8aVULN|9ASPD
165	42413 31361	   	170.53	ACR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1BEXP|2AART|3LHND|4aDMG|5RCR|6DUR|7ZMB|8VULN|9ASPD
