0	Index      	 *	Score 	Summary	Detail	
1	62222 34423	 * 	188.61	DCR|5VULN|3CDMG|1DMG	1489aVULN|2RCVC|3DMG|59aCDMG|69aLHND|7RCR|9aBPWR
39	62242 12532	   	172.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	156VULN|2RCVC|3DMG|4ASPD|7LIT|8CDMG|9AART|aRCR
40	25216 62123	   	172.15	DCR|2VULN|2DMG|1AART|1DUR	1RMIN|2AART|3CGEN|4LWND|58DMG|69VULN|7RCR|aDUR
41	32622 11224	 * 	171.92	ACR|4VULN|2DMG|1DUR	1LIT|269aVULN|3CGEN|48DMG|5RCR|7DUR
42	32622 11534	   	171.92	ACR|4VULN|2DMG|1DUR	1LIT|268aVULN|3CGEN|49DMG|5RCR|7DUR
43	61231 36153	   	171.91	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1VULN|2BEXP|3AART|4CGEN|58DMG|6ASPD|7RCR|9DUR|aZMB
44	32622 11313	   	171.87	ACR|2VULN|2DMG|1AART|2DUR	1LIT|26VULN|3CGEN|4aDMG|5RCR|79DUR|8AART
45	62212 26224	   	171.75	DCR|3VULN|2DMG|1CDMG|2DUR	169VULN|25RCVC|39DMG|4BEXP|7CDMG|89DUR|9BPWR|aRCR
46	32251 23423	   	171.71	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1LIT|29aVULN|3AART|4ERES|5ZMB|6DUR|7CDMG|8RCR
47	25625 33123	   	171.63	ACR|2AART|2VULN|1DMG|2DUR	1RMIN|23AART|4RCR|5aDUR|67VULN|8ERES|9DMG
48	61231 36234	 * 	171.58	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	1VULN|2BEXP|3AART|4CGEN|59DMG|6aASPD|7RCR|8ZMB
49	32622 13533	 * 	171.35	ACR|3VULN|1AART|1DMG|1CDMG	1LIT|26aVULN|3CGEN|4DMG|5RCR|7CDMG|8AART|9LWND
50	32622 13563	   	171.25	ACR|3VULN|1AART|1DMG|1CDMG	1LIT|26aVULN|3CGEN|4DMG|5RCR|7CDMG|8AART|9DUST
51	32622 12366	   	171.08	ACR|2VULN|2DMG|2AART	1LIT|26VULN|3CGEN|49DMG|5RCR|7FEWX|8aAART
52	62222 63263	   	170.95	DCR|3VULN|2DMG|1CDMG|1DUR	146VULN|2RCVC|39DMG|5CDMG|7CANHEL|8RCR|aDUR
53	62143 32213	 * 	170.88	DCR|3VULN|3AART|1ZMB|1DUR	168VULN|2RCVC|3DUR|45aAART|7ZMB|9RCR
54	62143 34323	 * 	170.11	DCR|2AART|2VULN|1DMG|2DUR	16VULN|2RCVC|3aDUR|45AART|7RCR|8LWND|9DMG
55	32322 16458	   	169.74	DCR|3VULN|1AART|1DMG|1ZMB|1SELL	1LIT|26aVULN|3SELL|4ZMB|5AART|7MBVNT|8RCR|9DMG
56	13632 33642	   	169.72	DCR|4VULN|1DMG|1CDMG|1ASPD|1SELL	1SELL|248aVULN|3BEXP|5CDMG|6DMG|7RCR|9ASPD
57	25125 32126	   	169.62	DCR|2DMG|1AART|1VULN|2ZMB|1DUR	1RMIN|2AART|3aMLV|4aZMB|5DUR|6VULN|7RCR|8aDMG|9RPLT|aBPWR
58	62222 34422	   	169.54	DCR|4VULN|1DMG|2CDMG	1489VULN|2RCVC|3DMG|59CDMG|69LHND|7RCR|9BPWR|aDMSP
59	62222 34533	   	169.54	DCR|4VULN|1DMG|2CDMG	149aVULN|28RCVC|3DMG|5aCDMG|6aLHND|7RCR|aBPWR
60	62222 44333	   	169.54	DCR|4VULN|1DMG|2CDMG	149aVULN|2RCVC|3DMG|5aCDMG|68aLWND|7RCR|aBPWR
61	62222 34421	   	169.44	DCR|4VULN|1DMG|2CDMG	1489VULN|2RCVC|3DMG|59CDMG|69LHND|7RCR|9BPWR|aERES
62	62142 32211	   	169.26	DCR|4VULN|1AART|1ZMB|1DUR	1568VULN|2RCVC|3DUR|4AART|7ZMB|9RCR|aBEXP
63	62142 32212	   	169.26	DCR|4VULN|1AART|1ZMB|1DUR	1568VULN|2RCVC|3DUR|4AART|7ZMB|9RCR|aLWND
64	62142 32214	   	169.26	DCR|4VULN|1AART|1ZMB|1DUR	1568VULN|2RCVC|3DUR|4AART|7ZMB|9RCR|aFEWX
65	62142 32215	   	169.26	DCR|4VULN|1AART|1ZMB|1DUR	1568VULN|2RCVC|3DUR|4AART|7ZMB|9RCR|aMLV
66	62142 32216	   	169.26	DCR|4VULN|1AART|1ZMB|1DUR	1568VULN|2RCVC|3DUR|4AART|7ZMB|9RCR|aCGEN
67	62322 34433	   	169.25	DCR|5VULN|2CDMG|1ASPD	1489aVULN|2RCVC|3ASPD|5aCDMG|6aLHND|7RCR|aBPWR
68	62142 34321	   	169.02	DCR|3VULN|1AART|1DMG|1DUR	156VULN|2RCVC|3DUR|4AART|7RCR|8aLWND|9DMG
69	62142 34322	   	169.02	DCR|3VULN|1AART|1DMG|1DUR	156VULN|2RCVC|3DUR|4AART|7RCR|8LWND|9DMG|aLHND
70	31161 24112	   	168.93	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1LIT|2AART|3LHND|45ZMB|6CDMG|78DMG|9VULN|aRCR
71	52625 31213	 * 	168.86	DCR|2VULN|2DMG|2AART	14LHND|2RCVC|38VULN|56DMG|7aAART|9RCR
72	53625 31213	   	168.86	DCR|2VULN|2DMG|2AART	124LHND|38VULN|56DMG|7aAART|9RCR
73	32622 11235	   	168.83	ACR|3DMG|2VULN|1ZMB|1DUR	1LIT|26VULN|3CGEN|489DMG|5RCR|7DUR|aZMB
74	43323 12621	   	168.79	DCR|2VULN|1AART|1DMG|2CDMG	138DUST|23CDMG|38BPWR|4AART|58VULN|6RCR|78LWND|9DMG|aLHND
75	43323 12622	   	168.79	DCR|2VULN|1AART|1DMG|2CDMG	138DUST|23CDMG|38BPWR|4AART|58VULN|6RCR|78LWND|9DMG|aBEXP
76	43323 12623	   	168.79	DCR|2VULN|1AART|1DMG|2CDMG	138DUST|23CDMG|38BPWR|4AART|58VULN|6RCR|78LWND|9DMG|aLIT
77	43323 12624	   	168.79	DCR|2VULN|1AART|1DMG|2CDMG	138DUST|23CDMG|38BPWR|4AART|58VULN|6RCR|78LWND|9DMG|aMLV
78	43323 12626	   	168.79	DCR|2VULN|1AART|1DMG|2CDMG	138DUST|23CDMG|38BPWR|4AART|58VULN|6RCR|78LWND|9DMG|aCGEN
79	43323 12625	   	168.69	DCR|2VULN|1AART|1DMG|2CDMG	138DUST|23CDMG|38BPWR|4AART|58VULN|6RCR|78LWND|9DMG|aERES
80	43323 16243	   	168.69	DCR|2VULN|1AART|1DMG|2CDMG	13DUST|23CDMG|3BPWR|4AART|5aVULN|6RCR|7CGEN|8LIT|9DMG
81	43323 13165	   	168.59	DCR|2VULN|1AART|1DMG|2CDMG	13DUST|23CDMG|3BPWR|4AART|59VULN|6RCR|7RMIN|8CANSTR|aDMG
82	62242 23621	   	168.55	DCR|2VULN|2DMG|1AART|1ASPD	15VULN|2RCVC|39DMG|4ASPD|6FEWX|7RCR|8AART|aBEXP
83	62242 23623	   	168.55	DCR|2VULN|2DMG|1AART|1ASPD	15VULN|2aRCVC|39DMG|4ASPD|6FEWX|7RCR|8AART
84	32612 21443	 * 	168.52	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|2aVULN|3CGEN|4CDMG|59AART|6LWND|7DMG|8RCR
85	62242 23622	   	168.45	DCR|2VULN|2DMG|1AART|1ASPD	15VULN|2RCVC|39DMG|4ASPD|6FEWX|7RCR|8AART|aDLOT
86	32261 24162	   	168.33	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1LIT|2VULN|3AART|45ZMB|6CDMG|78DMG|9RCVC|aRCR
87	35261 24112	   	168.33	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1LIT|2LHND|3AART|45ZMB|6CDMG|78DMG|9VULN|aRCR
88	23225 51235	 * 	168.23	DCR|3DMG|2VULN|2CDMG	1RMIN|27CGEN|378DMG|4aVULN|5LWND|67CDMG|7BPWR|9RCR
89	32462 13362	 * 	168.20	ACR|3VULN|1AART|2CDMG|1ZMB	18LIT|246VULN|38LHND|5RCR|78CDMG|8BPWR|9AART|aZMB
90	22412 11424	   	168.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RMIN|2LIT|3FEWX|4CDMG|5AART|69VULN|7DMG|8RCR|aZMB
91	32612 21424	   	168.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|29VULN|3CGEN|4CDMG|5AART|6LWND|7DMG|8RCR|aZMB
92	32622 13422	 * 	167.56	ACR|4VULN|2CDMG|1DMG	1aLIT|269aVULN|3CGEN|4DMG|5RCR|7aCDMG|8DMSP|aBPWR
93	32622 13622	   	167.56	ACR|4VULN|2CDMG|1DMG	18aLIT|269aVULN|3CGEN|4DMG|5RCR|7aCDMG|aBPWR
94	32622 16322	   	167.56	ACR|4VULN|2CDMG|1DMG	1aLIT|269aVULN|3CGEN|4DMG|5RCR|7DMSP|8aCDMG|aBPWR
95	61231 36162	   	167.51	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	1VULN|2BEXP|3AART|4CGEN|58DMG|69ASPD|7RCR|aDUR
96	13133 54324	 * 	167.48	DCR|3VULN|2DMG|2ZMB|1SELL	1SELL|24aVULN|3DUST|5DMSP|6aZMB|7RCR|8aDMG|9LEGI|aBPWR
97	62222 63223	   	167.47	DCR|4VULN|1DMG|1CDMG|1DUR	1469VULN|2RCVC|3DMG|5CDMG|7CANHEL|8RCR|aDUR
98	62322 63261	   	167.47	DCR|4VULN|1DMG|1CDMG|1ASPD	146aVULN|2RCVC|3ASPD|5CDMG|7CANHEL|8RCR|9DMG
99	32333 21121	   	167.35	DCR|4VULN|1AART|1ASPD|1DUR|1SELL	1LIT|2456VULN|3SELL|7RCR|8AART|9ASPD|aDUR
100	32334 21122	 * 	167.22	DCR|4VULN|1AART|2ASPD|1SELL	15aLIT|246aVULN|3SELL|7RCR|8AART|9aASPD|aBPWR
101	32622 11524	 * 	167.16	ACR|5VULN|1DMG|1DUR	1LIT|2689aVULN|3CGEN|4DMG|5RCR|7DUR
102	32333 21136	 * 	167.12	DCR|4VULN|1AART|1CDMG|1SELL	1LIT|2456VULN|3SELL|7RCR|8AART|9BEXP|aCDMG
103	32333 21151	 * 	167.12	DCR|4VULN|1AART|1CDMG|1SELL	1LIT|2456VULN|3SELL|7RCR|8AART|9CDMG|aBEXP
104	32333 21153	 * 	167.12	DCR|4VULN|1AART|1CDMG|1SELL	1aLIT|2456VULN|3SELL|7RCR|8AART|9CDMG
105	32333 21156	 * 	167.12	DCR|4VULN|1AART|1CDMG|1SELL	1LIT|2456VULN|3SELL|7RCR|8AART|9CDMG|aLWND
106	32112 11156	   	167.07	ACR|2VULN|2DMG|1AART|1DUR	14LIT|26VULN|3DUR|5RCR|7AART|8aDMG|9DUST
107	32112 11163	   	167.07	ACR|2VULN|2DMG|1AART|1DUR	14LIT|26VULN|3DUR|5RCR|7AART|8aDMG|9ERES
108	32152 11156	   	167.07	ACR|2VULN|2DMG|1AART|1DUR	1LIT|26VULN|3DUR|4DMSP|5RCR|7AART|8aDMG|9DUST
109	32152 11163	   	167.07	ACR|2VULN|2DMG|1AART|1DUR	1LIT|26VULN|3DUR|4DMSP|5RCR|7AART|8aDMG|9ERES
110	62132 11156	   	167.07	ACR|2VULN|2DMG|1AART|1DUR	16VULN|2RCVC|3DUR|4LIT|5RCR|7AART|8aDMG|9DUST
111	62132 11163	   	167.07	ACR|2VULN|2DMG|1AART|1DUR	16VULN|2RCVC|3DUR|4LIT|5RCR|7AART|8aDMG|9ERES
112	32333 21152	 * 	167.02	DCR|4VULN|1AART|1CDMG|1SELL	1LIT|2456VULN|3SELL|7RCR|8AART|9CDMG|aDUST
113	33413 21122	 * 	167.02	DCR|3VULN|1AART|2ASPD|1CDMG	12aLIT|3CDMG|4RCVC|56aVULN|7RCR|8AART|9aASPD|aBPWR
114	23146 62111	   	167.01	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|2CGEN|3DUR|4AART|58DMG|6VULN|7RCR|9LWND|aCDMG
115	52625 21213	 * 	166.93	DCR|3VULN|2AART|1DMG	14LHND|2RCVC|368VULN|5DMG|7aAART|9RCR
116	53625 21213	   	166.93	DCR|3VULN|2AART|1DMG	124LHND|368VULN|5DMG|7aAART|9RCR
117	62145 32111	   	166.91	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2RCVC|3DUR|4AART|58DMG|6DUST|7RCR|9LWND|aCDMG
118	61231 23256	   	166.88	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2BEXP|3AART|4CGEN|57DMG|6RPLT|8ZMB|9RCR|aCDMG
119	32622 11255	 * 	166.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1LIT|26VULN|3CGEN|48DMG|5RCR|7DUR|9ZMB|aCDMG
120	32333 14366	 * 	166.72	DCR|4VULN|1AART|1CDMG|1SELL	18LIT|2458VULN|3SELL|68FEWX|7RCR|8BPWR|9AART|aCDMG
121	62222 34134	   	166.71	DCR|3VULN|2DMG|1CDMG	14aVULN|2RCVC|3aDMG|5CDMG|6LHND|7RCR|8RMIN|9aBEXP|aBPWR
122	62222 34314	   	166.71	DCR|3VULN|2DMG|1CDMG	14aVULN|2RCVC|3aDMG|5CDMG|6LHND|7RCR|8aLWND|9RMIN|aBPWR
123	32622 13524	   	166.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|26VULN|3CGEN|4DMG|5RCR|7CDMG|8AART|9MLV|aZMB
124	32622 13534	   	166.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|26VULN|3CGEN|4DMG|5RCR|7CDMG|8AART|9LWND|aZMB
125	13632 33355	   	166.62	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR|1SELL	1SELL|24aVULN|3BEXP|5CDMG|6DMG|7RCR|8DUR|9ZMB
126	62242 23611	   	166.62	DCR|3VULN|1AART|1DMG|1ASPD	15aVULN|2RCVC|3DMG|4ASPD|6FEWX|7RCR|8AART|9RPLT
127	62143 32211	   	166.61	DCR|3VULN|2AART|1ZMB|1DUR	168VULN|2RCVC|3DUR|45AART|7ZMB|9RCR|aBEXP
128	62143 32212	   	166.61	DCR|3VULN|2AART|1ZMB|1DUR	168VULN|2RCVC|3DUR|45AART|7ZMB|9RCR|aLWND
129	62143 32214	   	166.61	DCR|3VULN|2AART|1ZMB|1DUR	168VULN|2RCVC|3DUR|45AART|7ZMB|9RCR|aFEWX
130	62143 32215	   	166.61	DCR|3VULN|2AART|1ZMB|1DUR	168VULN|2RCVC|3DUR|45AART|7ZMB|9RCR|aMLV
131	62143 32216	   	166.61	DCR|3VULN|2AART|1ZMB|1DUR	168VULN|2RCVC|3DUR|45AART|7ZMB|9RCR|aCGEN
132	32622 63314	   	166.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|29VULN|3CGEN|4DMG|5RCR|6ERES|7CDMG|8AART|aZMB
133	32622 63353	   	166.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2aVULN|3CGEN|4DMG|5RCR|6ERES|7CDMG|8AART|9ZMB
134	32622 11362	   	166.57	ACR|2VULN|2DMG|1AART|1DUR	1LIT|26VULN|3CGEN|49DMG|5RCR|7DUR|8AART|aBEXP
135	32622 11364	   	166.57	ACR|2VULN|2DMG|1AART|1DUR	1LIT|26VULN|3CGEN|49DMG|5RCR|7DUR|8AART|aRMIN
136	43323 13642	   	166.57	DCR|2VULN|1AART|2CDMG|1ZMB|1ASPD	13DUST|23CDMG|3BPWR|4AART|58VULN|6RCR|7RMIN|9ASPD|aZMB
137	43323 13351	   	166.57	DCR|2VULN|1AART|2CDMG|1ZMB|1DUR	13DUST|23CDMG|3BPWR|4AART|5aVULN|6RCR|7RMIN|8DUR|9ZMB
138	43323 16351	   	166.57	DCR|2VULN|1AART|2CDMG|1ZMB|1DUR	13DUST|23CDMG|3BPWR|4AART|5aVULN|6RCR|7CGEN|8DUR|9ZMB
139	25621 12141	   	166.56	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1RMIN|23AART|4RCR|5LWND|6BEXP|7VULN|8DMG|9ZMB|aCDMG
140	25621 31141	   	166.56	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1RMIN|23AART|4RCR|5LWND|6VULN|7BEXP|8DMG|9ZMB|aCDMG
141	62322 56323	 * 	166.53	4VULN|3DMG|3ASPD|1CDMG|1ZMB	149aVULN|2RCVC|39aASPD|5CDMG|6ZMB|7LEGI|89aDMG|9aBPWR
142	32333 21666	 * 	166.52	DCR|4VULN|1AART|1CDMG|1SELL	1LIT|2456VULN|3SELL|7RCR|8FEWX|9AART|aCDMG
143	62222 34214	   	166.51	DCR|3VULN|2DMG|1CDMG	14aVULN|2RCVC|3aDMG|5CDMG|6LHND|7RCR|8aDUST|9RMIN|aBPWR
144	32622 11361	   	166.47	ACR|2VULN|2DMG|1AART|1DUR	1LIT|26VULN|3CGEN|49DMG|5RCR|7DUR|8AART|aTLV
145	32622 11365	   	166.47	ACR|2VULN|2DMG|1AART|1DUR	1LIT|26VULN|3CGEN|49DMG|5RCR|7DUR|8AART|aERES
146	25622 13141	   	166.46	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1RMIN|23AART|4RCR|5DUST|6FEWX|7VULN|8DMG|9ZMB|aCDMG
147	25622 31141	   	166.46	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1RMIN|23AART|4RCR|5DUST|6VULN|7BEXP|8DMG|9ZMB|aCDMG
148	25626 32211	 * 	166.46	ACR|2AART|1VULN|1DMG|2ASPD|1ZMB	1RMIN|23AART|4RCR|56ASPD|7ZMB|8VULN|9DMG|aFEWX
149	25626 32213	   	166.46	ACR|2AART|1VULN|1DMG|2ASPD|1ZMB	1RMIN|23AART|4RCR|56ASPD|7ZMB|8VULN|9DMG|aRCVC
150	25621 33523	   	166.43	ACR|2AART|2VULN|1DMG|1DUR	1RMIN|23AART|4RCR|5LWND|67VULN|8CGEN|9DMG|aDUR
151	25625 12132	   	166.43	ACR|2AART|2VULN|1DMG|1DUR	1RMIN|23AART|4RCR|5DUR|69BEXP|7aVULN|8DMG
152	25625 31132	   	166.43	ACR|2AART|2VULN|1DMG|1DUR	1RMIN|23AART|4RCR|5DUR|6aVULN|79BEXP|8DMG
153	25626 32212	   	166.36	ACR|2AART|1VULN|1DMG|2ASPD|1ZMB	1RMIN|23AART|4RCR|56ASPD|7ZMB|8VULN|9DMG|aDLOT
154	25622 33522	   	166.33	ACR|2AART|2VULN|1DMG|1DUR	1RMIN|23AART|4RCR|5DUST|67VULN|8CGEN|9DMG|aDUR
155	25621 33123	   	166.33	ACR|2AART|2VULN|1DMG|1DUR	1RMIN|23AART|4RCR|5LWND|67VULN|8ERES|9DMG|aDUR
156	25624 33123	   	166.33	ACR|2AART|2VULN|1DMG|1DUR	1RMIN|23AART|4RCR|5LHND|67VULN|8ERES|9DMG|aDUR
157	25625 33121	   	166.33	ACR|2AART|2VULN|1DMG|1DUR	1RMIN|23AART|4RCR|5DUR|67VULN|8ERES|9DMG|aLWND
158	25625 33122	   	166.33	ACR|2AART|2VULN|1DMG|1DUR	1RMIN|23AART|4RCR|5DUR|67VULN|8ERES|9DMG|aRCVC
159	25622 33122	   	166.23	ACR|2AART|2VULN|1DMG|1DUR	1RMIN|23AART|4RCR|5DUST|67VULN|8ERES|9DMG|aDUR
160	32333 21116	 * 	166.20	DCR|5VULN|1AART|1SELL	1LIT|2456aVULN|3SELL|7RCR|8AART|9TLV
161	13133 44324	 * 	166.17	DCR|3VULN|2DMG|2ASPD|1SELL	1SELL|24aVULN|3DUST|5DMSP|6aASPD|7RCR|8aDMG|9LEGI|aBPWR
162	43323 13523	 * 	166.11	DCR|2AART|2VULN|3CDMG	13DUST|238CDMG|3BPWR|4aAART|59VULN|6RCR|7RMIN
163	43323 16523	   	166.11	DCR|2AART|2VULN|3CDMG	13DUST|238CDMG|3BPWR|4aAART|59VULN|6RCR|7CGEN
164	62322 53323	 * 	166.06	4VULN|3DMG|3CDMG|1ZMB|1ASPD	149aVULN|2RCVC|3ASPD|59aCDMG|6ZMB|7LHND|89aDMG|9aBPWR
165	22422 54321	   	165.93	ACR|2DMG|2AART|1VULN|2DUR	1RMIN|27LIT|3FEWX|47DMG|5RCR|67DUR|7BPWR|89AART|aVULN
166	32333 21413	 * 	165.92	DCR|4VULN|1AART|1CDMG|1SELL	18LIT|2456VULN|3SELL|7RCR|9CDMG|aAART
167	62222 33424	   	165.83	DCR|3VULN|2DMG|2CDMG	149VULN|2RCVC|39DMG|57CDMG|6LHND|89LWND|9BPWR|aRCR
168	31334 23423	   	165.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LIT|2AART|3FEWX|4CGEN|5aDMG|6DUR|7CDMG|8RCR|9VULN
169	31344 23423	   	165.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LIT|2AART|3FEWX|4RMIN|5aDMG|6DUR|7CDMG|8RCR|9VULN
170	32622 11316	   	165.73	ACR|2VULN|2AART|1DMG|2DUR	1LIT|26VULN|3CGEN|4DMG|5RCR|79DUR|8aAART
171	31354 23423	   	165.71	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LIT|2AART|3FEWX|4ERES|5aDMG|6DUR|7CDMG|8RCR|9VULN
172	62222 33124	   	165.63	DCR|3VULN|2DMG|2CDMG	149VULN|2RCVC|39DMG|57CDMG|6LHND|89DUST|9BPWR|aRCR
