0	Index      	 *	Score 	Summary	Detail	
1	33631 35623	 * 	275.77	DCR|DCR|2MLV|1DMG|1ASPD|1CDMG|1RPLT	14MLV|2CGEN|3CDMG|5ASPD|68RCR|7RPLT|9TBNT|aDMG
23	23271 83216	   	253.36	DCR|DCR|2VULN|1AART	1MSLFST|2MBVNT|3RCVC|4RMIN|59VULN|6aRCR|7FLTHEA|8AART
24	23544 64634	   	253.16	DCR|DCR|2VULN|1RPLT	1MSLFST|2MBVNT|3RPLT|4MULARM|5MDPS|68RCR|7CGEN|9aVULN
25	23371 83216	   	253.16	DCR|DCR|2VULN|1AART	1MSLFST|2MBVNT|3ERES|4DMSP|59VULN|6aRCR|7LSRREG|8AART
26	23364 83216	   	253.06	DCR|DCR|2VULN|1AART	1MSLFST|2MBVNT|35ERES|49VULN|6aRCR|7LSRREG|8AART
27	23221 83266	   	252.36	DCR|DCR|1VULN|2AART|1MLV	1MSLFST|2MBVNT|3RCVC|4MLV|5VULN|6aRCR|7LSRREG|89AART
28	33631 33141	   	252.36	DCR|DCR|2MLV|2CDMG|1ASPD	14MLV|2CGEN|3aCDMG|5ASPD|69RCR|7TBNT|8LHND
29	33631 33241	   	252.36	DCR|DCR|2MLV|2CDMG|1ASPD	14MLV|2CGEN|3aCDMG|5ASPD|69RCR|7TBNT|8LWND
30	33631 33641	   	252.26	DCR|DCR|2MLV|2CDMG|1ASPD	14MLV|2CGEN|3aCDMG|5ASPD|69RCR|7TBNT|8DUST
31	51635 33332	   	252.10	DCR|DCR|2VULN	1BBNT|2TBNT|37CGEN|49VULN|5BLASTR|68RCR|aDUR
32	46213 12234	 * 	250.83	DCR|DCR|2MLV|1VULN	17CGEN|2BASICY|37LHND|4MDPS|5TBNT|67MLV|7BPWR|8aRCR|9VULN
33	36213 12234	   	250.63	DCR|DCR|2MLV|1VULN	17MLV|2BASICY|37LHND|4MDPS|5TBNT|67AME|7BPWR|8aRCR|9VULN
34	13433 31145	   	250.40	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG	1AELOIC|2MLV|3FEWX|4DMG|5CDMG|69RCR|7TBNT|8TLV|aASPD
35	33316 42141	 * 	249.95	DCR|4VULN|2MLV|1DMG	17MLV|2CGEN|3456VULN|8DUST|9RCR|aDMG
36	33323 33242	   	249.75	DCR|2VULN|2DMG|2MLV|1ASPD|1RPLT	19MLV|27CGEN|39VULN|4ERES|5RPLT|6ASPD|89DMG|9BPWR|aRCR
37	51121 13222	   	249.11	DCR|DCR|1VULN|1CDMG|1RPLT	1BBNT|2TBNT|3NUKE|4CDMG|5DUR|6TSLARM|79RCR|8RPLT|aVULN
38	33342 63362	   	248.68	DCR|DCR|1VULN|1MLV|1ASPD	1MLV|2CGEN|3VULN|4BASHEA|5DUST|6BELT|79RCR|8LHND|aASPD
39	13131 32345	 * 	246.21	DCR|DCR|3DUR|1MLV|1CDMG|1AART	1AELOIC|2MLV|357DUR|4AART|6BBNT|8aRCR|9CDMG
40	33631 33142	   	246.04	DCR|DCR|2MLV|1ASPD|1CDMG	14MLV|2CGEN|3CDMG|5ASPD|69RCR|7TBNT|8LHND|aBELT
41	33631 33144	   	246.04	DCR|DCR|2MLV|1ASPD|1CDMG	14MLV|2CGEN|3CDMG|5ASPD|69RCR|7TBNT|8LHND|aLIT
42	33631 33146	   	246.04	DCR|DCR|2MLV|1ASPD|1CDMG	14MLV|2CGEN|3CDMG|5ASPD|69RCR|7TBNT|8LHND|aFEWX
43	33631 33242	   	246.04	DCR|DCR|2MLV|1ASPD|1CDMG	14MLV|2CGEN|3CDMG|5ASPD|69RCR|7TBNT|8LWND|aBELT
44	33631 33244	   	246.04	DCR|DCR|2MLV|1ASPD|1CDMG	14MLV|2CGEN|3CDMG|5ASPD|69RCR|7TBNT|8LWND|aLIT
45	33631 33246	   	246.04	DCR|DCR|2MLV|1ASPD|1CDMG	14MLV|2CGEN|3CDMG|5ASPD|69RCR|7TBNT|8LWND|aFEWX
46	33631 33642	   	245.94	DCR|DCR|2MLV|1ASPD|1CDMG	14MLV|2CGEN|3CDMG|5ASPD|69RCR|7TBNT|8DUST|aRCVC
47	33631 33643	   	245.94	DCR|DCR|2MLV|1ASPD|1CDMG	14MLV|2aCGEN|3CDMG|5ASPD|69RCR|7TBNT|8DUST
48	32632 31142	   	245.80	DCR|DCR|2MLV|1ASPD|1CDMG|1ZMB	14MLV|2ZMB|3CDMG|5BEXP|69RCR|7TBNT|8TLV|aASPD
49	33633 33142	   	245.80	DCR|DCR|2MLV|1ASPD|1CDMG|1ZMB	14MLV|2CGEN|3CDMG|5ZMB|69RCR|7TBNT|8LHND|aASPD
50	33633 33242	   	245.80	DCR|DCR|2MLV|1ASPD|1CDMG|1ZMB	14MLV|2CGEN|3CDMG|5ZMB|69RCR|7TBNT|8LWND|aASPD
