0	Index      	 *	Score 	Summary	Detail	
1	34112 56233	 * 	263.28	DCR|DCR|2VULN|2DUR	15DUR|2AAC|3DUST|4LHND|6ERES|7aRCR|89VULN
43	36361 36221	 * 	244.95	DCR|4VULN|2ASPD|2DUR	18DUR|246aVULN|34ASPD|4BPWR|5LHND|7RCR|9FEWX
44	32633 14121	   	244.87	DCR|DCR|1VULN|2DUR|1RPLT	13DUR|2RPLT|3BPWR|4VULN|5TBNT|6BELT|7MDPS|8DUST|9aRCR
45	36336 33262	   	244.14	DCR|2VULN|2MLV|2ASPD|2DUR|1RPLT	19DUR|25VULN|39ASPD|4TBNT|6RCR|7RPLT|89MLV|9BPWR|aBASHEA
46	11156 13422	   	243.42	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1BASARM|2FEWX|3MSLREG|4VULN|5SELL|6RMIN|7aRCR|8CDMG|9AART
47	53225 61132	   	243.42	DCR|DCR|1VULN|1ASPD|1AART|1ZMB	1FRZICY|2AART|3CANTOX|4LHND|5ZMB|6ASPD|7VULN|8aRCR|9BLASTR
48	11156 33422	   	243.32	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1BASARM|2FEWX|3MSLREG|4VULN|5SELL|6ERES|7aRCR|8CDMG|9AART
49	13225 61132	   	243.32	DCR|DCR|1VULN|1ASPD|1AART|1ZMB	1BASARM|2AART|3CANTOX|4LHND|5ZMB|6ASPD|7VULN|8aRCR|9BLASTR
50	51313 53352	   	242.61	DCR|DCR|1VULN|1CDMG	14FRZICY|24FEWX|3RCVC|4BPWR|5AAC|67RCR|8CDMG|9DUR|aVULN
51	51333 53352	   	242.51	DCR|DCR|1VULN|1CDMG	1FRZICY|2FEWX|34RCVC|5AAC|67RCR|8CDMG|9DUR|aVULN
52	11313 53352	   	242.41	DCR|DCR|1VULN|1CDMG	14BASARM|24FEWX|3RCVC|4BPWR|5AAC|67RCR|8CDMG|9DUR|aVULN
53	11333 53352	   	242.41	DCR|DCR|1VULN|1CDMG	1BASARM|2FEWX|34RCVC|5AAC|67RCR|8CDMG|9DUR|aVULN
54	11324 12642	   	242.31	DCR|DCR|1VULN|1CDMG	1BASARM|2FEWX|3RCVC|4SPLREG|5CGEN|67RCR|8CDMG|9VULN|aDUR
55	36212 16423	   	242.26	DCR|DCR|1VULN|1CDMG|1ZMB	1DUR|2VULN|3LHND|4CDMG|59AAC|6BEXP|7aRCR|8ZMB
56	36362 26221	   	242.23	DCR|3VULN|2ASPD|1MLV|2DUR	18DUR|24aVULN|34ASPD|4BPWR|5MLV|6AME|7RCR|9FEWX
57	36362 54421	   	242.23	DCR|3VULN|2ASPD|1MLV|2DUR	17DUR|24aVULN|34ASPD|4BPWR|5MLV|6MBVNT|8TLV|9RCR
58	32631 12535	   	241.87	DCR|3VULN|1DMG|2DUR|1ASPD|1RPLT	13DUR|2RPLT|3BPWR|46aVULN|5VENFST|7RCR|8DMG|9ASPD
59	15151 11215	 * 	241.48	ACR|DCR|2VULN|1CDMG	1BASARM|2BBNT|36VULN|4aRCR|5LIT|7DUR|8DUST|9CDMG
60	36331 36252	 * 	241.35	DCR|3VULN|3ASPD|3DUR	189DUR|269VULN|39aASPD|4TBNT|5RMIN|7RCR|9BPWR
61	51313 53222	   	240.71	DCR|DCR|1VULN|1DMG	14FRZICY|24FEWX|3RCVC|4BPWR|5AAC|67RCR|8TLV|9VULN|aDMG
62	51333 53222	   	240.61	DCR|DCR|1VULN|1DMG	1FRZICY|2FEWX|34RCVC|5AAC|67RCR|8TLV|9VULN|aDMG
63	11313 53222	   	240.51	DCR|DCR|1VULN|1DMG	14BASARM|24FEWX|3RCVC|4BPWR|5AAC|67RCR|8TLV|9VULN|aDMG
64	11333 53222	   	240.51	DCR|DCR|1VULN|1DMG	1BASARM|2FEWX|34RCVC|5AAC|67RCR|8TLV|9VULN|aDMG
65	11324 12166	   	240.41	DCR|DCR|1VULN|1DMG	1BASARM|2FEWX|3RCVC|4SPLREG|5CGEN|67RCR|8BEXP|9VULN|aDMG
66	35216 51211	 * 	239.91	ACR|DCR|1VULN|1DMG|2DUR|3ZMB	18DUR|24AME|34aZMB|4BPWR|59RCR|6VULN|7DMG
67	13553 32142	   	239.89	DCR|DCR|1MLV|1ASPD|1CDMG|1AART	1BASARM|2AART|3LWND|4CDMG|5DUST|69RCR|7ASPD|8FEWX|aMLV
68	16253 32142	   	239.89	DCR|DCR|1MLV|1ASPD|1CDMG|1AART	1BASARM|2LHND|3AART|4CDMG|5DUST|69RCR|7ASPD|8FEWX|aMLV
69	32631 12435	   	239.34	DCR|3VULN|1MLV|2DUR|1ASPD|1RPLT	13DUR|2RPLT|3BPWR|46aVULN|5VENFST|7RCR|8MLV|9ASPD
70	36211 62315	   	239.31	DCR|3VULN|1DMG|1ASPD|1CDMG	1DUR|28aVULN|3LHND|4CDMG|5VENFST|6ASPD|7DMG|9RCR
71	15223 31846	   	238.44	DCR|DCR|1DMG|1CDMG|1AART|1RPLT	1BASARM|2BBNT|3MBVNT|4DMG|5CDMG|6RMIN|7AART|8aRCR|9RPLT
72	21352 22421	   	238.42	DCR|DCR|1VULN|1RPLT	1CGEN|2BBNT|3RMIN|4VULN|5MDPS|6BELT|7RPLT|8DUR|9aRCR
73	36651 22121	   	238.42	DCR|DCR|1VULN|1RPLT	1DUR|2VULN|3FEWX|4TBNT|5BEXP|6BELT|7RPLT|8DUST|9aRCR
74	36361 36311	   	238.40	DCR|4VULN|2ASPD	1DUR|2469VULN|34ASPD|4BPWR|5LHND|7RCR|8AAC|aBBNT
75	36361 36313	   	238.40	DCR|4VULN|2ASPD	1DUR|2469VULN|34ASPD|4BPWR|5LHND|7RCR|8AAC|aTBNT
76	36361 36312	   	238.30	DCR|4VULN|2ASPD	1DUR|2469VULN|34ASPD|4BPWR|5LHND|7RCR|8AAC|aMDPS
77	36361 36331	   	238.30	DCR|4VULN|2ASPD	1DUR|246aVULN|34ASPD|4BPWR|5LHND|7RCR|8AAC|9ERES
78	13314 21536	   	238.22	DCR|DCR|1VULN|1AART	1BASARM|2AART|3VULN|4LHND|5MBVNT|6DUST|7aRCR|8DUR|9CGEN
79	13314 21546	   	238.22	DCR|DCR|1VULN|1AART	1BASARM|2AART|3VULN|4LHND|5MBVNT|6DUST|7aRCR|8DUR|9RMIN
80	36361 35131	   	238.20	DCR|4VULN|2ASPD	1DUR|246aVULN|34ASPD|4BPWR|5LHND|7ERES|8RCR|9AME
81	36361 36131	   	238.20	DCR|4VULN|2ASPD	1DUR|246aVULN|34ASPD|4BPWR|5LHND|7RCR|8ERES|9AME
82	36361 32111	   	238.15	DCR|4VULN|2ASPD|1ZMB	1DUR|2469VULN|34ASPD|4BPWR|5LHND|7ZMB|8RCR|aBBNT
83	36361 32113	   	238.15	DCR|4VULN|2ASPD|1ZMB	1DUR|2469VULN|34ASPD|4BPWR|5LHND|7ZMB|8RCR|aTBNT
84	36361 32114	   	238.15	DCR|4VULN|2ASPD|1ZMB	1DUR|2469VULN|34ASPD|4BPWR|5LHND|7ZMB|8RCR|aTLV
85	36361 32521	   	238.15	DCR|4VULN|2ASPD|1ZMB	1DUR|246aVULN|34ASPD|4BPWR|5LHND|7ZMB|8AAC|9RCR
86	36361 32124	 * 	238.07	DCR|3VULN|2ASPD|1DMG|1ZMB	1DUR|246VULN|34ASPD|4BPWR|5LHND|7ZMB|8RCR|9LIT|aDMG
87	36361 32112	   	238.05	DCR|4VULN|2ASPD|1ZMB	1DUR|2469VULN|34ASPD|4BPWR|5LHND|7ZMB|8RCR|aMDPS
88	36361 32131	   	238.05	DCR|4VULN|2ASPD|1ZMB	1DUR|246aVULN|34ASPD|4BPWR|5LHND|7ZMB|8RCR|9ERES
89	36361 32136	 * 	237.97	DCR|3VULN|2ASPD|1DMG|1ZMB	1DUR|246VULN|34ASPD|4BPWR|5LHND|7ZMB|8RCR|9ERES|aDMG
90	45623 13113	   	237.88	DCR|DCR|1VULN|1MLV	13LHND|2AME|4AAC|5MLV|6CGEN|7DUST|8aRCR|9VULN
91	25334 21113	   	237.78	DCR|DCR|1VULN|1MLV	12CGEN|3MLV|4LHND|5DUST|6AME|7NUKE|8aRCR|9VULN
92	45115 31113	   	237.78	DCR|DCR|1VULN|1MLV	14LHND|2AME|3DUST|5MLV|6TLV|7NUKE|8aRCR|9VULN
93	21241 62613	   	237.74	DCR|DCR|1VULN|1MLV|1SELL	19CGEN|2BBNT|3MLV|4RMIN|5SELL|6BASICY|7aRCR|8VULN
94	45223 13113	   	237.54	DCR|DCR|1VULN|1MLV|1ZMB	1LHND|24AME|3ZMB|5MLV|6CGEN|7DUST|8aRCR|9VULN
95	45223 63113	   	237.44	DCR|DCR|1VULN|1MLV|1ZMB	1LHND|24AME|3ZMB|5MLV|6ERES|7DUST|8aRCR|9VULN
96	45213 13113	   	237.39	DCR|DCR|1VULN|1MLV|2ZMB	1LHND|24AME|34ZMB|4BPWR|5MLV|6CGEN|7DUST|8aRCR|9VULN
97	45263 13113	   	237.39	DCR|DCR|1VULN|1MLV|2ZMB	1LHND|2AME|34ZMB|5MLV|6CGEN|7DUST|8aRCR|9VULN
98	45213 63113	   	237.29	DCR|DCR|1VULN|1MLV|2ZMB	1LHND|24AME|34ZMB|4BPWR|5MLV|6ERES|7DUST|8aRCR|9VULN
99	15521 21315	   	237.18	DCR|DCR|1DMG|1ASPD|1AART	1BASARM|2BBNT|3LHND|4DMG|5TLV|6AART|7ASPD|8DUR|9aRCR
100	42232 42243	 * 	236.99	DCR|2VULN|2MLV|1DMG|1ASPD|1RPLT	19LHND|2RPLT|3CGEN|49MLV|5AAC|6ASPD|7DMG|89VULN|9BPWR|aRCR
101	14334 42844	 * 	236.60	DCR|DCR|2DMG|1CDMG	1BASARM|2CDMG|3TLV|4LWND|5MBVNT|6ERES|78RCR|9aDMG
102	36336 32532	   	235.68	DCR|3VULN|2ASPD|1MLV	1DUR|257VULN|3aASPD|4TBNT|6RCR|8TLV|9MLV
103	36362 26311	   	235.68	DCR|3VULN|2ASPD|1MLV	1DUR|249VULN|34ASPD|4BPWR|5MLV|6AME|7RCR|8AAC|aBBNT
104	36362 26313	   	235.68	DCR|3VULN|2ASPD|1MLV	1DUR|249VULN|34ASPD|4BPWR|5MLV|6AME|7RCR|8AAC|aTBNT
105	36336 32432	   	235.58	DCR|3VULN|2ASPD|1MLV	1DUR|257VULN|3aASPD|4TBNT|6RCR|8NUKE|9MLV
106	36362 26312	   	235.58	DCR|3VULN|2ASPD|1MLV	1DUR|249VULN|34ASPD|4BPWR|5MLV|6AME|7RCR|8AAC|aMDPS
107	36362 26331	   	235.58	DCR|3VULN|2ASPD|1MLV	1DUR|24aVULN|34ASPD|4BPWR|5MLV|6AME|7RCR|8AAC|9ERES
108	36336 33413	   	235.55	DCR|3VULN|2DUR|1ASPD|1CDMG|1RPLT	18DUR|25aVULN|3ASPD|4TBNT|6RCR|7RPLT|9CDMG
109	36361 32142	   	235.53	DCR|3VULN|2ASPD|1MLV|1ZMB	1DUR|246VULN|34ASPD|4BPWR|5LHND|7ZMB|8RCR|9MLV|aBEXP
110	36361 32134	   	235.43	DCR|3VULN|2ASPD|1MLV|1ZMB	1DUR|246VULN|34ASPD|4BPWR|5LHND|7ZMB|8RCR|9ERES|aMLV
111	36361 32143	   	235.43	DCR|3VULN|2ASPD|1MLV|1ZMB	1DUR|246VULN|34ASPD|4BPWR|5LHND|7ZMB|8RCR|9MLV|aAME
112	36362 22111	   	235.43	DCR|3VULN|2ASPD|1MLV|1ZMB	1DUR|249VULN|34ASPD|4BPWR|5MLV|6AME|7ZMB|8RCR|aBBNT
113	36362 22113	   	235.43	DCR|3VULN|2ASPD|1MLV|1ZMB	1DUR|249VULN|34ASPD|4BPWR|5MLV|6AME|7ZMB|8RCR|aTBNT
114	36362 22114	   	235.43	DCR|3VULN|2ASPD|1MLV|1ZMB	1DUR|249VULN|34ASPD|4BPWR|5MLV|6AME|7ZMB|8RCR|aTLV
115	36364 22131	   	235.43	DCR|3VULN|2ASPD|1MLV|1ZMB	1DUR|24aVULN|34ASPD|4BPWR|5CGEN|6AME|7ZMB|8RCR|9MLV
116	34312 16113	   	235.41	DCR|DCR|1VULN|2DUR	15DUR|2AAC|345LHND|5BPWR|6CGEN|7DUST|8aRCR|9VULN
117	34322 16113	   	235.41	DCR|DCR|1VULN|2DUR	15DUR|24AAC|35LHND|5BPWR|6CGEN|7DUST|8aRCR|9VULN
118	34362 16113	   	235.41	DCR|DCR|1VULN|2DUR	15DUR|2AAC|35LHND|4DMSP|5BPWR|6CGEN|7DUST|8aRCR|9VULN
119	36362 22112	   	235.33	DCR|3VULN|2ASPD|1MLV|1ZMB	1DUR|249VULN|34ASPD|4BPWR|5MLV|6AME|7ZMB|8RCR|aMDPS
120	36362 22131	   	235.33	DCR|3VULN|2ASPD|1MLV|1ZMB	1DUR|24aVULN|34ASPD|4BPWR|5MLV|6AME|7ZMB|8RCR|9ERES
121	34112 26513	   	235.31	DCR|DCR|1VULN|2DUR	15DUR|26AAC|3DUST|4LHND|7aRCR|8CGEN|9VULN
122	34112 36513	   	235.31	DCR|DCR|1VULN|2DUR	15DUR|2AAC|3DUST|46LHND|7aRCR|8CGEN|9VULN
123	34112 25113	   	235.21	DCR|DCR|1VULN|2DUR	15DUR|26AAC|3DUST|4LHND|7ERES|8aRCR|9VULN
124	34112 26113	   	235.21	DCR|DCR|1VULN|2DUR	15DUR|26AAC|3DUST|4LHND|7aRCR|8ERES|9VULN
125	34112 26613	   	235.21	DCR|DCR|1VULN|2DUR	15DUR|26AAC|3DUST|4LHND|7aRCR|8AME|9VULN
126	34112 35113	   	235.21	DCR|DCR|1VULN|2DUR	15DUR|2AAC|3DUST|46LHND|7ERES|8aRCR|9VULN
127	34112 36113	   	235.21	DCR|DCR|1VULN|2DUR	15DUR|2AAC|3DUST|46LHND|7aRCR|8ERES|9VULN
128	34112 36613	   	235.21	DCR|DCR|1VULN|2DUR	15DUR|2AAC|3DUST|46LHND|7aRCR|8AME|9VULN
129	34112 45113	   	235.11	DCR|DCR|1VULN|2DUR	15DUR|2AAC|36DUST|4LHND|7ERES|8aRCR|9VULN
130	34112 46113	   	235.11	DCR|DCR|1VULN|2DUR	15DUR|2AAC|36DUST|4LHND|7aRCR|8ERES|9VULN
131	34112 52113	   	235.11	DCR|DCR|1VULN|2DUR	15DUR|2AAC|3DUST|4LHND|67ERES|8aRCR|9VULN
132	34112 53113	   	235.11	DCR|DCR|1VULN|2DUR	15DUR|2AAC|3DUST|4LHND|6ERES|7AELOIC|8aRCR|9VULN
133	35112 23113	   	235.11	DCR|DCR|1VULN|2DUR	15DUR|27AME|3DUST|4LHND|6AAC|8aRCR|9VULN
134	35112 41113	   	235.01	DCR|DCR|1VULN|2DUR	15DUR|2AME|36DUST|4LHND|7NUKE|8aRCR|9VULN
135	35112 46313	   	234.86	DCR|DCR|1VULN|2DUR|1ZMB	15DUR|2AME|36DUST|4LHND|7aRCR|8ZMB|9VULN
136	14224 32235	   	234.78	DCR|3VULN|1DMG|1MLV|1CDMG	1BASARM|2CDMG|3DMG|49aVULN|5MBVNT|6MLV|7RCR|8LIT
137	14224 32446	   	234.78	DCR|3VULN|1DMG|1MLV|1CDMG	1BASARM|2CDMG|3DMG|49aVULN|5MBVNT|6MLV|7RCR|8FEWX
138	11326 11462	   	234.55	DCR|DCR|1MLV|1ASPD|1AART	1BASARM|2FEWX|3RCVC|4SPLREG|5ASPD|6aRCR|7AART|8MLV|9DUR
139	51313 53312	   	234.30	DCR|DCR|1VULN|1CDMG	14FRZICY|24FEWX|3RCVC|4BPWR|5AAC|67RCR|8CDMG|9LWND|aVULN
140	51333 53312	   	234.20	DCR|DCR|1VULN|1CDMG	1FRZICY|2FEWX|34RCVC|5AAC|67RCR|8CDMG|9LWND|aVULN
141	51313 53322	   	234.20	DCR|DCR|1VULN|1CDMG	14FRZICY|24FEWX|3RCVC|4BPWR|5AAC|67RCR|8CDMG|9DUST|aVULN
142	11313 53312	   	234.10	DCR|DCR|1VULN|1CDMG	14BASARM|24FEWX|3RCVC|4BPWR|5AAC|67RCR|8CDMG|9LWND|aVULN
143	11333 53312	   	234.10	DCR|DCR|1VULN|1CDMG	1BASARM|2FEWX|34RCVC|5AAC|67RCR|8CDMG|9LWND|aVULN
144	24126 12613	   	234.10	DCR|DCR|1VULN|1CDMG	19CGEN|2CDMG|3SPLJET|48BEXP|5TBNT|6VULN|7aRCR
145	51333 53322	   	234.10	DCR|DCR|1VULN|1CDMG	1FRZICY|2FEWX|34RCVC|5AAC|67RCR|8CDMG|9DUST|aVULN
146	11313 53322	   	234.00	DCR|DCR|1VULN|1CDMG	14BASARM|24FEWX|3RCVC|4BPWR|5AAC|67RCR|8CDMG|9DUST|aVULN
147	11324 12462	   	234.00	DCR|DCR|1VULN|1ASPD	1BASARM|2FEWX|3RCVC|4SPLREG|5CGEN|67RCR|8ASPD|9VULN|aBEXP
148	11324 12463	   	234.00	DCR|DCR|1VULN|1ASPD	1BASARM|2FEWX|3RCVC|4SPLREG|5CGEN|67RCR|8ASPD|9VULN|aLHND
149	11324 12641	   	234.00	DCR|DCR|1VULN|1CDMG	1BASARM|2aFEWX|3RCVC|4SPLREG|5CGEN|67RCR|8CDMG|9VULN
150	11324 12643	   	234.00	DCR|DCR|1VULN|1CDMG	1BASARM|2FEWX|3RCVC|4SPLREG|5CGEN|67RCR|8CDMG|9VULN|aTBNT
151	11333 53322	   	234.00	DCR|DCR|1VULN|1CDMG	1BASARM|2FEWX|34RCVC|5AAC|67RCR|8CDMG|9DUST|aVULN
152	11324 12461	   	233.90	DCR|DCR|1VULN|1ASPD	1BASARM|2FEWX|3RCVC|4SPLREG|5CGEN|67RCR|8ASPD|9VULN|aMDPS
153	14334 42831	   	233.90	DCR|DCR|1VULN|1CDMG	1BASARM|2CDMG|3TLV|4LWND|5MBVNT|6ERES|78RCR|9BEXP|aVULN
154	14334 42821	   	233.80	DCR|DCR|1VULN|1CDMG	1BASARM|2CDMG|3TLV|4LWND|5MBVNT|6ERES|78RCR|9DUST|aVULN
155	13423 23463	 * 	233.51	DCR|4VULN|1DMG|1AART	1BASARM|2AART|3DMG|4BBNT|5BEXP|6789VULN|aRCR
156	21355 33613	   	233.35	DCR|3VULN|2ASPD|1CDMG|1RPLT	18CGEN|2BBNT|3RMIN|48aVULN|58ASPD|6RCR|7RPLT|8BPWR|9CDMG
