0	Index      	 *	Score 	Summary	Detail	
1	33345 45422	 * 	279.71	DCR|DCR|2VULN|1MLV|1CDMG	1TBNT|2CGEN|3LWND|4MBVNT|5CDMG|68RCR|79VULN|aMLV
57	36423 22423	   	255.85	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1TBNT|2DUST|3VULN|4MLV|5BBNT|6DUR|78RCR|9RPLT|aZMB
58	26622 12243	   	254.64	ACR|DCR|2VULN|1DMG|2DUR	19RCR|2BBNT|3VENTOX|46DUR|56VULN|6BPWR|7FEWX|8CGEN|aDMG
59	25634 12313	   	253.77	ACR|DCR|1VULN|1DMG|2DUR|1ASPD|1CDMG	1aRCR|23DUR|4DMG|5VULN|6AELOIC|7BELT|8ASPD|9CDMG
60	24212 21563	 * 	253.06	ACR|DCR|2VULN|2MLV	16RCR|2RMIN|39LHND|4aVULN|5DMSP|79MLV|89FEWX|9BPWR
61	26223 14642	   	252.85	ACR|DCR|3VULN|1RPLT	19RCR|2BBNT|3RPLT|4MBVNT|5BELT|68aVULN|78LIT|8BPWR
62	36423 22411	   	252.74	DCR|DCR|1VULN|1MLV|2DUR	1TBNT|2DUST|3VULN|4MLV|5BBNT|6aDUR|78RCR|9LSRHEA
63	23263 53212	   	252.21	ACR|DCR|2VULN|1MLV|2DUR	19RCR|28LIT|3DUST|48VULN|5LHND|6MLV|78DUR|8BPWR|aRCVC
64	23263 53213	   	252.21	ACR|DCR|2VULN|1MLV|2DUR	19RCR|28LIT|3DUST|48VULN|5LHND|6MLV|78DUR|8BPWR|aBEXP
65	23263 53215	   	252.21	ACR|DCR|2VULN|1MLV|2DUR	19RCR|28LIT|3DUST|48VULN|5LHND|6MLV|78DUR|8BPWR|aRMIN
66	23263 53216	   	252.21	ACR|DCR|2VULN|1MLV|2DUR	19RCR|28LIT|3DUST|48VULN|5LHND|6MLV|78DUR|8BPWR|aBELT
67	23264 53212	   	252.21	ACR|DCR|2VULN|1MLV|2DUR	19RCR|28LIT|3DUST|48VULN|5LWND|6MLV|78DUR|8BPWR|aRCVC
68	23264 53213	   	252.21	ACR|DCR|2VULN|1MLV|2DUR	19RCR|28LIT|3DUST|48VULN|5LWND|6MLV|78DUR|8BPWR|aBEXP
69	23265 53212	   	252.21	ACR|DCR|2VULN|1MLV|2DUR	19RCR|28LIT|3DUST|48VULN|5BEXP|6MLV|78DUR|8BPWR|aRCVC
70	23265 53213	   	252.21	ACR|DCR|2VULN|1MLV|2DUR	19RCR|28LIT|3DUST|48VULN|5aBEXP|6MLV|78DUR|8BPWR
71	23523 55212	   	252.21	ACR|DCR|2VULN|1MLV|2DUR	19RCR|28LIT|38VULN|4LWND|5LEGI|6MLV|78DUR|8BPWR|aBELT
72	23263 53211	   	252.11	ACR|DCR|2VULN|1MLV|2DUR|1MSE	19RCR|28LIT|3DUST|48VULN|5LHND|6MLV|78DUR|8BPWR|aMSE
73	23263 53214	   	252.11	ACR|DCR|2VULN|1MLV|2DUR	19RCR|28LIT|3DUST|48VULN|5LHND|6MLV|78DUR|8BPWR|aAELOIC
74	23264 53211	   	252.11	ACR|DCR|2VULN|1MLV|2DUR|1MSE	19RCR|28LIT|3DUST|48VULN|5LWND|6MLV|78DUR|8BPWR|aMSE
75	23265 53211	   	252.11	ACR|DCR|2VULN|1MLV|2DUR|1MSE	19RCR|28LIT|3DUST|48VULN|5BEXP|6MLV|78DUR|8BPWR|aMSE
76	23523 55211	   	252.11	ACR|DCR|2VULN|1MLV|2DUR	19RCR|28LIT|38VULN|4LWND|5LEGI|6MLV|78DUR|8BPWR|aDUST
77	33145 45414	   	252.07	DCR|DCR|1VULN|1CDMG|1AART	1TBNT|2CGEN|3DUR|4MBVNT|5CDMG|68RCR|7VULN|9LWND|aAART
78	33145 45444	   	252.07	DCR|DCR|1VULN|1CDMG|1RPLT	1TBNT|2CGEN|3DUR|4MBVNT|5CDMG|68RCR|7VULN|9RMIN|aRPLT
79	33145 43424	   	252.07	DCR|DCR|1VULN|1CDMG|1AART	1TBNT|2CGEN|3DUR|4MBVNT|5CDMG|68RCR|7LWND|9VULN|aAART
80	33345 44423	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1TBNT|2CGEN|3LWND|4MBVNT|5CDMG|68RCR|7LHND|9VULN|aMLV
81	33345 45412	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1TBNT|2CGEN|39LWND|4MBVNT|5CDMG|68RCR|7VULN|aMLV
82	25313 32643	   	251.59	ACR|DCR|3VULN	19RCR|2DUR|36CGEN|46aVULN|5BBNT|6BPWR|7FRZARM|8LWND
83	23512 61633	   	251.39	ACR|DCR|3VULN	1aRCR|2LIT|368VULN|4BBNT|5ERES|7LHND|9DUR
84	23512 63633	   	251.39	ACR|DCR|3VULN	1aRCR|2LIT|368VULN|4BBNT|5ERES|7LWND|9DUR
85	25114 21447	   	251.14	ACR|DCR|2VULN|1ASPD|1RPLT	1aRCR|2DUR|3MBVNT|4RPLT|5ASPD|69VULN|7ERES|8BELT
86	25114 23477	   	251.14	ACR|DCR|2VULN|1ASPD|1RPLT	1aRCR|2DUR|3MBVNT|4RPLT|5ASPD|69VULN|7AME|8BELT
87	25133 41447	   	251.14	ACR|DCR|2VULN|1ASPD|1RPLT	1aRCR|2DUR|3MBVNT|4ASPD|59VULN|6RPLT|7ERES|8BELT
88	25133 43477	   	251.14	ACR|DCR|2VULN|1ASPD|1RPLT	1aRCR|2DUR|3MBVNT|4ASPD|59VULN|6RPLT|7AME|8BELT
89	25173 41447	   	251.14	ACR|DCR|2VULN|1ASPD|1RPLT	1aRCR|2DUR|3MBVNT|49VULN|5ASPD|6RPLT|7ERES|8BELT
90	21116 21251	   	250.80	ACR|DCR|2VULN|1MLV|1ASPD	16RCR|2CGEN|3DUST|4aVULN|5RCVC|7MLV|8ASPD|9FLTHEA
91	21114 21251	   	250.70	ACR|DCR|2VULN|1MLV|1ASPD	16RCR|2CGEN|35DUST|4aVULN|7MLV|8ASPD|9FLTHEA
92	21116 21231	   	250.70	ACR|DCR|2VULN|1MLV|1ASPD	16RCR|2CGEN|3DUST|4aVULN|5RCVC|7MLV|8ASPD|9CANSTR
93	21114 21231	   	250.60	ACR|DCR|2VULN|1MLV|1ASPD	16RCR|2CGEN|35DUST|4aVULN|7MLV|8ASPD|9CANSTR
