0	Index      	 *	Score 	Summary	Detail	
1	11233 81468	 * 	271.89	DCR|DCR|3VULN	1LIT|238VULN|4LWND|5MBVNT|6aRCR|7BEXP|9MDPS
64	42111 41222	   	246.98	DCR|3VULN|1DMG|2CDMG|1ASPD|1RPLT	12CDMG|38aVULN|4RPLT|5NUKE|6RCR|7DMG|9ASPD
65	45162 33313	   	246.82	ACR|DCR|2VULN|1CDMG|1ASPD	1CDMG|2AELOIC|34VULN|5aRCR|6BEXP|7ERES|8ASPD|9TBNT
66	45133 63313	   	246.82	ACR|DCR|2VULN|1ASPD|1CDMG	1CDMG|2AELOIC|36VULN|4aRCR|5TLV|7DUST|8ASPD|9TBNT
67	45132 63313	   	246.72	ACR|DCR|2VULN|1ASPD|1CDMG	1CDMG|2AELOIC|36VULN|4aRCR|5AME|7DUST|8ASPD|9TBNT
68	11213 62451	 * 	245.25	DCR|3VULN|2MLV|1DMG	1LIT|239VULN|4DUR|57MLV|6DMG|8TLV|aRCR
69	11213 62551	   	245.25	DCR|3VULN|2MLV|1DMG	1LIT|239VULN|4DUR|57MLV|6DMG|8RMIN|aRCR
70	33323 12778	   	244.95	DCR|DCR|1DMG|1MLV|1CDMG	1LHND|2LIT|3CDMG|4MBVNT|5MDPS|6DUR|7DMG|8MLV|9aRCR
71	13323 12778	   	244.85	DCR|DCR|1DMG|1MLV|1CDMG	1LIT|2DUST|3CDMG|4MBVNT|5MDPS|6DUR|7DMG|8MLV|9aRCR
72	13323 34778	   	244.85	DCR|DCR|1DMG|1MLV|1CDMG	1LIT|2DUST|3CDMG|4MBVNT|5MDPS|6DMG|7DUR|8MLV|9aRCR
73	23323 12778	   	244.85	DCR|DCR|1DMG|1MLV|1CDMG	1DUST|2LIT|3CDMG|4MBVNT|5MDPS|6DUR|7DMG|8MLV|9aRCR
74	23323 34778	   	244.85	DCR|DCR|1DMG|1MLV|1CDMG	1DUST|2LIT|3CDMG|4MBVNT|5MDPS|6DMG|7DUR|8MLV|9aRCR
75	42114 34222	   	244.54	DCR|3VULN|2CDMG|1MLV|1ASPD|1RPLT	12CDMG|38aVULN|4RPLT|5AAC|6MLV|7RCR|9ASPD
76	42111 34222	   	244.44	DCR|3VULN|2CDMG|1MLV|1ASPD|1RPLT	12CDMG|38aVULN|4RPLT|5NUKE|6MLV|7RCR|9ASPD
77	33312 53166	   	243.86	DCR|DCR|1VULN|1CDMG|1AART	1LHND|2LIT|3CDMG|4FEWX|5BEXP|69RCR|7CGEN|8VULN|aAART
78	21231 63241	   	243.66	DCR|DCR|1VULN|1ASPD|1AART	1DUST|2ASPD|3VENFST|4AART|5TBNT|67LIT|89RCR|aVULN
79	21231 65241	   	243.66	DCR|DCR|1VULN|1ASPD|1AART	1DUST|2ASPD|3VENFST|4AART|5TBNT|6LIT|7RCVC|89RCR|aVULN
80	21216 26374	   	243.46	DCR|DCR|1VULN|1ASPD|1RPLT	1DUST|2ASPD|3VENFST|4MBVNT|5BEXP|68RCR|7BASHEA|9RPLT|aVULN
81	11131 33553	   	243.39	ACR|DCR|3VULN	17LIT|269VULN|37CGEN|4aRCR|57BEXP|7BPWR|8BELT
82	11531 33553	   	243.39	ACR|DCR|3VULN	17LIT|269VULN|37TLV|4aRCR|57BEXP|7BPWR|8BELT
83	11136 33553	   	243.19	ACR|DCR|3VULN	17LIT|269VULN|37CGEN|4aRCR|57DUST|7BPWR|8BELT
84	11132 13353	   	243.19	ACR|DCR|3VULN	1LIT|267VULN|3CGEN|4aRCR|5TLV|8TBNT|9BELT
85	11132 15553	   	243.19	ACR|DCR|3VULN	1LIT|268VULN|3CGEN|4aRCR|5TLV|7BBNT|9BELT
86	11132 13111	   	243.09	ACR|DCR|3VULN	1LIT|267VULN|3CGEN|49RCR|5TLV|8SPLREG|aLWND
87	11132 13112	   	243.09	ACR|DCR|3VULN	1LIT|267VULN|3CGEN|49RCR|5aTLV|8SPLREG
88	11132 13113	   	243.09	ACR|DCR|3VULN	1LIT|267VULN|3CGEN|49RCR|5TLV|8SPLREG|aDMSP
89	11132 13211	   	243.09	ACR|DCR|3VULN	1LIT|267VULN|3CGEN|49RCR|5TLV|8LSRHEA|aLWND
90	11132 13212	   	243.09	ACR|DCR|3VULN	1LIT|267VULN|3CGEN|49RCR|5aTLV|8LSRHEA
91	11132 13213	   	243.09	ACR|DCR|3VULN	1LIT|267VULN|3CGEN|49RCR|5TLV|8LSRHEA|aDMSP
92	61232 13111	   	242.99	ACR|DCR|3VULN	1ERES|2LIT|367VULN|49RCR|5TLV|8SPLREG|aLWND
93	61232 13112	   	242.99	ACR|DCR|3VULN	1ERES|2LIT|367VULN|49RCR|5aTLV|8SPLREG
94	61232 13113	   	242.99	ACR|DCR|3VULN	1ERES|2LIT|367VULN|49RCR|5TLV|8SPLREG|aDMSP
95	61232 13211	   	242.99	ACR|DCR|3VULN	1ERES|2LIT|367VULN|49RCR|5TLV|8LSRHEA|aLWND
96	61232 13212	   	242.99	ACR|DCR|3VULN	1ERES|2LIT|367VULN|49RCR|5aTLV|8LSRHEA
97	61232 13213	   	242.99	ACR|DCR|3VULN	1ERES|2LIT|367VULN|49RCR|5TLV|8LSRHEA|aDMSP
98	11132 13115	   	242.99	ACR|DCR|3VULN	1LIT|267VULN|3CGEN|49RCR|5TLV|8SPLREG|aDUST
99	11132 13215	   	242.99	ACR|DCR|3VULN	1LIT|267VULN|3CGEN|49RCR|5TLV|8LSRHEA|aDUST
100	61232 13115	   	242.89	ACR|DCR|3VULN	1ERES|2LIT|367VULN|49RCR|5TLV|8SPLREG|aDUST
101	61232 13215	   	242.89	ACR|DCR|3VULN	1ERES|2LIT|367VULN|49RCR|5TLV|8LSRHEA|aDUST
102	42132 34313	   	242.69	ACR|DCR|1VULN|2CDMG|1MLV|1ASPD	12CDMG|3VULN|4aRCR|5AME|6TLV|7MLV|8ASPD|9TBNT
103	42133 34313	   	242.69	ACR|DCR|1VULN|2CDMG|1MLV|1ASPD	12CDMG|3VULN|4aRCR|5TLV|6AME|7MLV|8ASPD|9TBNT
104	42135 34313	   	242.59	ACR|DCR|1VULN|2CDMG|1MLV|1ASPD	12CDMG|3VULN|4aRCR|5ERES|6AME|7MLV|8ASPD|9TBNT
105	33312 53165	   	242.51	DCR|DCR|1VULN|1CDMG	1LHND|2LIT|3CDMG|4FEWX|5BEXP|69RCR|7CGEN|8VULN|aDUR
