0	Index      	 *	Score 	Summary	Detail	
1	54581 14441	 * 	268.59	DCR|DCR|2VULN|1DMG	1MBVNT|2LHND|3DMSP|4LIT|59VULN|6DMG|7aRCR|8RCVC
20	52234 18621	   	256.59	DCR|DCR|2VULN|1ZMB	1MBVNT|2ZMB|3RCVC|46VULN|59LIT|7aRCR|8DUR
21	52242 22214	 * 	255.25	DCR|DCR|2DMG|1MLV|2DUR|2ZMB	1MBVNT|28ZMB|34RCVC|58DUR|6aRCR|78DMG|8BPWR|9MLV
22	62115 64442	   	255.02	DCR|DCR|1VULN|1DMG|2RPLT|1ZMB	1ERES|26RPLT|3TBNT|4DMG|5MBVNT|79RCR|8ZMB|aVULN
23	62125 44542	   	255.02	DCR|DCR|1VULN|1DMG|2RPLT|1ZMB	1ERES|24RPLT|3TBNT|5MBVNT|6ZMB|79RCR|8DMG|aVULN
24	54431 85334	   	254.16	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2LHND|3FEWX|4DMG|5ASPD|6aRCR|7VULN|8LWND|9DMSP
25	22231 11315	   	253.52	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1LHND|2CDMG|3BBNT|4AART|5BEXP|6LIT|7aRCR|8RPLT|9VULN
26	35132 15226	   	253.52	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BELT|aCDMG
27	35132 15233	   	253.52	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9CDMG|aLHND
28	35132 15235	   	253.52	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9CDMG|aLIT
29	35132 15236	   	253.52	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9CDMG|aBEXP
30	15132 15226	   	253.42	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BELT|aCDMG
31	15132 15233	   	253.42	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9CDMG|aLHND
32	15132 15235	   	253.42	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9CDMG|aLIT
33	15132 15236	   	253.42	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9CDMG|aBEXP
34	22235 11315	   	253.42	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1LHND|2CDMG|3BBNT|4AART|5DUST|6LIT|7aRCR|8RPLT|9VULN
35	35135 15233	   	253.42	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5AME|6RPLT|78RCR|9CDMG|aLHND
36	35132 15231	   	253.42	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9CDMG|aERES
37	15132 15231	   	253.32	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9CDMG|aERES
38	35135 15231	   	253.32	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5AME|6RPLT|78RCR|9CDMG|aERES
39	54343 23325	   	251.97	DCR|DCR|1VULN|1ASPD|1RPLT	1MBVNT|2LHND|3RPLT|4BEXP|5MGNSTR|6DUR|7VULN|89RCR|aASPD
40	54351 43325	   	251.97	DCR|DCR|1VULN|1ASPD|1RPLT	1MBVNT|2LHND|3RPLT|4DUR|5LWND|6VULN|7MULARM|89RCR|aASPD
41	52216 34542	   	249.83	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1MBVNT|2ZMB|3RCVC|4BBNT|5RPLT|6ERES|79RCR|8DMG|aVULN
42	52226 34542	   	249.83	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1MBVNT|2ZMB|3RCVC|4TBNT|5RPLT|6ERES|79RCR|8DMG|aVULN
43	62115 44442	   	249.73	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	16ERES|2RPLT|3TBNT|4DMG|5MBVNT|79RCR|8ZMB|aVULN
44	42221 43335	   	248.72	DCR|DCR|1VULN|1DMG	1LIT|2AME|3ERES|4BELT|5VULN|69RCR|7BEXP|8DUR|aDMG
45	52611 34284	   	248.71	DCR|DCR|1VULN|2DUR|1ASPD|1ZMB	1MBVNT|2ZMB|37DUR|4BEXP|5ASPD|6VULN|8LHND|9aRCR
46	42223 16335	   	248.62	DCR|DCR|1VULN|1DMG	1LIT|2AME|3ERES|4BELT|5DUST|6VULN|79RCR|8DUR|aDMG
47	52266 22214	 * 	248.50	DCR|DCR|2DMG|1MLV|2ZMB	1MBVNT|28ZMB|3RCVC|4DUR|58AELOIC|6aRCR|78DMG|8BPWR|9MLV
48	52234 18121	   	248.28	DCR|DCR|2VULN|1ZMB	1MBVNT|2ZMB|3RCVC|46VULN|59LIT|7aRCR|8BEXP
49	52234 18161	   	248.28	DCR|DCR|2VULN|1ZMB	1MBVNT|2ZMB|39RCVC|46VULN|5LIT|7aRCR|8BEXP
50	52234 18521	   	248.28	DCR|DCR|2VULN|1ZMB	1MBVNT|2ZMB|3RCVC|46VULN|59LIT|7aRCR|8FEWX
51	52364 18121	   	248.28	DCR|DCR|2VULN|1ZMB	1MBVNT|2ZMB|36VULN|4RCVC|59LIT|7aRCR|8BEXP
52	52864 14441	   	248.28	DCR|DCR|2VULN|1ZMB	1MBVNT|2ZMB|3LHND|48RCVC|5LIT|69VULN|7aRCR
53	52234 18421	   	248.18	DCR|DCR|2VULN|1ZMB	1MBVNT|2ZMB|3RCVC|46VULN|5LIT|7aRCR|8ERES|9CGEN
54	52364 18421	   	248.18	DCR|DCR|2VULN|1ZMB	1MBVNT|2ZMB|36VULN|4RCVC|5LIT|7aRCR|8ERES|9CGEN
55	35132 15222	   	248.18	DCR|DCR|1VULN|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BELT|aDUR
56	35135 15222	   	248.08	DCR|DCR|1VULN|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5AME|6RPLT|78RCR|9BELT|aDUR
57	52343 52264	 * 	247.75	ACR|DCR|2VULN|1DMG|1ZMB	1MBVNT|2ZMB|36VULN|4aRCR|5LWND|7DMG|8DUR|9LHND
58	52343 53164	 * 	247.75	ACR|DCR|2VULN|1DMG|1ZMB	1MBVNT|2ZMB|36VULN|4aRCR|5LWND|7DUR|8DMG|9LHND
59	52444 52264	 * 	247.75	ACR|DCR|2VULN|1DMG|1ZMB	1MBVNT|2ZMB|3LWND|4aRCR|56VULN|7DMG|8DUR|9LHND
60	52444 53164	 * 	247.75	ACR|DCR|2VULN|1DMG|1ZMB	1MBVNT|2ZMB|3LWND|4aRCR|56VULN|7DUR|8DMG|9LHND
61	52584 14121	   	247.15	DCR|DCR|1VULN|1MLV|1RPLT|1SELL|1ZMB	1MBVNT|2ZMB|3TLV|4MLV|5LIT|6VULN|7aRCR|8RPLT|9SELL
62	35132 15225	   	246.81	DCR|DCR|1VULN|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BELT|aNUKE
63	15132 15225	   	246.71	DCR|DCR|1VULN|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BELT|aNUKE
64	54341 36325	   	243.66	DCR|DCR|1VULN|1ASPD|1RPLT	1MBVNT|2LHND|3RPLT|4BEXP|5LWND|6TSLARM|7VULN|89RCR|aASPD
65	54341 43325	   	243.66	DCR|DCR|1VULN|1ASPD|1RPLT	1MBVNT|2LHND|3RPLT|4BEXP|5LWND|6VULN|7MULARM|89RCR|aASPD
66	54343 43325	   	243.66	DCR|DCR|1VULN|1ASPD|1RPLT	1MBVNT|2LHND|3RPLT|4BEXP|5MGNSTR|6FEWX|7VULN|89RCR|aASPD
67	54348 33325	   	243.66	DCR|DCR|1VULN|1ASPD|1RPLT	1MBVNT|2LHND|3RPLT|4BEXP|5FEWX|6TSLARM|7VULN|89RCR|aASPD
68	55341 33325	   	243.66	DCR|DCR|1VULN|1ASPD|1RPLT	1MBVNT|2BEXP|3RPLT|4FEWX|5LWND|6TSLARM|7VULN|89RCR|aASPD
69	61332 13461	   	243.56	DCR|DCR|1VULN|1ASPD|1RPLT	13ERES|2LHND|4VULN|5RCVC|69RCR|7DUST|8RPLT|aASPD
70	25631 26132	 * 	243.33	ACR|DCR|1VULN|1DMG|1CDMG|1AART	1LHND|2DUR|39RCR|4DMG|5CDMG|6AART|7RMIN|8VULN|aLWND
71	25631 26131	   	243.23	ACR|DCR|1VULN|1DMG|1CDMG|1AART	1LHND|2DUR|39RCR|4DMG|5CDMG|6AART|7RMIN|8VULN|aVENFST
72	25631 26133	   	243.23	ACR|DCR|1VULN|1DMG|1CDMG|1AART	1LHND|2DUR|39RCR|4DMG|5CDMG|6AART|7RMIN|8VULN|aBASARM
73	52345 31241	 * 	242.84	ACR|DCR|3VULN|1ZMB	1MBVNT|2ZMB|359VULN|4aRCR|67LHND|8LIT
74	52345 32241	 * 	242.84	ACR|DCR|3VULN|1ZMB	1MBVNT|2ZMB|359VULN|4aRCR|6LHND|7RCVC|8LIT
75	52345 36441	 * 	242.84	ACR|DCR|3VULN|1ZMB	1MBVNT|2ZMB|359VULN|4aRCR|6LHND|7LIT|8RCVC
76	52342 75441	 * 	242.84	ACR|DCR|3VULN|1ZMB	1MBVNT|2ZMB|379VULN|4aRCR|5LIT|6LHND|8RCVC
77	52344 51241	 * 	242.84	ACR|DCR|3VULN|1ZMB	1MBVNT|2ZMB|369VULN|4aRCR|57LHND|8LIT
78	52344 52241	 * 	242.84	ACR|DCR|3VULN|1ZMB	1MBVNT|2ZMB|369VULN|4aRCR|5LHND|7RCVC|8LIT
79	52344 56441	 * 	242.84	ACR|DCR|3VULN|1ZMB	1MBVNT|2ZMB|369VULN|4aRCR|5LHND|7LIT|8RCVC
80	53144 16116	   	242.41	DCR|DCR|1VULN|1CDMG	1MBVNT|2BBNT|39FEWX|4DUR|5LWND|6CDMG|78RCR|aVULN
81	53143 16148	   	242.31	DCR|DCR|1VULN|1CDMG	1MBVNT|2BBNT|3FEWX|4DUR|5LHND|6CDMG|78RCR|9ERES|aVULN
82	53144 16148	   	242.31	DCR|DCR|1VULN|1CDMG	1MBVNT|2BBNT|3FEWX|4DUR|5LWND|6CDMG|78RCR|9ERES|aVULN
83	52311 14284	   	242.16	DCR|DCR|1VULN|1ASPD|1ZMB	1MBVNT|2ZMB|3VULN|4BEXP|5ASPD|68LHND|7DUR|9aRCR
84	52311 14784	   	242.16	DCR|DCR|1VULN|1ASPD|1ZMB	1MBVNT|2ZMB|3VULN|4BEXP|5ASPD|6LHND|7DUR|8RCVC|9aRCR
85	52381 44384	   	242.16	DCR|DCR|1VULN|1ASPD|1ZMB	1MBVNT|2ZMB|3VULN|4LWND|5ASPD|6BEXP|7DUR|8RCVC|9aRCR
86	52411 34384	   	242.16	DCR|DCR|1VULN|1ASPD|1ZMB	1MBVNT|2ZMB|3LWND|4BEXP|5ASPD|6VULN|7DUR|8RCVC|9aRCR
87	52311 14384	   	241.92	DCR|DCR|1VULN|1ASPD|2ZMB	1MBVNT|28ZMB|3VULN|4BEXP|5ASPD|6LHND|7DUR|9aRCR
88	53436 12226	 * 	241.66	DCR|2VULN|2DMG|2ASPD|1MLV	1MBVNT|2BBNT|3TBNT|4AAC|59ASPD|6RCR|79DMG|89VULN|9BPWR|aMLV
89	54581 14411	   	240.51	DCR|DCR|1VULN|1DMG	1MBVNT|29LHND|3DMSP|4LIT|5VULN|6DMG|7aRCR|8RCVC
90	54581 14431	   	240.51	DCR|DCR|1VULN|1DMG	1MBVNT|2LHND|3DMSP|4LIT|5VULN|6DMG|7aRCR|89RCVC
91	66332 11221	   	240.41	DCR|DCR|1VULN|1DMG	1ERES|2CGEN|3DMG|4VULN|5RCVC|6aRCR|7MDPS|8LWND|9BELT
92	52466 22344	 * 	240.34	DCR|DCR|2DMG|1MLV|1ZMB	1MBVNT|2ZMB|3LWND|4RCVC|5AELOIC|6aRCR|79DMG|8MLV
93	52486 22344	 * 	240.34	DCR|DCR|2DMG|1MLV|1ZMB	1MBVNT|2ZMB|34LWND|5AELOIC|6aRCR|79DMG|8MLV
94	52461 22344	 * 	240.19	DCR|DCR|2DMG|1MLV|2ZMB	1MBVNT|25ZMB|3LWND|4RCVC|6aRCR|79DMG|8MLV
95	52481 22344	 * 	240.19	DCR|DCR|2DMG|1MLV|2ZMB	1MBVNT|25ZMB|34LWND|6aRCR|79DMG|8MLV
96	52466 22214	 * 	240.19	DCR|DCR|2DMG|1MLV|2ZMB	1MBVNT|28ZMB|3LWND|4RCVC|58AELOIC|6aRCR|78DMG|8BPWR|9MLV
97	52486 22214	 * 	240.19	DCR|DCR|2DMG|1MLV|2ZMB	1MBVNT|28ZMB|34LWND|58AELOIC|6aRCR|78DMG|8BPWR|9MLV
98	35132 15211	   	239.87	DCR|DCR|1VULN|1AART|1RPLT	1FEWX|2AART|3VULN|4aCGEN|5TLV|6RPLT|78RCR|9BEXP
99	35132 15212	   	239.87	DCR|DCR|1VULN|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BEXP|aBBNT
100	35132 15213	   	239.87	DCR|DCR|1VULN|1AART|1RPLT	1aFEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BEXP
101	35132 15215	   	239.87	DCR|DCR|1VULN|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BEXP|aLWND
102	35132 15221	   	239.87	DCR|DCR|1VULN|1AART|1RPLT	1aFEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BELT
103	35132 15242	   	239.87	DCR|DCR|1VULN|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9LIT|aAAC
104	35132 15243	   	239.87	DCR|DCR|1VULN|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5aTLV|6RPLT|78RCR|9LIT
105	35132 15261	   	239.87	DCR|DCR|1VULN|1AART|1RPLT	1FEWX|2AART|3VULN|4aCGEN|5TLV|6RPLT|78RCR|9LHND
106	35132 15262	   	239.87	DCR|DCR|1VULN|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9LHND|aBBNT
107	35132 15263	   	239.87	DCR|DCR|1VULN|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9LHND|aBEXP
108	15132 15211	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1DUST|2AART|3VULN|4aCGEN|5TLV|6RPLT|78RCR|9BEXP
109	15132 15212	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BEXP|aBBNT
110	15132 15213	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BEXP|aFEWX
111	15132 15215	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BEXP|aLWND
112	15132 15221	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BELT|aFEWX
113	15132 15222	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BELT|aAAC
114	15132 15242	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9LIT|aAAC
115	15132 15243	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5aTLV|6RPLT|78RCR|9LIT
116	15132 15261	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1DUST|2AART|3VULN|4aCGEN|5TLV|6RPLT|78RCR|9LHND
117	15132 15262	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9LHND|aBBNT
118	15132 15263	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9LHND|aFEWX
119	35135 15211	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1FEWX|2AART|3VULN|4aCGEN|5AME|6RPLT|78RCR|9BEXP
120	35135 15212	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5AME|6RPLT|78RCR|9BEXP|aBBNT
121	35135 15213	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1aFEWX|2AART|3VULN|4CGEN|5AME|6RPLT|78RCR|9BEXP
122	35135 15221	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1aFEWX|2AART|3VULN|4CGEN|5AME|6RPLT|78RCR|9BELT
123	35232 15216	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1FEWX|2AART|3DUST|4CGEN|5TLV|6RPLT|78RCR|9BEXP|aVULN
124	35132 15214	   	239.77	DCR|DCR|1VULN|1AART|1RPLT|1MSE	1FEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BEXP|aMSE
125	35132 15223	   	239.77	DCR|DCR|1VULN|1AART|1RPLT|1ZMB	1FEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BELT|aZMB
126	35132 15224	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BELT|aERES
127	35132 15241	   	239.77	DCR|DCR|1VULN|1AART|1RPLT|1ZMB	1FEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9LIT|aZMB
128	35132 15251	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1FEWX|2AART|3VULN|4aCGEN|5TLV|6RPLT|78RCR|9LEGI
129	35132 15252	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9LEGI|aBBNT
130	35132 15253	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9LEGI|aBEXP
131	15132 15214	   	239.67	DCR|DCR|1VULN|1AART|1RPLT|1MSE	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BEXP|aMSE
132	15132 15224	   	239.67	DCR|DCR|1VULN|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BELT|aERES
133	15132 15241	   	239.67	DCR|DCR|1VULN|1AART|1RPLT|1ZMB	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9LIT|aZMB
134	15132 15251	   	239.67	DCR|DCR|1VULN|1AART|1RPLT	1DUST|2AART|3VULN|4aCGEN|5TLV|6RPLT|78RCR|9LEGI
135	15132 15252	   	239.67	DCR|DCR|1VULN|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9LEGI|aBBNT
136	15132 15253	   	239.67	DCR|DCR|1VULN|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9LEGI|aFEWX
137	35135 15223	   	239.67	DCR|DCR|1VULN|1AART|1RPLT|1ZMB	1FEWX|2AART|3VULN|4CGEN|5AME|6RPLT|78RCR|9BELT|aZMB
138	52343 51184	 * 	239.44	ACR|DCR|2VULN|1DMG|1ZMB	1MBVNT|2ZMB|36VULN|4aRCR|5LWND|7LHND|8DMG|9BEXP
139	52444 51184	 * 	239.44	ACR|DCR|2VULN|1DMG|1ZMB	1MBVNT|2ZMB|3LWND|4aRCR|56VULN|7LHND|8DMG|9BEXP
140	52343 54164	 * 	239.34	ACR|DCR|2VULN|1DMG|1ZMB	1MBVNT|2ZMB|36VULN|4aRCR|5LWND|7DUST|8DMG|9LHND
141	52343 54174	 * 	239.34	ACR|DCR|2VULN|1DMG|1ZMB	1MBVNT|2ZMB|36VULN|4aRCR|5LWND|7DUST|8DMG|9BEXP
142	52444 54164	 * 	239.34	ACR|DCR|2VULN|1DMG|1ZMB	1MBVNT|2ZMB|3LWND|4aRCR|56VULN|7DUST|8DMG|9LHND
143	52444 54174	 * 	239.34	ACR|DCR|2VULN|1DMG|1ZMB	1MBVNT|2ZMB|3LWND|4aRCR|56VULN|7DUST|8DMG|9BEXP
