0	Index      	 *	Score 	Summary	Detail	
1	33155 33152	 * 	264.75	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2BBNT|3VULN|4MLV|5DUST|6TSLFST|79RCR|8TBNT|aDMG
15	42213 12235	   	250.29	ACR|DCR|2VULN|1MLV|1AART	1DUR|2AART|3LIT|47VULN|59RCR|6MLV|8aDUST
16	42212 61222	   	248.99	DCR|2VULN|2DMG|2AART|2DUR|1ASPD|1RPLT	17DUR|26AART|3LIT|47VULN|57DMG|7BPWR|8RCR|9RPLT|aASPD
17	11632 44373	 * 	247.76	DCR|2VULN|2MLV|2ASPD|1CDMG|1AART|1RPLT	1LEGI|28MLV|3AART|48ASPD|5MBVNT|68VULN|7RPLT|8BPWR|9RCR|aCDMG
18	42212 31254	   	247.22	DCR|2VULN|3DMG|2DUR|1CDMG|1AART	17DUR|2AART|36LIT|47VULN|579DMG|7BPWR|8RCR|aCDMG
19	33125 33152	   	247.12	DCR|DCR|1VULN|1DMG|1RPLT	1RPLT|2BBNT|3VULN|4ERES|5DUST|6TSLFST|79RCR|8TBNT|aDMG
20	35325 33152	   	247.12	DCR|DCR|1VULN|1DMG|1RPLT	1RPLT|2VULN|3TBNT|4ERES|5DUST|6TSLFST|79RCR|8BBNT|aDMG
21	42213 12453	 * 	245.87	ACR|4VULN|2MLV|1DMG|2DUR|1AART	18DUR|2AART|3LIT|478aVULN|5RCR|68MLV|8BPWR|9DMG
22	42213 12462	 * 	245.08	ACR|4VULN|3MLV|3DUR|1AART	189DUR|2AART|3LIT|4789VULN|5RCR|689MLV|89BPWR|aTBNT
23	42213 12461	   	244.98	ACR|4VULN|3MLV|3DUR|1AART	189DUR|2AART|3LIT|4789VULN|5RCR|689MLV|89BPWR|aDUST
24	42213 12463	   	244.98	ACR|4VULN|3MLV|3DUR|1AART	189DUR|2AART|3LIT|4789VULN|5RCR|689MLV|89BPWR|aERES
25	11621 52632	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5BEXP|6VULN|7LIT|89RCR|aCGEN
26	11621 52633	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5BEXP|6VULN|7LIT|89RCR|aFEWX
27	11622 32232	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5FEWX|6VULN|7LIT|89RCR|aCGEN
28	11622 32233	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5aFEWX|6VULN|7LIT|89RCR
29	11622 32236	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5FEWX|6VULN|7LIT|89RCR|aLWND
30	11623 31632	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5LIT|6VULN|7LWND|89RCR|aCGEN
31	11623 31633	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5LIT|6VULN|7LWND|89RCR|aFEWX
32	11623 31636	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5LIT|6VULN|7LWND|89RCR|aLHND
33	11623 35632	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5LIT|6VULN|7BEXP|89RCR|aCGEN
34	11623 35633	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5LIT|6VULN|7BEXP|89RCR|aFEWX
35	11623 62232	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5LIT|6FEWX|7VULN|89RCR|aCGEN
36	11623 62233	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5LIT|6aFEWX|7VULN|89RCR
37	11623 62236	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5LIT|6FEWX|7VULN|89RCR|aLWND
38	11624 12232	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5VULN|6FEWX|7LIT|89RCR|aCGEN
39	11624 12233	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5VULN|6aFEWX|7LIT|89RCR
40	11624 12236	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5VULN|6FEWX|7LIT|89RCR|aLWND
41	11623 36632	   	244.69	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5LIT|6VULN|7DUST|89RCR|aCGEN
42	11623 36633	   	244.69	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5LIT|6VULN|7DUST|89RCR|aFEWX
43	11624 32632	   	244.69	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5VULN|6DUST|7LIT|89RCR|aCGEN
44	11624 32633	   	244.69	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5VULN|6DUST|7LIT|89RCR|aFEWX
45	11621 52631	   	244.69	DCR|DCR|1VULN|1MLV|1AART|1MSE	1LEGI|2MLV|3AART|4RCVC|5BEXP|6VULN|7LIT|89RCR|aMSE
46	11622 32231	   	244.69	DCR|DCR|1VULN|1MLV|1AART|1MSE	1LEGI|2MLV|3AART|4RCVC|5FEWX|6VULN|7LIT|89RCR|aMSE
47	11622 32234	   	244.69	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5FEWX|6VULN|7LIT|89RCR|aDUST
48	11623 31631	   	244.69	DCR|DCR|1VULN|1MLV|1AART|1MSE	1LEGI|2MLV|3AART|4RCVC|5LIT|6VULN|7LWND|89RCR|aMSE
49	11623 31634	   	244.69	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5LIT|6VULN|7LWND|89RCR|aDUST
50	11623 35631	   	244.69	DCR|DCR|1VULN|1MLV|1AART|1MSE	1LEGI|2MLV|3AART|4RCVC|5LIT|6VULN|7BEXP|89RCR|aMSE
51	11623 62231	   	244.69	DCR|DCR|1VULN|1MLV|1AART|1MSE	1LEGI|2MLV|3AART|4RCVC|5LIT|6FEWX|7VULN|89RCR|aMSE
52	11623 62234	   	244.69	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5LIT|6FEWX|7VULN|89RCR|aDUST
53	11624 12231	   	244.69	DCR|DCR|1VULN|1MLV|1AART|1MSE	1LEGI|2MLV|3AART|4RCVC|5VULN|6FEWX|7LIT|89RCR|aMSE
54	11624 12234	   	244.69	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5VULN|6FEWX|7LIT|89RCR|aDUST
55	11623 36631	   	244.59	DCR|DCR|1VULN|1MLV|1AART|1MSE	1LEGI|2MLV|3AART|4RCVC|5LIT|6VULN|7DUST|89RCR|aMSE
56	11624 32631	   	244.59	DCR|DCR|1VULN|1MLV|1AART|1MSE	1LEGI|2MLV|3AART|4RCVC|5VULN|6DUST|7LIT|89RCR|aMSE
57	33155 33151	   	244.59	DCR|DCR|1VULN|1MLV|1RPLT|1MSE	1RPLT|2BBNT|3VULN|4MLV|5DUST|6TSLFST|79RCR|8TBNT|aMSE
58	33155 33233	   	244.44	DCR|DCR|1VULN|1MLV|1RPLT|1SELL	1RPLT|2BBNT|3VULN|4MLV|5DUST|6TSLFST|7aRCR|8SELL|9LWND
59	33155 33253	   	244.44	DCR|DCR|1VULN|1MLV|1RPLT|1SELL	1RPLT|2BBNT|3VULN|4MLV|5DUST|6TSLFST|7aRCR|8SELL|9FEWX
60	35355 33233	   	244.44	DCR|DCR|1VULN|1MLV|1RPLT|1SELL	1RPLT|2VULN|3TBNT|4MLV|5DUST|6TSLFST|7aRCR|8SELL|9LWND
61	31325 66121	 * 	243.82	DCR|3MLV|2DMG|1VULN|3DUR|1RPLT	1RPLT|249DUR|3AME|569MLV|79DMG|8RCR|9BPWR|aVULN
62	42251 62232	   	243.33	DCR|DCR|1VULN|2AART	1DUR|26AART|3LIT|4ERES|5FEWX|7VULN|89RCR|aCGEN
63	42251 62233	   	243.33	DCR|DCR|1VULN|2AART	1DUR|26AART|3LIT|4ERES|5aFEWX|7VULN|89RCR
64	42251 62231	   	243.23	DCR|DCR|1VULN|2AART|1MSE	1DUR|26AART|3LIT|4ERES|5FEWX|7VULN|89RCR|aMSE
65	42212 61215	   	243.22	DCR|2VULN|2DMG|2AART|1MLV|2DUR	17DUR|26AART|39LIT|47VULN|57DMG|7BPWR|8RCR|aMLV
66	11632 44378	   	242.42	DCR|2VULN|2MLV|2ASPD|1AART|1RPLT	1LEGI|28MLV|3AART|48ASPD|5MBVNT|68VULN|7RPLT|8BPWR|9RCR|aDUR
67	42232 62232	   	242.31	DCR|DCR|1VULN|2DUR|1AART	14DUR|2AART|34LIT|4BPWR|5TLV|6FEWX|7VULN|89RCR|aCGEN
68	42232 62233	   	242.31	DCR|DCR|1VULN|2DUR|1AART	14DUR|2AART|34LIT|4BPWR|5TLV|6aFEWX|7VULN|89RCR
69	42232 62236	   	242.31	DCR|DCR|1VULN|2DUR|1AART	14DUR|2AART|34LIT|4BPWR|5TLV|6FEWX|7VULN|89RCR|aLWND
70	42234 11632	   	242.31	DCR|DCR|1VULN|2DUR|1AART	14DUR|2AART|34LIT|4BPWR|5VULN|6aCGEN|7LWND|89RCR
71	42234 11633	   	242.31	DCR|DCR|1VULN|2DUR|1AART	14DUR|2AART|34LIT|4BPWR|5VULN|6CGEN|7LWND|89RCR|aBEXP
72	42232 62231	   	242.21	DCR|DCR|1VULN|2DUR|1AART|1MSE	14DUR|2AART|34LIT|4BPWR|5TLV|6FEWX|7VULN|89RCR|aMSE
73	42232 62234	   	242.21	DCR|DCR|1VULN|2DUR|1AART	14DUR|2AART|34LIT|4BPWR|5TLV|6FEWX|7VULN|89RCR|aDUST
74	42234 11631	   	242.21	DCR|DCR|1VULN|2DUR|1AART|1MSE	14DUR|2AART|34LIT|4BPWR|5VULN|6CGEN|7LWND|89RCR|aMSE
75	42212 61251	   	241.34	DCR|2VULN|3DMG|2AART|2DUR	17DUR|26AART|3LIT|47VULN|579DMG|7BPWR|8RCR|aRCVC
76	42212 61252	   	241.34	DCR|2VULN|3DMG|2AART|2DUR	17DUR|26AART|3LIT|47VULN|579DMG|7BPWR|8RCR|aTBNT
77	42212 61253	   	241.34	DCR|2VULN|3DMG|2AART|2DUR	17DUR|26AART|3LIT|47VULN|579DMG|7BPWR|8RCR|aLHND
78	42212 31222	   	241.22	DCR|2VULN|2DMG|2DUR|1ASPD|1RPLT|1AART	17DUR|2AART|36LIT|47VULN|57DMG|7BPWR|8RCR|9RPLT|aASPD
79	33125 33153	   	240.70	DCR|DCR|1VULN|1ASPD|1RPLT	1RPLT|2BBNT|3VULN|4ERES|5DUST|6TSLFST|79RCR|8TBNT|aASPD
80	33125 33155	   	240.70	DCR|DCR|1VULN|1CDMG|1RPLT	1RPLT|2BBNT|3VULN|4ERES|5DUST|6TSLFST|79RCR|8TBNT|aCDMG
81	35325 33153	   	240.70	DCR|DCR|1VULN|1ASPD|1RPLT	1RPLT|2VULN|3TBNT|4ERES|5DUST|6TSLFST|79RCR|8BBNT|aASPD
82	42213 12435	   	239.87	ACR|4VULN|3MLV|2DUR|1AART	18DUR|2AART|3LIT|4789VULN|5RCR|68aMLV|8BPWR
83	35164 22121	 * 	239.36	DCR|4VULN|2MLV|1RPLT|2ZMB	1RPLT|2348VULN|58MLV|6TBNT|78ZMB|8BPWR|9LIT|aRCR
84	35164 32121	 * 	239.36	DCR|4VULN|2MLV|1RPLT|2ZMB	1RPLT|2348VULN|58MLV|6BBNT|78ZMB|8BPWR|9LIT|aRCR
85	11632 44377	   	239.31	DCR|2VULN|2MLV|2ASPD|2RPLT|1AART	1LEGI|28MLV|3AART|48ASPD|5MBVNT|68VULN|7aRPLT|8BPWR|9RCR
86	42212 61241	   	239.23	DCR|2VULN|2DMG|2AART|2DUR|1ASPD	17DUR|26AART|3LIT|47VULN|57DMG|7BPWR|8RCR|9MSLTOX|aASPD
87	31132 35162	   	238.93	DCR|3VULN|1DMG|1CDMG|1AART|1RPLT	1RPLT|2DUR|346VULN|5AART|7MGNSTR|8DMG|9RCR|aCDMG
88	31341 66122	   	238.82	DCR|3MLV|2DMG|1VULN|2DUR|1RPLT	1RPLT|29DUR|3AME|469MLV|5RCVC|79DMG|8RCR|9BPWR|aVULN
89	35122 12132	   	236.49	DCR|3VULN|1MLV|1CDMG|1AART|1RPLT	1RPLT|237VULN|4LWND|5AART|6MLV|8DUR|9RCR|aCDMG
90	31132 12232	   	236.39	DCR|3VULN|1MLV|1CDMG|1AART|1RPLT	1RPLT|2DUR|347VULN|5AART|6MLV|8DUST|9RCR|aCDMG
91	35632 12232	   	236.39	DCR|3VULN|1MLV|1CDMG|1AART|1RPLT	1RPLT|247VULN|3DUR|5AART|6MLV|8DUST|9RCR|aCDMG
92	21624 22632	   	235.66	DCR|DCR|1VULN|1AART	1TLV|2LWND|3AART|4RCVC|5VULN|6DUR|7LIT|89RCR|aCGEN
93	21624 22633	   	235.66	DCR|DCR|1VULN|1AART	1TLV|2LWND|3AART|4RCVC|5VULN|6DUR|7LIT|89RCR|aFEWX
94	42214 11632	   	235.66	DCR|DCR|1VULN|1AART	1DUR|2AART|35LIT|4VULN|6aCGEN|7LWND|89RCR
95	42214 11633	   	235.66	DCR|DCR|1VULN|1AART	1DUR|2AART|35LIT|4VULN|6CGEN|7LWND|89RCR|aBEXP
96	42251 32232	   	235.56	DCR|DCR|1VULN|1AART	1DUR|2AART|36LIT|4ERES|5FEWX|7VULN|89RCR|aCGEN
97	42251 32233	   	235.56	DCR|DCR|1VULN|1AART	1DUR|2AART|36LIT|4ERES|5aFEWX|7VULN|89RCR
98	42251 32236	   	235.56	DCR|DCR|1VULN|1AART	1DUR|2AART|36LIT|4ERES|5FEWX|7VULN|89RCR|aLWND
99	21624 22631	   	235.56	DCR|DCR|1VULN|1AART|1MSE	1TLV|2LWND|3AART|4RCVC|5VULN|6DUR|7LIT|89RCR|aMSE
100	42214 11631	   	235.56	DCR|DCR|1VULN|1AART|1MSE	1DUR|2AART|35LIT|4VULN|6CGEN|7LWND|89RCR|aMSE
101	42251 32231	   	235.46	DCR|DCR|1VULN|1AART|1MSE	1DUR|2AART|36LIT|4ERES|5FEWX|7VULN|89RCR|aMSE
102	42251 32234	   	235.46	DCR|DCR|1VULN|1AART	1DUR|2AART|36LIT|4ERES|5FEWX|7VULN|89RCR|aDUST
103	42212 31211	   	235.44	DCR|2VULN|2DMG|1MLV|2DUR|1AART	17DUR|2AART|369LIT|47VULN|57DMG|7BPWR|8RCR|aMLV
104	42212 61216	   	235.34	DCR|2VULN|2DMG|2AART|2DUR|1RPLT	17DUR|26AART|39LIT|47VULN|57DMG|7BPWR|8RCR|aRPLT
105	42212 61221	   	235.34	DCR|2VULN|2DMG|2AART|2DUR|1RPLT	17DUR|26AART|3LIT|47VULN|57DMG|7BPWR|8RCR|9RPLT|aTLV
106	42212 61224	   	235.34	DCR|2VULN|2DMG|2AART|2DUR|1RPLT	17DUR|26AART|3LIT|47VULN|57DMG|7BPWR|8RCR|9RPLT|aLWND
107	42212 61223	   	235.24	DCR|2VULN|2DMG|2AART|2DUR|1RPLT|1SELL	17DUR|26AART|3LIT|47VULN|57DMG|7BPWR|8RCR|9RPLT|aSELL
108	42212 61225	   	235.24	DCR|2VULN|2DMG|2AART|2DUR|1RPLT|1MSE	17DUR|26AART|3LIT|47VULN|57DMG|7BPWR|8RCR|9RPLT|aMSE
109	42212 61226	   	235.24	DCR|2VULN|2DMG|2AART|2DUR|1RPLT	17DUR|26AART|3LIT|47VULN|57DMG|7BPWR|8RCR|9RPLT|aVENTOX
110	42212 61242	   	235.24	DCR|2VULN|2DMG|2AART|2DUR|1RPLT	17DUR|26AART|3LIT|47VULN|57DMG|7BPWR|8RCR|9MSLTOX|aRPLT
111	11116 15315	 * 	234.85	DCR|3VULN|3MLV|1AART	1LEGI|279MLV|3FEWX|4BBNT|579TLV|679VULN|79BPWR|8AART|aRCR
112	11113 65315	   	234.85	DCR|3VULN|3MLV|1AART	1LEGI|279MLV|3FEWX|4BBNT|579VULN|679CGEN|79BPWR|8AART|aRCR
