0	Index      	 *	Score 	Summary	Detail	
1	31417 12842	 * 	283.32	DCR|DCR|1VULN|2MLV|1DMG|1AART	1AART|2CGEN|3DMG|4MBVNT|5VULN|6aRCR|79MLV|8AAC
44	22243 14121	   	255.95	DCR|DCR|1VULN|1MLV|1RPLT	1DUR|2LHND|3MULHEA|4CGEN|5BELT|6VULN|78RCR|9RPLT|aMLV
45	22312 14121	   	255.95	DCR|DCR|1VULN|1MLV|1RPLT	1DUR|2LHND|3TLV|4BELT|5TSLFST|6VULN|78RCR|9RPLT|aMLV
46	22343 14121	   	255.95	DCR|DCR|1VULN|1MLV|1RPLT	1DUR|2LHND|3TLV|4SPLREG|5BELT|6VULN|78RCR|9RPLT|aMLV
47	24613 24121	   	255.85	DCR|DCR|1VULN|1MLV|1RPLT	1DUR|2BELT|3LHND|4VULN|5SPLJET|6AME|78RCR|9RPLT|aMLV
48	24622 14121	   	255.85	DCR|DCR|1VULN|1MLV|1RPLT	1DUR|2BELT|3LHND|4AME|5TSLFST|6VULN|78RCR|9RPLT|aMLV
49	21136 12116	   	255.47	DCR|DCR|1VULN|2CDMG|2DUR	19DUR|2BBNT|3MDPS|49CDMG|59TLV|68RCR|7AAC|9BPWR|aVULN
50	52513 36321	 * 	254.98	DCR|DCR|2ASPD|1DMG|1CDMG|1AART	1CDMG|23ASPD|4AART|5BEXP|6AELOIC|79RCR|8DMG|aLIT
51	52513 36323	   	254.98	DCR|DCR|2ASPD|1DMG|1CDMG|1AART	1CDMG|23ASPD|4AART|5BEXP|6AELOIC|79RCR|8DMG|aDMSP
52	52513 36322	   	254.88	DCR|DCR|2ASPD|1DMG|1CDMG|1AART	1CDMG|23ASPD|4AART|5BEXP|6aAELOIC|79RCR|8DMG
53	53132 22261	   	254.06	DCR|DCR|1VULN|2CDMG|1ASPD	12CDMG|3BELT|4BEXP|5ASPD|6TBNT|7SNIFST|8aRCR|9VULN
54	53132 24261	   	254.06	DCR|DCR|1VULN|2CDMG|1ASPD	12CDMG|3BELT|4BEXP|5ASPD|6TBNT|7SPLREG|8aRCR|9VULN
55	53132 62261	   	254.06	DCR|DCR|1VULN|2CDMG|1ASPD	12CDMG|3BELT|4BEXP|5ASPD|6BBNT|7SNIFST|8aRCR|9VULN
56	53142 22261	   	254.06	DCR|DCR|1VULN|2CDMG|1ASPD	12CDMG|3BELT|4FEWX|5ASPD|6TBNT|7SNIFST|8aRCR|9VULN
57	56232 11632	   	253.52	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1CDMG|2AAC|3AART|4RPLT|578LHND|6aRCR|9VULN
58	35162 32236	   	253.52	DCR|DCR|1VULN|1ASPD|1AART|1RPLT	1AART|2VULN|3RCVC|4ASPD|5TBNT|6RPLT|7AAC|8aRCR|9FEWX
59	32324 15133	   	253.42	DCR|DCR|1VULN|1ASPD|1AART|1RPLT	1AART|2RPLT|3TBNT|4FRZFST|5ASPD|6BBNT|7CGEN|89RCR|aVULN
