0	Index      	 *	Score 	Summary	Detail	
1	23373 47834	 * 	285.95	DCR|DCR|2VULN|1MLV|2DUR|1AART	16DUR|2MBVNT|3AART|46VULN|5BBNT|6BPWR|7aRCR|8LWND|9MLV
26	23641 33175	   	261.66	DCR|DCR|2VULN|1RPLT	1DUR|2MBVNT|3CGEN|4TBNT|5RPLT|68VULN|7DUST|9aRCR
27	23374 24324	   	261.66	DCR|DCR|2VULN|1AART	1DUR|2MBVNT|3AART|45VULN|6BBNT|7TLV|8aRCR|9DUST
28	23374 26324	   	261.66	DCR|DCR|2VULN|1AART	1DUR|2MBVNT|3AART|45VULN|6BBNT|7CGEN|8aRCR|9DUST
29	23374 27424	   	261.56	DCR|DCR|2VULN|1AART	1DUR|2MBVNT|3AART|45VULN|6BBNT|7aRCR|8ERES|9DUST
30	13141 83724	 * 	260.97	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1LWND|2MBVNT|3ASPD|4BBNT|5RPLT|6RCVC|7DMG|89RCR|aVULN
31	23373 27634	   	260.86	DCR|DCR|1VULN|2AART|1MLV	1DUR|2MBVNT|38AART|4VULN|5BBNT|6FEWX|7aRCR|9MLV
32	13373 71314	   	260.30	DCR|DCR|2MLV|1VULN|1AART	1LWND|2MBVNT|3AART|4VULN|5BBNT|69MLV|7DUST|8aRCR
33	13373 73324	   	260.30	DCR|DCR|2MLV|1VULN|1AART	1LWND|2MBVNT|3AART|4VULN|5BBNT|67MLV|8aRCR|9DUST
34	13373 17634	   	259.64	DCR|DCR|1VULN|1MLV|2DUR|1AART	1LWND|2MBVNT|3AART|4VULN|5BBNT|68DUR|7aRCR|9MLV
35	23336 17234	   	259.64	DCR|DCR|1VULN|1MLV|2DUR|1AART	16DUR|2MBVNT|3AART|4LHND|5BBNT|7aRCR|8VULN|9MLV
36	23373 17834	   	259.64	DCR|DCR|1VULN|1MLV|2DUR|1AART	16DUR|2MBVNT|3AART|4VULN|5BBNT|7aRCR|8LWND|9MLV
37	23373 27334	   	259.64	DCR|DCR|1VULN|1MLV|2DUR|1AART	18DUR|2MBVNT|3AART|4VULN|5BBNT|6FEWX|7aRCR|9MLV
38	23366 17234	   	259.54	DCR|DCR|1VULN|1MLV|2DUR|1AART	16DUR|2MBVNT|3AART|4DUST|5BBNT|7aRCR|8VULN|9MLV
39	23373 72324	   	259.54	DCR|DCR|1VULN|1MLV|2DUR|1AART	17DUR|2MBVNT|3AART|4VULN|5BBNT|6MLV|8aRCR|9DUST
40	23713 34184	 * 	258.17	ACR|DCR|2VULN|3DUR|1CDMG|1AART	146DUR|2MBVNT|36VULN|5aRCR|6BPWR|7CDMG|8CGEN|9AART
