0	Index      	 *	Score 	Summary	Detail	
1	33133 33524	 * 	288.48	DCR|DCR|2VULN|1DMG|2DUR|1RPLT	1RPLT|28DUR|3LHND|4AAC|59VULN|67RCR|aDMG
16	33635 33523	   	268.41	DCR|DCR|2VULN|2DUR|1RPLT	1RPLT|28DUR|39VULN|4AAC|5FEWX|67RCR|aTBNT
17	33133 33521	   	268.31	DCR|DCR|2VULN|2DUR|1RPLT	1RPLT|28DUR|3LHND|4AAC|59VULN|67RCR|aERES
18	33133 33526	   	268.31	DCR|DCR|2VULN|2DUR|1RPLT	1RPLT|28DUR|3LHND|4AAC|59VULN|67RCR|aSNITOX
19	33635 33521	   	268.31	DCR|DCR|2VULN|2DUR|1RPLT	1RPLT|28DUR|39VULN|4AAC|5FEWX|67RCR|aERES
20	64121 83124	 * 	266.95	DCR|5VULN|2MLV|2CDMG	1589aVULN|2MBVNT|3AAC|4aCDMG|6aMLV|7RCR|aBPWR
21	22131 45241	   	265.85	DCR|DCR|2VULN|1CDMG	1CDMG|2DUR|35VULN|4RMIN|6CGEN|7aRCR|8LHND|9BBNT
22	22131 45251	   	265.85	DCR|DCR|2VULN|1CDMG	1CDMG|2DUR|35VULN|4RMIN|6CGEN|7aRCR|8LHND|9TBNT
23	22133 65351	   	265.85	DCR|DCR|2VULN|1CDMG	1CDMG|2DUR|39VULN|4RMIN|5TBNT|6aRCR|7CGEN|8BEXP
24	62412 31224	   	265.84	DCR|DCR|3VULN	124VULN|34LIT|4BPWR|5MDPS|6DUST|7FEWX|8aRCR|9MBVNT
25	22131 35241	   	265.75	DCR|DCR|2VULN|1CDMG	1CDMG|2DUR|35VULN|4RMIN|6AME|7aRCR|8LHND|9BBNT
26	22131 35251	   	265.75	DCR|DCR|2VULN|1CDMG	1CDMG|2DUR|35VULN|4RMIN|6AME|7aRCR|8LHND|9TBNT
27	22131 35441	   	265.75	DCR|DCR|2VULN|1CDMG	1CDMG|2DUR|35VULN|4RMIN|6AME|7aRCR|8LWND|9BBNT
28	22131 35451	   	265.75	DCR|DCR|2VULN|1CDMG	1CDMG|2DUR|35VULN|4RMIN|6AME|7aRCR|8LWND|9TBNT
29	22131 45341	   	265.75	DCR|DCR|2VULN|1CDMG	1CDMG|2DUR|35VULN|4RMIN|6CGEN|7aRCR|8DUST|9BBNT
30	22131 45351	   	265.75	DCR|DCR|2VULN|1CDMG	1CDMG|2DUR|35VULN|4RMIN|6CGEN|7aRCR|8DUST|9TBNT
31	62442 31224	   	265.74	DCR|DCR|3VULN	124VULN|3LIT|5MDPS|6DUST|7FEWX|8aRCR|9MBVNT
32	22131 35341	   	265.65	DCR|DCR|2VULN|1CDMG	1CDMG|2DUR|35VULN|4RMIN|6AME|7aRCR|8DUST|9BBNT
33	22131 35351	   	265.65	DCR|DCR|2VULN|1CDMG	1CDMG|2DUR|35VULN|4RMIN|6AME|7aRCR|8DUST|9TBNT
34	22133 62521	   	263.73	DCR|DCR|1VULN|1MLV|2DUR|1CDMG	1CDMG|27DUR|3VULN|4RMIN|5TBNT|6aRCR|8LWND|9MLV
35	22133 62221	   	263.63	DCR|DCR|1VULN|1MLV|2DUR|1CDMG	1CDMG|27DUR|3VULN|4RMIN|5TBNT|6aRCR|8DUST|9MLV
36	22133 62321	   	263.63	DCR|DCR|1VULN|1MLV|2DUR|1CDMG	1CDMG|27DUR|3VULN|4RMIN|5TBNT|6aRCR|8LEGI|9MLV
37	26133 62421	   	263.63	DCR|DCR|1VULN|1MLV|2DUR|1CDMG	1CDMG|2DUST|3VULN|4RMIN|5TBNT|6aRCR|78DUR|9MLV
38	22133 63361	 * 	263.49	DCR|DCR|1VULN|2CDMG|1MLV	19CDMG|2DUR|3VULN|4RMIN|5TBNT|6aRCR|7MLV|8BEXP
39	31335 33415	   	262.96	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1RPLT|2LHND|3VULN|4AAC|5FEWX|67RCR|8ASPD|9CDMG|aDUR
40	33133 33413	   	262.96	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1RPLT|2DUR|3LHND|4AAC|5VULN|67RCR|8ASPD|9CDMG|aCGEN
41	33133 33415	   	262.96	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1RPLT|2DUR|3LHND|4AAC|5VULN|67RCR|8ASPD|9CDMG|aRCVC
42	33133 33453	   	262.96	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1RPLT|2DUR|3LHND|4AAC|5VULN|67RCR|8ASPD|9BEXP|aCDMG
43	33135 33412	   	262.96	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1RPLT|2DUR|3LHND|4AAC|5FEWX|67RCR|8ASPD|9CDMG|aVULN
44	33135 33443	   	262.96	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1RPLT|2DUR|3LHND|4AAC|5FEWX|67RCR|8ASPD|9VULN|aCDMG
45	33144 33412	   	262.96	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1RPLT|2DUR|3LHND|4FEWX|5AAC|67RCR|8ASPD|9CDMG|aVULN
46	33635 33413	   	262.96	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1RPLT|2DUR|3VULN|4AAC|5FEWX|67RCR|8ASPD|9CDMG|aCGEN
47	35133 33415	   	262.96	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1RPLT|2FEWX|3LHND|4AAC|5VULN|67RCR|8ASPD|9CDMG|aDUR
48	33133 33411	   	262.86	DCR|DCR|1VULN|1CDMG|1ASPD|1RPLT	1RPLT|2DUR|3LHND|4AAC|5VULN|67RCR|8ASPD|9CDMG|aERES
49	33133 33412	   	262.86	DCR|DCR|1VULN|1CDMG|1ASPD|1RPLT	1RPLT|2DUR|3LHND|4AAC|5VULN|67RCR|8ASPD|9CDMG|aAELOIC
50	33133 33414	   	262.86	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1RPLT|2DUR|3LHND|4AAC|5VULN|67RCR|8ASPD|9CDMG|aDUST
51	33133 33416	   	262.86	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT|1ZMB	1RPLT|2DUR|3LHND|4AAC|5VULN|67RCR|8ASPD|9CDMG|aZMB
52	33133 33423	   	262.86	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1RPLT|2DUR|3LHND|4AAC|5VULN|67RCR|8ASPD|9MBVNT|aCDMG
53	33164 33412	   	262.86	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1RPLT|2DUR|3LHND|4DUST|5AAC|67RCR|8ASPD|9CDMG|aVULN
54	33635 33411	   	262.86	DCR|DCR|1VULN|1CDMG|1ASPD|1RPLT	1RPLT|2DUR|3VULN|4AAC|5FEWX|67RCR|8ASPD|9CDMG|aERES
55	33635 33412	   	262.86	DCR|DCR|1VULN|1CDMG|1ASPD|1RPLT	1RPLT|2DUR|3VULN|4AAC|5FEWX|67RCR|8ASPD|9CDMG|aAELOIC
56	33635 33423	   	262.86	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1RPLT|2DUR|3VULN|4AAC|5FEWX|67RCR|8ASPD|9MBVNT|aCDMG
57	33133 33534	   	262.17	DCR|DCR|1VULN|1DMG|2DUR|1RPLT	1RPLT|28DUR|3LHND|4AAC|5VULN|67RCR|9AELOIC|aDMG
58	33133 33614	   	261.86	DCR|DCR|2VULN|1RPLT	1RPLT|2DUR|3LHND|4AAC|5aVULN|67RCR|8LIT|9BEXP
59	33133 33654	   	261.86	DCR|DCR|2VULN|1RPLT	1RPLT|2DUR|3LHND|4AAC|5aVULN|67RCR|8LIT|9LWND
60	33133 33663	   	261.86	DCR|DCR|2VULN|1RPLT	1RPLT|2DUR|3LHND|4AAC|5aVULN|67RCR|8LIT|9CGEN
61	31335 33534	   	261.86	DCR|DCR|2VULN|1RPLT	1RPLT|2LHND|3aVULN|4AAC|5FEWX|67RCR|8DUR|9LIT
62	35133 33534	   	261.86	DCR|DCR|2VULN|1RPLT	1RPLT|2FEWX|3LHND|4AAC|5aVULN|67RCR|8DUR|9LIT
63	31133 33534	   	261.76	DCR|DCR|2VULN|1RPLT	1RPLT|2LHND|3LEGI|4AAC|5aVULN|67RCR|8DUR|9LIT
64	33133 33134	   	261.76	DCR|DCR|2VULN|1RPLT	1RPLT|2DUR|3LHND|4AAC|5aVULN|67RCR|8DUST|9LIT
65	33133 33635	   	261.76	DCR|DCR|2VULN|1RPLT	1RPLT|2DUR|3LHND|4AAC|5aVULN|67RCR|8LIT|9MBVNT
66	33635 33134	   	261.76	DCR|DCR|2VULN|1RPLT	1RPLT|2DUR|3aVULN|4AAC|5FEWX|67RCR|8DUST|9LIT
67	33635 33342	   	261.76	DCR|DCR|2VULN|1RPLT	1RPLT|2DUR|3aVULN|4AAC|5FEWX|67RCR|8TLV|9AELOIC
68	33635 33113	   	261.66	DCR|DCR|2VULN|1RPLT	1RPLT|2DUR|3aVULN|4AAC|5FEWX|67RCR|8DUST|9DLOT
69	33635 33242	   	261.66	DCR|DCR|2VULN|1RPLT	1RPLT|2DUR|3aVULN|4AAC|5FEWX|67RCR|8AME|9AELOIC
70	33644 33113	   	261.66	DCR|DCR|2VULN|1RPLT	1RPLT|2DUR|3aVULN|4FEWX|5AAC|67RCR|8DUST|9DLOT
71	66213 21335	   	260.98	DCR|DCR|2VULN|1MLV|1ZMB	15VULN|2SNIFST|3MLV|4TBNT|6DUST|7aRCR|8RCVC|9ZMB
72	31335 33428	   	260.97	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1RPLT|2LHND|3VULN|4AAC|5FEWX|67RCR|8ASPD|9MBVNT|aDMG
73	35133 33428	   	260.97	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1RPLT|2FEWX|3LHND|4AAC|5VULN|67RCR|8ASPD|9MBVNT|aDMG
74	31133 33428	   	260.87	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1RPLT|2LHND|3LEGI|4AAC|5VULN|67RCR|8ASPD|9MBVNT|aDMG
75	21335 35343	   	260.62	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT|1ZMB	1CDMG|2AME|3VULN|4LWND|5NUKE|6RPLT|79RCR|8ZMB|aDMG
76	61432 33422	 * 	260.30	DCR|DCR|2MLV|1VULN|1RPLT	1VULN|2AME|3RPLT|4aMLV|5RMIN|6BLASTR|78RCR|9TBNT
77	22212 56632	   	258.87	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1CDMG|2DUR|3AART|4BLASTR|5BEXP|6RPLT|79RCR|8VULN|aLWND
78	22212 56633	   	258.87	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1CDMG|2DUR|3AART|4BLASTR|5BEXP|6RPLT|79RCR|8VULN|aLHND
79	33133 33464	   	258.87	DCR|DCR|1VULN|1ASPD|1AART|1RPLT	1RPLT|2DUR|3LHND|4AAC|5VULN|67RCR|8ASPD|9ERES|aAART
80	62361 11261	 * 	258.79	ACR|DCR|3VULN|1CDMG	127VULN|3CDMG|4aRCR|568ERES|9DUR
81	22212 56631	   	258.77	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1CDMG|2DUR|3AART|4BLASTR|5BEXP|6RPLT|79RCR|8VULN|aCANTOX
82	22213 56632	   	258.77	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1CDMG|2DUR|3AART|4BLASTR|5DUST|6RPLT|79RCR|8VULN|aLWND
83	22213 56633	   	258.77	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1CDMG|2DUR|3AART|4BLASTR|5DUST|6RPLT|79RCR|8VULN|aLHND
84	64213 22744	   	258.75	DCR|DCR|2VULN|2DUR	17VULN|2MBVNT|34DUR|57LIT|67FEWX|7BPWR|8MDPS|9aRCR
85	22213 56631	   	258.67	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1CDMG|2DUR|3AART|4BLASTR|5DUST|6RPLT|79RCR|8VULN|aCANTOX
86	64213 11744	   	258.55	DCR|DCR|2VULN|2DUR	16VULN|2MBVNT|34DUR|5LIT|7LWND|8MDPS|9aRCR
87	64213 16144	   	258.55	DCR|DCR|2VULN|2DUR	16VULN|2MBVNT|34DUR|5LIT|7MDPS|8LWND|9aRCR
