0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33333 44325	10	 * 	294.23	DCR|5VULN|3ASPD|1DMG|1TLV	156ASPD|2TLV|3ERES|45679VULN|56BPWR|8RCR|aDMG
82	51461 33123	5	   	266.66	DCR|4VULN|3DUR|2LIT	17LIT|234DUR|578aVULN|67ZMB|7BPWR|9RCR
83	33333 44353	9	   	266.64	DCR|4VULN|3ASPD|2TLV	156ASPD|2aTLV|3ERES|4567VULN|56BPWR|8RCR|9LIT
84	33333 44363	8	   	266.64	DCR|4VULN|3ASPD|2TLV	156ASPD|2aTLV|3ERES|4567VULN|56BPWR|8RCR|9LIT
85	51422 43123	6	   	266.56	DCR|4VULN|3DUR|2LIT	17LIT|235DUR|478aVULN|6RMIN|7BPWR|9RCR
86	22253 23162	9	   	266.54	DCR|5VULN|1TLV|1CDMG|1AART	1TLV|2458aVULN|35DUST|5BPWR|6CDMG|7AART|9RCR
87	22662 18343	2	   	265.60	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|249VULN|3aDUR|5MBVNT|6CDMG|7RCR|8DMG
88	24162 18343	1	   	265.60	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|2aDUR|349VULN|5MBVNT|6CDMG|7RCR|8DMG
89	32122 22566	2	   	265.26	DCR|4VULN|2ASPD|1DMG|1DUR	19ASPD|2389VULN|4DMG|5RPLT|6DUR|79BEXP|9BPWR|aRCR
90	24332 43232	9	 * 	264.91	DCR|4VULN|2DMG|2TLV|1SELL	16TLV|25DMG|3ERES|467aVULN|6BPWR|8SELL|9RCR
91	32126 26362	2	 * 	264.29	DCR|3VULN|2DMG|2DUR|1ASPD	1ASPD|236VULN|4aDMG|5ERES|78DUR|9RCR
92	51132 23624	6	   	264.26	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG|1SELL	17LIT|27DUR|3DMG|4LHND|579VULN|6SELL|7BPWR|8CDMG|aRCR
